County, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(? - deaths per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (? in Death Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval,,life expenctancy,
United States (6),0,No,1216.9,1214.3,1219.5,174521,falling,-1.6,-1.7,-1.6,1.0 ,,
"Douglas County, Colorado",8035,No,984.6,891.1,1085,90,falling,-1.5,-2.9,-0.1,1.2 ,83.27 ,
"Fairfax County, Virginia",51059,No,937.7,892.2,984.8,332,falling,-2.1,-2.4,-1.8,1.1 ,83.23 ,
"Marin County, California",6041,No,966.4,901,1035.2,166,falling,-2,-2.5,-1.6,1.1 ,83.09 ,
"Santa Clara County, California",6085,No,1107.9,1067.1,1149.8,564,falling,-1.3,-1.5,-1,1.1 ,82.70 ,
"Loudoun County, Virginia",51107,No,1036.8,933.9,1147.8,78,falling,-2.3,-3.1,-1.4,1.2 ,82.62 ,
"Collier County, Florida",12021,No,787.9,749.9,827.2,324,falling,-1.9,-2.4,-1.4,1.1 ,82.55 ,
"Howard County, Maryland",24027,No,1008.8,917.5,1106.6,95,falling,-2.4,-3.2,-1.7,1.2 ,82.37 ,
"San Mateo County, California",6081,No,1119.1,1063.1,1177.2,307,falling,-1.5,-1.8,-1.2,1.1 ,82.35 ,
"Bergen County, New Jersey",34003,No,1111.8,1069.5,1155.3,532,falling,-1.9,-2.2,-1.7,1.1 ,82.15 ,
"Olmsted County, Minnesota",27109,No,1055.7,956.7,1162.1,84,falling,-1.6,-2.2,-1,1.2 ,82.08 ,
"Stearns County, Minnesota",27145,No,1167.8,1066.5,1276.1,98,falling,-1.1,-1.6,-0.5,1.2 ,82.06 ,
"Westchester County, New York",36119,No,1065,1023.1,1108.2,497,falling,-1.9,-2.4,-1.5,1.1 ,81.99 ,
"Hunterdon County, New Jersey",34019,No,1034.9,928.7,1149.9,72,falling,-2.5,-3.1,-1.9,1.2 ,81.94 ,
"Orange County, California",6059,No,1139.7,1111.1,1168.9,1219,falling,-1.4,-1.6,-1.3,1.1 ,81.85 ,
"Rockland County, New York",36087,No,993.7,922.5,1068.9,145,falling,-2.5,-3,-2.1,1.2 ,81.77 ,
"Nassau County, New York",36059,No,1057.6,1024.3,1091.7,786,falling,-1.7,-1.9,-1.5,1.1 ,81.76 ,
"Morris County, New Jersey",34027,No,1148.7,1091.2,1208.5,303,falling,-1.8,-2.2,-1.4,1.1 ,81.70 ,
"Somerset County, New Jersey",34035,No,1208.8,1128.2,1293.7,170,falling,-1.6,-1.9,-1.2,1.1 ,81.69 ,
"Washington County, Minnesota",27163,No,1096,1008.2,1189.3,119,falling,-1.9,-2.6,-1.1,1.2 ,81.69 ,
"Ozaukee County, Wisconsin",55089,No,1159,1037.6,1290.7,67,falling,-1.3,-1.9,-0.6,1.2 ,81.64 ,
"DuPage County, Illinois",17043,No,1165.8,1117.8,1215.3,456,falling,-1.6,-1.9,-1.3,1.1 ,81.61 ,
"Dakota County, Minnesota",27037,No,1112,1041.3,1186.2,189,falling,-1.4,-1.9,-0.9,1.1 ,81.57 ,
"Fairfield County, Connecticut",9001,No,1020.2,978.9,1062.9,469,falling,-3.1,-4.1,-2.1,1.1 ,81.55 ,
"Washington County, Oregon",41067,No,1079.7,1016.7,1145.6,227,falling,-1.6,-2,-1.2,1.1 ,81.54 ,
"Collin County, Texas",48085,No,1107.1,1043.5,1173.5,248,falling,-2.1,-2.6,-1.6,1.1 ,81.52 ,
"Johnson County, Kansas",20091,No,1085.5,1027.9,1145.5,274,falling,-1.3,-1.6,-0.9,1.1 ,81.49 ,
"Larimer County, Colorado",8069,No,934.2,865.8,1006.6,142,falling,-1.9,-2.5,-1.3,1.2 ,81.47 ,
"Williamson County, Texas",48491,No,994.3,922.4,1070.2,149,falling,-2.3,-2.9,-1.7,1.2 ,81.45 ,
"Ottawa County, Michigan",26139,No,1036.3,960.4,1116.6,140,falling,-1.2,-1.6,-0.7,1.2 ,81.45 ,
"Beaufort County, South Carolina",45013,No,899.8,829.2,974.6,127,falling,-2.1,-2.7,-1.4,1.2 ,81.41 ,
"Queens County, New York",36081,No,1122.8,1084,1162.6,648,falling,-1,-1.4,-0.5,1.1 ,81.40 ,
"Ventura County, California",6111,No,1102,1050.2,1155.6,347,falling,-1.4,-1.8,-1,1.1 ,81.39 ,
"Honolulu County, Hawaii (8)",15003,No,1124.6,1042.1,1212,144,falling,-1.5,-2.5,-0.5,1.2 ,81.39 ,
"Santa Barbara County, California",6083,No,1057.3,993,1124.7,206,falling,-1.3,-1.8,-0.8,1.1 ,81.38 ,
"Hamilton County, Indiana",18057,No,1121.7,1029.8,1219.6,115,falling,-1.3,-1.9,-0.6,1.2 ,81.36 ,
"Williamson County, Tennessee",47187,No,1077.6,971.8,1191.6,81,falling,-1.8,-2.7,-1,1.2 ,81.36 ,
"Monterey County, California",6053,No,1134.6,1054.4,1219.2,152,falling,-1.5,-2,-1,1.2 ,81.34 ,
"Middlesex County, Massachusetts",25017,No,1212.9,1178,1248.6,927,falling,-2.2,-2.5,-1.9,1.1 ,81.33 ,
"Norfolk County, Massachusetts",25021,No,1185.2,1136.3,1235.6,450,falling,-1.8,-2.1,-1.5,1.1 ,81.31 ,
"Waukesha County, Wisconsin",55133,No,1189.3,1128.1,1252.9,287,falling,-1.2,-1.5,-0.8,1.1 ,81.31 ,
"Geauga County, Ohio",39055,No,1060.7,948.1,1182.8,66,falling,-1.7,-2.4,-1,1.2 ,81.30 ,
"Centre County, Pennsylvania",42027,No,1125.2,1020.7,1237.5,86,falling,-1.1,-1.8,-0.4,1.2 ,81.25 ,
"Washington County, Utah",49053,No,876.3,802.2,955.4,104,falling,-1.1,-1.8,-0.4,1.2 ,81.22 ,
"Fort Bend County, Texas",48157,No,1060.7,973.3,1153.8,116,falling,-2.2,-2.9,-1.4,1.2 ,81.20 ,
"Tolland County, Connecticut",9013,No,1151.7,1045.7,1265.4,89,falling,-1.5,-2.3,-0.7,1.2 ,81.19 ,
"New York County, New York",36061,No,889.2,852.2,927.4,440,falling,-2.5,-3.1,-1.8,1.1 ,81.18 ,
"Dane County, Wisconsin",55025,No,1103,1040.2,1168.6,237,falling,-1.3,-1.7,-0.8,1.1 ,81.16 ,
"Santa Cruz County, California",6087,No,959.3,876.6,1047.7,105,falling,-2.2,-2.9,-1.6,1.2 ,81.15 ,
"King County, Washington",53033,No,1116.2,1082.3,1150.8,848,falling,-1.6,-1.8,-1.5,1.1 ,81.11 ,
"Sarasota County, Florida",12115,No,929.2,893.9,965.6,525,falling,-1.5,-1.7,-1.3,1.1 ,81.11 ,
"San Francisco County, California",6075,No,1058.5,997.2,1122.5,229,falling,-1.9,-2.3,-1.6,1.1 ,81.11 ,
"Nevada County, California",6057,No,1003,909.3,1103.6,86,falling,-2,-2.6,-1.4,1.2 ,81.06 ,
"Placer County, California",6061,No,1103.2,1041.8,1167.2,244,falling,-1.7,-2.2,-1.1,1.1 ,81.04 ,
"Delaware County, Ohio",39041,No,1123.5,1012.3,1243.5,79,falling,-1.3,-2.3,-0.4,1.2 ,81.04 ,
"Chittenden County, Vermont",50007,No,1203.5,1092.8,1322.2,89,falling,-1.7,-2.5,-0.8,1.2 ,81.01 ,
"Saratoga County, New York",36091,No,1319.7,1230.8,1413.2,169,falling,-1,-1.5,-0.6,1.1 ,81.00 ,
"Sumter County, Florida",12119,No,876.2,817.8,937.5,186,falling,-1.8,-2.4,-1.2,1.1 ,80.99 ,
"Washington County, Wisconsin",55131,No,1104,1002,1213.5,87,falling,-3.8,-5.6,-2,1.2 ,80.97 ,
"Contra Costa County, California",6013,No,1154.2,1107.6,1202.3,473,falling,-1.4,-1.7,-1.2,1.1 ,80.95 ,
"Wright County, Minnesota",27171,No,1264.8,1130.6,1410.4,67,falling,-1,-1.8,-0.2,1.2 ,80.94 ,
"Alameda County, California",6001,No,1155.1,1106.2,1205.5,435,falling,-1.5,-1.8,-1.3,1.1 ,80.92 ,
"Martin County, Florida",12085,No,1032.4,968.9,1099,199,falling,-1.6,-2.1,-1.1,1.1 ,80.92 ,
"Davis County, Utah",49011,No,894.3,816,978,98,stable,2.3,-3.4,8.4,1.2 ,80.92 ,
"Chester County, Pennsylvania",42029,No,1148,1090.2,1208.1,301,falling,-1.7,-2.1,-1.3,1.1 ,80.91 ,
"Newport County, Rhode Island",44005,No,1173.6,1052.8,1304.3,70,falling,-2,-2.7,-1.4,1.2 ,80.91 ,
"San Diego County, California",6073,No,1198.4,1170.1,1227.2,1397,falling,-1.2,-1.3,-1,1.0 ,80.86 ,
"Washington County, Rhode Island",44009,No,1162.3,1059.6,1272.2,97,falling,-1.7,-2.2,-1.2,1.2 ,80.86 ,
"Anoka County, Minnesota",27003,No,1260.7,1175.2,1350.8,173,falling,-1.3,-1.8,-0.8,1.1 ,80.84 ,
"Palm Beach County, Florida",12099,No,976,950.8,1001.8,1196,falling,-1.3,-1.6,-1.1,1.1 ,80.83 ,
"Lake County, Illinois",17097,No,1173,1115.8,1232.4,323,falling,-1.7,-2.1,-1.3,1.1 ,80.83 ,
"El Dorado County, California",6017,No,1092.8,1007.8,1183.1,126,falling,-1.1,-1.6,-0.6,1.2 ,80.83 ,
"San Luis Obispo County, California",6079,No,1097,1027.9,1169.6,191,falling,-1.5,-1.9,-1.1,1.1 ,80.82 ,
"Whatcom County, Washington",53073,No,1141.6,1055.1,1233.3,132,falling,-1.1,-1.8,-0.4,1.2 ,80.81 ,
"Cass County, North Dakota",38017,No,1181.6,1065.5,1306.8,77,falling,-1.5,-2.3,-0.7,1.2 ,80.81 ,
"Utah County, Utah",49049,No,815.4,750.8,884,119,falling,-1,-1.7,-0.3,1.2 ,80.80 ,
"Middlesex County, New Jersey",34023,No,1283,1227,1340.9,404,stable,0.4,-0.6,1.4,1.1 ,80.79 ,
"Middlesex County, Connecticut",9007,No,1170.2,1079.7,1266.2,126,falling,-1.6,-2.1,-1,1.2 ,80.78 ,
"Hidalgo County, Texas",48215,No,755.3,685.5,830.4,87,falling,-1.6,-2.1,-1,1.2 ,80.74 ,
"Los Angeles County, California",6037,No,1147.6,1127.9,1167.7,2612,falling,-1.3,-1.4,-1.2,1.0 ,80.73 ,
"Washtenaw County, Michigan",26161,No,1096.5,1017.2,1180.2,147,falling,-1.5,-1.9,-1,1.2 ,80.73 ,
"Ada County, Idaho",16001,No,1088.8,1021.2,1159.7,200,falling,-1.9,-2.3,-1.5,1.1 ,80.71 ,
"Grafton County, New Hampshire (6, 7)",33009,No,1190.3,1072.2,1317.8,76,falling,-1.6,-2.6,-0.7,1.2 ,80.71 ,
"Hennepin County, Minnesota",27053,No,1102.5,1062.1,1143.9,578,falling,-1.6,-1.9,-1.4,1.1 ,80.70 ,
"Marathon County, Wisconsin",55073,No,1177.9,1076.9,1285.7,101,falling,-1.4,-2,-0.8,1.2 ,80.70 ,
"Litchfield County, Connecticut",9005,No,1027,949.7,1108.8,134,falling,-2.7,-3.6,-1.9,1.2 ,80.69 ,
"Montgomery County, Maryland",24031,No,877.4,835,921.4,333,falling,-2.4,-2.6,-2.1,1.1 ,80.68 ,
"Prince Georges County, Maryland",24033,No,1381.6,1283.5,1485.1,148,falling,-1.2,-1.5,-1,1.2 ,80.68 ,
"Montgomery County, Pennsylvania",42091,No,1140.4,1097.4,1184.7,542,falling,-1.5,-1.9,-1.2,1.1 ,80.67 ,
"Wake County, North Carolina",37183,No,1114.3,1056.5,1174.3,292,falling,-1.6,-2,-1.2,1.1 ,80.67 ,
"Outagamie County, Wisconsin",55087,No,1128.3,1030.1,1233.2,99,falling,-2,-2.6,-1.4,1.2 ,80.66 ,
"Eau Claire County, Wisconsin",55035,No,1199.1,1071.5,1337.8,65,falling,-1.8,-2.6,-1.1,1.2 ,80.65 ,
"Barnstable County, Massachusetts",25001,No,1159.3,1098.2,1222.8,272,falling,-1.3,-1.7,-0.9,1.1 ,80.60 ,
"Hampshire County, Massachusetts",25015,No,1209.8,1105.6,1321.1,102,falling,-1.5,-2.2,-0.9,1.2 ,80.59 ,
"Kane County, Illinois",17089,No,1206.2,1135.7,1279.9,224,falling,-1.3,-1.6,-0.9,1.1 ,80.58 ,
"Brown County, Wisconsin",55009,No,1203.1,1117.1,1293.8,147,falling,-1.3,-1.8,-0.8,1.2 ,80.52 ,
"Lancaster County, Pennsylvania",42071,No,1093.3,1043.9,1144.5,372,falling,-1.5,-1.9,-1.1,1.1 ,80.50 ,
"Lancaster County, Nebraska",31109,No,1226.4,1142.4,1314.9,161,falling,-1.1,-1.5,-0.6,1.2 ,80.49 ,
"Essex County, Massachusetts",25009,No,1184,1137,1232.4,488,falling,-3.5,-4.5,-2.4,1.1 ,80.47 ,
"Rockingham County, New Hampshire (6, 7)",33015,No,1253,1175.8,1333.8,205,falling,-1.1,-1.7,-0.5,1.1 ,80.47 ,
"St. Johns County, Florida",12109,No,1064.1,987.3,1145.3,146,falling,-2.2,-2.7,-1.7,1.2 ,80.47 ,
"Wood County, Wisconsin",55141,No,1158.5,1035.4,1292.3,65,falling,-1.5,-2.2,-0.8,1.2 ,80.46 ,
"Sarpy County, Nebraska",31153,No,1280.5,1148.5,1423.4,73,falling,-1.1,-2.1,-0.2,1.2 ,80.45 ,
"Prince William County, Virginia",51153,No,1149.8,1045.3,1261.8,99,falling,-2.4,-3.2,-1.6,1.2 ,80.43 ,
"Frederick County, Maryland",24021,No,1142.3,1050.2,1240.2,118,falling,-1.5,-2.2,-0.8,1.2 ,80.40 ,
"Denton County, Texas",48121,No,1154.1,1080.1,1231.8,200,falling,-1.7,-2.2,-1.1,1.1 ,80.39 ,
"Yuma County, Arizona (3)",4027,No,823.1,750.3,901,95,stable,-0.6,-1.4,0.2,1.2 ,80.36 ,
"Sonoma County, California",6097,No,1171,1112.6,1231.6,312,falling,-1.1,-1.4,-0.7,1.1 ,80.35 ,
"Linn County, Iowa",19113,No,1214.8,1126.8,1307.8,143,falling,-1.6,-2.1,-1.1,1.2 ,80.34 ,
"Travis County, Texas",48453,No,1044.5,986.7,1104.7,255,falling,-1.8,-2.2,-1.3,1.1 ,80.33 ,
"Crow Wing County, Minnesota",27035,No,1210.2,1081.3,1350.2,65,falling,-1.2,-1.9,-0.4,1.2 ,80.33 ,
"Suffolk County, New York",36103,No,1173.6,1139.2,1208.7,897,falling,-2,-2.3,-1.7,1.1 ,80.31 ,
"Deschutes County, Oregon",41017,No,1107.3,1019.3,1200.8,122,falling,-1.3,-2.1,-0.6,1.2 ,80.31 ,
"Lee County, Florida",12071,No,896.5,864.8,929,610,falling,-1.8,-2.2,-1.5,1.1 ,80.30 ,
"Champaign County, Illinois",17019,No,1080.2,979.5,1188.3,85,falling,-1.7,-2.7,-0.8,1.2 ,80.29 ,
"Hillsborough County, New Hampshire (6, 7)",33011,No,1210.1,1141.7,1281.4,240,falling,-1.3,-1.9,-0.8,1.1 ,80.27 ,
