state_county,pwsid_count,pwsid_with_nitrate_count,ave_nitrate_index
"Douglas County, Colorado",117,14,0.1007
"Fairfax County, Virginia",198,4,0.9240
"Marin County, California",103,8,0.1217
"Santa Clara County, California",318,53,3.2266
"Loudoun County, Virginia",180,1,2.7000
"Collier County, Florida",151,12,0.0694
"Howard County, Maryland",179,1,4.7200
"San Mateo County, California",113,11,2.2623
"Bergen County, New Jersey",734,13,2.8138
"Olmsted County, Minnesota",208,3,0.0605
"Stearns County, Minnesota",742,19,0.6293
"Westchester County, New York",348,77,0.2502
"Hunterdon County, New Jersey",1016,20,1.9390
"Orange County, California",167,33,1.7827
"Rockland County, New York",103,6,1.7763
"Nassau County, New York",48,28,2.8343
"Morris County, New Jersey",426,29,1.3235
"Somerset County, New Jersey",146,3,0.7447
"Washington County, Minnesota",545,21,1.1036
"Ozaukee County, Wisconsin",526,14,0.5567
"DuPage County, Illinois",1314,8,0.1056
"Dakota County, Minnesota",479,10,0.9424
"Fairfield County, Connecticut",1837,62,0.5992
"Washington County, Oregon",216,22,0.4817
"Collin County, Texas",51,36,0.5164
"Johnson County, Kansas",25,5,0.7960
"Larimer County, Colorado",259,14,0.1399
"Williamson County, Texas",130,41,0.9545
"Ottawa County, Michigan",506,6,0.3007
"Beaufort County, South Carolina",264,9,0.0257
"Queens County, New York",0,0,-1.0000
"Ventura County, California",176,58,1.1648
"Honolulu County, Hawaii",67,27,1.1141
"Santa Barbara County, California",236,34,2.2119
"Hamilton County, Indiana",166,11,0.2081
"Williamson County, Tennessee",42,0,-1.0000
"Monterey County, California",652,111,3.0054
"Middlesex County, Massachusetts",440,75,0.4529
"Norfolk County, Massachusetts",114,37,0.7503
"Waukesha County, Wisconsin",1409,31,0.5524
"Geauga County, Ohio",506,16,1.0697
"Centre County, Pennsylvania",238,22,2.8566
"Washington County, Utah",91,16,0.5080
"Fort Bend County, Texas",473,88,0.4004
"Tolland County, Connecticut",1086,49,0.7271
"New York County, New York",2,0,-1.0000
"Dane County, Wisconsin",632,27,1.6304
"Santa Cruz County, California",192,25,1.3098
"King County, Washington",512,85,0.3117
"Sarasota County, Florida",455,9,0.1336
"San Francisco County, California",36,0,-1.0000
"Nevada County, California",219,5,0.0594
"Placer County, California",235,10,0.5487
"Delaware County, Ohio",71,5,0.6451
"Chittenden County, Vermont",360,14,0.2701
"Saratoga County, New York",433,53,0.9613
"Sumter County, Florida",234,16,1.5038
"Washington County, Wisconsin",528,6,1.0519
"Contra Costa County, California",176,12,1.3864
"Wright County, Minnesota",414,8,0.4666
"Alameda County, California",47,9,0.2719
"Martin County, Florida",409,4,0.1256
"Davis County, Utah",45,15,1.4997
"Chester County, Pennsylvania",775,75,3.4103
"Newport County, Rhode Island",101,8,0.4362
"San Diego County, California",425,34,0.6340
"Washington County, Rhode Island",416,21,1.3726
"Anoka County, Minnesota",582,8,0.1733
"Palm Beach County, Florida",1065,19,0.1498
"Lake County, Illinois",2427,26,0.3580
"El Dorado County, California",303,3,0.2282
"San Luis Obispo County, California",227,44,1.8077
"Whatcom County, Washington",341,61,0.6068
"Cass County, North Dakota",90,1,1.2100
"Utah County, Utah",166,29,1.0296
"Middlesex County, New Jersey",62,1,2.2900
"Middlesex County, Connecticut",1164,36,0.6682
"Hidalgo County, Texas",74,25,0.2842
"Los Angeles County, California",622,155,2.5617
"Washtenaw County, Michigan",532,1,0.5870
"Ada County, Idaho",300,48,0.9631
"Grafton County, New Hampshire",443,31,0.3938
"Hennepin County, Minnesota",1233,13,0.3284
"Marathon County, Wisconsin",498,19,1.9549
"Litchfield County, Connecticut",1503,68,0.5027
"Montgomery County, Maryland",126,2,1.2096
"Prince Georges County, Maryland",0,0,-1.0000
"Montgomery County, Pennsylvania",668,39,2.9054
"Wake County, North Carolina",1317,133,1.5926
"Outagamie County, Wisconsin",327,6,0.1645
"Eau Claire County, Wisconsin",196,16,1.8334
"Barnstable County, Massachusetts",370,27,0.9926
"Hampshire County, Massachusetts",181,25,1.1181
"Kane County, Illinois",1300,13,0.8343
"Brown County, Wisconsin",283,5,0.1285
"Lancaster County, Pennsylvania",982,91,4.5471
"Lancaster County, Nebraska",229,0,-1.0000
"Essex County, Massachusetts",222,31,0.4186
"Rockingham County, New Hampshire",907,46,1.4654
"St. Johns County, Florida",305,10,0.0455
"Wood County, Wisconsin",346,9,1.4755
"Sarpy County, Nebraska",80,0,-1.0000
"Prince William County, Virginia",182,1,0.9240
"Frederick County, Maryland",533,21,1.3099
"Denton County, Texas",263,89,0.6316
"Yuma County, Arizona",137,19,0.5354
"Sonoma County, California",717,88,1.1101
"Linn County, Iowa",230,14,3.0694
"Travis County, Texas",307,78,0.3983
"Crow Wing County, Minnesota",1091,7,0.2370
"Suffolk County, New York",584,0,-1.0000
"Deschutes County, Oregon",261,40,0.2127
"Lee County, Florida",221,16,0.1797
"Champaign County, Illinois",341,13,1.5394
"Hillsborough County, New Hampshire",530,25,0.4716
"New London County, Connecticut",1334,80,0.5713
"Gwinnett County, Georgia",20,0,-1.0000
"Charlotte County, Florida",130,6,0.1880
"Union County, New Jersey",9,2,2.2900
"Cumberland County, Maine",708,9,0.2421
"Clackamas County, Oregon",409,44,0.6757
"Napa County, California",340,13,0.0626
"Dutchess County, New York",846,95,0.9843
"La Crosse County, Wisconsin",271,20,3.2285
"St. Charles County, Missouri",99,3,1.4700
"Thurston County, Washington",704,151,1.4276
"Medina County, Ohio",334,6,0.4216
"Berkshire County, Massachusetts",432,34,0.2039
"Miami-Dade County, Florida",172,19,0.2250
"Manitowoc County, Wisconsin",309,11,1.0228
"Seminole County, Florida",230,19,0.1075
"Indian River County, Florida",398,1,0.3030
"Hartford County, Connecticut",1352,38,1.0330
"Cumberland County, Pennsylvania",282,20,3.2858
"Fond du Lac County, Wisconsin",396,11,0.2601
"Yolo County, California",208,9,3.5126
"Monroe County, Indiana",20,1,0.0550
"York County, Maine",447,12,0.2373
"Livingston County, Michigan",827,1,0.5000
"Northampton County, Pennsylvania",486,32,1.0690
"Sheboygan County, Wisconsin",389,12,0.3563
"Bucks County, Pennsylvania",834,56,2.0041
"Pennington County, South Dakota",257,1,0.3900
"Winnebago County, Wisconsin",308,4,0.5810
"Dubuque County, Iowa",212,7,3.7144
"Snohomish County, Washington",370,76,0.3426
"Merrimack County, New Hampshire",375,19,0.2046
"Monroe County, New York",140,4,0.1392
