PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
063501001,ACOMA MAIN,Community water system,Ground water,-,-,"2,374",,,
063501107,ACOMA PUEBLO (ACOMITA),Community water system,Ground water,-,ACOMITA,"1,899",,,
063502107,ACOMA PUEBLO (ANZAC),Community water system,Ground water,-,ANZAC,100,,,
061870043,ALABAMA COUSHATTA #1 (EASTSIDE),Community water system,Ground water,-,-,991,,,
061870124,ALABAMA COUSHATTA #2 (WESTSIDE),Community water system,Ground water,-,-,329,,,
062002156,CHEROKEE KENWOOD WATER DISTRICT,Community water system,Groundwater under influence of surface water,-,-,487,,,
062000905,CHEYENNE-ARAPAHO CONCHO,Community water system,Ground water,-,-,"2,900",,,
062004336,CHICKASAW WINSTAR,Community water system,Ground water,-,-,"7,642",,,
063568423,COCHITI  LAKE,Community water system,Ground water,-,-,450,,,
063500108,COCHITI PUEBLO,Community water system,Ground water,-,-,"1,200",,,
061000101,EASTERN SHAWNEE,Community water system,Ground water,-,-,760,,,
063500121,"GOVERNOR, TAOS PUEBLO",Community water system,Ground water,-,-,25,,,
063501109,ISLETA EASTSIDE,Community water system,Ground water,-,-,"7,872",,,
063502084,ISLETA LOS CHARCOS,Community water system,Ground water,-,-,80,,,
063502109,ISLETA PUEBLO (LOBUMTEE),Community water system,Ground water,-,-,150,,,
063507109,ISLETA SUBDIVISION,Community water system,Ground water,-,-,"1,107",,,
063503109,ISLETA WESTSIDE,Community water system,Ground water,-,-,"2,000",,,
063500110,JEMEZ PUEBLO,Community water system,Ground water,-,-,"3,200",,,
063500006,JICARILLA DULCE,Community water system,Surface water,-,-,"3,064",,,
063500007,JICARILLA SOUTH WOODYARD,Community water system,Ground water,-,-,25,,,
063006122,JONES ACADEMY,Community water system,Surface water purchased,-,-,235,,,
062004183,KICKAPOO HOUSING COMPLEX,Community water system,Ground water,-,-,683,,,
061620002,KICKAPOO PECAN FARM,Community water system,Surface water purchased,-,-,382,,,
061620001,KICKAPOO TRADITIONAL TRIBE,Community water system,Surface water purchased,-,-,"8,872",,,
063501111,LAGUNA ENCINAL,Community water system,Surface water,-,-,236,,,
063502111,LAGUNA PAGUATE,Community water system,Groundwater under influence of surface water,-,-,602,,,
063503111,LAGUNA VALLEY,Community water system,Surface water purchased,-,-,"3,760",,,
063501008,MESCALERO APACHE (HARLEY),Community water system,Ground water,-,-,300,,,
063502008,MESCALERO APACHE (NORTH SPRING,Community water system,Ground water,-,-,"1,000",,,
063503008,MESCALERO APACHE - CARRIZO,Community water system,Ground water,-,CARRIZO,300,,,
063505233,MESCALERO BIA AGENCY,Community water system,Groundwater under influence of surface water,-,-,413,,,
063503233,MESCALERO CARRIZO,Community water system,Ground water,-,-,930,,,
063501233,MESCALERO COMMUNITY,Community water system,Groundwater under influence of surface water,-,-,"2,113",,,
063504008,MESCALERO DARK CANYON,Community water system,Ground water,-,-,25,,,
063507009,MESCALERO EIGHT CANYON,Community water system,Ground water,-,-,320,,,
063506233,MESCALERO FENCE CANYON,Community water system,Ground water,-,-,173,,,
063503013,MESCALERO GOAT SUMMIT,Community water system,Ground water,-,-,780,,,
063507233,MESCALERO HARLEY,Community water system,Ground water,-,-,80,,,
063506008,MESCALERO INN OF THE MT. GODS,Community water system,Ground water,-,-,"14,542",,,
063509008,MESCALERO NOGAL CANYON,Community water system,Ground water,-,-,30,,,
063507011,MESCALERO WHITETAIL,Community water system,Ground water,-,-,25,,,
063502233,MESCALERO WINDMILL,Community water system,Ground water,-,-,750,,,
063500119,NAMBE PUEBLO,Community water system,Ground water,-,-,800,,,
