PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
090400022,Ak Chin,Community water system,Ground water,-,Ak Chin,120,,,
090400232,Ak Chin Nursing Home,Community water system,Ground water,-,Ak Chin Nursing Home,281,,,
090400090,Ak Chin Village,Community water system,Surface water,-,Ak Chin Village,"6,883",,,
090400264,Ak Chin Village,Community water system,Ground water,-,-,25,,,
090400039,Anegam,Community water system,Ground water,-,-,232,,,
090400300,Arizona Village,Community water system,Ground water purchased,-,-,380,,,
090605121,Arviso - Mobile Home Park,Community water system,Ground water,-,-,70,,,
090400302,Avi Casino,Community water system,Ground water,-,-,"3,000",,,
090400304,Avi Kwa Ame Farms North,Community water system,Ground water,-,-,70,,,
094632002,B.I.A. ANETH BRD SC,Community water system,Ground water,-,-,25,,,
090400050,B.I.A. COLORADO RIV,Community water system,Ground water,-,-,400,,,
092900067,B.I.A. DUCK VALLEY,Community water system,Ground water,-,-,550,,,
093234010,B.I.A. LAKE VALLEY,Community water system,Ground water,-,-,175,,,
094633011,B.I.A. NAVAJO MTN.,Community water system,Ground water,-,-,50,,,
090400059,B.I.A. POLACCA SCH.,Community water system,Ground water,-,-,25,,,
092900068,B.I.A. STEWART H.S.,Community water system,Surface water purchased,-,-,550,,,
090400297,BABY ROCKS TRADING POST,Community water system,Ground water,-,-,25,,,
093500331,BACA COMMUNITY - NTUA,Community water system,Ground water,-,NAVAJO,265,,,
090600065,BIA HOOPA SYSTEM,Community water system,Ground water,-,-,180,,,
090400054,BIA Keams Canyon,Community water system,Ground water,-,Keams Canyon,861,,,
090400063,BIA Truxton Agency,Community water system,Ground water,-,"Valentine, AZ",39,,,
090400363,BLUE GAP/TACHEE-O&M (SU81),Community water system,Ground water,-,-,575,,,
090400271,BLUEWATER MARINA,Community water system,Ground water,-,-,200,,,
093503036,Baca Prewitt Watering Point,Community water system,Ground water,-,Baca Prewitt,100,,,
090400687,Bacavi Village,Community water system,Ground water,-,Bacavi,690,,,
090600118,Barona North,Community water system,Ground water,-,Barona North Reservation,950,,,
093200364,Battle Mountain,Community water system,Ground water,-,Battle Mountain,195,,,
093200160,Battle Mountain (Old),Community water system,Ground water,-,-,200,,,
090605119,Bear River - Tish Non Village,Community water system,Ground water,-,Bear River - Tish Non Village,227,,,
090605125,Bear River/Singley Hill,Community water system,Ground water,-,-,"1,883",,,
090600159,Benton Paiute Tribe,Community water system,Ground water,-,Benton Paiute Reservation,91,,,
090600130,Bermuda Palms,Community water system,Ground water,-,Bermuda Palms Resort,255,,,
090400025,Big Fields,Community water system,Ground water,-,-,150,,,
090605043,Big Lagoon Rancheria,Community water system,Ground water,-,-,25,,,
090600120,Big Pine Paiute Band,Community water system,Ground water,-,Big Pine Reservation,550,,,
090600226,Big River Development,Community water system,Ground water,-,Big River,"2,300",,,
090600121,Big Sandy Rancheria,Community water system,Ground water,-,Big Sandy Rancheria,385,,,
090605164,Big Valley Rancheria Water District,Community water system,Ground water,-,-,"3,135",,,
090600122,Bishop Paiute-Shoshone Tribe,Community water system,Ground water,-,Bishop Paiute-Shoshone Reservation,"2,735",,,
093200368,Bodie Flats Mobile Home Park,Community water system,Ground water,-,Bodie Flats,40,,,
093534003,Borrego Pass School - BIA,Community water system,Ground water purchased,-,Borrego Pass School,233,,,
093534008,Bread Springs Day School (New) - BIA,Community water system,Ground water,-,-,102,,,
093534004,Bread Springs Day School (Present) - BIA,Community water system,Ground water,-,Bread Springs Day School,102,,,
093500260,CHURCH ROCK COMM.-NTUA (84),Community water system,Ground water,-,-,"1,430",,,
090400814,COPPERMINE - NTUA (SU87),Community water system,Ground water,-,-,825,,,
090403049,COPPERMINE CHAPTER - O&M,Community water system,Ground water,-,-,25,,,
090400255,CORNFIELDS COMM - NTUA,Community water system,Ground water,-,-,180,,,
090605065,COYOTE VALLEY RANCH.,Community water system,Ground water,-,-,25,,,
090400470,CRIT Farms,Community water system,Ground water,-,-,36,,,
093500324,CRYSTAL/YAZZIE SPRING - O&M,Community water system,Surface water,-,-,72,,,
090605070,CUYAPAIPE COMMUNITY,Community water system,Ground water,-,-,25,,,
090400224,Cababi,Community water system,Ground water,-,-,57,,,
090600237,California Village,Community water system,Ground water purchased,-,-,555,,,
090403010,Cameron Community - NTUA,Community water system,Ground water,-,Cameron,795,,,
090605045,Campo Church Road System (HUD Homes),Community water system,Ground water,-,-,110,,,
090400008,Charco 27,Community water system,Ground water,-,Charco 27,60,,,
090600206,Chemehuevi Homesite #2,Community water system,Surface water,-,-,25,,,
090600125,Chemehuevi Water,Community water system,Ground water,-,-,"2,188",,,
093534005,Chichiltah Boarding School - BIA,Community water system,Ground water,-,Chichiltah Boarding School,137,,,
090400024,Choulic,Community water system,Ground water,-,-,82,,,
090400003,Chui Chu,Community water system,Ground water,-,Chui Chu,340,,,
090400207,Coal Mine Mesa - NTUA,Community water system,Ground water,-,Coal Mine Mesa,334,,,
090400034,Cockleburr,Community water system,Ground water,-,Cockleburr,90,,,
090400676,Cocopah Bend RV & Golf Resort,Community water system,Ground water,-,-,"1,095",,,
090400073,Cocopah East,Community water system,Ground water,-,-,280,,,
090400072,Cocopah North,Community water system,Ground water,-,-,150,,,
090400071,Cocopah West,Community water system,Ground water,-,-,350,,,
090402014,Cold Fields,Community water system,Ground water,-,-,147,,,
090605156,Cold Springs Flats,Community water system,Ground water,-,-,150,,,
090600126,Cold Springs Main,Community water system,Ground water,-,-,179,,,
090605077,Cold Springs Subdivision,Community water system,Ground water,-,-,35,,,
090400051,Colorado River Regional Water System,Community water system,Ground water,-,-,"9,277",,,
090605046,Colusa Northern System,Community water system,Ground water,-,-,67,,,
090605047,Colusa Southern System,Community water system,Ground water,-,-,"3,474",,,
090400220,Comobabi Intertie,Community water system,Ground water,-,"Comobabi, Crowhang",240,,,
090605055,Cortina Rancheria,Community water system,Ground water,-,Cortina Rancheria,19,,,
090400006,Covered Wells Regional,Community water system,Ground water,-,"Upper Cov Wells, Lower Cov Wells, Sikul",350,,,
090400029,Cowlic,Community water system,Ground water,-,Cowlic,140,,,
090400009,Crowhang,Community water system,Ground water,-,-,130,,,
093534023,Crownpoint Boarding School - BIA,Community water system,Ground water,-,Crownpoint Boarding School,"1,024",,,
093500270,DALTON PASS CHAP.-O&M,Community water system,Ground water,-,-,587,,,
090605160,DD Mobile Home Park,Community water system,Ground water,-,-,300,,,
090400056,Dirt Burn / Kupk,Community water system,Ground water,-,WHITERIVER,100,,,
090400049,Dishchii' Bikoh Community School - BIA Charter,Community water system,Ground water purchased,-,-,347,,,
093200372,Duck Valley Newtown,Community water system,Ground water,-,Newtown,450,,,
093200067,Duck Valley Owyhee,Community water system,Ground water,-,Owyhee,150,,,
093200163,Duckwater,Community water system,Ground water,-,Duckwater,130,,,
090605159,Duro Mobile Home Park (Desert),Community water system,Ground water,-,-,25,,,
093534024,Dzilthnaodithhle Boarding School - BIA,Community water system,Ground water,-,Dzilthnaodithhle School,690,,,
090600140,EAST HOOPA VALLEY SYSTEM,Community water system,Surface water,-,-,"1,000",,,
090400384,EAST WHITERIVER,Community water system,Ground water,-,-,25,,,
090400338,EL PASO N G-W.ROCK/ST.MICHAELS,Community water system,Ground water,-,-,100,,,
090400349,EL PASO NG-LEUPP STATION,Community water system,Ground water,-,-,80,,,
090400248,East Fork Lutheran,Community water system,Ground water,-,-,270,,,
093534001,Eastern Navajo Agency (BIE) Headquarters - BIA,Community water system,Ground water,-,Crownpoint BIA,951,,,
093200166,Fallon-Paiute Shoshone Tribe Community System,Community water system,Ground water,-,Fallon Paiute Community,"1,200",,,
093534015,Former Pueblo Pintado Boarding School - BIA,Community water system,Ground water,-,Former Pueblo Pintado Boarding School,103,,,
090600128,Fort Bidwell Reservation,Community water system,Ground water,-,-,90,,,
090600129,Fort Independence,Community water system,Ground water,-,Fort Independence Reservation,100,,,
090400088,Fort McDowell Community,Community water system,Ground water,-,-,"6,260",,,
093534020,Fort Wingate Community - BIA,Community water system,Ground water,-,Ft. Wingate Elementary School,550,,,
090400004,Fresnal,Community water system,Ground water,-,Fresnal,105,,,
093200165,Ft. McDermitt Paiute-Shoshone - Lower,Community water system,Ground water,-,Fort McDermitt,216,,,
093200164,Ft. McDermitt Paiute-Shoshone - Upper,Community water system,Ground water,-,Fort McDermitt,89,,,
094600225,GOULDINGS WATER SYS,Community water system,Ground water,-,-,40,,,
090400091,GRIC Blackwater,Community water system,Ground water,-,-,25,,,
090400691,GRIC DPW Aerodyne,Community water system,Ground water purchased,-,Aerdyne,25,,,
090400092,GRIC DPW Casa Blanca/Bapchule,Community water system,Ground water,-,"Casa Blanca,Bapchule,Wet Camp,Sacate,Wes","2,341",,,
090400047,GRIC DPW Sacaton,Community water system,Ground water,-,"Sacaton, Sacaton Flats,Upper San Tan, Bl","5,010",,,
090400096,GRIC DPW Stotonic,Community water system,Ground water purchased,-,"Stotonic, Goodyear, Gila Butte, Sweetwat","2,248",,,
090400692,GRIC DPW Wild Horse Pass,Community water system,Ground water,-,"Wildhorse Pass Casino, St. Johns Komatke","22,795",,,
090400095,GRIC Lone Butte - DPW,Community water system,Ground water,-,Lone Butte,65,,,
090400097,GRIC Pee Posh Water (Maricopa Colony) - DPW,Community water system,Ground water,-,-,665,,,
090400093,GRIC St. Johns - DPW,Community water system,Ground water,-,"St. John,Komatke,Gila Crossing,Santa Cru","2,500",,,
090400100,GRIC Sweetwater - DPW,Community water system,Ground water,-,Sweetwater Community,125,,,
090403009,Gap / Cedar Ridge - NTUA,Community water system,Ground water,-,"Gap/Cedar Ridge/Bittersprings,Arizona","1,148",,,
093200178,Goshute (8-Mile),Community water system,Ground water,-,-,25,,,
093200173,Goshute (Lower),Community water system,Ground water,-,Goshute,40,,,
093200177,Goshute (Upper),Community water system,Ground water,-,Upper Goshute,40,,,
090400101,Grand Canyon West,Community water system,Ground water,-,-,"2,097",,,
