PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
AK2311998,2490 MISSION / FAITH LANE LLC,Community water system,Ground water,Fairbanks North Star Borough,NORTH POLE,24,,,
AK2212209,3104 EIDE STREET APARTMENTS,Community water system,Unknown Primary Source,-,-,24,,,
AK2311980,"3152 WYATT / FAITH LANE, LLC",Community water system,Ground water,Fairbanks North Star Borough,NORTH POLE,24,,,
AK2226826,AAA APARTMENTS,Community water system,Ground water,Matanuska-Susitna Borough,WASILLA,0,,,
AK2123456,ABC COMMUNITY WATER SYSTEM,Community water system,Ground water,-,-,75,,,
AK2292322,ACRES TRAILER COURT WELL #2,Community water system,Ground water,Valdez-Cordova Census Area,-,25,,,
AK2298705,"ACRES TRAILER COURT, WELL#1",Community water system,Ground water,Valdez-Cordova Census Area,-,25,,,
AK2260595,ADAK UTILITIES,Community water system,Surface water,Aleutians West Census Area,ADAK,225,,,
AK2250354,AFOGNAK LOGGING CAMP,Community water system,Surface water,Kodiak Island Borough,KODIAK,120,,,
AK2360557,AK GATEWAY SD - EAGLE COMM.SCH,Community water system,Ground water,Southeast Fairbanks Census Area,-,35,,,
AK2380109,AK GATEWAY SD-TOK SCHOOLS,Community water system,Ground water,Fairbanks North Star Borough,-,213,,,
AK2211203,AK PACIFIC UNIVERSITY VILLAGE,Community water system,Ground water,Anchorage Municipality,-,37,,,
AK2250037,AKHIOK,Community water system,Surface water,Kodiak Island Borough,AKHIOK,90,,,
AK2270786,AKIACHAK OLD WATER SYSTEM,Community water system,Ground water,Bethel Census Area,AKIACHAK,0,,,
AK2272747,AKIACHAK WATER SYSTEM,Community water system,Ground water,Bethel Census Area,AKIACHAK,627,,,
AK2271520,AKIAK COMMUNITY WATER SYSTEM,Community water system,Ground water,Bethel Census Area,-,200,,,
AK2272005,AKIAK COMMUNITY WATER SYSTEM,Community water system,Ground water,Bethel Census Area,AKIAK,346,,,
AK2260252,AKUTAN,Community water system,Surface water,Aleutians East Borough,AKUTAN,95,,,
AK2270362,ALAKANUK WATER SYSTEM,Community water system,Surface water,Wade Hampton Census Area,ALAKANUK,570,,,
AK2244183,ALASKA BEST WATER PRODUCTS,Community water system,Ground water purchased,Kenai Peninsula Borough,-,375,,,
AK2292099,ALASKA BIBLE COLLEGE,Community water system,Ground water,Valdez-Cordova Census Area,GLENNALLEN,50,,,
AK2270435,ALASKA COMMERCIAL HOUSING,Community water system,Ground water,-,-,30,,,
AK2340028,ALASKA GOLD CO.- NOME,Community water system,Ground water,Nome Census Area,-,40,,,
AK2241371,ALASKA PETROLEUM CONTRACTORS,Community water system,Ground water,Anchorage Municipality,-,300,,,
AK2131120,ALASKA PREMIUM BEVERAGE AND,Community water system,Surface water,-,-,126,,,
AK2215582,ALASKA PSYCHIATRIC INSTITUTE,Community water system,Ground water,Anchorage Municipality,-,350,,,
AK2220450,ALASKA WATER SOLUTIONS,Community water system,Ground water purchased,Matanuska-Susitna Borough,PALMER,0,,,
AK2220454,ALASKA WATER SOLUTIONS VEHICLE #99508,Community water system,Ground water purchased,Matanuska-Susitna Borough,WASILLA,204,,,
AK2220103,ALASKAN ESTATES (L13/B5),Community water system,Ground water,Matanuska-Susitna Borough,WASILLA,48,,,
AK2220099,ALASKAN ESTATES NO. 1 L10/B5,Community water system,Ground water,Matanuska-Susitna Borough,WASILLA,48,,,
AK2210011,ALASKAN VILLAGE TC,Community water system,Ground water,Anchorage Municipality,ANCHORAGE,10,,,
AK2217453,ALDER PARK S/D,Community water system,Ground water,-,-,42,,,
AK2213190,ALDERWOOD S/D L9-10,Community water system,Ground water,Anchorage Municipality,-,30,,,
AK2260927,ALEUTIAN DRAGON FISHERIES,Community water system,Surface water purchased,Bethel Census Area,-,130,,,
AK2224159,ALEUTIAN ESTATES #1,Community water system,Ground water,Matanuska-Susitna Borough,WASILLA,63,,,
AK2298608,ALEUTIAN VILLAGE TC,Community water system,Ground water,Valdez-Cordova Census Area,VALDEZ,175,,,
AK2300816,ALLAKAKET PUBLIC WATER SYSTEM,Community water system,Ground water,Yukon-Koyukuk Census Area,ALLAKAKET,192,,,
AK2211229,ALPAT WATER UTILITY,Community water system,Surface water purchased,Anchorage Municipality,ANCHORAGE,350,,,
AK2220154,ALPAT WATER UTILITY-CREEKWOOD PARK,Community water system,Surface water,Matanuska-Susitna Borough,WASILLA,192,,,
AK2213598,ALPINE WOODS WATER SYSTEM,Community water system,Ground water,Anchorage Municipality,ANCHORAGE,200,,,
AK2350195,ALYESKA - ATIGUN REROUTE CAMP,Community water system,Ground water,Anchorage Municipality,-,500,,,
AK2360727,ALYESKA - PS 6 FLY CAMP,Community water system,Ground water,-,-,32,,,
AK2370675,ALYESKA - PS 8 PERM,Community water system,Ground water,-,-,20,,,
AK2213687,ALYESKA BIRDHOUSE,Community water system,Ground water,Anchorage Municipality,-,80,,,
AK2214007,ALYESKA CHALET CONDOS HOA,Community water system,Ground water,Anchorage Municipality,GIRDWOOD,60,,,
AK2218653,ALYESKA CREEKSIDE APARTMENTS,Community water system,Ground water,Anchorage Municipality,GIRDWOOD,60,,,
AK2320214,ALYESKA PS 2 PERM,Community water system,Ground water,-,-,26,,,
AK2215485,ALZHEIMERS DISEASE DAY CARE,Community water system,Ground water,Anchorage Municipality,-,35,,,
