PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
AR0000324,145TH STREET WATER SEWER,Community water system,Surface water purchased,Pulaski,-,461,,,
AR0000811,ACORN RURAL WATER ASSN,Community water system,Surface water purchased,Polk,-,"1,903",,,
AR0000315,ADC - CUMMINS UNIT MAINT,Community water system,Ground water,Lincoln,-,"3,800",,,
AR0000282,ADC - TUCKER UNIT MAINT,Community water system,Ground water,Jefferson,-,"1,850",,,
AR0000796,ADC EAST ARKANSAS REGIONAL,Community water system,Ground water,Lee,-,"1,793",,,
AR0000663,AIRPORT ROAD WATER ASSOCIATION,Community water system,Ground water purchased,Chicot,-,576,,,
AR0000480,ALCOA,Community water system,Ground water,Saline,-,450,,,
AR0000303,ALICIA WATER SYSTEM,Community water system,Ground water purchased,Lawrence,-,154,,,
AR0000549,ALLEN MH PARK,Community water system,Ground water,Hot Spring,-,43,,,
AR0000648,ALLPORT WATER WORKS,Community water system,Ground water,Lonoke,-,280,,,
AR0000144,ALMA WATERWORKS,Community water system,Surface water,Crawford,-,"5,745",,,
AR0000006,ALMYRA WATERWORKS,Community water system,Ground water,Arkansas,-,406,,,
AR0000058,ALPENA WATERWORKS,Community water system,Surface water purchased,Boone,-,550,,,
AR0000764,ALPINE WATER ASSOCIATION,Community water system,Surface water purchased,Clark,-,740,,,
AR0000271,ALTHEIMER WATERWORKS,Community water system,Ground water,Jefferson,-,900,,,
AR0000197,ALTUS WATERWORKS,Community water system,Surface water purchased,Franklin,-,"1,820",,,
AR0000260,AMAGON WATERWORKS,Community water system,Ground water,Jackson,-,230,,,
AR0000088,AMITY WATERWORKS,Community water system,Surface water,Clark,-,725,,,
AR0000424,ANTOINE WATERWORKS,Community water system,Ground water,Pike,-,618,,,
AR0000790,AR DEPT OF CORRECTION IZARD CO,Community water system,Ground water,Izard,-,800,,,
AR0000456,ARBOR COMPANY WATER SYSTEM,Community water system,Ground water,Poinsett,-,50,,,
AR0000898,ARBORS OF PLEASANT VALLEY,Community water system,Surface water purchased,Pulaski,-,450,,,
ART000031,ARK POST NATIONAL MEMORIAL,Community water system,Ground water,Arkansas,-,100,,,
AR0000482,ARK ST HOSPITAL MC RAE UNIT,Community water system,Ground water,Pulaski,-,25,,,
AR0000085,ARKADELPHIA WATERWORKS,Community water system,Surface water,Clark,-,"10,716",,,
AR0000167,ARKANSAS CITY WATERWORKS,Community water system,Ground water,Desha,-,366,,,
AR0000485,ARKANSAS HEALTH CENTER,Community water system,Surface water,Saline,-,"1,000",,,
AR0000817,ARKOAL WATER SYSTEM,Community water system,Ground water,Sebastian,-,63,,,
AR0000667,ARSENAL WATER SYSTEM,Community water system,Ground water,Jefferson,-,"2,577",,,
AR0000527,ASH FLAT WATER COMPANY,Community water system,Ground water,"Fulton, Sharp",-,"1,097",,,
AR0000235,ASHDOWN HOMESITES,Community water system,Ground water,Little River,-,100,,,
AR0000320,ASHDOWN WATERWORKS,Community water system,Ground water,Little River,-,"4,723",,,
AR0000441,ATKINS WATER SYSTEM,Community water system,Surface water,Pope,-,"4,439",,,
AR0000597,AUGUSTA WATERWORKS,Community water system,Ground water,Woodruff,-,"2,199",,,
AR0000721,AURELLE WATER SYSTEM,Community water system,Ground water purchased,Union,-,296,,,
AR0000346,AUSTIN WATERWORKS,Community water system,Surface water purchased,Lonoke,-,"2,585",,,
AR0000890,AUTUMN ACRES MHP,Community water system,Ground water,Baxter,-,88,,,
AR0000863,All Seasons MHP,Community water system,Groundwater under influence of surface water,Garland,-,56,,,
AR0000778,BALCOM MOBILE HOME PARK,Community water system,Ground water,Garland,-,360,,,
AR0000689,BALD KNOB NORTH WATER ASSOC,Community water system,Surface water purchased,"Jackson, White",-,"2,290",,,
AR0000584,BALD KNOB WATERWORKS,Community water system,Surface water purchased,White,-,"2,905",,,
AR0000481,BALTZ DEVEL CO,Community water system,Ground water,Lawrence,-,87,,,
AR0000068,BANKS WATERWORKS,Community water system,Ground water,Bradley,-,248,,,
AR0000785,BARKADA WATER ASSOCIATION,Community water system,Ground water purchased,Drew,-,381,,,
AR0000512,BARLING WATERWORKS,Community water system,Surface water purchased,Sebastian,-,"4,583",,,
AR0000415,BARTON LEXA WATER ASSOCIATION,Community water system,Ground water,Phillips,-,"4,000",,,
AR0000819,BASIN VALLEY WATER SYSTEM,Community water system,Ground water,Newton,-,376,,,
AR0000377,BASSETT WATERWORKS,Community water system,Ground water,Mississippi,-,326,,,
AR0000250,BATESVILLE WATER UTILITIES,Community water system,Surface water,Independence,-,"12,375",,,
AR0000622,BATTS-LAPILE WATER ASSOCIATION,Community water system,Ground water,Union,-,613,,,
AR0000497,BAUXITE WATER,Community water system,Surface water purchased,Saline,-,574,,,
AR0001178,BAXTER MARION RURAL WATER ASSOCIATION,Community water system,Surface water purchased,"Baxter, Marion",-,525,,,
AR0000129,BAY WATERWORKS,Community water system,Ground water,Craighead,-,"1,821",,,
AR0000742,BAYOU TWO PUBLIC FACILITIES BD,Community water system,Surface water purchased,Lonoke,-,"3,385",,,
AR0000401,BEARDEN WATERWORKS,Community water system,Ground water,Ouachita,-,"2,450",,,
AR0000038,BEAVER WATER DISTRICT,Community water system,Surface water,Benton,-,52,,,
AR0000844,BEAVERFORK VOLUNTEER FD WSD,Community water system,Surface water purchased,Faulkner,-,"3,097",,,
AR0000904,BEDFORD FALLS MHP,Community water system,Ground water,Carroll,-,98,,,
AR0000462,BEE BRANCH WATER,Community water system,Surface water purchased,Van Buren,-,"3,135",,,
AR0000592,BEEBE WATERWORKS,Community water system,Surface water purchased,White,-,"7,898",,,
AR0000262,BEEDEVILLE WATER WORKS,Community water system,Ground water,Jackson,-,113,,,
AR0000039,BELLA VISTA POA,Community water system,Surface water purchased,Benton,-,"26,565",,,
AR0000059,BELLEFONTE WATER,Community water system,Ground water,Boone,-,455,,,
AR0000600,BELLEVILLE WATER,Community water system,Surface water purchased,Yell,-,"1,103",,,
AR0000519,BEN LOMOND WATERWORKS,Community water system,Surface water purchased,Sevier,-,120,,,
AR0000455,BENNETT ACRES MHP WATERWORKS,Community water system,Ground water,Saline,-,81,,,
AR0000037,BENTON CO WATER,Community water system,Surface water purchased,Benton,-,"5,217",,,
AR0000874,BENTON COUNTY WATER AUTHORITY1,Community water system,Surface water purchased,Benton,-,"1,984",,,
AR0000899,BENTON COUNTY WATER AUTHORITY4,Community water system,Surface water purchased,Benton,-,543,,,
AR0000913,BENTON COUNTY WATER AUTHORITY5,Community water system,Surface water purchased,Benton,-,"1,622",,,
AR0000484,BENTON WATERWORKS,Community water system,Surface water,Saline,-,"30,681",,,
AR0000871,BENTON-WASHINGTON REGIONAL PWA,Community water system,Surface water,"Benton, Washington",-,19,,,
AR0000041,BENTONVILLE WATER UTILITIES,Community water system,Surface water purchased,Benton,-,"40,137",,,
AR0000060,BERGMAN WATERWORKS,Community water system,Ground water,Boone,-,"2,805",,,
AR0000074,BERRYVILLE WATERWORKS,Community water system,Surface water purchased,Carroll,-,"5,632",,,
AR0000627,BETHESDA WATER ASSOCIATION,Community water system,Surface water purchased,Independence,-,"1,302",,,
AR0000543,BEULAH GROVE WATER,Community water system,Ground water purchased,Union,-,87,,,
AR0000799,BIG CLIFTY WATER,Community water system,Ground water,Carroll,-,150,,,
AR0000026,BIG FLAT WATERWORKS,Community water system,Ground water,Baxter,-,523,,,
AR0001042,BIG PONDWATER ASSOCIATION,Community water system,Ground water,Baxter,-,33,,,
AR0000411,BIGELOW WATERWORKS,Community water system,Ground water,Perry,-,544,,,
