PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
AS9721050,AFAO,Community water system,Surface water,Eastern District,AFAO,117,,,
AS0000005,AFAO,Community water system,Surface water,-,-,95,,,
AS0000002,AFONO,Community water system,Surface water,-,-,263,,,
AS0000003,AGUGULU,Community water system,Ground water,-,-,51,,,
AS9710654,ALAO ASG PWS,Community water system,Ground water,Eastern District,ALAO,463,,,
AS9710650,ALAO VILLAGE WATER SYSTEM,Community water system,Surface water,Eastern District,ALAO,463,,,
AS0000001,ALOFAU,Community water system,Surface water,-,-,386,,,
AS9710706,ALOFAU VILLAGE WATER SYSTEM,Community water system,Surface water,Eastern District,ALOFAU,458,,,
AS0000007,AMANAVE,Community water system,Surface water,-,-,282,,,
AS9710705,AMOULI VILLAGE WATER SYSTEM,Community water system,Surface water,"Eastern District, Western District",AMOULI,463,,,
AS0000009,AOA,Community water system,Surface water,-,-,310,,,
AS0000029,AOLOAU,Community water system,Surface water,-,-,410,,,
AS9710948,ASG,Community water system,Ground water,Western District,ASG,"18,383",,,
AS0000040,ASILI,Community water system,Surface water,Western District,-,180,,,
AS9721051,ASILI,Community water system,Ground water,Western District,ASILI,174,,,
AS0000011,AUA,Community water system,Surface water,-,-,"1,500",,,
AS9710814,AUA AMERICAN SAMOA PPG,Community water system,Surface water,Eastern District,AUA,"1,379",,,
AS9710915,AUAMANULUA,Community water system,Surface water,Western District,AUA,295,,,
AS9710919,AUAMATAGIMALIE,Community water system,Surface water,Western District,AUAMATAGIMALIE,355,,,
AS9710918,AUAPUNAAVA,Community water system,Surface water,Western District,AUAPUNAAVA,365,,,
AS9710704,AUASI VILLAGE WATER SYSTEM,Community water system,Surface water,Eastern District,AUASI,179,,,
AS9710916,AUASUAAVA,Community water system,Surface water,Western District,AUASUAAYA,235,,,
AS9710917,AUASUAIA,Community water system,Surface water,Western District,AUASUAIA,225,,,
AS9721130,AUMA(LEONE) WATER SYSTEM,Community water system,Surface water,Eastern District,LEONE,753,,,
AS0000042,AUNUU,Community water system,Ground water,Eastern District,-,394,,,
AS9311706,AUNUU AMERICAN SAMOA PPG,Community water system,Ground water,Eastern District,AUNUU,414,,,
AS9710808,AUTO VILLAGE WATER SYSTEM,Community water system,Surface water,Eastern District,AUTO,886,,,
AS9710858,Afono ASG,Community water system,Ground water,-,Afono,524,,,
AS9710820,Afono Village Water System,Community water system,Surface water,-,Afono Village,356,,,
AS9711160,Afono Village Water System (East Side),Community water system,Surface water,-,Afono Village Water System (East Side),60,,,
AS9710754,Alao ASG PWS,Community water system,Ground water,-,-,463,,,
AS9711120,Alao Village Water System,Community water system,Surface water,-,-,60,,,
AS0000036,Alao Village Water System,Community water system,Surface water,-,Alao,327,,,
AS9710652,Aoa ASG,Community water system,Ground water,-,Aoa,855,,,
AS9710914,Aua Village Water System,Community water system,Surface water,-,Village of Aua,110,,,
AS9310754,Aunu'u RO ASG,Community water system,Ground water purchased,-,Aunu'u DW only,476,,,
AS9310751,Aunuu ASG,Community water system,Ground water,-,Aunu'u,436,,,
AS9711948,Central ASG,Community water system,Surface water,-,Tutuila,"55,000",,,
AS0000010,FAGAITUA,Community water system,Surface water,-,-,"2,000",,,
AS0000041,FAGALII,Community water system,Ground water,Eastern District,-,78,,,
AS0000030,FAGAMALO,Community water system,Surface water,-,-,52,,,
AS0000012,FAGANEANEA,Community water system,Ground water,-,-,172,,,
AS0000013,FAGASA,Community water system,Surface water,-,-,622,,,
AS9711322,FAGASA ASG PWS,Community water system,Ground water,Eastern District,FAGASA,717,,,
AS9711315,FAGASAI AMERICAN SAMOA PPG,Community water system,Surface water,Eastern District,FAGASAI,328,,,
AS0000031,FALENIU,Community water system,Surface water,-,-,548,,,
AS0000032,FITIUTA,Community water system,Surface water,-,-,436,,,
AS9711150,Fagaalu Village Water System,Community water system,Unknown Primary Source,-,-,25,,,
AS9721042,Fagalii Village Water System,Community water system,Surface water,-,Fagali'I Village,259,,,
AS9721040,Fagamalo Village Water System,Community water system,Surface water,-,Fagamalo,55,,,
AS9711110,Fagasa (Upper) Village Water System,Community water system,Surface water,-,Fagasa (Upper),49,,,
AS9711356,Fagasa ASG,Community water system,Ground water,-,Fagasa,831,,,
AS9630145,Fitiuta ASG,Community water system,Ground water,-,Fitiuta,358,,,
AS0000014,LAULII,Community water system,Surface water,-,-,513,,,
AS0000016,LEONE,Community water system,Surface water,-,-,714,,,
AS0000017,LEONE,Community water system,Surface water,-,-,36,,,
AS0000015,LEONE,Community water system,Surface water,-,-,"3,000",,,
AS0000019,MALAELOA,Community water system,Surface water,-,-,301,,,
AS0000018,MALAELOA,Community water system,Surface water,-,-,256,,,
AS9721229,MALAELOA VILLAGE WATER SYSTEM,Community water system,Surface water,"Manu'a District, Western District",-,"1,108",,,
AS0000021,MAPUSAGA,Community water system,Surface water,-,-,222,,,
AS0000037,MASAUSI,Community water system,Surface water,-,-,175,,,
AS9710811,MASAUSI VILLAGE WATER SYSTEM,Community water system,Surface water,"Eastern District, Manu'a District",MASAUSI,157,,,
AS0000038,MASEFAU,Community water system,Surface water,-,-,305,,,
AS9710812,MASEFAU VILLAGE WATER SYSTEM,Community water system,Surface water,"Eastern District, Manu'a District",MASEFAU,389,,,
AS0000020,MATUU,Community water system,Surface water,-,-,350,,,
AS9710855,Masefau ASG,Community water system,Ground water,-,"Masefau, Masausi & Sailele",664,,,
AS0000022,NUA AND SEETAGA,Community water system,Surface water,-,-,366,,,
AS0000023,NUUULI,Community water system,Surface water,-,-,"2,095",,,
AS0000033,OFU,Community water system,Ground water,-,-,372,,,
AS0000028,OLOSEGA,Community water system,Ground water,-,-,193,,,
AS0000024,ONENOA,Community water system,Ground water,-,-,142,,,
AS9430546,Ofu - Olosega ASG,Community water system,Ground water,-,Ofu - Olosega,465,,,
AS9530447,Olosega ASG,Community water system,Ground water,-,Olosega,206,,,
AS9530450,Olosega RO ASG,Community water system,Ground water purchased,-,Olosega DW only,206,,,
AS9710601,Onenoa Village Water System,Community water system,Surface water,-,Onenoa,60,,,
AS0000025,PAUAIAI,Community water system,Surface water,-,-,900,,,
AS0000026,POLOA,Community water system,Ground water,-,-,166,,,
AS9721038,POLOA VILLAGE WATER SYSTEM,Community water system,Surface water,Western District,POLOA,176,,,
AS9711100,Pago (Upper) Village Water System,Community water system,Surface water,-,Pago (Upper),207,,,
AS0000039,SAILELE,Community water system,Surface water,-,-,109,,,
AS9710853,SAILELE ASG PWS,Community water system,Ground water,Eastern District,SAILELE,130,,,
AS9540416,SILI AMERICAN SAMOA PPG,Community water system,Ground water,Manu'a District,SILI,38,,,
AS9721449,TAFETA,Community water system,Ground water,Eastern District,TAFETA,120,,,
AS0000034,TAU AND FALEASAO,Community water system,Ground water,-,-,767,,,
AS0000035,TULA,Community water system,Ground water,-,-,361,,,
AS9710602,TULA ASG PWS,Community water system,Ground water,Eastern District,TULA,423,,,
AS9630249,Ta'u RO ASG,Community water system,Ground water purchased,-,Ta'u & Faleasao DW only,380,,,
AS9630243,Tau-Faleasao ASG,Community water system,Ground water,-,Ta'u & Faleasao,515,,,
AS9711130,Tula Village Water System - Vai Sima,Community water system,Surface water,-,-,40,,,
AS9711140,Tula Village Water System - Vai Togi,Community water system,Surface water,-,-,30,,,
AS0000027,VATIA,Community water system,Surface water,-,-,395,,,
AS9721036,VILLAGE OF AGUGULU,Community water system,Surface water,Eastern District,AGUGULU,76,,,
AS9710603,VILLAGE OF ALAO,Community water system,Surface water,Eastern District,-,303,,,
AS9721032,VILLAGE OF AMALUIA,Community water system,Surface water,Eastern District,AMALUIA,220,,,
AS9721037,VILLAGE OF AMANAVE,Community water system,Surface water,Eastern District,AMANAVE,522,,,
AS9710609,VILLAGE OF AOA,Community water system,Surface water,Eastern District,AOA,392,,,
AS9721441,VILLAGE OF AOLOAU,Community water system,Ground water,Eastern District,ASG,609,,,
AS9721033,VILLAGE OF ATAULOMA,Community water system,Surface water,Eastern District,ATAULOMA,287,,,
AS9721131,VILLAGE OF AUMA,Community water system,Ground water,Eastern District,AUMA,157,,,
AS9311707,VILLAGE OF AUNUU,Community water system,Ground water,Eastern District,AUNUU,428,,,
AS9310707,VILLAGE OF AUNUU,Community water system,Ground water,Eastern District,AUNUU,428,,,
AS9711325,VILLAGE OF AVAU,Community water system,Surface water,Eastern District,AVAU,45,,,
AS9727042,VILLAGE OF FAGALII,Community water system,Ground water,Eastern District,FAGALII,78,,,
AS9711324,VILLAGE OF FAGANEANEA,Community water system,Surface water,Eastern District,FAFANEANEA,150,,,
AS9630344,VILLAGE OF FALEASAO,Community water system,Ground water,Eastern District,FALEASAO,222,,,
AS9721128,VILLAGE OF FALENIU,Community water system,Surface water,Eastern District,-,517,,,
AS9710813,VILLAGE OF LAULII,Community water system,Surface water,Eastern District,LAULII,753,,,
AS9711323,VILLAGE OF MATUU,Community water system,Surface water,Manu'a District,MATUU,242,,,
AS9721127,VILLAGE OF MESEPA,Community water system,Surface water,Western District,MESEPA,249,,,
AS9721034,VILLAGE OF NUA,Community water system,Surface water,Eastern District,NUA,25,,,
AS9711326,VILLAGE OF NUUULI,Community water system,Surface water,Western District,NUUULI,"2,619",,,
AS9721039,VILLAGE OF POLOA-II,Community water system,Surface water,Eastern District,-,55,,,
AS9710810,VILLAGE OF SAILELE,Community water system,Surface water,Eastern District,SAILELE,92,,,
AS9721035,VILLAGE OF SEETAGA,Community water system,Surface water,Eastern District,SEETAGA,302,,,
AS9710657,Vatia ASG,Community water system,Ground water,-,Vatia,390,,,
AS9710621,Vatia Village Water System,Community water system,Surface water,-,Vatia,428,,,
AS9900151,Tutuila Print Shop - Pago,Non-Transient non-community system,Surface water purchased,-,-,25,,,
AS9900108,4 S Laundromat - Aua,Transient non-community system,Surface water purchased,-,4 S Laundromat - Aua,25,,,
AS9900141,4 Season's - Puapua,Transient non-community system,Surface water purchased,-,-,25,,,
AS9900087,4 Season's Laundromat,Transient non-community system,Surface water purchased,-,-,25,,,
AS9900107,AAAW Pouesi,Transient non-community system,Unknown Primary Source,-,-,25,,,
AS9900084,AB Mart & Wholesale - Malaeimi,Transient non-community system,Surface water purchased,-,AB Mart & Wholesale - Malaeimi,25,,,
AS9900089,ABC Fax Store - Fagatogo,Transient non-community system,Surface water purchased,-,ABC Fax Store - Fagatogo,25,,,
AS0000006,AMALUIA,Transient non-community system,Surface water,-,-,188,,,
AS0000008,AMOULI,Transient non-community system,Surface water,-,-,319,,,
AS0000004,ATAULOMA,Transient non-community system,Surface water,-,-,30,,,
AS9900083,Add 1 Store - Faleniu,Transient non-community system,Surface water purchased,-,Add 1 Store - Faleniu,25,,,
AS9900041,Add One Store - Iliili,Transient non-community system,Surface water purchased,-,Add One Store - Iliili,25,,,
AS9900110,Aeto Mart - Pago Pago,Transient non-community system,Surface water purchased,-,Aeto Mart - Pago Pago,25,,,
AS9900011,Aiga Mart - Pago,Transient non-community system,Surface water purchased,-,Aiga Mart - Pago,25,,,
AS9900038,Airportway Gas Station,Transient non-community system,Surface water purchased,-,-,25,,,
