PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
AZ0407901,157TH PLACE WATER ASSOC,Community water system,Ground water,Maricopa,GILBERT,24,,,
AZ0411247,387 WATER IMPROVEMENT DISTRICT,Community water system,Ground water,Pinal,MARICOPA,0,,,
AZ0410053,49ER WATER COMPANY,Community water system,Ground water,Pima,TUCSON,"1,050",,,
AZ0407256,5 SONS RANCH/MACCHIAROLI,Community water system,Ground water,Gila,LITCHFIELD PARK,40,,,
AZ0407280,67 AVE PROPERTY OWNERS ASSOCIATION,Community water system,Ground water,Maricopa,PHOENIX,28,,,
AZ0409032,A PETERSEN WATER COMPANY,Community water system,Ground water,Navajo,SNOWFLAKE,97,,,
AZ0403375,A-WAY FOREST TRAILER PARK,Community water system,Ground water purchased,Gila,BELLEMONT,30,,,
AZ0407080,AAWC COOL WELL,Community water system,Ground water,Maricopa,SUN CITY,73,,,
AZ0413001,ABRA WATER COMPANY,Community water system,Ground water,Yavapai,PAULDEN,"1,437",,,
AZ0420509,ACACIA GARDENS MOBILE HO,Community water system,Ground water,Pima,TUCSON,450,,,
AZ0420593,ACADIAN COURT,Community water system,Ground water,Gila,TUCSON,56,,,
AZ0413055,ACME WATER - BLUE HILLS,Community water system,Ground water,Yavapai,COTTONWOOD,125,,,
AZ0413056,ACME WATER - THUNDERBIRD MEADOWS,Community water system,Ground water,Yavapai,WILHOIT,200,,,
AZ0413077,ACME WATER - YAVAPAI ESTATES,Community water system,Ground water,Yavapai,CHINO VALLEY,200,,,
AZ0407001,ADAMAN MUTUAL WATER COMPANY,Community water system,Ground water,Maricopa,ADAMAN,700,,,
AZ0407307,ADJC ADOBE MOUNTAIN SCHOOL,Community water system,Ground water,Maricopa,PHOENIX,500,,,
AZ0420002,ADOBE MANOR MOBILE HOME P,Community water system,Ground water,Pima,-,100,,,
AZ0411510,ADOBE PALMS,Community water system,Ground water purchased,Pinal,-,39,,,
AZ0405303,ADOC ASPC FORT GRANT,Community water system,Ground water,Graham,BONITA,800,,,
AZ0411705,ADOC EYMAN UNIT,Community water system,Ground water,Pinal,FLORENCE,"5,100",,,
AZ0411066,ADOC FLORENCE ASP,Community water system,Ground water,Pinal,FLORENCE,"5,052",,,
AZ0411706,ADOC PICACHO WORK CENTER,Community water system,Ground water,Pinal,PICACHO,0,,,
AZ0420557,ADOC TUCSON,Community water system,Ground water,Pima,TUCSON,"4,500",,,
AZ0409335,ADOC WINSLOW,Community water system,Ground water purchased,Navajo,WINSLOW,"1,250",,,
AZ0401300,ADOC-ALPINE CONSV. CNTR.,Community water system,Ground water,Gila,ALPINE,150,,,
AZ0404077,ADOC-ASP-GLOBE,Community water system,Ground water purchased,Gila,GLOBE,150,,,
AZ0405302,ADOC-ASPC-SAFFORD WATER S,Community water system,Ground water purchased,Graham,-,"1,100",,,
AZ0411325,ADOC-FLORENCE RANCH #1,Community water system,Ground water,Gila,FLORENCE,20,,,
AZ0407446,ADOC-PERRYVILLE PRISON,Community water system,Ground water purchased,Maricopa,GOODYEAR,"1,800",,,
AZ0403010,ADOT AIRPORT GRAND CANYON,Community water system,Ground water purchased,Coconino,TUSAYAN,"2,210",,,
AZ0409045,ADOT DEAD RIVER R/A,Community water system,Ground water,Gila,-,100,,,
AZ0414062,ADOT EHRENBERG R/A,Community water system,Ground water,Gila,EHRENBERG,500,,,
AZ0403042,ADOT GRAY MOUNTAIN MC,Community water system,Ground water,Coconino,GRAY MOUNTAIN,20,,,
AZ0403305,ADOT NAVAJO SPRINGS M/S,Community water system,Ground water,Gila,-,100,,,
AZ0407002,AGUA FRIA WATER CO.,Community water system,Ground water,Maricopa,PEORIA,150,,,
AZ0407003,AGUILA WATER SERVICE,Community water system,Ground water,Maricopa,AGUILA,962,,,
AZ0410153,AJO DWID,Community water system,Ground water purchased,Pima,AJO,405,,,
AZ0410001,AJO IMPROVEMENT COMPANY,Community water system,Ground water,Pima,AJO,"1,600",,,
AZ0414483,ALAMO LAKE WAYSIDE INN,Community water system,Surface water,Gila,WENDEN,18,,,
AZ0404046,ALHAMBRA MOBILE HOME PARK,Community water system,Ground water,Gila,GLOBE,150,,,
AZ0412040,ALISO SPRINGS PROPERTY OWNER ASSOC INC,Community water system,Ground water,Santa Cruz,TUBAC,56,,,
AZ0402349,ALLAIRE TRAILER PARK,Community water system,Ground water,Gila,SUNIZONA,26,,,
AZ0407004,ALLENVILLE WATER CO.,Community water system,Ground water,Gila,-,400,,,
AZ0408320,ALLINGTON/EL RIO,Community water system,Ground water,Mohave,BULLHEAD CITY,112,,,
AZ0407286,ALMA RANCHETTES,Community water system,Ground water,Maricopa,CHANDLER,100,,,
AZ0401001,ALPINE DWID,Community water system,Ground water,Apache,ALPINE,582,,,
AZ0409074,AMERICAN INDIAN CHRISTIAN MISSION,Community water system,Ground water,Navajo,LINDEN,64,,,
AZ0420587,AMERICAN PROP - J.WERSTL,Community water system,Ground water,Gila,TUCSON,75,,,
AZ0408168,AMERICAN RANCH DWID,Community water system,Ground water,-,-,250,,,
AZ0413258,AMERICAN RANCH DWID,Community water system,Ground water,Yavapai,PRESCOTT,140,,,
AZ0411301,AMERICAN REALTY MORTGAGE COMPANY,Community water system,Ground water,Pinal,PETERS,98,,,
AZ0411011,ANDERSON BROTHERS WATER C,Community water system,Ground water,Pinal,STANFIELD,100,,,
AZ0411712,ANTELOPE PEAK DWID,Community water system,Ground water,Pinal,STANFIELD,60,,,
AZ0414001,ANTELOPE WATER COMPANY,Community water system,Surface water,Yuma,MOHAWK,163,,,
AZ0410354,ANWAY MANVILLE WATER COMPANY,Community water system,Ground water,Pima,AVRA VALLEY,729,,,
AZ0407488,APACHE ACRES MOTORHOME PK,Community water system,Ground water,Maricopa,APACHE JUNCTION,100,,,
AZ0411039,APACHE JUNCTION CITY OF,Community water system,Surface water,Pinal,APACHE JUNCTION,"13,657",,,
AZ0404060,APACHE PEAKS WTR SYSTEM,Community water system,Ground water,Gila,GLOBE,30,,,
AZ0407113,APACHE SPRINGS WATER CO,Community water system,Ground water,Maricopa,CAVE CREEK,1,,,
AZ0404300,APACHE TRAIL MHP,Community water system,Ground water,Gila,GLOBE,130,,,
AZ0420078,APACHE TRAILER SALES,Community water system,Ground water,Gila,-,8,,,
AZ0420181,APACHE VILLAGE TRAILER C,Community water system,Ground water,Gila,-,40,,,
AZ0413208,APPALOOSA WATER COMPANY,Community water system,Ground water,Yavapai,CHINO VALLEY,500,,,
AZ0414426,AQUA HOLIDAY RESORT,Community water system,Ground water,Gila,-,21,,,
AZ0410135,AQUA LINDA SUBDIVISION,Community water system,Ground water,Gila,TUCSON CITY,30,,,
AZ0414496,ARABY R.V. PARK,Community water system,Ground water,Gila,YUMA,15,,,
AZ0411003,ARAVAIPA WATER COMPANY,Community water system,Ground water,Pinal,HAYDEN,55,,,
AZ0408332,ARCADIA LODGE WATER SYST,Community water system,Ground water,Gila,KINGMAN,70,,,
AZ0413341,ARCOSANTI CAMP,Community water system,Ground water,Yavapai,MAYER,115,,,
AZ0410002,ARIVACA TOWNSITE WATER COOP,Community water system,Ground water,Pima,ARIVACA,150,,,
AZ0407404,ARIZONA BORING CO INC,Community water system,Ground water,Gila,-,20,,,
