PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
CA3301477,100 PALMS MARKET,Community water system,Ground water,Riverside,-,160,,,
CA2700667,101 TRAILER PARK WATER SYSTEM,Community water system,Ground water,Monterey,-,40,,,
CA5000074,18962 SANDY ROAD CASTRO,Community water system,Ground water,Stanislaus,-,62,,,
CA5500120,49ER TRAILER RANCH,Community water system,Ground water,Tuolumne,-,121,,,
CA5000082,4N MOBILEHOME PARK,Community water system,Ground water,Stanislaus,-,65,,,
CA1502744,60TH STREET ASSOC. WATER SYSTEM,Community water system,Ground water,Kern,-,44,,,
CA5800826,7 LAKES RESORT,Community water system,Ground water,Yuba,-,60,,,
CA1000499,@FCSA #40/DEL RIO,Community water system,Ground water purchased,Fresno,-,0,,,
CA1000077,@WEST MCKINLEY WATER SYSTEM,Community water system,Ground water,Fresno,-,0,,,
CA1000239,@WESTBROOK MOBILE HOME PARK,Community water system,Ground water,-,-,0,,,
CA5400504,A & A  MHP,Community water system,Ground water,Tulare,-,200,,,
CA1500060,A & B TRAILER PARK,Community water system,Ground water,Kern,-,134,,,
CA5000002,A & M INDUSTRIES,Community water system,Ground water,Stanislaus,-,200,,,
CA3400197,A MUTUAL WATER CO,Community water system,Ground water,Sacramento,-,100,,,
CA5500046,A.C. STILL,Community water system,Surface water,Tuolumne,-,350,,,
CA5500043,A.C. STILL,Community water system,Surface water,Tuolumne,-,119,,,
CA1500466,A.F.P. MUTUAL WATER COMPANY,Community water system,Ground water,Kern,-,588,,,
CA3900606,A1 WINSTONS MOBILE HOME PARK,Community water system,Ground water,San Joaquin,-,75,,,
CA5200559,ABBEY OF NEW CLAIRVAUX,Community water system,Ground water,Tehama,-,30,,,
CA1400020,ABERDEEN WATER SYSTEM,Community water system,Ground water,Inyo,-,23,,,
CA4500278,ABERNATHY LANE WATER SYSTEM,Community water system,Ground water,-,-,25,,,
CA4300792,ABORN HEIGHTS WATER MUTUAL ASSOCIATION,Community water system,Ground water,Santa Clara,-,45,,,
CA4700542,ABRAMS LAKE MOBILE ESTATES,Community water system,Ground water,Siskiyou,-,135,,,
