PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
CT0121051,166 & 180 BOSTON TURNPIKE,Community water system,Ground water,Tolland,BOLTON,31,,,
CT0121031,166 BOSTON TURNPIKE,Community water system,Ground water,Tolland,BOLTON,7,,,
CT0991001,18-20 GLENWOOD RD DUPLEX,Community water system,Ground water,New Haven,-,30,,,
CT0187041,20 STATION ROAD - APT BUILDING,Community water system,Ground water,Fairfield,BROOKFIELD,27,,,
CT0991011,22-24 GLENWOOD RD DUPLEX,Community water system,Ground water,New Haven,-,30,,,
CT0869131,261 & 263-271 ROUTE 163,Community water system,Ground water,New London,MONTVILLE,34,,,
CT0859071,27 MAPLE DRIVE,Community water system,Ground water,Fairfield,MONROE,38,,,
CT0231011,298-302 ALBANY TURNPIKE,Community water system,Ground water,Hartford,CANTON,28,,,
CT0419221,31 GRIST MILL RD,Community water system,Ground water,Middlesex,EAST HADDAM,19,,,
CT0189971,39 HOP BROOK RD - APT COMPLEX,Community water system,Ground water,Fairfield,BROOKFIELD,36,,,
CT1081011,4 UNIT APARTMENT,Community water system,Ground water,New Haven,-,30,,,
CT0699211,52 & 58 DOG HILL ROAD,Community water system,Ground water,Windham,KILLINGLY,18,,,
CT0121081,890 BOSTON TURNPIKE,Community water system,Ground water,Tolland,BOLTON,60,,,
CT0261001,AARON MANOR NURSING & REHAB CENTER,Community water system,Ground water,Middlesex,CHESTER,81,,,
CT0105013,ABBEY OF REGINA LAUDIS,Community water system,Ground water,Litchfield,BETHLEHEM,25,,,
CT0670021,ABBY WATER LLC,Community water system,Ground water,Tolland,HEBRON,100,,,
CT0131001,ACORN ACRES,Community water system,Ground water,New London,-,30,,,
CT1181011,"ACRE LANE, INC.",Community water system,Ground water,Fairfield,RIDGEFIELD,56,,,
CT0480041,ALLSTATE VENTURE CAPITOL CORP,Community water system,Ground water,Tolland,-,60,,,
CT0781081,ANCTIL TRAILER PARK,Community water system,Ground water,Tolland,-,30,,,
CT1690051,ANNHURST COLLEGE,Community water system,Ground water,Windham,-,475,,,
CT1661031,ANTONIO LUCCI,Community water system,Ground water,New Haven,-,30,,,
CT1310031,APPLE VALLEY VILLAGE,Community water system,Ground water,Hartford,SOUTHINGTON,70,,,
CT0721001,APPLEWOOD FARMS,Community water system,Ground water,New London,-,30,,,
CT0347051,"AQUA VISTA ASSOC, INC - LOWER SYSTEM",Community water system,Ground water,Fairfield,DANBURY,128,,,
CT0340111,"AQUA VISTA ASSOC, INC - UPPER SYSTEM",Community water system,Ground water,Fairfield,DANBURY,260,,,
CT0915221,AQUARION WATER CO OF CT - DUNHAM POND,Community water system,Ground water,Fairfield,NEW FAIRFIELD,121,,,
CT1390021,AQUARION WATER CO OF CT - W SERVICE CORP,Community water system,Ground water,Hartford,SUFFIELD,515,,,
CT0819061,AQUARION WATER CO OF CT - WEST SHORE,Community water system,Ground water,New Haven,MIDDLEBURY,100,,,
CT0910011,AQUARION WATER CO OF CT-BALL POND SYS,Community water system,Ground water,Fairfield,NEW FAIRFIELD,792,,,
CT1189171,AQUARION WATER CO OF CT-BARNUM SYSTEM,Community water system,Surface water purchased,Fairfield,RIDGEFIELD,225,,,
CT0790051,AQUARION WATER CO OF CT-BIRCHWOOD ESTATE,Community water system,Ground water,Hartford,MARLBOROUGH,250,,,
CT0180051,AQUARION WATER CO OF CT-BROOK ACRES,Community water system,Ground water,Fairfield,BROOKFIELD,0,,,
CT0189791,AQUARION WATER CO OF CT-BROOKFIELD SYS,Community water system,Ground water,Fairfield,BROOKFIELD,"2,608",,,
CT0180081,AQUARION WATER CO OF CT-CANDLEWOOD ACRES,Community water system,Ground water,Fairfield,BROOKFIELD,80,,,
CT0960101,AQUARION WATER CO OF CT-CARMEN HILL,Community water system,Ground water,Litchfield,NEW MILFORD,464,,,
CT0340131,AQUARION WATER CO OF CT-CEDAR HEIGHTS,Community water system,Ground water,Fairfield,DANBURY,367,,,
CT0970051,AQUARION WATER CO OF CT-CHESTNUT TREE,Community water system,Ground water,Fairfield,NEWTOWN,332,,,
CT0098011,AQUARION WATER CO OF CT-CHIMNEY HEIGHTS,Community water system,Ground water,Fairfield,"BETHEL, DANBURY","2,176",,,
