PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
DE0000840,ANGOLA BEACH ESTS.,Community water system,Ground water,Sussex,LEWES,"1,275",,,
DE0000999,ANGOLA CREST II,Community water system,Ground water,Sussex,LEWES,159,,,
DE0000248,ANGOLA DISTRICT,Community water system,Ground water,Sussex,LEWES,"7,128",,,
DE0000376,APOQUIN FARMS,Community water system,Ground water,New Castle,ODESSA,120,,,
DE0000552,ARTESIAN WATER COMPANY,Community water system,Surface water purchased,New Castle,"BEAR, HOCKESSIN","211,494",,,
DE00A0480,ARTESIANS - BARKERS LANDING,Community water system,Ground water,Kent,MAGNOLIA,50,,,
DE00A0374,ASBURY CHASE,Community water system,Ground water,New Castle,PORT PENN,303,,,
DE0000374,ASBURY CHASE,Community water system,Ground water,New Castle,ODESSA,63,,,
DE0000948,ASPEN MEADOWS,Community water system,Ground water,Sussex,-,150,,,
DE0000010,AU CLAIR SCHOOL,Community water system,Ground water,New Castle,-,40,,,
DE00A0232,AUGUSTINE CREEK,Community water system,Ground water,New Castle,PORT PENN,601,,,
DE0000987,AUTUMN WOODS MOBILE HOME PARK,Community water system,Ground water,Kent,CHESWOLD,75,,,
DE0000885,AVALON WOODS OWNERS ASSOC INC,Community water system,Ground water,Sussex,GEORGETOWN,306,,,
DE0000648,B AND B TRAILER PARK #I,Community water system,Ground water,Sussex,-,90,,,
DE00A0440,BARKERS LANDING,Community water system,Ground water purchased,Kent,MAGNOLIA,498,,,
DE0000627,BAY CITY,Community water system,Ground water,Sussex,LONG NECK,125,,,
DE0000988,BAY COLONY,Community water system,Ground water,Sussex,MILLVILLE,"2,056",,,
DE00A0735,BAY POINTE,Community water system,Ground water,New Castle,-,36,,,
DE0000044,BAY VISTA,Community water system,Ground water,Sussex,-,140,,,
DE0000252,BAYSHORE MOBILE HOME PARK,Community water system,Ground water,Sussex,OCEAN VIEW,"1,608",,,
DE00A0837,BAYSIDE,Community water system,Ground water,Sussex,FENWICK ISLAND,"6,216",,,
DE0000553,BAYVIEW IMPROVEMENT COMPANY,Community water system,Ground water,New Castle,PORT PENN,141,,,
DE00A0425,BAYWOOD GOLF AND RESIDENTIAL COMMUNITY,Community water system,Ground water purchased,Sussex,MILLSBORO,888,,,
DE0000249,BEACHFIELD - TIDEWATER UTILITY,Community water system,Ground water,Sussex,REHOBOTH,232,,,
DE00A0847,BEAVER CREEK,Community water system,Ground water,Sussex,MILTON,750,,,
DE00A0688,BEECHWOOD MOBILE HOME PARK,Community water system,Unknown Primary Source,-,-,0,,,
DE0000221,BETHANY BAY OCEAN VIEW,Community water system,Ground water,Sussex,MILLVILLE,"26,200",,,
DE0000556,BETHANY BEACH WATER DEPARTMENT,Community water system,Ground water,Sussex,BETHANY BEACH,"12,000",,,
DE0000628,BETHANY CREST LLC,Community water system,Ground water,Sussex,MILLVILLE,60,,,
DE0000933,BETHANY MEADOWS,Community water system,Ground water,Sussex,-,"1,533",,,
DE0000865,"BLADES, TOWN OF",Community water system,Ground water,Sussex,SEAFORD,"1,200",,,
DE00A0680,BLUE HERON ESTATES,Community water system,Ground water,Sussex,GEORGETOWN,90,,,
DE0000588,BOWERS MOBILE HOME PARK,Community water system,Ground water,Kent,BOWERS BEACH,35,,,
DE0000160,BOWERSET,Community water system,Ground water,Sussex,MILLVILLE,100,,,
DE0000088,BREAKWATER ESTATES,Community water system,Ground water,Sussex,REHOBOTH,25,,,
DE00A0344,BRIARWOOD,Community water system,Ground water,Sussex,-,180,,,
DE0000438,BRIARWOOD MANOR MHP,Community water system,Ground water,Sussex,LAUREL,296,,,
DE0000949,BRIDGEVILLE DISTRICT,Community water system,Ground water,Sussex,BRIDGEVILLE,"1,425",,,
