PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
FL3480001,15-A MOBILE HOME PARK,Community water system,Ground water,Orange,-,16,,,
FL6084076,1774 WATER COOPERATIVE INC.,Community water system,Ground water,Charlotte,PUNTA GORDA,184,,,
FL2124295,242 VILLAGE SUBDIVISION,Community water system,Ground water,Columbia,LAKE CITY,161,,,
FL6530006,3-H ACRES,Community water system,Ground water,Polk,DAVENPORT,33,,,
FL6530005,3-H ACRES MBL HOME PARK SUBD,Community water system,Ground water,Polk,-,40,,,
FL6292080,42ND STREET APARTMENTS,Community water system,Ground water,Hillsborough,TAMPA,160,,,
FL4474430,46TH AVENUE VILLAS,Community water system,Ground water,Okeechobee,-,50,,,
FL3424631,49TH STREET VILLAGE SUBDIVISION,Community water system,Ground water,Marion,OCALA,250,,,
FL3421583,A ; M (YOUNG) MOBILE HOME PARK,Community water system,Ground water,Marion,BELLEVIEW,120,,,
FL2160006,A ; M TRAILER PARK,Community water system,Ground water,-,ATLANTIC BEACH,35,,,
FL6514377,A ; W MHP,Community water system,Ground water purchased,Pasco,ARIPEKA,143,,,
FL3354872,A. DUDA & SONS CLUSTER HOMES,Community water system,Ground water,Lake,-,65,,,
FL6290565,A.A.M.A. M H P,Community water system,Ground water,Hillsborough,-,26,,,
FL4500006,A.G. HOLLEY STATE HOSPITAL,Community water system,Ground water,Palm Beach,LANTANA,443,,,
FL1034153,ABBOTT RENTALS,Community water system,Unknown Primary Source,-,-,25,,,
FL4434413,ACKEL'S MOBILE HOME PARK,Community water system,Ground water,Martin,-,275,,,
FL4500013,ACME DRAINAGE DIST,Community water system,Ground water,Palm Beach,-,"1,000",,,
FL4060015,ACME MOBILE HOME PARK,Community water system,Ground water,Broward,-,32,,,
FL6294331,ACORN VILLAGE,Community water system,Ground water,Hillsborough,-,60,,,
FL1230004,ADDISON TRAILER COURT,Community water system,Ground water,Gulf,WEWAHITCHKA,30,,,
FL2610012,ADVENT CHRISTIAN VILLAGE,Community water system,Ground water,Suwannee,DOWLING PARK,784,,,
FL4130018,AEROJET GENERAL CORP,Community water system,Ground water,-,-,10,,,
FL3350014,AFRICA INLAND MISSION (MEDIA),Community water system,Ground water,Lake,-,55,,,
FL2160013,AIR BASE TRAILER PARK,Community water system,Ground water,Duval,JACKSONVILLE,88,,,
FL5260005,AIR GLADES AIR PARK INC,Community water system,Ground water,Hendry,-,150,,,
FL3494005,AIRPORT ROAD DEVELOPMENT CORP,Community water system,Ground water,Osceola,-,890,,,
FL4500021,AKERS AWAY MOBILE HOME PARK,Community water system,Ground water,Palm Beach,-,300,,,
