PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
GA1750115,257 TRUCK PLAZA,Community water system,Ground water,Laurens,DUBLIN,31,,,
GA0310018,301 TRAILER PARK,Community water system,Ground water,Bulloch,-,45,,,
GA1690014,4 C'S TRAILER PARK,Community water system,Ground water,Jones,-,48,,,
GA0330038,A & A MOBILE HOME PARK,Community water system,Ground water,Burke,-,125,,,
GA2610011,A B C MOBILE HOME PARK,Community water system,Ground water,Sumter,-,81,,,
GA1830006,AARON MOBILE HOME PARK,Community water system,Ground water,Long,-,112,,,
GA3150000,ABBEVILLE,Community water system,Ground water,Wilcox,-,"3,002",,,
GA2770004,ABRAHAM BALDWIN AGRI. COLLEGE,Community water system,Ground water,Tift,TIFTON,"4,000",,,
GA1850009,ACADEMY ACRES SUBDIVISION,Community water system,Ground water,Lowndes,VALDOSTA,328,,,
GA1450036,ACRES OF SHADE MOBILE HOME PK,Community water system,Unknown Primary Source,-,-,55,,,
GA0670000,ACWORTH WATER SYSTEM,Community water system,Surface water purchased,Cobb,-,"7,700",,,
GA0150000,ADAIRSVILLE,Community water system,Groundwater under influence of surface water,Bartow,ADAIRSVILLE,"3,600",,,
GA0710071,ADDERTON TRAILER PARK,Community water system,Ground water,Colquitt,-,29,,,
GA0750000,ADEL,Community water system,Ground water,Cook,ADEL,"5,311",,,
GA1070000,ADRIAN,Community water system,Ground water,Emanuel,ADRIAN,664,,,
GA2230006,AIKEN TRAILER PARK,Community water system,Ground water,Paulding,-,27,,,
GA2090000,AILEY,Community water system,Ground water,Montgomery,AILEY,530,,,
GA0210017,AIRPORT MANAGER,Community water system,Ground water,Banks,MACON GEORGIA,"2,000",,,
GA3090000,ALAMO,Community water system,Ground water,Wheeler,ALAMO,"3,653",,,
GA0190000,ALAPAHA,Community water system,Ground water,Berrien,ALAPAHA,642,,,
GA0950000,ALBANY,Community water system,Groundwater under influence of surface water,Dougherty,ALBANY,"87,029",,,
GA0950016,ALBANY GA 31701,Community water system,Ground water,Catoosa,AMOS MCFARLAND,36,,,
GA0950043,ALBANY GA 31705,Community water system,Ground water,Rockdale,E H MINIX,25,,,
GA0950007,ALBANY GA 31707,Community water system,Ground water,Catoosa,-,500,,,
GA3210036,"ALBANY, GA. 31701",Community water system,Ground water,Worth,WORTH COUNTY,50,,,
GA0950015,"ALBANY, GA. 31705",Community water system,Ground water,Catoosa,-,40,,,
GA0950032,"ALBANY, GA. 31705",Community water system,Ground water,Catoosa,-,90,,,
GA2170034,ALCOVY MOBILE HOME PARK,Community water system,Ground water,Newton,COVINGTON,120,,,
GA1590004,ALCOVY SHORES WATER AUTHORITY,Community water system,Surface water purchased,Jasper,-,715,,,
GA0310270,ALEXANDER FARMS SUBDIVISION,Community water system,Ground water,Bulloch,-,26,,,
GA2370088,ALEXANDER LAKES SUBDIVISION,Community water system,Ground water,Putnam,-,153,,,
GA0150035,ALLATOONA MOBILE HOME PARK,Community water system,Ground water,Bartow,-,184,,,
GA3190000,ALLENTOWN,Community water system,Ground water,Wilkinson,-,175,,,
GA0050000,ALMA,Community water system,Ground water,Bacon,ALMA,"4,700",,,
GA1210000,ALPHARETTA,Community water system,Surface water purchased,Fulton,ALPHARETTA,"11,700",,,
GA3110075,ALPINE TERRACE/PRIMROSE SUBDIVISION,Community water system,Ground water,White,-,88,,,
GA1790127,ALSENNIA`S TRAILER PARK,Community water system,Ground water,Liberty,HINESVILLE,16,,,
GA2090001,ALSTON,Community water system,Ground water,Montgomery,ALSTON,160,,,
GA3050086,ALTAMAHA ACRES,Community water system,Ground water,Wayne,-,192,,,
GA0010016,ALTAMAHA MOBILE HOME PARK,Community water system,Ground water,Appling,BAXLEY,23,,,
GA1270141,ALTAMAHA MOBILE HOME VILLAGE,Community water system,Ground water,Glynn,BRUNSWICK,125,,,
GA1370000,ALTO,Community water system,Ground water,Habersham,ALTO,"2,500",,,
GA1990019,"ALVATON, GA. 30202",Community water system,Ground water,Ware,ALVATON GEORGIA,70,,,
GA0310208,AMBERWOOD S/D,Community water system,Ground water,Bulloch,STATESBORO,195,,,
GA0690000,AMBROSE,Community water system,Ground water,Coffee,AMBROSE,380,,,
GA2610000,AMERICUS,Community water system,Ground water,Sumter,-,"16,255",,,
GA0290072,ANDERSON S/D,Community water system,Ground water,Bryan,-,26,,,
GA1830038,ANDERSON VARIETY TRAILER PARK,Community water system,Ground water,Long,LUDOWICI,3,,,
GA2610001,ANDERSONVILLE,Community water system,Ground water,Sumter,ANDERSONVILLE,400,,,
GA1510008,ANSLEY PARK,Community water system,Ground water,Henry,-,26,,,
GA2110011,APPALACHEE WOODS SUBDIVISION,Community water system,Ground water,Morgan,-,289,,,
GA1950045,APPLE ACRES-KINGSTON-GATEWOOD,Community water system,Ground water,Madison,-,294,,,
GA2170091,APPLEBLOSSOM MOBILE HOME PARK,Community water system,Ground water,Newton,-,39,,,
GA0810000,ARABI,Community water system,Ground water,Crisp,ARABI,507,,,
GA1570014,ARCADE MOBILE HOME PARK,Community water system,Ground water,Jackson,-,47,,,
GA1790144,ARCADIA SUBDIVISION,Community water system,Ground water,Liberty,-,81,,,
GA1070013,ARCHER-DEALVA PARK,Community water system,Ground water,Emanuel,-,30,,,
GA1070012,ARCHER-LAKE LUCK,Community water system,Ground water,Emanuel,-,100,,,
GA1070020,ARCHER-RANCH PARK,Community water system,Ground water,Emanuel,-,208,,,
GA0650013,ARGYLE,Community water system,Ground water,Clinch,ARGYLE,213,,,
GA0510249,ARGYLE VILLAGE SUBDIVISION,Community water system,Ground water,Chatham,SAVANNAH,57,,,
GA0370000,ARLINGTON,Community water system,Ground water,Calhoun,ARLINGTON,"1,407",,,
GA2610036,ARLINGTON TERRACE MHP,Community water system,Ground water,Sumter,AMERICUS,75,,,
GA2350002,ARNOLDS MOBILE HOME PARK,Community water system,Ground water,Pulaski,-,34,,,
GA2210004,ARNOLDSVILLE,Community water system,Ground water,Oglethorpe,LEXINGTON,"1,040",,,
GA2210057,ARROW WOOD SUBDIVISION,Community water system,Ground water,Oglethorpe,-,65,,,
GA2930009,ARROWHEAD LAKE WATER ASSOC.,Community water system,Ground water,Upson,THOMASTON,260,,,
GA2370075,ARROWHEAD LANDING SUBDIVISION,Community water system,Ground water,Putnam,-,190,,,
GA3050011,ARROWHEAD VILLAGE TRAILER PARK,Community water system,Ground water,Wayne,-,30,,,
GA3110108,ASH MOUNTAIN WATER SYSTEM,Community water system,Ground water,White,-,42,,,
GA2870000,ASHBURN,Community water system,Ground water,Turner,ASHBURN,"4,178",,,
GA2190054,ASHLAND SUBDIVISION,Community water system,Ground water,Oconee,WATKINSVILLE,140,,,
GA1270159,ASHLEY MARSH/MARSH PLANTATION,Community water system,Ground water,Glynn,BRUNSWICK,70,,,
GA1850069,ASHURST SUBDIVISION,Community water system,Ground water,Lowndes,VALDOSTA,281,,,
GA1510014,ASKEW MOBILE HOME PARK,Community water system,Ground water,Henry,STOCKBRIDGE,32,,,
GA0770114,ASPEN WOODS LAKE,Community water system,Ground water,Coweta,-,88,,,
GA2290004,ASPINWALL`S MOBILE HOME PARK,Community water system,Ground water,Pierce,BLACKSHEAR,125,,,
GA0850012,ATHENS BOAT CLUB,Community water system,Ground water,Dawson,DAWSONVILLE,325,,,
GA0590028,ATHENS GA 30601,Community water system,Ground water,Pierce,-,40,,,
GA0590031,ATHENS GA 30601,Community water system,Ground water,Pierce,-,50,,,
GA2190014,"ATHENS, GA. 30601",Community water system,Ground water,Clarke,-,400,,,
GA0590043,"ATHENS, GEORGIA 30601",Community water system,Ground water,Pierce,-,50,,,
GA0590000,ATHENS-CLARKE CO WATER SYSTEM,Community water system,Surface water,Clarke,ATHENS,"120,266",,,
GA1210001,ATLANTA,Community water system,Surface water,"DeKalb, Fulton",ATLANTA,"650,000",,,
GA1210025,ATLANTA GA 30331,Community water system,Ground water,-,-,75,,,
GA1570058,ATLANTA UNION MISSION-POTTER`S HOUSE,Community water system,Ground water,Jackson,-,157,,,
GA0970004,ATLANTA VIEW TRAILER PARK,Community water system,Ground water,Douglas,-,43,,,
GA1350016,"ATLANTA, GA. 30320",Community water system,Ground water,Cobb,-,300,,,
GA1210038,ATLANTA-FULTON COUNTY WATER RESOURCES,Community water system,Surface water,Fulton,ALPHARETTA,0,,,
GA0870000,ATTAPULGUS,Community water system,Ground water,Decatur,ATTAPULGUS,715,,,
GA0130000,AUBURN,Community water system,Surface water purchased,Barrow,AUBURN,"6,904",,,
GA0130011,AUBURN MOBILE HOME PARK,Community water system,Surface water purchased,Barrow,-,125,,,
GA2450006,AUGUSTA YOUTH-DEVEL.-CENTER,Community water system,Ground water,Richmond,AUGUSTA,537,,,
GA2450063,"AUGUSTA, GA. 30906",Community water system,Ground water,Worth,HEPHZIBAH,15,,,
GA2450000,AUGUSTA-RICHMOND CO WS,Community water system,Surface water,Richmond,AUGUSTA,"204,000",,,
GA1030082,AURIGA FARMS,Community water system,Ground water,Effingham,-,585,,,
GA0670001,AUSTELL,Community water system,Surface water purchased,Cobb,AUSTELL,"7,774",,,
GA1630000,AVERA,Community water system,Ground water,Jefferson,AVERA,202,,,
GA0510014,AZALEA MOBILE HOME PLAZA,Community water system,Ground water,Chatham,-,300,,,
GA1030126,AZALEA POINT,Community water system,Ground water,Effingham,-,"1,037",,,
GA0690045,B & B MOBILE HOME PARK #1,Community water system,Ground water,Coffee,DOUGLAS,47,,,
GA0690046,B & B MOBILE HOME PARK #2,Community water system,Ground water,Coffee,DOUGLAS,39,,,
GA0210014,B & C MOBILE HOME PARK,Community water system,Ground water,Bibb,-,169,,,
GA0210004,B & G-GIBSON DRIVE SUBDIVISION,Community water system,Ground water,Bibb,-,75,,,
GA0210024,B & G-GOODALL MILL ESTATES,Community water system,Ground water,Bibb,-,117,,,
GA0210005,B & G-GREEN HILL SUBDIVISION,Community water system,Ground water,Bibb,-,117,,,
GA0210006,B & G-HOOPER HILL S/D #1,Community water system,Ground water,Bibb,-,328,,,
GA0210007,B & G-HOOPER HILL S/D #2,Community water system,Ground water,Bibb,-,187,,,
GA0210008,B & G-JONES ROAD SUBDIVISION,Community water system,Ground water,Bibb,-,63,,,
GA0210076,B & G-MERI-HILL SUBDIVISION,Community water system,Ground water,Bibb,-,94,,,
GA0210022,B & G-THORN HILL SUBDIVISION,Community water system,Ground water,Bibb,-,130,,,
GA0210021,B & G-VON REG SUBDIVISION,Community water system,Ground water,Bibb,-,328,,,
GA2050000,BACONTON,Community water system,Ground water,Mitchell,BACONTON,985,,,
