PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
GU0000009,ANDERSEN AIR FORCE BASE WATER SYSTEM,Community water system,Ground water,Guam,-,"7,700",,,
GU0000016,"EARTH TECH, INC.",Community water system,Ground water,Guam,"DEDEDO, TAMUNING, TUMON",25,,,
GU0000003,GWA CENTRAL WATER SYSTEM,Community water system,Surface water purchased,Guam,"ADELUP, AGANA HEIGHTS, AGAT, ANIGUA, APRA HEIGHTS, ASAN, PIGO, PITI, SANTA RITA","22,000",,,
GU0000006,GWA NORTHERN WATER SYSTEM,Community water system,Ground water,Guam,"ADACAO, ADELUP, AGANA HEIGHTS, ANIGUA, ASAN, DEDEDO, PIGO, TALOFOFO, TAMUNING, TUMON","146,050",,,
GU0000001,GWA SOUTHERN WATER SYSTEM,Community water system,Surface water,Guam,"TALOFOFO, UNATAC","6,036",,,
GU0000005,PUBLIC UTILITY AGENCY OF GUAM,Community water system,Ground water,Guam,ASAN PITI,"2,470",,,
GU0000008,PUBLIC UTILITY AGENCY OF GUAM,Community water system,Ground water,Guam,HARMON,50,,,
GU0000007,PUBLIC UTILITY AGENCY OF GUAM,Community water system,Ground water,Guam,YIGO,"6,100",,,
GU0000004,PUBLIC UTILITY AGENCY OF GUAM,Community water system,Surface water purchased,Guam,SANTA RITA,"3,200",,,
GU0000002,PUBLIC UTILITY AGENCY OF GUAM,Community water system,Ground water,Guam,UMATAC,700,,,
GU0000010,U.S. NAVY WATER SYSTEM,Community water system,Surface water,Guam,"APRA HEIGHTS, GUAM NAVAL FACILITY, GUAM NAVAL MAGAZINE, GUAM NAVAL REGIONAL MEDICAL CE, GUAM NAVAL SHIP REPAIR FACILIT, GUAM NAVAL STATION, GUAM NAVAL SUPPLY DEPOT, NAVAL COMMUNICATIONS AREA MAST, NORTH TIPALAO, SOUTH TIPALAO, SUMAY","12,500",,,
GU0000017,COCO PALM RESORT,Non-Transient non-community system,Ground water purchased,Guam,"DEDEDO, TAMUNING, TUMON",240,,,
GU0000011,COCOS ISLAND WATER SYSTEM,Non-Transient non-community system,Ground water,Guam,MERIZO,115,,,
GU0000012,FOREMOST FOOD WATER SYSTEM,Non-Transient non-community system,Ground water,Guam,"TAMUNING, TUMON",35,,,
GU0000018,GUAM INTERNATIONAL AIRPORT AUTHORITY,Non-Transient non-community system,Ground water,Guam,-,500,,,
GU0000015,GUAM PLAZA HOTEL WATER SYSTEM,Non-Transient non-community system,Ground water,Guam,TUMON,"1,050",,,
GU0000014,STAR SAND PUBLIC WATER SYSTEM 2,Non-Transient non-community system,Ground water,-,-,200,,,
GU0000013,STAR SAND WATER SYSTEM 1,Non-Transient non-community system,Ground water,-,-,450,,,
