PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
HI0000337,ALIAMANU,Community water system,Ground water purchased,Honolulu,SALT LAKE,"6,630",,,
HI0000401,ANAHOLA,Community water system,Ground water,Kauai,ANAHOLA,"2,408",,,
HI0000432,ANAHOLA FARM LOTS,Community water system,Ground water,Kauai,ANAHOLA FARM LOTS (DHO),385,,,
HI0000402,ANINI,Community water system,Ground water purchased,Kauai,HANALEI (DOW),169,,,
HI0000355,BARBERS POINT,Community water system,Ground water,Honolulu,WAIPAHU-EWA-WAIANAE,"5,256",,,
HI0000336,BOARD OF WATER SUPPLY,Community water system,Ground water,Honolulu,PEARL HARBOR,"47,500",,,
HI0000354,CAMP STOVER,Community water system,Ground water purchased,Honolulu,WAHIAWA,595,,,
HI0000121,DAVIES-HAMAKUA SUGAR CO,Community water system,Surface water,Hawaii,KAIAAKEA,25,,,
HI0000142,DAVIES-HAMAKUA SUGAR CO,Community water system,Surface water purchased,-,-,102,,,
HI0000136,DAVIES-HAMAKUA SUGAR CO,Community water system,Surface water,Hawaii,HAINA,200,,,
HI0000118,DAVIES-HAMAKUA SUGAR CO,Community water system,Surface water,-,-,48,,,
HI0000338,DILLINGHAM AIRFIELD,Community water system,Ground water,Honolulu,MOKULEIA,"1,800",,,
HI0000326,DILLINGHAM RANCH,Community water system,Ground water,Honolulu,WAIALUA-HALEIWA,100,,,
HI0000405,DOW KALAHEO TREATMENT PLANT,Community water system,Surface water,Kauai,KALAHEO,370,,,
HI0000322,EWA VILLAGES,Community water system,Ground water,Honolulu,EWA,"1,144",,,
HI0000340,FORT KAMEHAMEHA,Community water system,Ground water,Honolulu,FORT KAM,100,,,
HI0000341,FORT SHAFTER,Community water system,Ground water,Honolulu,-,"7,268",,,
HI0000417,GAY & ROBINSON,Community water system,Ground water,Kauai,KAUMAKANI,"1,271",,,
HI0000416,GAY & ROBINSON,Community water system,Surface water,Kauai,KAAWANUI,186,,,
HI0000152,GERALD KREMKOW,Community water system,Ground water,Honolulu,WAIKII RANCH,25,,,
HI0000415,HAENA-WAINIHA,Community water system,Ground water,Kauai,HAENA-WAINIHA,811,,,
HI0000161,HAINA,Community water system,Ground water,Hawaii,HAINA,"4,487",,,
HI0000123,HAKALAU,Community water system,Ground water,Hawaii,-,45,,,
HI0000154,HAKALAU-WAILEA,Community water system,Ground water,Hawaii,HAKALAU-WAILEA,397,,,
HI0000128,HALAULA,Community water system,Ground water,Hawaii,HALAULA,606,,,
HI0000222,HALEAKALA NATIONAL PARK,Community water system,Ground water,Maui,KULA,"1,200",,,
HI0000217,HANA,Community water system,Ground water,Maui,HANA,"1,284",,,
HI0000243,HANA WATER SYSTEMS - NORTH,Community water system,Ground water,Maui,KAELEKU AG PARK HANA,160,,,
HI0000201,HANA WATER SYSTEMS - SOUTH,Community water system,Ground water,Maui,KEOLA HANA-HOTEL DHO,816,,,
HI0000403,HANALEI,Community water system,Ground water,Kauai,HANALEI (DOW),487,,,
HI0000404,HANAPEPE-ELEELE,Community water system,Ground water,Kauai,HANAPEPE-ELEELE (DOW),"5,445",,,
HI0000317,HAWAII STATE HOSPITAL,Community water system,Ground water,Honolulu,KANEOHE,"3,000",,,
HI0000146,HAWAII VOLCANOES NAT.PARK,Community water system,Ground water,Hawaii,HVNP (DHO),"5,205",,,
HI0000117,HAWAIIAN BEACHES,Community water system,Ground water,Hawaii,HAWAIIAN SHORES DHO,"3,430",,,
HI0000206,HAWAIIAN COMMERCIAL & SUGAR CO,Community water system,Surface water,-,-,312,,,
HI0000207,HAWAIIAN COMMERCIAL & SUGAR CO,Community water system,Surface water,-,-,114,,,
HI0000169,HAWAIIAN OCEAN VIEW ESTATES,Community water system,Ground water,Hawaii,KONA,"1,000",,,
HI0000156,HAWAIIAN SHORES,Community water system,Ground water,Hawaii,HAWAIIAN SHORES DHO,"1,310",,,
HI0000350,HICKAM,Community water system,Ground water purchased,-,HICKAM AIR BASE,"12,853",,,
HI0000101,HILO,Community water system,Ground water,Hawaii,HILO,"38,885",,,
HI0000331,HNL-WINDWARD-PEARL HARBOR,Community water system,Ground water,Honolulu,HONOLULU-WINDWARD-PEARLHARBOR,"630,266",,,
HI0000218,HONOKOHAU,Community water system,Ground water purchased,Maui,LAHAINA,42,,,
HI0000105,HONOMU,Community water system,Ground water,Hawaii,HONOMU,651,,,
HI0000230,HOOLEHUA,Community water system,Ground water,Maui,HOOLEHUA,"2,400",,,
HI0000360,JOINT BASE PEARL HARBOR-HICKAM,Community water system,Ground water,Honolulu,PEARL HARBOR,"65,230",,,
HI0000205,KAANAPALI,Community water system,Ground water,Maui,KAANAPALI (DHO),"8,000",,,
HI0000249,KAHAKULOA WATER CO.,Community water system,Ground water,Maui,KAHAKULOA HOMESTEAD,150,,,
HI0000327,KAHANA VALLEY STATE PARK,Community water system,Ground water,Honolulu,KAHANA,42,,,
HI0000365,KAHUKU,Community water system,Ground water,Honolulu,KAHUKU,"2,757",,,
HI0000315,KAHUKU AIR BASE,Community water system,Ground water,Honolulu,KAHUKU AIR BASE,75,,,
HI0000318,KAHUKU HOUSING CORPORATION,Community water system,Ground water,Honolulu,-,"1,000",,,
HI0000203,KAILUA,Community water system,Ground water,Maui,KAILUA MAUI,90,,,
HI0000235,KALAE,Community water system,Ground water purchased,Maui,MAKENA,360,,,
HI0000434,KALAHEO-KOLOA,Community water system,Ground water,Kauai,KALAHEO,"12,327",,,
HI0000110,KALAPANA,Community water system,Ground water,Hawaii,KALAPANA (DWS),265,,,
HI0000239,KALAUPAPA NHP,Community water system,Ground water,Maui,KALAUPAPA,110,,,
HI0000236,KALUAKOI,Community water system,Ground water,Maui,-,700,,,
HI0000319,KAMEHAMEHA SCHOOLS,Community water system,Ground water,Honolulu,KAPALAMA,"4,000",,,
HI0000204,KAPALUA,Community water system,Ground water,Maui,KAPALUA (DHO),"4,200",,,
HI0000120,KAPEHU,Community water system,Ground water,-,-,128,,,
HI0000155,KAPOHO,Community water system,Ground water purchased,Hawaii,KAPOHO (DWS),340,,,
HI0000210,KAUAULA,Community water system,Surface water,Maui,"HANA, WAINEE VILLAGE",120,,,
HI0000234,KAUNAKAKAI,Community water system,Ground water,Maui,KAUNAKAKAI,"3,702",,,
HI0000163,KAUPULEHU,Community water system,Ground water,Hawaii,KONA,"1,945",,,
HI0000164,KAWAIHAE UNIT #1,Community water system,Ground water purchased,Hawaii,KAWAIHAE,193,,,
HI0000248,KAWELA PLANTATION,Community water system,Ground water,Maui,KAWELA,553,,,
HI0000423,KEALIA,Community water system,Ground water,Kauai,KEALIA (DHO),260,,,
HI0000219,KEANAE,Community water system,Ground water,Maui,KEANAE (DWS),270,,,
HI0000418,KEKAHA DIST,Community water system,Ground water,Kauai,KEKAHA,500,,,
HI0000406,KEKAHA-WAIMEA,Community water system,Ground water,Kauai,KEKAHA (DOW),"5,840",,,
HI0000168,KEOPU WATER ASSOCIATION,Community water system,Ground water purchased,Hawaii,KONA,250,,,
HI0000407,KILAUEA,Community water system,Ground water,Kauai,KILAUEA (DOW),"3,330",,,
HI0000435,KILAUEA INDUSTRIAL SUBDIV,Community water system,Unknown Primary Source,-,-,230,,,
HI0000202,KIPAHULU WAI HUI,Community water system,Surface water,Maui,-,55,,,
HI0000328,KIPAPA ACRES C.P.R.,Community water system,Ground water,Honolulu,-,43,,,
HI0000245,KIPU,Community water system,Ground water purchased,Maui,HALEAKALA,80,,,
HI0000151,KOHALA RANCH WATER CO.,Community water system,Ground water,Hawaii,KOHALA JOINT VENTURE,850,,,
HI0000421,KOLOA GROVE FARM CO.,Community water system,Ground water,Kauai,KOLOA-POIPU,40,,,
HI0000408,KOLOA-POIPU,Community water system,Ground water,-,KOLOA-POIPU,0,,,
HI0000165,KONA WATER SERVICE COMPANY,Community water system,Ground water,Hawaii,KONA,260,,,
HI0000229,KUALAPUU,Community water system,Ground water,Maui,KUALAPUU,500,,,
HI0000133,KUKUIHAELE,Community water system,Surface water purchased,Hawaii,KUKUIHAELE,443,,,
HI0000253,KULA MEADOWS,Community water system,Unknown Primary Source,-,-,0,,,
HI0000255,KULA NANI,Community water system,Surface water purchased,Maui,KULA,80,,,
HI0000153,KULANI CORRECTIONAL FACILITY,Community water system,Ground water,Hawaii,SOUTH KOHALA,250,,,
HI0000303,KUNIA VILLAGE,Community water system,Ground water,Honolulu,WAHIAWA,650,,,
HI0000214,LAHAINA,Community water system,Surface water,Maui,LAHAINA,"20,065",,,
HI0000325,LAIE WATER COMPANY,Community water system,Ground water,Honolulu,LAIE,"5,577",,,
HI0000160,LALAMILO,Community water system,Ground water,Hawaii,LALAMILO,"1,868",,,
HI0000237,LANAI CITY,Community water system,Ground water,Maui,LANAI,"3,200",,,
HI0000102,LAUPAHOEHOE-KAPEHU,Community water system,Ground water,Hawaii,LAUPAHOEHOE,"1,164",,,
HI0000409,LAWAI-OMAO,Community water system,Ground water,-,LAWAI-OMAO,0,,,
HI0000400,LIHUE-KAPAA,Community water system,Surface water,Kauai,LIHUE-KAPAA,"33,938",,,
HI0000247,LOWER KULA,Community water system,Surface water,Maui,KULA,"3,522",,,
HI0000251,MAHANALUA NUI SUBDIVISON,Community water system,Ground water,Maui,MAHANALUA NUI,606,,,
HI0000363,MAKAHA VALLEY,Community water system,Ground water,Honolulu,-,300,,,
HI0000213,MAKAWAO,Community water system,Surface water,Maui,MAKAWAO,"29,868",,,
HI0000316,MALAEKAHANA,Community water system,Ground water,Honolulu,"KAKUKU, MALAEKAHANA",100,,,
HI0000356,MARINE CORPS BASE HAWAII,Community water system,Ground water purchased,Honolulu,KANEOHE,"16,300",,,
HI0000308,MASS TRANSIT LINES,Community water system,Ground water,Honolulu,-,400,,,
HI0000159,MATSUMOTO,Community water system,Ground water purchased,Hawaii,KONA,502,,,
HI0000256,MAUI HIGHLANDS,Community water system,Ground water,Maui,KIHEI,26,,,
HI0000124,MAUNA KEA SUGAR,Community water system,Ground water,Hawaii,WAILEA,83,,,
HI0000231,MAUNALOA-KALUAKOI,Community water system,Surface water,Maui,"MAUNALOA, MOLOKAI","1,000",,,
HI0000208,MAUNAOLU,Community water system,Surface water,-,-,65,,,
HI0000254,MAUNAOLU PLANTATION,Community water system,Ground water,Maui,HAIKU,100,,,
HI0000367,MILILANI,Community water system,Ground water,Honolulu,MILILANI BWS,"50,420",,,
HI0000313,MOKULEIA ASSOCIATES,Community water system,Ground water,Honolulu,-,150,,,
