PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
IA6500620,34 TRAILER COURT,Community water system,Ground water,Mills,-,125,,,
IA3126342,AADC,Community water system,Ground water,Dubuque,DUBUQUE,"2,057",,,
IA3102303,"AADC (JE-TAC, INC.)",Community water system,Ground water,Dubuque,ASBURY,150,,,
IA3100872,AADC (MAPLE HILLS WATER CORPORATION),Community water system,Ground water,Dubuque,ASBURY,260,,,
IA5131301,ABUNDANCE ECOVILLAGE,Community water system,Surface water,Greene,JEFFERSON,25,,,
IA3100629,ACE MOBILE HOME PARK,Community water system,Ground water,Dubuque,DUBUQUE,60,,,
IA4201001,ACKLEY MUNICIPAL WATER WORKS,Community water system,Ground water,Hardin,ACKLEY,"1,589",,,
IA9103001,ACKWORTH,Community water system,Surface water purchased,Warren,ACKWORTH,83,,,
IA0105002,ADAIR MUNICIPAL WATER SUPPLY,Community water system,Ground water,Adair,ADAIR,781,,,
IA0200900,ADAMS CO HOME,Community water system,Ground water,Adams,-,40,,,
IA2503003,ADEL MUNICIPAL WATER WORKS,Community water system,Ground water,Dallas,ADEL,"3,690",,,
IA8803005,AFTON WATER SYSTEM,Community water system,Surface water,Union,-,917,,,
IA9003006,AGENCY WATER WORKS,Community water system,Surface water purchased,Wapello,AGENCY,638,,,
IA9203007,AINSWORTH WATER WORKS,Community water system,Ground water,Washington,AINSWORTH,567,,,
IA7509008,"AKRON, CITY OF",Community water system,Ground water,Plymouth,AKRON,"1,486",,,
IA1103009,ALBERT CITY MUNI WATER SUPPLY,Community water system,Ground water,Buena Vista,ALBERT CITY,711,,,
IA6803010,ALBIA MUNICIPAL WATER WORKS,Community water system,Surface water purchased,Monroe,ALBIA,"3,766",,,
IA6403011,ALBION WATER DEPARTMENT,Community water system,Ground water,Marshall,ALBION,505,,,
IA5704012,ALBURNETT WATER SUPPLY,Community water system,Ground water,Linn,ALBURNETT,673,,,
IA4213013,ALDEN WATER SUPPLY,Community water system,Ground water,Hardin,ALDEN,787,,,
IA3503014,ALEXANDER WATER DEPT,Community water system,Ground water,Franklin,ALEXANDER,175,,,
IA5502015,ALGONA MUNICIPAL UTILITIES,Community water system,Ground water,Kossuth,ALGONA,"5,560",,,
IA7705022,ALLEMAN WATER SUPPLY,Community water system,Ground water,Polk,ALLEMAN,439,,,
IA7705023,ALLEMAN WATER SUPPLY #1 NORTH,Community water system,Ground water,Polk,-,180,,,
IA0345639,ALLENSTEINS LOTS,Community water system,Ground water,Allamakee,-,40,,,
IA9303024,ALLERTON WATER WORKS,Community water system,Surface water purchased,Wayne,ALLERTON,501,,,
IA1203026,ALLISON WATER SUPPLY,Community water system,Ground water,Butler,ALLISON,"1,029",,,
IA1108025,ALTA MUNICIPAL WATER PLANT,Community water system,Ground water,Buena Vista,ALTA,"1,960",,,
IA8503303,ALTA VISTA HOMEOWNERS ASSOCIATION,Community water system,Ground water,Story,AMES,39,,,
IA1903027,ALTA VISTA WATER DEPARTMENT,Community water system,Ground water,Chickasaw,ALTA VISTA,266,,,
IA5260301,ALTANNA CORPORATION,Community water system,Ground water,Johnson,-,316,,,
IA7800600,ALTO MOBILE HOME PARK,Community water system,Ground water,Pottawattamie,-,650,,,
IA8403029,ALTON MUNICIPAL WATER DEPARTMENT,Community water system,Ground water purchased,Sioux,ALTON,"1,246",,,
IA7707030,ALTOONA WATER SUPPLY,Community water system,Ground water,Polk,ALTOONA,"14,541",,,
IA6003032,ALVORD MUNICIPAL WATER SUPPLY,Community water system,Ground water purchased,Lyon,ALVORD,196,,,
IA4848201,AMANA COLONIES GOLF COURSE & HOUS(INACT),Community water system,Ground water,Iowa,-,230,,,
IA4802201,AMANA GOLF CLUB & CONDOMINIUM,Community water system,Ground water,Iowa,AMANA,70,,,
IA4802033,AMANA WATER SUPPLY,Community water system,Ground water,Iowa,AMANA,452,,,
IA5303038,AMBER WATER SUPPLY,Community water system,Ground water,Jones,AMBER,60,,,
IA0800601,AMES MOBILE HOME PARK,Community water system,Purchased ground water under influence of surface water source,Story,AMES,160,,,
IA8503039,AMES WATER TREATMENT PLANT,Community water system,Ground water,Story,AMES,"50,029",,,
IA5307048,ANAMOSA MUNICIPAL WATER SUPPLY,Community water system,Ground water,Jones,ANAMOSA,"4,283",,,
IA5300947,ANAMOSA STATE  PENITENTIARY,Community water system,Ground water,Jones,ANAMOSA,"1,725",,,
IA2307001,ANDOVER WATER SUPPLY,Community water system,Ground water,Clinton,ANDOVER,103,,,
IA4900901,ANDREW JACKSON CARE,Community water system,Ground water,Jackson,ANDREW,40,,,
IA4903050,ANDREW WATER SUPPLY,Community water system,Ground water,Jackson,ANDREW,434,,,
IA1503053,ANITA MUNICIPAL UTILITIES,Community water system,Ground water,Cass,ANITA,972,,,
IA7709053,"ANKENY, CITY OF",Community water system,Surface water purchased,Polk,ANKENY,"54,598",,,
IA9704060,ANTHON MUNICIPAL WATER SYSTEM,Community water system,Ground water,Woodbury,ANTHON,565,,,
IA0400302,ANTLER ACRES MOBILE HOME PARK,Community water system,Surface water purchased,Appanoose,-,60,,,
IA1207061,APLINGTON WATER SUPPLY,Community water system,Ground water,Butler,APLINGTON,"1,138",,,
IA1403062,ARCADIA WATER SUPPLY,Community water system,Ground water purchased,Carroll,ARCADIA,484,,,
IA8222316,ARCHERS SUBDIVISION,Community water system,Ground water,Scott,-,60,,,
IA5603701,ARGYLE RURAL WATER DISTRICT,Community water system,Ground water,Lee,ARGYLE,175,,,
IA2402063,ARION WATER SUPPLY,Community water system,Ground water,Crawford,ARION,136,,,
IA8809001,ARISPE WATER SUPPLY,Community water system,Ground water purchased,Union,-,89,,,
IA3307065,ARLINGTON WATER SUPPLY,Community water system,Ground water,Fayette,ARLINGTON,429,,,
IA3203066,ARMSTRONG WATER SUPPLY,Community water system,Ground water,Emmet,ARMSTRONG,943,,,
IA3003067,ARNOLDS PARK WATER DEPARTMENT,Community water system,Surface water purchased,Dickinson,ARNOLDS PARK,"1,128",,,
IA4703068,ARTHUR MUNICIPAL WATER SUPPLY,Community water system,Ground water purchased,Ida,ARTHUR,207,,,
IA3102001,ASBURY MUNICIPAL WATER SYSTEM,Community water system,Ground water,Dubuque,ASBURY,"4,545",,,
IA7209069,ASHTON MUNICIPAL WATER DEPARTMENT,Community water system,Ground water purchased,Osceola,ASHTON,468,,,
IA2406070,ASPINWALL WATER SUPPLY,Community water system,Ground water purchased,Crawford,ASPINWALL,40,,,
IA7009071,ATALISSA MUNICIPAL WATER SUPPLY,Community water system,Ground water,Muscatine,ATALISSA,311,,,
IA0603072,ATKINS MUNICIPAL WATER WORKS,Community water system,Ground water,Benton,ATKINS,"1,670",,,
IA1509074,ATLANTIC MUNICIPAL UTILITIES,Community water system,Ground water,Cass,ATLANTIC,"7,232",,,
IA5221301,ATRIUM VILLAGE RETIREMENT,Community water system,Ground water,Johnson,HILLS,75,,,
IA8104076,AUBURN WATER SUPPLY,Community water system,Ground water,Sac,AUBURN,322,,,
IA2242367,AUDITOR PLATT #6,Community water system,Ground water,Clayton,-,31,,,
IA0505077,AUDUBON WATER SUPPLY,Community water system,Ground water,Audubon,AUDUBON,"2,301",,,
IA1803079,AURELIA WATER SUPPLY,Community water system,Ground water,Cherokee,AURELIA,"1,036",,,
IA7709601,AUTUMN RIDGE ESTATES MHP,Community water system,Surface water purchased,Polk,ANKENY,"1,032",,,
IA7803080,AVOCA WATER WORKS,Community water system,Ground water purchased,Pottawattamie,AVOCA,"1,506",,,
IA7403081,AYRSHIRE WATER WORKS,Community water system,Ground water,Palo Alto,AYRSHIRE,149,,,
IA5343301,BACON ADDITION,Community water system,Ground water,Jones,MONTICELLO,81,,,
IA9405082,BADGER WATER SUPPLY,Community water system,Ground water,Webster,BADGER,561,,,
IA3902083,BAGLEY WATER SUPPLY,Community water system,Ground water,Guthrie,BAGLEY,303,,,
IA3102302,BAHL WATER CORPORATION #5,Community water system,Ground water,Dubuque,ASBURY,63,,,
IA4907084,BALDWIN WATER SUPPLY,Community water system,Ground water,Jackson,BALDWIN,109,,,
IA3183346,BALLTOWN HOUSING DEVELOPMENT,Community water system,Ground water,Dubuque,-,73,,,
IA5507085,BANCROFT WATER SUPPLY,Community water system,Ground water,Kossuth,BANCROFT,735,,,
IA2561601,BAR JAC MOBILE HOME PARK,Community water system,Ground water purchased,Dallas,PERRY,270,,,
IA7905088,BARNES CITY WATER SUPPLY,Community water system,Ground water purchased,Poweshiek,BARNES CITY,176,,,
IA9408087,BARNUM WATER SUPPLY,Community water system,Ground water,Webster,BARNUM,193,,,
IA3126301,BARRINGTON LAKES WATER SYSTEM,Community water system,Ground water,Dubuque,DUBUQUE,333,,,
IA5107089,BATAVIA WATER WORKS,Community water system,Surface water purchased,Jefferson,BATAVIA,499,,,
IA4709090,BATTLE CREEK WATER SUPPLY,Community water system,Ground water,Ida,BATTLE CREEK,717,,,
IA3383301,BAUMLER'S COUNTRY CLUB ESTATES,Community water system,Ground water,Fayette,WEST UNION,25,,,
IA5003091,BAXTER WATER SUPPLY,Community water system,Ground water,Jasper,BAXTER,"1,101",,,
