PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
ID3730401,1ST FEDERAL SAVINGS & LOAN,Community water system,Ground water,Bannock,-,25,,,
ID4200012,3 QUARTER CIRCLE Y,Community water system,Ground water,Elmore,-,60,,,
ID7100201,3D WATER ASSOCIATION,Community water system,Ground water,Bonneville,-,539,,,
ID1280336,4 S RANCH,Community water system,Ground water,Kootenai,-,23,,,
ID2401810,44 TRAILER CT,Community water system,Ground water,Ada,-,75,,,
ID4010001,A A A MOBILE PARK,Community water system,Ground water,Ada,-,100,,,
ID6060001,ABERDEEN CITY OF,Community water system,Ground water,Bingham,-,"1,994",,,
ID7300002,ADAMS SUBD WATER COMPANY,Community water system,Ground water,Lemhi,-,28,,,
ID2180001,AHSAHKA WATER AND SEWER DIST,Community water system,Surface water,Clearwater,-,85,,,
ID5160001,ALBION CITY OF,Community water system,Ground water,Cassia,-,310,,,
ID2408310,ALEX GORDON,Community water system,Surface water,Ada,LOWMAN,165,,,
ID1090001,ALGOMA ADDITION SUBD,Community water system,Ground water,Bonner,-,75,,,
ID7300003,ALPINE MEADOWS SUBD,Community water system,Ground water,Lemhi,-,35,,,
ID1280002,ALPINE MEADOWS WATER AND SEWER DIST,Community water system,Ground water,Kootenai,-,300,,,
ID3140081,ALPINE MOBILE HOME PARK,Community water system,Ground water,Canyon,-,15,,,
ID1090002,ALPINE PARK,Community water system,Ground water,Bonner,-,0,,,
ID6390001,AMERICAN FALLS CITY OF,Community water system,Ground water,Power,-,"4,225",,,
ID4080001,AMERICANA TERRACE,Community water system,Ground water,Boise,-,20,,,
ID7100004,AMMON CITY OF,Community water system,Ground water,Bonneville,-,"14,019",,,
ID4010005,ANDERSON CIRCLE WATER CORP,Community water system,Ground water,Ada,-,50,,,
ID4200004,ANDERSON RANCH BLUFFS,Community water system,Ground water,Elmore,-,25,,,
ID3733022,"ANDERSON, KENNETH SUBD",Community water system,Ground water,Madison,-,25,,,
ID3722050,ANDREW'S CABIN,Community water system,Ground water,Fremont,-,30,,,
ID7190001,ANTELOPE CREEK LIVING CENTER,Community water system,Ground water,Custer,-,26,,,
ID3140004,APACHE HEIGHTS SUBD,Community water system,Ground water,Canyon,-,25,,,
ID3140005,APACHE HEIGHTS SUBDIVISION (2),Community water system,Ground water,Canyon,-,110,,,
ID2290024,APEX LIVING COMMUNITY,Community water system,Ground water,Latah,-,100,,,
ID2290036,APPALOOSA COURT,Community water system,Ground water,Latah,-,129,,,
ID3140006,APPLE VALLEY E AND C WATER CORP,Community water system,Ground water,Canyon,-,25,,,
ID1280003,AQUA TERRACE,Community water system,Ground water purchased,Kootenai,-,236,,,
ID6120001,ARCO  CITY OF,Community water system,Ground water,Butte,-,"1,080",,,
ID6030002,ARIMO CITY OF,Community water system,Ground water,Bannock,-,979,,,
ID1280238,ARMSTRONG PARK,Community water system,Ground water purchased,Kootenai,-,0,,,
ID1280252,ARROW POINT PARK,Community water system,Surface water purchased,Kootenai,-,275,,,
ID4010247,ARROWROCK RANCH,Community water system,Ground water,Ada,-,200,,,
ID1280112,ARUNDEL BY THE RIVER A MOBILE HOME COMM,Community water system,Groundwater under influence of surface water,Kootenai,-,160,,,
ID1280273,ASHLEY ESTATES WATER ASSN,Community water system,Ground water,Kootenai,-,38,,,
ID7220004,ASHTON CITY OF,Community water system,Ground water,Fremont,-,"1,129",,,
ID4010089,ASPEN APARTMENTS,Community water system,Ground water,Ada,-,0,,,
ID6040042,ASPEN CREEK WATER COMPANY,Community water system,Ground water,Bear Lake,-,50,,,
ID5070001,ASPEN HOLLOW HOMEOWNERS ASSOC,Community water system,Ground water,Blaine,-,75,,,
ID4010145,ASSOCIATED MINI STORAGE,Community water system,Ground water,Ada,-,150,,,
ID1280006,ATHOL CITY OF,Community water system,Ground water,Kootenai,-,735,,,
ID4200005,ATLANTA WATER ASSN,Community water system,Surface water,Elmore,-,91,,,
ID1280005,ATLAS ACRES,Community water system,Ground water,Kootenai,-,69,,,
ID4010007,ATLASTA TRAILER COURT,Community water system,Ground water,Ada,-,250,,,
ID6060003,ATOMIC CITY,Community water system,Ground water,Bingham,-,27,,,
ID3140007,AURORA SUBD,Community water system,Ground water,Canyon,-,30,,,
ID7100013,AUTUMN COVE MOBILE HOME COURT,Community water system,Ground water,Bonneville,-,42,,,
ID1400004,AVERY WATER AND SEWER DIST,Community water system,Ground water,Shoshone,-,100,,,
ID1280008,AVONDALE IRRIGATION DIST,Community water system,Ground water,Kootenai,-,"4,175",,,
ID6150001,BAILEY CREEK PROPERTY OWNERS ASSN,Community water system,Ground water,Caribou,-,250,,,
ID1090004,BALDY RIDGE ESTATES,Community water system,Ground water,Bonner,-,42,,,
ID5420068,BANBURY PIPELINE COMPANY,Community water system,Surface water,Twin Falls,-,75,,,
ID6150002,BANCROFT CITY OF,Community water system,Ground water,Caribou,-,350,,,
ID6210001,BANIDA WINDER WATER AND SEWER DIST,Community water system,Ground water,Franklin,-,180,,,
ID1280010,BAR CIRCLE S RANCH,Community water system,Ground water,Kootenai,-,345,,,
ID4010010,BARBER WATER CORP,Community water system,Ground water,Ada,BOISE,700,,,
ID3140008,BARTLETT HILLS SUBD,Community water system,Ground water,Canyon,-,75,,,
ID6060004,BASALT CITY OF,Community water system,Ground water,Bingham,-,425,,,
ID5070002,BAVARIAN VILLAGE,Community water system,Ground water,Blaine,-,60,,,
ID1280014,BAYVIEW WATER AND SEWER DIST,Community water system,Ground water,Kootenai,-,"1,062",,,
ID1090231,BEAR CLAW SUBD,Community water system,Ground water,Bonner,-,37,,,
ID7260002,BEAR ISLAND WATER ASSN,Community water system,Ground water,Jefferson,-,100,,,
ID6040005,BEAR LAKE WEST,Community water system,Ground water,Bear Lake,-,"1,000",,,
ID6040044,BEAR LAKE WEST POA,Community water system,Ground water,Bear Lake,-,31,,,
ID2250002,BEAVER HILL WATER AND PARK ASSN INC,Community water system,Ground water,Idaho,-,25,,,
ID1110001,BEE LINE WATER ASSN INC,Community water system,Surface water,Boundary,-,414,,,
ID2290002,BEL AIR MOBILE HOME PARK,Community water system,Ground water,Latah,-,125,,,
ID3140009,BELLE AIRE ACRES 2,Community water system,Ground water,Canyon,-,350,,,
ID5070004,BELLEVUE CITY OF,Community water system,Ground water,Blaine,-,"2,287",,,
ID4010252,BELMONT HEIGHTS,Community water system,Ground water,Ada,-,190,,,
ID6040006,BENNINGTON WATER SYSTEM,Community water system,Ground water,Bear Lake,-,250,,,
ID2290058,BENSONS MOBILE HOME PARK,Community water system,Ground water,Latah,-,0,,,
ID1090109,BERRY PATCH WATER ACRES ASSN,Community water system,Ground water,Bonner,-,45,,,
ID6060005,BIA FORT HALL INDIAN AGENCY,Community water system,Ground water,Bingham,-,150,,,
ID2350001,BIA NORTH IDAHO INDIAN AGENCY,Community water system,Ground water,Nez Perce,-,0,,,
ID6390003,BIG SKY WATER USERS,Community water system,Ground water,Power,-,350,,,
ID5070005,BIG WOOD WATER COMPANY,Community water system,Ground water,Blaine,-,45,,,
ID6210009,BIRCH CREEK CULINARY,Community water system,Ground water,Franklin,-,120,,,
ID4010200,BITTERCREEK MEADOWS SUBDIVISION,Community water system,Ground water,Ada,-,30,,,
ID1280260,BITTERROOT WATER COMPANY,Community water system,Ground water,Kootenai,-,456,,,
ID1280290,BLACK ROCK UTILITIES INC,Community water system,Ground water,Kootenai,-,561,,,
ID6060007,BLACKFOOT CITY OF,Community water system,Ground water,Bingham,-,"11,584",,,
ID7100207,BLACKHAWK ESTATES/IRON RIM,Community water system,Ground water,Bonneville,-,230,,,
ID7170001,BLAINE LARSEN FARMS BEAVER CREEK RANCH,Community water system,Ground water,Clark,-,84,,,
ID1090008,BLANCHARD COOP WATER ASSN,Community water system,Ground water,Bonner,-,148,,,
ID4080020,BLASER BASIN,Community water system,Ground water,Boise,-,25,,,
ID5240002,BLISS CITY OF,Community water system,Ground water,Gooding,-,325,,,
ID6040007,BLOOMINGTON CITY OF,Community water system,Ground water,Bear Lake,-,225,,,
ID4010013,BLUE VALLEY MOBILE HOME PARK,Community water system,Ground water,Ada,-,740,,,
ID2338110,BOISE CASCADE CORP,Community water system,Ground water,Payette,-,40,,,
ID4080004,BOISE HOLCOMB WATER USERS ASSOC. INC,Community water system,Ground water,Boise,-,36,,,
ID1110003,BONNERS FERRY CITY OF,Community water system,Surface water,Boundary,-,"3,200",,,
ID7100059,BONNEVILLE ACRES WATER USERS ASSN INC,Community water system,Ground water,Bonneville,-,100,,,
ID3230004,BONNIE LAURA SUBD,Community water system,Ground water,Gem,-,60,,,
ID1110024,BOULDER CREEK ACADEMY,Community water system,Groundwater under influence of surface water,Boundary,-,125,,,
ID2290005,BOVILL WATER DEPT,Community water system,Ground water,Latah,-,275,,,
ID4010017,BRIAN SUB WATER USERS ASSOCIATION,Community water system,Ground water,Ada,-,140,,,
ID4430004,BRIGHT WATER SUBD,Community water system,Surface water,Valley,-,60,,,
ID7100047,BROADWAY APARTMENTS,Community water system,Ground water,Bonneville,-,72,,,
ID7100012,BROOKHAVEN WATER ASSN,Community water system,Ground water,Bonneville,-,33,,,
ID4010018,BROOKSIDE MOBILE HOME PARK,Community water system,Ground water,Ada,-,40,,,
ID3370007,BRUNEAU WATER AND SEWER DIST,Community water system,Ground water,Owyhee,-,88,,,
ID1280302,BRUNNER WATER,Community water system,Ground water,Kootenai,-,23,,,
ID5420007,BUHL CITY OF,Community water system,Ground water,Twin Falls,-,"4,100",,,
ID5160008,BURLEY WATER DEPT,Community water system,Ground water,Cassia,-,"10,345",,,
ID3140011,BURNIE SUBD,Community water system,Ground water,Canyon,-,55,,,
ID6120002,BUTTE CITY OF,Community water system,Ground water,Butte,-,59,,,
ID2420123,C & L APARTMENTS,Community water system,Ground water,Elmore,-,42,,,
ID5160009,C AND Y DAIRY,Community water system,Ground water,Cassia,-,50,,,
ID5420053,CABIN CREEK MOBILE HOME COMMUNITY,Community water system,Ground water,Twin Falls,-,0,,,
ID1090013,CABINET GORGE VILLAGE,Community water system,Ground water,Bonner,-,30,,,
ID1110042,CABINET MOUNTAINS WATER DIST,Community water system,Ground water,Boundary,-,"2,100",,,
ID1400010,CALDER WATER ASSN,Community water system,Ground water,Shoshone,-,80,,,
ID3140013,CALDWELL CITY OF,Community water system,Ground water,Canyon,-,"46,237",,,
ID3140012,CALDWELL HOUSING AUTHORITY,Community water system,Ground water,Canyon,-,"1,100",,,
ID4200009,CAMAS ESTATES WATER USERS,Community water system,Ground water,Elmore,-,50,,,
ID3440002,CAMBRIDGE CITY OF,Community water system,Ground water,Washington,-,328,,,
ID3140014,CAMELOT WATER ASSN INC,Community water system,Ground water,Canyon,-,157,,,
ID1050003,CAMP SANDERS,Community water system,Unknown Primary Source,Benewah,-,0,,,
ID4200010,CANYON CREEK MOBILE HOME PARK,Community water system,Ground water,Elmore,-,243,,,
ID6040045,CANYON ESTATES WATER SYSTEM,Community water system,Ground water,Bear Lake,FISH HAVEN,50,,,
ID3230006,CAPITAL MOBILE COURT,Community water system,Ground water,Gem,-,170,,,
ID4010022,CAPITOL WATER CORP,Community water system,Ground water,Ada,-,"9,000",,,
ID5070010,CAREY WATER AND SEWER,Community water system,Ground water,Blaine,-,604,,,
ID6030005,CARIBOU ACRES,Community water system,Ground water,Bannock,-,120,,,
