PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
IL1970120,114 TOWNCREST DR APTS,Community water system,Ground water,Will,NEW LENOX,52,,,
IL1617726,11TH STREET A WELL,Community water system,Ground water,Rock Island,SOUTH MOLINE TWP,0,,,
IL1617736,15TH STR B WTR CORP,Community water system,Ground water,Rock Island,SOUTH MOLINE TW,32,,,
IL1617436,176TH AVE W CMNTY WTR SYS,Community water system,Ground water,Rock Island,EDGINGTON TWP,25,,,
IL1617188,1ST AVENUE NORTH APTS,Community water system,Ground water,Rock Island,HAMPTON TWP,32,,,
IL2015868,2800 APTS,Community water system,Ground water,Winnebago,ROCKFORD TWP,25,,,
IL0971140,2ND STREET WATER ASSOCIATION,Community water system,Ground water,Lake,ANTIOCH,24,,,
IL0910030,A.C. MOBILE HOME PARK,Community water system,Ground water,Kankakee,MANTENO TWP,25,,,
IL0950050,ABINGDON,Community water system,Ground water purchased,Knox,ABINGDON,"3,654",,,
IL0015350,ABS WATER COOP,Community water system,Ground water purchased,Adams,-,"6,921",,,
IL0975020,ACORN ACRES SUBDIVISION,Community water system,Ground water,Lake,HAWTHORN WOODS,240,,,
IL0015150,ADAMS COUNTY WATER DISTRICT NO 1,Community water system,Ground water purchased,Adams,-,876,,,
IL0430050,ADDISON,Community water system,Surface water purchased,DuPage,ADDISON,"36,942",,,
IL0310190,AFFORDABLE LIVING CONCEPTS,Community water system,Ground water,Cook,WHEELING TWP,173,,,
IL1615185,AIR VIEW MHP,Community water system,Ground water,Rock Island,-,165,,,
IL0555120,AKIN WATER DISTRICT,Community water system,Surface water purchased,Franklin,-,"2,158",,,
IL1950050,ALBANY,Community water system,Ground water,Whiteside,ALBANY,950,,,
IL8012955,ALBANY MHP,Community water system,Ground water,Stephenson,ALBANY MHP,25,,,
IL0270050,ALBERS,Community water system,Surface water purchased,Clinton,ALBERS,"1,096",,,
IL0470050,ALBION,Community water system,Ground water,Edwards,ALBION,"3,038",,,
IL0971090,ALDEN LONG GROVE NURSING CENTER,Community water system,Ground water,Lake,LONG GROVE,200,,,
IL1310050,ALEDO,Community water system,Ground water,Mercer,ALEDO,"3,700",,,
IL1370020,ALEXANDER WATER DISTRICT,Community water system,Surface water purchased,Morgan,-,442,,,
IL1874000,ALEXIS,Community water system,Ground water,Warren,ALEXIS,863,,,
IL8095202,ALFRED BELKWITH,Community water system,Ground water,Stephenson,ALFRED BELKWITH,25,,,
