PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
IN5243061,A & M RENTALS,Community water system,Ground water,Kosciusko,WINONA LAKE,32,,,
IN5265001,A C RANCH MHP C/O MR. A. BOEKE,Community water system,Ground water,Posey,-,30,,,
IN5258001,"ABERDEEN PATE WATER COMPANY, INC.",Community water system,Ground water,Ohio,AURORA,"4,688",,,
IN5206001,ADVANCE WATER WORKS,Community water system,Ground water,Boone,ADVANCE,500,,,
IN5256001,AGNES MOBILE HOME PARK,Community water system,Ground water,Newton,-,70,,,
IN5225001,AKRON WATER DEPARTMENT,Community water system,Ground water,Fulton,AKRON,"1,167",,,
IN5218001,ALBANY WATER DEPARTMENT,Community water system,Ground water,Delaware,ALBANY,"2,165",,,
IN5257001,ALBION WATER & SEWER,Community water system,Ground water,Noble,ALBION,"2,349",,,
IN5248001,ALEXANDRIA WATER DEPARTMENT,Community water system,Ground water,Madison,ALEXANDRIA,"5,612",,,
IN5214001,ALFORDSVILLE WATER UTILITY,Community water system,Surface water purchased,Daviess,LOOGOOTEE,510,,,
IN5204001,AMBIA WATER DEPARTMENT,Community water system,Ground water,Benton,AMBIA,239,,,
IN5279001,"AMERICAN SUBURBAN UTILITIES, INC.",Community water system,Ground water,Tippecanoe,WEST LAFAYETTE,154,,,
IN5250016,ANCILLA DOMINI (CONVENT),Community water system,Ground water,Marshall,DONALDSON,992,,,
IN5262001,AND-TRO WATER AUTHORITY - DISTRICT 1,Community water system,Ground water purchased,Perry,TELL CITY,"2,575",,,
IN5262003,AND-TRO WATER AUTHORITY - DISTRICT 2,Community water system,Surface water purchased,Perry,TELL CITY,"1,698",,,
IN5270003,ANDERSON TOWNSHIP REGIONAL SEWER DIST.,Community water system,Ground water,Rush,MILROY,900,,,
IN5271001,ANDERSON TV,Community water system,Ground water,St. Joseph,SPENCER,200,,,
IN5248002,ANDERSON WATER DEPARTMENT,Community water system,Groundwater under influence of surface water,Madison,ANDERSON,"58,400",,,
IN5235001,ANDREWS WATER DEPARTMENT,Community water system,Ground water,Huntington,ANDREWS,"1,149",,,
IN5276037,ANGOLA GARDENS,Community water system,Ground water,Steuben,-,157,,,
IN5276001,ANGOLA WATER DEPARTMENT,Community water system,Ground water,Steuben,ANGOLA,"8,612",,,
IN5209001,ANOKA ACRES MOBILE HOME PARK,Community water system,Ground water,Cass,LOGANSPORT,153,,,
IN5245001,"APPLE VALLEY UTILITIES, INC.",Community water system,Ground water,Lake,HEBRON,683,,,
IN5202002,AQUA INDIANA - NORTH END WATER SUPPLY,Community water system,Ground water,Allen,FORT WAYNE,"20,018",,,
IN5271018,AQUA INDIANA - WEDGEWOOD PARK WATER UTIL,Community water system,Ground water purchased,St. Joseph,GRANGER,645,,,
IN5245017,AQUA INDIANA WATER COMPANY,Community water system,Ground water purchased,Lake,-,"1,150",,,
IN5279008,ARBOR VILLAGE MOBILE HOM,Community water system,Ground water,Tippecanoe,ORLAND,50,,,
IN5232001,ARBORWOOD POINTE,Community water system,Ground water,Hendricks,GREENFIELD,600,,,
IN5229001,ARCADIA WATER DEPARTMENT,Community water system,Ground water,Hamilton,ARCADIA,"1,747",,,
IN5282001,ARCADIAN ACRES SUBD,Community water system,Ground water,Vanderburgh,-,52,,,
IN5250001,ARGOS MUNICIPAL WATER PLANT,Community water system,Ground water,Marshall,ARGOS,"2,020",,,
IN5235002,"ARLINGTON UTILITIES, INCORPORATED",Community water system,Ground water,Huntington,HUNTINGTON,180,,,
IN5230001,ARROWHEAD MOBILE HOME PARK,Community water system,Ground water,Hancock,NEW PALESTINE,70,,,
IN5284004,ART & PAT HARLAN MHP,Community water system,Ground water,Vigo,-,60,,,
IN5255015,ASHBURY PARK MHP - B. BA,Community water system,Ground water,Morgan,-,45,,,
IN5276002,ASHLEY WATER DEPARTMENT,Community water system,Ground water,Steuben,ASHLEY (RR NAME ASHLEY-HUDSON),983,,,
IN5229002,ATLANTA WATER DEPARTMENT,Community water system,Ground water,Hamilton,ATLANTA,735,,,
IN5223001,ATTICA WATER UTILITY,Community water system,Ground water,Fountain,ATTICA,"3,700",,,
IN5217001,AUBURN WATER DEPARTMENT,Community water system,Ground water,DeKalb,AUBURN,"12,500",,,
IN5215001,AURORA UTILITIES,Community water system,Ground water,Dearborn,AURORA,"6,750",,,
IN5218028,AUTUMN ACRES MOBILE HOME SUBDIVISION,Community water system,Ground water purchased,Delaware,YORKTOWN,48,,,
IN5218029,AUTUMN ACRES MOBILE HOME SUBDIVISION,Community water system,Ground water,Delaware,-,40,,,
IN5246007,AUTUMN CREEK MHP,Community water system,Ground water,LaPorte,MICHIGAN CITY,270,,,
IN5244013,AUTUMN GROVE,Community water system,Ground water,LaGrange,LAGRANGE (LA GRANGE),55,,,
IN5245003,AVENUE MOBILE HOME PARK,Community water system,Ground water,Lake,-,42,,,
IN5257002,AVILLA WATER DEPARTMENT,Community water system,Ground water,Noble,AVILLA,"2,402",,,
IN5232024,AVON VILLAGE MOBILE HOME PARK,Community water system,Surface water purchased,Marion,GREENFIELD,250,,,
IN5253001,"B&B WATER PROJECT, INC.",Community water system,Surface water purchased,Monroe,BLOOMINGTON,"5,075",,,
IN5267001,BAINBRIDGE WATER WORKS,Community water system,Ground water,Putnam,BAINBRIDGE,753,,,
IN5252002,BAIRD MHP,Community water system,Ground water,Miami,-,260,,,
IN5210001,BARGAIN RANCH,Community water system,Ground water,Marion,-,100,,,
IN5241001,BARGERSVILLE WATER DEPARTMENT,Community water system,Ground water,Johnson,BARGERSVILLE,"29,358",,,
IN5242012,BARNETT SUBD-P BARNETT,Community water system,Ground water,Knox,-,50,,,
IN5269001,BATESVILLE WATER UTILITY,Community water system,Surface water,Ripley,BATESVILLE,"6,520",,,
IN5279002,BATTLE GROUND WATER DISTRICT,Community water system,Ground water,Tippecanoe,BATTLE GROUND,"1,940",,,
IN5291004,BAYFRONT MHP - MRS BETH,Community water system,Ground water,White,-,29,,,
IN5260001,BBP WATER COMPANY,Community water system,Ground water,Owen,SPENCER,"9,903",,,
IN5260004,BEAN BLOSSOM-PATRICKSBUR,Community water system,Ground water,Owen,-,"3,780",,,
IN5254001,BECKONING WOODS MHP,Community water system,Ground water,Montgomery,BLOOMINGTON,37,,,
IN5247001,BEDFORD CITY UTILITIES,Community water system,Surface water,Lawrence,BEDFORD,"14,000",,,
IN5280001,BEECH GROVE MOBILE HOME PARK,Community water system,Ground water,Tipton,SHARPSVILLE,40,,,
IN5246002,BEECHWOOD MOBILE HOME PARK,Community water system,Ground water,LaPorte,MICHIGAN CITY,63,,,
IN5201008,BEERYS TRAILER COURT,Community water system,Ground water,Adams,DECATUR,100,,,
IN5217002,BEN MAR CHATEAU,Community water system,Ground water,DeKalb,GARRETT,166,,,
IN5201001,BERNE WATER DEPARTMENT,Community water system,Ground water,Adams,BERNE,"3,999",,,
IN5255001,BETHANY WATER UTILITY,Community water system,Ground water,Morgan,-,70,,,
IN5242001,BICKNELL MUNICIPAL UTILITIES,Community water system,Ground water,Knox,BICKNELL,"4,064",,,
IN5229003,BIG MAPLE MOBILE HOME PARK,Community water system,Ground water,Hamilton,NOBLESVILLE,64,,,
IN5226012,BIG OAK MOBILE HOME PARK,Community water system,Ground water,Gibson,PRINCETON,79,,,
IN5283001,BIG OAK TP,Community water system,Ground water,Fountain,-,50,,,
IN5267002,BIG WALNUT WATER COMPANY,Community water system,Ground water purchased,Putnam,GREENCASTLE,500,,,
IN5219001,BIRDSEYE WATER SYSTEM,Community water system,Surface water purchased,Dubois,BIRDSEYE,972,,,
IN5261001,BLOOMINGDALE WATER WORKS,Community water system,Ground water,Parke,BLOOMINGDALE,500,,,
IN5292010,BLUE LAKE MOBILE HOME PARK,Community water system,Ground water,Whitley,CHURUBUSCO,100,,,
IN5292002,BLUE RIDGE MOBILE HOME PARK,Community water system,Ground water,Whitley,CHURUBUSCO,300,,,
IN5273001,BLUE RIVER ESTATES MOBILE HOME PARK,Community water system,Ground water,Shelby,EDINBURG,99,,,
IN5213006,BLUE RIVER REGIONAL WATER DISTRICT,Community water system,Ground water,Crawford,MILLTOWN,"2,000",,,
IN5227002,BLUFFS BASIN UTILITY COMPANY,Community water system,Ground water purchased,Grant,MARION,36,,,
IN5290001,BLUFFTON UTILITIES WATER DEPT,Community water system,Ground water,Wells,BLUFFTON,"9,980",,,
IN5210002,BORDEN TRI-COUNTY REGION,Community water system,Surface water,Clark,BORDEN,"10,695",,,
IN5204002,BOSWELL WATER DEPARTMENT,Community water system,Ground water,Benton,BOSWELL,750,,,
IN5250002,BOURBON WATER DEPARTMENT,Community water system,Ground water,Marshall,BOURBON,"1,812",,,
IN5211001,BRAZIL CITY WATER WORKS,Community water system,Ground water,Clay,BRAZIL,"12,000",,,
IN5242002,BREEZY HEIGHTS MOBILE HOME PARK,Community water system,Ground water,Knox,-,45,,,
IN5250003,BREMEN WATER DEPARTMENT,Community water system,Ground water,Marshall,BREMEN,"4,612",,,
IN5245004,BREMERTON MOBILE HOME PARK,Community water system,Ground water,Lake,GRIFFITH,79,,,
IN5220001,BRISTOL MOBILE VILLAGE,Community water system,Ground water,Elkhart,BRISTOL,238,,,
IN5220003,BRISTOL WATER DEPARTMENT,Community water system,Ground water,Elkhart,BRISTOL,"1,675",,,
IN5256002,BROOK WATER UTILITY,Community water system,Ground water,Newton,BROOK,986,,,
IN5255002,BROOKLYN WATER WORKS,Community water system,Ground water,Morgan,BROOKLYN,"1,600",,,
