PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
KS2017502,4U MOBILE HOME PARK,Community water system,Ground water,Seward,-,284,,,
KS2015512,"ABBYVILLE, CITY OF",Community water system,Ground water,Reno,ABBYVILLE,88,,,
KS2004112,"ABILENE, CITY OF",Community water system,Groundwater under influence of surface water,Dickinson,ABILENE,"6,558",,,
KS2001161,ACHE-N-BACK MOBILE HOME PARK,Community water system,Ground water,Pottawatomie,-,36,,,
KS2011103,"ADMIRE, CITY OF",Community water system,Surface water purchased,Lyon,ADMIRE,155,,,
KS2015705,"AGENDA, CITY OF",Community water system,Ground water purchased,Republic,AGENDA,64,,,
KS2014707,"AGRA, CITY OF",Community water system,Ground water,Phillips,AGRA,247,,,
KS2000914,"ALBERT, CITY OF",Community water system,Ground water,Barton,ALBERT,172,,,
KS2016503,"ALEXANDER, CITY OF",Community water system,Ground water,Rush,ALEXANDER,62,,,
KS2000912,ALL SEASONS MOBILE HOME COURT LLC,Community water system,Ground water,Barton,GREAT BEND,0,,,
KS2000114,ALLEN CO RWD # 1,Community water system,Surface water purchased,Allen,LAHARPE,27,,,
KS2000106,ALLEN CO RWD 09,Community water system,Surface water,Allen,-,24,,,
KS2000109,ALLEN CO RWD 10,Community water system,Surface water purchased,Allen,CHANUTE,125,,,
KS2000123,ALLEN CO RWD 11,Community water system,Surface water purchased,Allen,IOLA,0,,,
KS2000117,ALLEN CO RWD 12,Community water system,Surface water purchased,Allen,MORAN,33,,,
KS2000118,ALLEN CO RWD 13,Community water system,Surface water purchased,Allen,CHANUTE,100,,,
KS2000121,ALLEN CO RWD 15,Community water system,Surface water purchased,Allen,IOLA,135,,,
KS2000122,ALLEN CO RWD 16,Community water system,Surface water purchased,Allen,MORAN,130,,,
KS2000108,ALLEN CO RWD 2,Community water system,Surface water purchased,Allen,IOLA,0,,,
KS2000113,ALLEN CO RWD 3,Community water system,Surface water purchased,Allen,IOLA,0,,,
KS2000112,ALLEN CO RWD 4,Community water system,Surface water purchased,Allen,IOLA,52,,,
KS2000107,ALLEN CO RWD 6,Community water system,Surface water purchased,Allen,IOLA,45,,,
KS2000104,ALLEN CO RWD 7,Community water system,Surface water purchased,Allen,IOLA,0,,,
KS2000110,ALLEN CO RWD 8,Community water system,Surface water purchased,Allen,MORAN,736,,,
KS2011102,"ALLEN, CITY OF",Community water system,Surface water purchased,Lyon,ALLEN,176,,,
KS2019701,"ALMA, CITY OF",Community water system,Surface water,Wabaunsee,ALMA,802,,,
KS2013701,"ALMENA, CITY OF",Community water system,Ground water,Norton,ALMENA,401,,,
KS2019702,"ALTA VISTA, CITY OF",Community water system,Ground water purchased,Wabaunsee,ALTA VISTA,429,,,
KS2009901,"ALTAMONT, CITY OF",Community water system,Surface water purchased,Labette,ALTAMONT,"1,047",,,
KS2014102,"ALTON, CITY OF",Community water system,Ground water,Osborne,ALTON,99,,,
KS2020508,"ALTOONA, CITY OF",Community water system,Surface water purchased,Wilson,ALTOONA,381,,,
KS2017342,"ANDALE, CITY OF",Community water system,Ground water,Sedgwick,ANDALE,992,,,
KS2000310,ANDERSON CO RWD 04A,Community water system,Surface water purchased,Anderson,RICHMOND,0,,,
KS2000302,ANDERSON CO RWD 1,Community water system,Surface water purchased,Anderson,GARNETT,37,,,
