PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
KY0900647,ABBEY OF GETHSEMANI WATER DEPT,Community water system,Surface water,Nelson,NEW HAVEN,100,,,
KY0360930,ABBOTT/LITTLE PAINT WATER DIST,Community water system,Surface water purchased,Floyd,PRESTONSBURG,561,,,
KY0710001,ADAIRVILLE WATER WORKS,Community water system,Surface water purchased,Logan,-,787,,,
KY0980578,ADKINS TRAILER PARK,Community water system,Surface water purchased,Pike,PIKEVILLE,19,,,
KY0980002,AFLEX WATER SYSTEM,Community water system,Surface water purchased,Pike,AFLEX,200,,,
KY0270003,ALBANY WATER WORKS,Community water system,Surface water,Clinton,-,"14,702",,,
KY0530053,ALBERT F TURNER TRAILER COURT,Community water system,Ground water,Hickman,CLINTON,10,,,
KY0390925,ALEXANDER WATER HAULING,Community water system,Ground water,Gallatin,WARSAW,500,,,
KY0020956,ALLEN COUNTY WATER DISTRICT,Community water system,Surface water purchased,Allen,-,"14,999",,,
KY0470620,ALLEN MOBILE HOME PARK,Community water system,Ground water,Hardin,-,25,,,
KY0360005,ALLEN WATER COMMISSION,Community water system,Surface water purchased,Floyd,ALLEN,"1,749",,,
KY1100006,ALLENSVILLE WATER WORKS,Community water system,Ground water,Todd,ALLENSVILLE,40,,,
KY0360742,ALPIKE MOBILE HOME PARK,Community water system,Surface water purchased,Floyd,ALLEN,75,,,
KY0730912,ALSIP MOBILE HOME PARK,Community water system,Surface water purchased,McCracken,PADUCAH,30,,,
KY0030007,ALTON WATER DISTRICT,Community water system,Surface water purchased,Anderson,LAWRENCEBURG,"3,164",,,
KY0930919,ANITA SPRING WATER CO,Community water system,Surface water,Oldham,LAGRANGE,25,,,
KY0550785,ANNVILLE INSTITUTE,Community water system,Surface water,Jackson,ANNVILLE,125,,,
KY0080928,ARLINGHAUS PROPERTY,Community water system,Ground water,Boone,-,49,,,
KY0200009,ARLINGTON WATER DEPARTMENT,Community water system,Ground water,Carlisle,-,588,,,
KY0560634,ARMORED ACRES MHP,Community water system,Surface water purchased,Jefferson,WEST POINT,99,,,
KY0100011,ASHLAND WATER WORKS,Community water system,Surface water,Boyd,-,"44,402",,,
KY0100068,ASHLAND WATER WORKS/CATLETTSBG,Community water system,Surface water purchased,Boyd,ASHLAND,"4,000",,,
KY0560609,ASHLEY POINT MOBILE HOME PARK,Community water system,Surface water purchased,Jefferson,-,0,,,
KY0120013,AUGUSTA REGIONAL WTP,Community water system,Ground water,Bracken,-,"1,690",,,
KY0360014,AUXIER WATER COMPANY,Community water system,Surface water purchased,Floyd,-,0,,,
KY1180577,BAMBI COURT APTS,Community water system,Ground water purchased,Whitley,BARBOURVILLE,36,,,
KY0040015,BANDANA WATER DISTRICT,Community water system,Ground water,Ballard,KEVIL,0,,,
KY0720553,BAR X TRAILER PARK,Community water system,Ground water,Lyon,-,97,,,
KY0610016,BARBOURVILLE WATER & ELECTRIC,Community water system,Surface water,Knox,-,"16,420",,,
KY0900017,BARDSTOWN MUNICIPAL WATER DEPT,Community water system,Surface water,Nelson,-,"31,185",,,
KY0200018,BARDWELL CITY UTILITIES,Community water system,Ground water,Carlisle,-,"1,227",,,
KY0720555,BARKLEY DAM TRAILER PARK,Community water system,Ground water,Lyon,KUTTAWA,30,,,
KY1110019,BARKLEY LAKE WATER DISTRICT,Community water system,Surface water,Trigg,-,"14,284",,,
KY0040020,BARLOW WATER SYSTEM,Community water system,Ground water,Ballard,-,"1,040",,,
KY0060022,BATH COUNTY WATER DISTRICT,Community water system,Surface water purchased,Bath,-,"8,955",,,
KY0823624,BATTLETOWN GENERAL STORE,Community water system,Ground water,Meade,BATTLETOWN,25,,,
KY0420536,BEADLES WATER SYSTEM,Community water system,Ground water,Graves,MAYFIELD,94,,,
KY0650024,BEATTYVILLE WATER WORKS,Community water system,Surface water,Lee,-,"8,428",,,
KY0920025,BEAVER DAM MUNICIPAL WATER & SEWER,Community water system,Ground water,Ohio,-,"3,901",,,
KY0990281,BEECH FORK WATER COMMISSION,Community water system,Surface water,Powell,-,25,,,
KY0750529,BEECH GROVE WATER SYSTEM,Community water system,Surface water purchased,McLean,-,"1,461",,,
KY0070729,BELL COUNTY FORESTRY CAMP,Community water system,Surface water,Bell,-,275,,,
KY0853070,BELLS TRAILER COURT,Community water system,Surface water purchased,Metcalfe,EDMONTON,10,,,
KY0730903,BELTLINE TRAILER COACH PARK,Community water system,Surface water purchased,McCracken,PADUCAH,80,,,
KY0720583,BEND OF THE RIVERS,Community water system,Surface water purchased,Lyon,-,295,,,
KY0180103,BENDEFIELD WATER ASSOCIATION,Community water system,Ground water,Calloway,-,0,,,
KY0480028,BENHAM WATER PLANT,Community water system,Surface water,Harlan,-,855,,,
KY0780147,BENNINGFIELDS MOBILE HOME PARK,Community water system,Ground water,Marion,LEBANON,60,,,
KY0790029,BENTON WATER & SEWER,Community water system,Ground water,Marshall,-,"7,981",,,
KY0760030,BEREA MUNICIPAL UTILITIES,Community water system,Surface water,Madison,-,"9,972",,,
KY0240523,BERRY'S TRAILER PARK,Community water system,Ground water purchased,Christian,HOPKINSVILLE,73,,,
KY0470622,BEVERLYS MOBILE HOME PARK,Community water system,Ground water,Hardin,WEST POINT,155,,,
KY0820568,BEVILL'S MOBILE HOME PARK,Community water system,Ground water,Meade,BRANDENBURG,40,,,
KY0100944,BIG SANDY WATER DISTRICT,Community water system,Surface water purchased,Boyd,-,"13,044",,,
KY0580437,BIG SANDY WATER WORKS INC,Community water system,Surface water purchased,Johnson,VAN LEAR,"1,200",,,
KY0690161,BIG VALLEY TRAILER PARK,Community water system,Surface water purchased,Lincoln,-,75,,,
KY0670086,BILL CREECH MOBILE HOME PARK,Community water system,Ground water,Letcher,PARTRIDGE,25,,,
KY0080976,BIRKLE WATER SUPPLY,Community water system,Ground water,Boone,-,25,,,
KY0480265,BLACK MTN UTILITY/COXTON,Community water system,Surface water purchased,Harlan,-,356,,,
KY0480277,BLACK MTN UTILITY/DAYHOIT,Community water system,Surface water purchased,Harlan,-,"1,954",,,
KY0480603,BLACK MTN UTILITY/KENVIR,Community water system,Surface water purchased,Harlan,-,"1,396",,,
