PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
LA1077014,% LYNN GREENE,Community water system,Ground water,Pointe Coupee Parish,-,50,,,
LA1117023,29 PALMS TRAILER PARK,Community water system,Ground water,Washington Parish,-,25,,,
LA1121007,4TH WARD WATER DIST LOBDELL,Community water system,Ground water,West Baton Rouge Parish,-,550,,,
LA1121009,4TH WARD WATER DIST SUNRISE,Community water system,Ground water,West Baton Rouge Parish,-,550,,,
LA1121010,4TH WARD WATER DIST TOMBSTONE,Community water system,Ground water,West Baton Rouge Parish,-,300,,,
LA1121006,4TH WARD WATER DISTRICT,Community water system,Ground water,West Baton Rouge Parish,PORT ALLEN,350,,,
LA1111006,550-15 SUBDIVISION W.S.,Community water system,Ground water purchased,Union Parish,-,75,,,
LA1005178,7 OAKS WATER SUPPLY,Community water system,Ground water,Ascension Parish,-,108,,,
LA1063095,A & L M.H.P.,Community water system,Ground water,Livingston Parish,-,76,,,
LA1085001,A A MHP WATER SYSTEM,Community water system,Ground water,Sabine Parish,-,0,,,
LA1019090,A J LEBLEU,Community water system,Ground water,Calcasieu Parish,-,96,,,
LA1017013,A M LEARY,Community water system,Ground water,Caddo Parish,-,300,,,
LA1063084,A&D MOBILE HOME PARK,Community water system,Ground water,Livingston Parish,-,132,,,
LA1085002,A-1 TRAILER PARK,Community water system,Surface water,Sabine Parish,-,200,,,
LA1017024,A-ASSOCIATES,Community water system,Ground water,Caddo Parish,-,111,,,
LA1047021,A.WILBERT AND SON TP,Community water system,Ground water,Iberville Parish,-,328,,,
LA1103140,ABITA EAST APARTMENTS,Community water system,Unknown Primary Source,St. Tammany Parish,-,100,,,
LA1103187,ABITA SPRINGS RV PARK,Community water system,Ground water,St. Tammany Parish,-,372,,,
LA1103188,ABITA SPRINGS RV PARK - DUPLICATE ENTRY,Community water system,Unknown Primary Source,-,-,279,,,
LA1103002,ABITA SPRINGS WATER SYSTEM,Community water system,Ground water,St. Tammany Parish,-,"3,000",,,
LA1005125,ACA WATER SYSTEMS INC,Community water system,Ground water,Ascension Parish,-,26,,,
LA1055102,ACADIAN ACRES #2,Community water system,Ground water,Lafayette Parish,-,100,,,
LA1019107,ACADIAN ACRES M H P WATER SYSTEM,Community water system,Ground water,Calcasieu Parish,-,462,,,
