PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
MA1053033,122 MAIN STREET,Community water system,Ground water,Franklin,CHARLEMONT,30,,,
MA1106001,2001,Community water system,Ground water,Franklin,-,36,,,
MA2054044,40 & 42 HAMMOND HILL ROAD,Community water system,Ground water,Worcester,CHARLTON,25,,,
MA3301027,400 DUNSTABLE ROAD (PINE KNOLL),Community water system,Ground water,Middlesex,TYNGSBOROUGH,30,,,
MA4001001,ABINGTON HEIGHTS APARTMENTS,Community water system,Ground water,Plymouth,-,25,,,
MA4001000,ABINGTON/ROCKLAND JOINT WTR. WORKS,Community water system,Surface water,Plymouth,ABINGTON,"33,825",,,
MA2270002,ACME MOBILE HOME COURTS,Community water system,Ground water,Middlesex,-,15,,,
MA2270005,ACNE TRAILER PARK,Community water system,Ground water,Middlesex,-,25,,,
MA2002000,ACTON WATER SUPPLY DISTRICT,Community water system,Groundwater under influence of surface water,Middlesex,ACTON,"21,408",,,
MA4003004,ACUSHNET MANUFACTURED HOMES,Community water system,Ground water,Bristol,ACUSHNET,75,,,
MA4003000,ACUSHNET WATER DEPARTMENT,Community water system,Surface water purchased,Bristol,ACUSHNET,"7,876",,,
MA4003001,ACUSHWET MOBILE HOME PARK,Community water system,Ground water,Bristol,-,25,,,
MA1004000,ADAMS FIRE DISTRICT,Community water system,Ground water,Berkshire,ADAMS,"8,242",,,
MA4239060,AGAWAM SPRINGS WATER COMPANY,Community water system,Ground water,Plymouth,PLYMOUTH,75,,,
MA1005000,AGAWAM WATER DEPARTMENT,Community water system,Surface water purchased,Hampden,AGAWAM,"28,839",,,
MA4239043,AGUA WATER CORPORATION,Community water system,Ground water,Plymouth,-,72,,,
MA4182006,ALPHA VILLAGE,Community water system,Ground water,Plymouth,MIDDLEBOROUGH,49,,,
MA3007000,AMESBURY DPW  WATER DIV.,Community water system,Surface water,Essex,AMESBURY,"16,283",,,
MA1008000,AMHERST DPW  WATER DIVISION,Community water system,Surface water,Hampshire,AMHERST,"37,819",,,
MA4008000,AMHERST WATER DIVISION,Community water system,Surface water,Hampshire,-,"26,331",,,
MA1268001,ANCHORAGE NURSING HOME,Community water system,Ground water,Franklin,SHELBURNE,33,,,
MA3009000,ANDOVER WATER DEPT,Community water system,Surface water,Essex,ANDOVER,"33,201",,,
MA3038020,"ANDREWS FARM WATER CO.,INC.",Community water system,Ground water,Essex,BOXFORD,145,,,
MA2330001,APARTMENT COMPLEX(TOWNSEND),Community water system,Ground water,Middlesex,-,25,,,
MA2177001,APARTMENTS SAWMIN RD,Community water system,Ground water,Norfolk,-,231,,,
MA2037013,APPLEWOOD CONDOMINIUM CORPORATION,Community water system,Ground water,Middlesex,BOXBOROUGH,500,,,
MA2186000,AQUARION WATER COMPANY MILLBURY,Community water system,Surface water purchased,Worcester,MILLBURY,"8,434",,,
MA2226000,AQUARION WATER COMPANY OXFORD,Community water system,Ground water,Worcester,OXFORD,"6,208",,,
MA4104004,AQUINNAH WAMPANOAG HOUSING AUTHORITY,Community water system,Ground water,Dukes,GAY HEAD,100,,,
MA2286026,ARBOR GLEN CONDOMINIUMS,Community water system,Ground water,Middlesex,STOW,132,,,
MA3010000,ARLINGTON WATER DEPT. (MWRA),Community water system,Surface water purchased,Middlesex,ARLINGTON,"42,844",,,
MA2011004,ASH/WIN JOINT WATER AUTHORITY,Community water system,Surface water,Worcester,ASHBURNHAM,"9,221",,,
MA2011000,ASHBURNHAM WATER DEPARTMENT,Community water system,Surface water,Worcester,ASHBURNHAM,"3,680",,,
MA1013000,ASHFIELD WATER DISTRICT,Community water system,Ground water,Franklin,ASHFIELD,400,,,
MA3014000,ASHLAND WATER AND SEWER DEPT.,Community water system,Ground water,Middlesex,ASHLAND,"16,593",,,
MA1132012,ASHMERE LAKE NOMINEE TRUST,Community water system,Ground water,Berkshire,HINSDALE,35,,,
MA1132001,ASHMERE MANOR NURSING HOME,Community water system,Ground water,Berkshire,HINSDALE,124,,,
MA1132008,ASHMERE WATER SERVICE,Community water system,Ground water,Berkshire,HINSDALE,66,,,
MA2286001,ASSABET WATER COMPANY,Community water system,Groundwater under influence of surface water,Middlesex,STOW,482,,,
MA4102001,ASSONET BAY SHORES,Community water system,Ground water,Bristol,-,225,,,
MA1015000,ATHOL DPW  WATER DIVISION,Community water system,Ground water,Worcester,ATHOL,"10,056",,,
MA2016000,ATTLEBORO WATER DEPT,Community water system,Surface water,Bristol,-,"33,000",,,
MA4016000,ATTLEBORO WATER DEPT,Community water system,Surface water,Bristol,ATTLEBORO,"43,593",,,
MA2017000,AUBURN WATER DISTRICT,Community water system,Surface water purchased,Worcester,AUBURN,"11,763",,,
MA1193002,AVALON SCHOOL INC.,Community water system,Ground water,Berkshire,-,55,,,
MA2019000,AYER DPW  WATER DIVISION,Community water system,Ground water,Middlesex,AYER,"7,427",,,
MA2125021,AYER ROAD PROPERTIES LLC,Community water system,Ground water,Worcester,HARVARD,150,,,
MA1111000,BACHELOR KNOLLS,Community water system,Ground water,Hampshire,GRANBY,101,,,
MA1113005,BARBIERI DEVELOPMENT  INACT,Community water system,Ground water,Berkshire,GREAT BARRINGTON,25,,,
MA1113017,BARD COLLEGE AT SIMONS ROCK,Community water system,Ground water,Berkshire,GREAT BARRINGTON,500,,,
MA4036015,BARNSTABLE COUNTY JAIL,Community water system,Ground water purchased,Barnstable,BOURNE,600,,,
MA4020000,BARNSTABLE FIRE DISTRICT,Community water system,Ground water,Barnstable,BARNSTABLE,"4,000",,,
MA2021001,BARRE MHP/WATERWHEEL VILLAGE,Community water system,Ground water,Worcester,BARRE,114,,,
MA2021000,BARRE WATER DEPARTMENT,Community water system,Ground water,Worcester,BARRE,"4,000",,,
MA2021002,BARRE WOOL CUMBING CO,Community water system,Surface water purchased,Worcester,-,650,,,
MA1063004,BARRETT WATER SUPPLY,Community water system,Ground water,Berkshire,CLARKSBURG,65,,,
MA1225038,BARTOWS MOBILE HOME PARK,Community water system,Ground water,Berkshire,OTIS,25,,,
MA3164002,BAYBERRY COTTAGES,Community water system,Ground water,Essex,-,25,,,
MA4334077,BAYSIDE WATER ASSOC.,Community water system,Ground water,Bristol,WESTPORT,25,,,
MA1121011,BEAVER POND MEADOWS,Community water system,Ground water,Berkshire,HANCOCK,160,,,
MA3023001,BEDFORD VA HOSPITAL,Community water system,Surface water purchased,Middlesex,BEDFORD,25,,,
MA3023000,BEDFORD WATER DEPT.,Community water system,Surface water purchased,Middlesex,BEDFORD,"14,020",,,
MA4172035,BEECHWOOD POINT CONDOS,Community water system,Ground water,Barnstable,MASHPEE,104,,,
MA1283008,BEECHWOOD WATER CO  INACT,Community water system,Ground water,Berkshire,STOCKBRIDGE,25,,,
MA1024000,BELCHERTOWN WATER DISTRICT,Community water system,Ground water,Hampshire,BELCHERTOWN,"3,058",,,
MA2025000,BELLINGHAM DPW  WATER  SEWER DIV.,Community water system,Ground water,Norfolk,BELLINGHAM,"15,200",,,
MA3026000,BELMONT WATER DEPT. (MWRA),Community water system,Surface water purchased,Middlesex,BELMONT,"24,254",,,
MA3301008,BENCHMARK CONDOMINIUMS,Community water system,Ground water,Middlesex,TYNGSBOROUGH,180,,,
MA3051021,BENFIELD FARMS,Community water system,Ground water,Middlesex,CARLISLE,50,,,
MA1260001,BERKSHIRE REHAB SKILLED CARE CTR,Community water system,Ground water,Berkshire,SANDISFIELD,100,,,
MA1267001,BERKSHIRE SCHOOL,Community water system,Ground water,Berkshire,SHEFFIELD,475,,,
MA1148001,BERKSHIRE VILLAGE COOPERATIVE,Community water system,Ground water purchased,Berkshire,LANESBOROUGH,34,,,
MA1029000,BERNARDSTON FIRE  WATER DIST,Community water system,Ground water,Franklin,BERNARDSTON,"1,475",,,
MA3030000,BEVERLY WATER DEPT,Community water system,Surface water purchased,Essex,BEVERLY,"43,316",,,
MA3031000,BILLERICA WATER WORKS,Community water system,Surface water,Middlesex,BILLERICA,"40,243",,,
