PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
MD0180224,A&D TRAILER PARK,Community water system,Surface water purchased,St. Mary's,-,25,,,
MD0120010,A.P.G. - EDGEWOOD AREA,Community water system,Surface water,Harford,-,"6,200",,,
MD0001451,AA AND JUDE HOUSE,Community water system,Ground water,Charles,-,25,,,
MD0180055,"ABBERLY FARMS APT-SEE 0180007, PLANT 26",Community water system,Unknown Primary Source,-,-,0,,,
MD0002179,ABERDEEN COMMISSIONERS,Community water system,Surface water purchased,Harford,-,"12,375",,,
MD0002848,ABERDEEN PROV GRDS % US ARMY,Community water system,Surface water,Harford,-,"11,000",,,
MD0000069,ACCENT MOBILE HOME PARK,Community water system,Ground water,Calvert,-,25,,,
MD0002186,ACCIDENT - MAYOR AND COUNCIL O,Community water system,Ground water,Garrett,-,250,,,
MD0000011,ADKINS TR PARK,Community water system,Ground water,Worcester,-,30,,,
MD0002229,ADKINS TRAILER PARK,Community water system,Ground water,Worcester,-,30,,,
MD0160024,"ADVANCED RECOVERY SYSTEMS, LLC",Community water system,Ground water,Prince George's,-,100,,,
MD0002232,ALBATROSS TRAILER PARK,Community water system,Ground water,Worcester,-,60,,,
MD0000875,ALL SAINTS DAY CARE CENTER,Community water system,Ground water,Calvert,-,38,,,
MD0002560,ALLAN B LEMLEY,Community water system,Ground water,Garrett,-,27,,,
MD0010044,ALLEGANY SAN COMM,Community water system,Ground water,Allegany,CLARYSVILLE,"1,000",,,
MD0002356,ALLVIEW ESTATES-WITTCO WATER C,Community water system,Ground water,Howard,-,"1,400",,,
MD0130001,ALLVIEW ESTATES-WITTCO WATER C,Community water system,Ground water,Howard,-,"1,400",,,
MD0002079,ALPINE VILLAGE INC,Community water system,Ground water,Garrett,-,25,,,
MD0002614,ALPINE VILLAGE INC.,Community water system,Ground water,Garrett,-,27,,,
MD0020049,AMBERLY,Community water system,Ground water,Anne Arundel,AMBERLY,"5,000",,,
MD0002691,ANCHORAGE TRAILER PARK,Community water system,Ground water,Calvert,-,32,,,
MD0040203,ANCHORAGE TRAILER PARK,Community water system,Ground water,Calvert,-,32,,,
MD0160022,ANDREWS A.F.B. -  BRANDYWINE,Community water system,Ground water,Prince George's,BRANDYWINE,35,,,
MD0160021,ANDREWS AFB (CONNECT TO WSSC 0150005),Community water system,Surface water purchased,Prince George's,ANDREWS AFB,"11,000",,,
MD0160019,ANDREWS AIR FORCE BASE,Community water system,Surface water purchased,Prince George's,ANDREW AF BASE,"8,000",,,
MD0140011,ANGELICA NURSERIES - NURSERY VIEW,Community water system,Ground water,Kent,-,38,,,
MD0002191,ANNAPOLIS,Community water system,Surface water,Anne Arundel,-,"40,000",,,
MD0020045,ANNAPOLIS LANDING,Community water system,Ground water,Anne Arundel,-,200,,,
MD0002860,ANNAPOLIS LANDING,Community water system,Ground water,Anne Arundel,-,200,,,
MD0002902,ANNE ARUNDEL CO DPW AMBERLY,Community water system,Ground water,Anne Arundel,-,"10,000",,,
MD0020038,ANNE ARUNDEL CO/BALTIMORE CITY,Community water system,Surface water purchased,Anne Arundel,GLEN BURNIE,0,,,
MD0300003,APOSTOLIC TOWERS,Community water system,Surface water purchased,Baltimore city,-,200,,,
MD0020041,ARNOLD,Community water system,Ground water,Anne Arundel,ARNOLD,0,,,
MD0002869,ARNOLD WTP % ANNAPOLIS DPW,Community water system,Ground water,Anne Arundel,ANAPOLIS,"150,000",,,
MD0020026,ARNOLD-PINES ON THE SEVERN,Community water system,Ground water,Anne Arundel,-,"4,588",,,
