PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
ME0093498,3 SPRINGS WATER,Community water system,Unknown Primary Source,-,-,24,,,
ME0092373,A PLACE FOR ALL SEASONS,Community water system,Ground water,Aroostook,CARIBOU,90,,,
ME0093519,ABSOPURE WATER COMPANY,Community water system,Groundwater under influence of surface water,-,-,0,,,
ME0090010,ADDISON POINT WATER DISTRICT,Community water system,Ground water,Washington,ADDISON,163,,,
ME0093559,ADVANCED H20 - PA,Community water system,Unknown Primary Source,-,-,0,,,
ME0093561,ADVANCED H20 - TX,Community water system,Unknown Primary Source,-,-,0,,,
ME0090020,ALFRED WATER DISTRICT,Community water system,Ground water,York,ALFRED,723,,,
ME0090030,ALLEN WATER COMPANY,Community water system,Ground water,Washington,COLUMBIA,68,,,
ME0009970,AMES(CANNAN) MOBILE HOME PARK,Community water system,Ground water,Somerset,CANAAN,27,,,
ME0092604,AMYS CIRCLE MOBILE HOME PARK,Community water system,Ground water,Oxford,HIRAM,30,,,
ME0090050,ANDOVER WATER DISTRICT,Community water system,Ground water,Oxford,ANDOVER,275,,,
ME0090535,ANSON  ST.  APARTMENTS,Community water system,Ground water,Franklin,FARMINGTON,100,,,
ME0090930,ANSON AND MADISON WATER DISTRICT,Community water system,Surface water,Somerset,MADISON,"4,538",,,
ME0090040,ANSON WATER DISTRICT,Community water system,Surface water,Somerset,ANSON,"1,625",,,
ME0092367,APPLEWOOD,Community water system,Ground water,York,WATERBORO,32,,,
ME0093400,AQUA-VEND GOGGINS IGA,Community water system,Unknown Primary Source,-,-,25,,,
ME0093578,AQUASPLASH LIMITED,Community water system,Unknown Primary Source,-,-,0,,,
ME0090060,ASHLAND WATER & SEWER DISTRICT,Community water system,Ground water,Aroostook,ASHLAND,808,,,
ME0090070,AUBURN WATER DISTRICT,Community water system,Surface water,Androscoggin,AUBURN,"16,530",,,
ME0095635,AVERILLS MOBILE HOME PARK,Community water system,Ground water,Kennebec,BENTON,78,,,
ME0090090,AVON VALLEY WATER ASSOC,Community water system,Surface water purchased,Franklin,SOUTH BRISTOL,38,,,
ME0090100,BAILEYVILLE UTILITIES DISTRICT,Community water system,Ground water,Washington,BAILEYVILLE,"1,625",,,
ME0093530,BALANCE WATER CO. LLC,Community water system,Unknown Primary Source,-,-,0,,,
ME0090110,BANGOR WATER DISTRICT,Community water system,Surface water,Penobscot,"BANGOR, CLIFTON, EDDINGTON, HAMPDEN, HERMON, ORRINGTON, VEAZIE","25,855",,,
ME0095711,BARING MOBILE HOME PARK,Community water system,Ground water,Washington,-,35,,,
ME0090130,BATH WATER DISTRICT,Community water system,Surface water,Sagadahoc,"BATH, BRUNSWICK, WEST BATH, WISCASSET, WOOLWICH","9,598",,,
ME0002175,BAY BRIDGE ESTATES LLC,Community water system,Ground water,Cumberland,BRUNSWICK,"1,233",,,
ME0092368,BEAR POND VILLAGE,Community water system,Ground water,Androscoggin,TURNER,145,,,
ME0009244,BEGIN TRAILER PARK,Community water system,Ground water,Androscoggin,SABATTUS,170,,,
ME0092433,BELFAST COHOUSING & ECOVILLAGE CONDOS,Community water system,Ground water,Waldo,BELFAST,90,,,
ME0090140,BELFAST WATER DISTRICT,Community water system,Ground water,Waldo,"BELFAST, NORTHPORT","5,005",,,
ME0090145,BENJAMIN RIVER APTS,Community water system,Ground water,Hancock,SEDGWICK,31,,,
ME0095150,BENNETT NURSING HOME,Community water system,Ground water,Cumberland,-,25,,,
ME0090150,BERWICK WATER DEPARTMENT,Community water system,Surface water,York,BERWICK,"2,393",,,
ME0095030,"BETHANY, INC.",Community water system,Ground water,Kennebec,NEWRY,25,,,
ME0090160,BETHEL WATER DISTRICT,Community water system,Ground water,Oxford,BETHEL,"1,640",,,
ME0090180,BINGHAM WATER DISTRICT,Community water system,Ground water,Somerset,"BINGHAM, MOSCOW","1,075",,,
ME0092357,BIRCH BAY VILLAGE,Community water system,Ground water,Hancock,BAR HARBOR,41,,,
ME0007233,BIRCH HAVEN TRAILER PARK,Community water system,Ground water,Hancock,HANCOCK,38,,,
ME0095663,BIRCH TREE MEADOWS MHP,Community water system,Ground water,Hancock,HANCOCK,105,,,
ME0092235,BIRCHWOOD APTS,Community water system,Ground water,Hancock,NEWRY,60,,,
ME0095550,BIRCHWOOD TRAILER PARK,Community water system,Ground water,Waldo,BELMONT,90,,,
ME0009555,BIRCHWOOD TRAILER PARK,Community water system,Ground water,Waldo,BELMONT,47,,,
ME0092110,BLUE HILL TERRACE,Community water system,Ground water,Hancock,BLUE HILL,32,,,
ME0095658,BLUEBERRY VISTA LLC,Community water system,Ground water,York,WELLS,138,,,
ME0090190,BOLSTERS MILLS WATER CO.,Community water system,Ground water,Cumberland,SEDGWICK,84,,,
ME0003018,BONNEAU'S TRAILER PARK,Community water system,Ground water,Somerset,SKOWHEGAN,78,,,
ME0095673,BOOKER'S MOBILE HOME PARK,Community water system,Ground water,Kennebec,UNITY,28,,,
ME0090490,BOOTHBAY REGION WATER DIST- **INACTIVE,Community water system,Ground water,Lincoln,BOOTHBAY,"1,450",,,
ME0090200,BOOTHBAY REGION WATER DISTRICT,Community water system,Surface water,Lincoln,BOOTHBAY,"9,068",,,
ME0095575,BOUDREAU TRAILER PARK,Community water system,Ground water,Washington,PRINCETON,50,,,
ME0090205,BOULIER PLACE APTS,Community water system,Ground water,Penobscot,HERMON,60,,,
ME0092484,BOWDOIN PINES MHP,Community water system,Unknown Primary Source,-,-,25,,,
ME0090210,BOWDOINHAM WATER DISTRICT,Community water system,Ground water,Sagadahoc,BOWDOINHAM,705,,,
ME0090215,BRADFORD HOUSING CORP,Community water system,Ground water,Penobscot,BRADFORD,24,,,
ME0093568,BRAZOS VALLEY SPRING WATER,Community water system,Unknown Primary Source,-,-,0,,,
ME0090220,BREWER WATER DEPARTMENT,Community water system,Surface water,Penobscot,"BREWER, CLIFTON, EDDINGTON, HOLDEN, ORRINGTON","8,910",,,
ME0090229,BRIDGE HILL APARTMENTS,Community water system,Ground water,Hancock,ELLSWORTH,85,,,
ME0006771,"BRIDGETWIN, LLC",Community water system,Ground water,Hancock,ELLSWORTH,63,,,
ME0000116,BRIDGTON ACADEMY,Community water system,Ground water,-,-,113,,,
ME0090230,BRIDGTON WATER DISTRICT,Community water system,Ground water,Cumberland,BRIDGTON,"2,053",,,
ME0095719,BROCKS MOBILE HOME PARK,Community water system,Ground water,Kennebec,VASSALBORO,30,,,
ME0092365,BROOK HOLLOW,Community water system,Ground water,Cumberland,NAPLES,30,,,
ME0009087,BROOKDALE VILLAGE,Community water system,Ground water,Androscoggin,POLAND,303,,,
ME0005826,BROOKSIDE MHP,Community water system,Ground water,Kennebec,PITTSTON,40,,,
ME0005039,BROOKSIDE MOBILE COURT,Community water system,Ground water,Cumberland,NEW GLOUCESTER,28,,,
ME0095595,BROOKSIDE MOBILE HOME COURT,Community water system,Ground water,Lincoln,WALDOBORO,63,,,
ME0090240,BROWNVILLE JCT WATER DEPT,Community water system,Ground water,Piscataquis,BROWNVILLE,753,,,
ME0090250,BROWNVILLE WATER DEPARTMENT,Community water system,Ground water,Piscataquis,BROWNVILLE,255,,,
ME0090260,BRUNSWICK / TOPSHAM WATER DIST,Community water system,Ground water,Cumberland,"BRUNSWICK, TOPSHAM","17,295",,,
ME0090270,BUCKFIELD VILLAGE CORPORATION,Community water system,Surface water,Oxford,BUCKFIELD,425,,,
ME0092341,BURNT MILL COUNTRY CLUB-THE HIGHLANDS,Community water system,Ground water,York,WELLS,128,,,
ME0092070,C & K APTS. - C/O JOHN KUSTRON,Community water system,Ground water,York,WATERBORO,52,,,
ME0004400,CAINCREST MOBILE HOME PARK,Community water system,Ground water,York,YORK,213,,,
ME0000400,CAINCREST MOBILE HOME PARK,Community water system,Ground water,York,-,50,,,
ME0090290,CALAIS WATER DEPT,Community water system,Ground water,Washington,CALAIS,"2,570",,,
ME0093546,CALIFORNIA ADVANCED H20,Community water system,Unknown Primary Source,-,-,0,,,
ME0093567,CALIFORNIA BOTTLING COMPANY,Community water system,Unknown Primary Source,-,-,0,,,
ME0092403,CANADA HILL SUBDIVISION,Community water system,Unknown Primary Source,-,-,73,,,
ME0095630,CANTON POINT PARK,Community water system,Ground water,Oxford,CANTON,73,,,
ME0090310,CANTON WATER DISTRICT,Community water system,Surface water,Oxford,CANTON,293,,,
ME0095080,"CARIBOU NURSING HOME, INC.",Community water system,Surface water purchased,Aroostook,NEWRY,110,,,
ME0002439,CARIBOU STREAM MOBILE HOME PK,Community water system,Ground water,Aroostook,CARIBOU,95,,,
ME0002451,CARIBOU TRAILER PARK,Community water system,Ground water,Aroostook,CARIBOU,300,,,
ME0102451,CARIBOU TRAILER PARK #2,Community water system,Ground water,Aroostook,CARIBOU,103,,,
ME0090320,CARIBOU UTILITIES DISTRICT,Community water system,Ground water,Aroostook,CARIBOU,"4,323",,,
ME0003533,CARROLLS IGA SUPERMARKET,Community water system,Ground water,Hancock,TRENTON,43,,,
ME0092338,CASCO INN RESIDENTIAL CARE,Community water system,Ground water,Cumberland,CASCO,80,,,
ME0090330,CASTINE WATER DEPARTMENT,Community water system,Groundwater under influence of surface water,Hancock,CASTINE,970,,,
ME0090331,CASTINE WATER DEPT.-RED SYSTEM,Community water system,Ground water,Hancock,CASTINE,400,,,
ME0003375,CATHANCE TRAILER PARK,Community water system,Ground water,Sagadahoc,TOPSHAM,135,,,
ME0507363,CEDAR HAVEN MHP - WELLS 6 + 2,Community water system,Ground water,Penobscot,WATERFORD,39,,,
ME0007363,CEDAR HAVEN MOBILE HOME PK,Community water system,Ground water,Penobscot,HOLDEN,390,,,
ME0207363,CEDAR HAVEN MOBILE HOME PK #3,Community water system,Ground water,Cumberland,FREEPORT,39,,,
ME0307363,CEDAR HAVEN MOBILE HOME PK #4,Community water system,Ground water,Cumberland,FREEPORT,39,,,
ME0407363,CEDAR HAVEN MOBILE HOME PK #5,Community water system,Ground water,Cumberland,WATERFORD,39,,,
ME0107363,CEDAR HAVEN TRAILER COURT,Community water system,Ground water,Penobscot,HOLDEN,39,,,
ME0093562,CG ROXANE - AR,Community water system,Unknown Primary Source,-,-,0,,,
ME0090340,CHARETTE SPRINGS,Community water system,Ground water,Aroostook,CASTINE,21,,,
ME0090342,CHARLESTON CORRECTIONAL FACILITY,Community water system,Ground water,Penobscot,CHARLESTON,275,,,
ME0001006,CHARTER OAK MOBILE HOME VILLAGE,Community water system,Ground water,York,ARUNDEL,105,,,
ME0098205,CHRISTMAS COVE,Community water system,Surface water,Lincoln,-,53,,,
ME0007116,CHURCH'S TRAILER PARK,Community water system,Ground water,Hancock,GOULDSBORO,18,,,
ME0092306,CIVIC CENTER DRIVE APTS,Community water system,Ground water,-,-,60,,,
ME0092090,CLARK MILLS APTS.,Community water system,Ground water,York,HOLLIS,42,,,
ME0095210,CLEMENTS BOARDING HOME,Community water system,Ground water,Kennebec,WINTHROP,29,,,
ME0090350,CLINTON WATER DISTRICT,Community water system,Ground water,Kennebec,CLINTON,"1,188",,,
ME0093533,COCA-COLA - FLORIDA,Community water system,Unknown Primary Source,-,-,0,,,
