PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
MI0040520,553 MOBILE ESTATES,Community water system,Ground water,Marquette,-,50,,,
MI0000005,AARRON HILLS APARTMENTS,Community water system,Ground water,Kalamazoo,-,100,,,
MI0000011,ACME TOWNSHIP - HOPE VILLAGE,Community water system,Ground water,Grand Traverse,-,128,,,
MI0040170,ACME TRAILER PARK OFFICE,Community water system,Ground water,Grand Traverse,-,110,,,
MI0000013,ACME TWP LOCHENHEATH,Community water system,Ground water,Grand Traverse,-,5,,,
MI0060155,ACOCKS MEDICAL CARE FACILITY,Community water system,Ground water,Marquette,-,97,,,
MI0000012,ADA TOWNSHIP,Community water system,Surface water purchased,Kent,ADA,"7,155",,,
MI0000015,ADAM EAST APARTMENTS,Community water system,Ground water,Kalamazoo,-,35,,,
MI0000020,ADAMS TOWNSHIP,Community water system,Ground water,Houghton,PAINESDALE,"2,010",,,
MI0000030,ADDISON,Community water system,Ground water,Lenawee,ADDISON,605,,,
MI0000040,ADRIAN,Community water system,Surface water,Lenawee,ADRIAN,"21,133",,,
MI0000050,AHMEEK,Community water system,Ground water purchased,Keweenaw,AHMEEK,148,,,
MI0000060,AHMEEK LOCATION,Community water system,Ground water purchased,Keweenaw,-,330,,,
MI0000070,AKRON,Community water system,Ground water,Tuscola,-,402,,,
MI0000072,AKRON TOWNSHIP,Community water system,Surface water purchased,Tuscola,-,25,,,
MI0000080,ALABASTER,Community water system,Surface water,Iosco,-,40,,,
MI0000082,ALABASTER TOWNSHIP,Community water system,Surface water purchased,Iosco,-,86,,,
MI0060085,ALAMO NURSING HOME,Community water system,Ground water,Kalamazoo,-,100,,,
MI0040458,ALAN'S PARK - DURAND,Community water system,Ground water,Shiawassee,-,50,,,
MI0040319,ALAN'S PARK - FOWLERVILLE,Community water system,Ground water,Livingston,-,498,,,
MI0040460,ALAN'S PARK - WEST,Community water system,Ground water,Shiawassee,-,80,,,
MI0040129,ALANSON ESTATES MOBILE HOME PARK,Community water system,Ground water,Emmet,-,50,,,
MI0000088,ALBEE TOWNSHIP,Community water system,Surface water purchased,Saginaw,-,189,,,
MI0000100,ALBION,Community water system,Ground water,Calhoun,ALBION,"9,144",,,
MI0040216,ALEXANDERS MOBILE VILLAGE,Community water system,Ground water,Isabella,-,50,,,
MI0001055,ALGER CORRECTIONAL FACILITY CAMP CUSINO,Community water system,Ground water,Alger,-,317,,,
MI0040259,ALGOMA ESTATES,Community water system,Ground water,Kent,-,580,,,
MI0000110,"ALGONAC, CITY OF",Community water system,Surface water,St. Clair,ALGONAC,"4,110",,,
MI0040040,ALGONQUIN LAKE TRAILER PARK,Community water system,Ground water,Barry,-,65,,,
MI0000120,ALLEGAN,Community water system,Ground water,Allegan,ALLEGAN,"5,930",,,
MI0000125,ALLEGAN COUNTY SERVICES CENTER,Community water system,Ground water,Allegan,-,101,,,
MI0060125,ALLEGAN MEDICAL CARE FACILITY,Community water system,Ground water,Allegan,-,60,,,
MI0040002,ALLEGAN MOBILE ESTATES,Community water system,Ground water,Allegan,-,100,,,
MI0000130,ALLEN PARK,Community water system,Surface water purchased,Wayne,ALLEN PARK,"28,210",,,
MI0000127,ALLENDALE TOWNSHIP,Community water system,Surface water purchased,Ottawa,ALLENDALE,"21,655",,,
MI0000140,"ALMA, CITY OF",Community water system,Surface water purchased,Gratiot,ALMA,"9,275",,,
MI0000150,"ALMONT, VILLAGE OF",Community water system,Surface water purchased,Lapeer,ALMONT,"2,674",,,
MI0000170,ALPENA TOWNSHIP,Community water system,Surface water purchased,Alpena,-,"5,197",,,
MI0000160,"ALPENA, CITY OF",Community water system,Surface water,Alpena,ALPENA,"10,483",,,
MI0000180,ALPHA,Community water system,Ground water,Iron,ALPHA,198,,,
MI0002610,ALPINE CENTER,Community water system,Ground water,Otsego,GAYLORD,200,,,
MI0040260,ALPINE MEADOWS NORTH M H P,Community water system,Ground water,Kent,-,953,,,
MI0040261,ALPINE MOBILE VILLAGE,Community water system,Ground water,Kent,-,190,,,
MI0000190,ALPINE TOWNSHIP,Community water system,Ground water purchased,Kent,-,"2,900",,,
MI0040681,ALTO MEADOWS,Community water system,Ground water,Kent,-,250,,,
MI0004865,AMBER HILLS,Community water system,Ground water,Clinton,-,50,,,
MI0040461,AMERICANA ESTATES M H P,Community water system,Ground water,St. Clair,-,"1,405",,,
MI0040246,ANDREWS ESTATES,Community water system,Ground water,Kalamazoo,-,178,,,
MI0040003,ANDREWS MOBILE HOME PARK,Community water system,Ground water,Allegan,-,90,,,
MI0000210,ANDREWS UNIVERSITY,Community water system,Ground water,Berrien,-,"3,000",,,
MI0000220,ANN ARBOR,Community water system,Surface water,Washtenaw,ANN ARBOR,"118,017",,,
MI0000221,ANN ARBOR TOWNSHIP,Community water system,Surface water purchased,Washtenaw,ANN ARBOR,"1,338",,,
MI0000225,ANTRIM COUNTY WATER SYSTEM,Community water system,Ground water purchased,Antrim,-,0,,,
MI0000230,ANVIL LOCATION,Community water system,Ground water purchased,Gogebic,-,150,,,
MI0040355,APPLE CARR VILLAGE,Community water system,Ground water,Muskegon,-,"1,322",,,
