PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
MN1860017,12 Hi Mobile Home Park,Community water system,Ground water,Wright,-,300,,,
MN1270072,210 EAST RIVER PARKWAY APARTMENTS,Community water system,Ground water,Hennepin,-,45,,,
MN1700018,5SMSC PHASE 2,Community water system,Ground water,Scott,-,25,,,
MN1270028,ABBOTT NORTHWESTERN HOSPITAL,Community water system,Ground water,Hennepin,-,"5,600",,,
MN1140017,AMERICAN ESTATES,Community water system,Ground water,Clay,-,25,,,
MN1140018,AMERICANA ESTATES I,Community water system,Ground water,Clay,-,112,,,
MN1680011,"AMG, Inc.",Community water system,Ground water,Roseau,-,350,,,
MN1270052,AMSBURY TOWNHOUSES,Community water system,Ground water,Hennepin,-,130,,,
MN1690037,ANN'S ACRES ADDITION,Community water system,Ground water,St. Louis,-,321,,,
MN1730046,APTS 2900 CLEARWATER C/O MGR,Community water system,Ground water,Stearns,-,25,,,
MN1620010,ARDEN MANOR MOBILE HOME PARK,Community water system,Surface water purchased,Ramsey,-,800,,,
MN1570005,Aaseby Court,Community water system,Ground water,Pennington,-,50,,,
MN1540001,Ada,Community water system,Ground water,Norman,Ada,"1,709",,,
MN1500001,Adams,Community water system,Ground water,Mower,Adams,800,,,
MN1530001,Adrian,Community water system,Ground water,Nobles,Adrian,"1,211",,,
MN1110001,Ah Gwah Ching Center,Community water system,Ground water,Cass,-,400,,,
MN1010001,Aitkin,Community water system,Ground water,Aitkin,Aitkin,"1,984",,,
MN1290001,Akeley,Community water system,Ground water,Hubbard,Akeley,429,,,
MN1730001,Albany,Community water system,Ground water,Stearns,Albany,"2,531",,,
MN1240001,Albert Lea,Community water system,Ground water,Freeborn,Albert Lea,"18,016",,,
MN1750001,Alberta,Community water system,Ground water purchased,Stevens,Alberta,143,,,
MN1240004,Alden,Community water system,Ground water,Freeborn,Alden,661,,,
MN1210001,Alexandria,Community water system,Ground water,Douglas,Alexandria,"12,415",,,
MN1320001,Alpha,Community water system,Ground water,Jackson,Alpha,121,,,
MN1850018,Altura,Community water system,Ground water,Winona,Altura,493,,,
MN1450001,Alvarado,Community water system,Ground water purchased,Marshall,Alvarado,366,,,
