PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
MO5031436,10 4 WATER SYSTEM,Community water system,Ground water,Morgan,-,150,,,
MO4010701,154 HOME OWNER ASSOCIATION,Community water system,Ground water,Ste. Genevieve,ROCKY RIDGE,450,,,
MO5031078,265 RIDGE WATER ASSOCIATION,Community water system,Ground water,Stone,-,82,,,
MO3190771,5 81 MOTEL & CAMPGROUND,Community water system,Ground water,Camden,-,75,,,
MO3048029,ACE PLAZA,Community water system,Ground water,Pulaski,-,175,,,
MO5048082,ACRES OF SHADE MHP,Community water system,Ground water,Greene,STAFFORD,50,,,
MO2024000,ADAIR CO PWSD 1,Community water system,Surface water purchased,Adair,KIRKSVILLE,"7,500",,,
MO1010001,ADRIAN,Community water system,Surface water,Bates,ADRIAN,"1,677",,,
MO4010002,ADVANCE,Community water system,Ground water,Stoddard,ADVANCE,"1,347",,,
MO5172802,AGAPE BOARDING SCHOOL,Community water system,Ground water,Cedar,-,250,,,
MO5031435,AIRPORT HOMEOWNERS ASSN INC,Community water system,Ground water,Barry,-,50,,,
MO1048236,AIRY ACRES MHP,Community water system,Ground water purchased,Clinton,GOWER,60,,,
MO5048011,AKERS MOBILE HOME PARK,Community water system,Ground water,Stone,-,50,,,
MO5010004,ALBA,Community water system,Ground water,Jasper,ALBA,550,,,
MO1010006,ALBANY,Community water system,Ground water,Gentry,ALBANY,"1,650",,,
MO3069007,ALGOA CRRCTNL CTR,Community water system,Ground water,Cole,-,"1,700",,,
MO1010009,ALMA,Community water system,Surface water purchased,Lafayette,ALMA,500,,,
MO3048125,ALTA VISTA MOBILE VILLA,Community water system,Ground water,Phelps,ROLLA,60,,,
MO1010010,ALTAMONT,Community water system,Ground water purchased,Daviess,ALTAMONT,168,,,
MO4010011,ALTENBURG,Community water system,Ground water,Perry,ALTENBURG,356,,,
MO4010012,ALTON,Community water system,Ground water,Oregon,ALTON,"1,100",,,
MO1010013,AMAZONIA,Community water system,Ground water purchased,Andrew,AMAZONIA,312,,,
MO1010014,AMORET,Community water system,Surface water purchased,Bates,AMORET,255,,,
MO5010016,ANDERSON,Community water system,Ground water,McDonald,ANDERSON,"1,961",,,
MO1024004,ANDREW CO PWSD 1,Community water system,Ground water purchased,Andrew,SAVANNAH,"5,538",,,
MO1024005,ANDREW CO PWSD 2,Community water system,Ground water purchased,Andrew,COSBY,"3,455",,,
MO1024006,ANDREW CO PWSD 3,Community water system,Ground water purchased,Andrew,FILLMORE,"1,780",,,
MO1024007,ANDREW CO PWSD 4,Community water system,Ground water purchased,Andrew,-,580,,,
MO4010017,ANNAPOLIS,Community water system,Ground water,Iron,ANNAPOLIS,345,,,
MO4010018,ANNISTON,Community water system,Ground water purchased,Mississippi,ANNISTON,293,,,
MO4036311,ANTHONIES MILL RESORT SUBDIVISION,Community water system,Ground water,Washington,-,200,,,
