PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
MP0000176,3K ICE AND WATER COMPANY,Community water system,Ground water purchased,Tinian Municipality,SAN JOSE VILLAGE,208,,,
MP0000215,99 CENTS SUPERMART WATER,Community water system,Ground water purchased,Saipan Municipality,GARAPAN,"1,000",,,
MP0S05009,AMERICAN INVESTMENT CORP.,Community water system,Ground water,Saipan Municipality,-,304,,,
MP0000106,AMERICAN PACIFIC TEXTILE,Community water system,Ground water,Saipan Municipality,TANAPAG,850,,,
MP0000043,ANAKS CONDOMINIUM,Community water system,Ground water,Saipan Municipality,PUERTO RICO,191,,,
MP0000039,"ANGEL HOUSE ENT., INC.",Community water system,Ground water,Saipan Municipality,CHINA TOWN,60,,,
MP0000061,AQUA BEST,Community water system,Ground water purchased,-,CHALAN PIAO,11,,,
MP0000156,AQUA DE VIE,Community water system,Ground water purchased,Saipan Municipality,GARAPAN,25,,,
MP0000086,AQUA RESORT STAFF HOUSING,Community water system,Ground water,Saipan Municipality,PAPAGO,30,,,
MP0000177,AQUA WATER,Community water system,Ground water,Saipan Municipality,SAN ANTONIO,170,,,
MP0000170,AQUALITE WATER COMPANY,Community water system,Ground water purchased,Saipan Municipality,CHALAN PIAO,220,,,
MP0001001,CAPITOL HILL SYSTEM,Community water system,Surface water,Saipan Municipality,-,999,,,
MP0000094,CK TOWNHOUSE/MAC HOMES,Community water system,Ground water,Saipan Municipality,CHALAN KIYA,46,,,
MP0000088,CMS QUARRY,Community water system,Ground water,Saipan Municipality,KANNAT TABLA,60,,,
MP0000003,COMMONWEALTH UTILITIES CORP. (ROTA),Community water system,Groundwater under influence of surface water,Rota Municipality,-,"3,283",,,
MP0000001,COMMONWEALTH UTILITIES CORP. (SAIPAN),Community water system,Ground water,Saipan Municipality,DAN DAN,"48,524",,,
MP0000002,COMMONWEALTH UTILITIES CORP. (TINIAN),Community water system,Ground water,Tinian Municipality,SAN JOSE VILLAGE,"3,005",,,
MP0000042,CRYSTAL WATER,Community water system,Purchased ground water under influence of surface water source,Saipan Municipality,PAPAGO,304,,,
MP0000062,CULLIGAN RAIN WATER,Community water system,Unknown Primary Source,-,-,41,,,
MP0000040,DAE YOO CORP/SUITE PALMS,Community water system,Ground water,Saipan Municipality,CHALAN KIYA,88,,,
MP0000023,DAI-ICHI HOTEL SOUTH BARRACKS,Community water system,Ground water,Saipan Municipality,GARAPAN,83,,,
MP1005000,DEPT OF PUBLIC WORKS,Community water system,Ground water,Saipan Municipality,-,"1,400",,,
MP1006000,DEPT OF PUBLIC WORKS,Community water system,Ground water,Saipan Municipality,KAGMAN,300,,,
MP1007000,DEPT OF PUBLIC WORKS,Community water system,Ground water,Saipan Municipality,-,"1,200",,,
MP1009000,DEPT OF PUBLIC WORKS,Community water system,Ground water,Saipan Municipality,-,"4,000",,,
MP1004000,DEPT OF PUBLIC WORKS,Community water system,Ground water purchased,Saipan Municipality,-,"1,300",,,
MP1003000,DEPT OF PUBLIC WORKS,Community water system,Ground water purchased,Saipan Municipality,-,"1,000",,,
MP1008000,DEPT OF PUBLIC WORKS,Community water system,Ground water,Saipan Municipality,-,"4,000",,,
MP0000064,DIAMOND ICE AND WATER,Community water system,Ground water purchased,Saipan Municipality,CAPITAL HILL,155,,,
MP0000221,DIAMOND WATER GUALO RAI,Community water system,Ground water,Saipan Municipality,GUALO RAI,55,,,
MP0000105,EXPRESS GARMENT MANUFACTURING,Community water system,Ground water purchased,Saipan Municipality,PUERTO RICO,185,,,
MP0000113,FINASISU TERRACE APARTMENT/TAN HOLDINGS,Community water system,Ground water,Saipan Municipality,FINASISU,393,,,
MP0000136,FLAME TREE TERRACE APARTMENT,Community water system,Ground water,-,CAPITAL HILL,0,,,
MP0000098,GRACE INTERNATIONAL,Community water system,Ground water purchased,Saipan Municipality,SUSUPE,411,,,
MP0000095,HANSAE GARMENT,Community water system,Ground water,-,GUALO RAI,210,,,
MP0000011,HYATT HOTEL STAFF HOUSING,Community water system,Ground water,Saipan Municipality,CHINA TOWN,77,,,
MP0000149,HYUN JIN BARRACKS,Community water system,Ground water,Saipan Municipality,GUALO RAI,100,,,
MP0000135,HYUN JIN/ LEE GUN APARTMENT,Community water system,Ground water,-,-,0,,,
MP0001008,ISLEY / DAN DAN SYSTEM,Community water system,Ground water,Saipan Municipality,-,999,,,
MP0001007,ISLEY FIELD SYSTEM,Community water system,Ground water,Saipan Municipality,-,999,,,
MP0000056,JAPAN ENT. BARRACKS,Community water system,Ground water,-,NAVY HILL,19,,,
MP0000027,JG SABLAN ICE AND WATER,Community water system,Ground water,Saipan Municipality,GARAPAN,173,,,
MP0000090,JIN APPAREL GARMENT,Community water system,Ground water,-,SAN VICENTE,486,,,
MP0000100,JOO ANG APPAREL,Community water system,Ground water,Saipan Municipality,SAN ANTONIO,365,,,
MP0001009,KAGMAN VILLAGE SYSTEM,Community water system,Ground water,Saipan Municipality,KAGMAN,999,,,
MP0000134,KANNAT GARDENS,Community water system,Ground water,Saipan Municipality,KANNAT TABLA,63,,,
MP0000118,KINPACHI BARRACKS,Community water system,Unknown Primary Source,-,-,13,,,
MP0000129,KUANG QUING/ PELLY ENT./ HAFADAI WATER,Community water system,Ground water,Saipan Municipality,AS LITO,45,,,
MP0000084,LAO LAO BAY GOLF RESORT,Community water system,Ground water,Saipan Municipality,KAGMAN,314,,,
MP0000081,M-HOUSE/ GARDEN MOTEL/ KANG CORP,Community water system,Ground water,Saipan Municipality,CHALAN LAU LAU,10,,,
MP0000049,MARIANA FASHION,Community water system,Ground water,Saipan Municipality,SAN ANTONIO,547,,,
MP0000078,MARIANAS COUNTRY CLUB,Community water system,Ground water,Saipan Municipality,MARPI,170,,,
MP0000099,MARIANAS GARMENT MANUFACTURING,Community water system,Ground water,Saipan Municipality,CHALAN PIAO,884,,,
MP0000163,MARIANAS ICE AND WATER,Community water system,Ground water purchased,Saipan Municipality,PAPAGO,201,,,
MP0000216,MARIANAS PACIFIC FOODS,Community water system,Ground water purchased,Saipan Municipality,KOBLERVILLE,150,,,
MP0000055,MICHIGAN GARMENT,Community water system,Ground water,Saipan Municipality,SAN ANTONIO,541,,,
MP0000014,MIRAGE GARMENT,Community water system,Ground water,Saipan Municipality,GUALO RAI,584,,,
MP0000053,MODERN STATIONARY,Community water system,Ground water,Saipan Municipality,SAN JOSE,60,,,
MP0000166,MOUNTAIN FRESH WATER,Community water system,Ground water purchased,Saipan Municipality,PAPAGO,25,,,
MP0001003,NAVY HILL SOUTH SYSTEM,Community water system,Surface water,Saipan Municipality,-,999,,,
MP0001002,NAVY HILL SYSTEM,Community water system,Surface water,Saipan Municipality,NAVY HILL,999,,,
MP0000015,"NEO FASHION, INC.",Community water system,Ground water,-,SAN ANTONIO,391,,,
MP0S05007,NORTH PACIFIC BUILDERS KANAT TABLA,Community water system,Ground water,Saipan Municipality,-,46,,,
MP0S05006,NORTH PACIFIC BUILDERS SAN VICENTE,Community water system,Ground water,Saipan Municipality,-,52,,,
MP0000036,ONWEL GARMENT,Community water system,Ground water,Saipan Municipality,SUSUPE,"1,079",,,
MP0000012,PACIFIC ISLANDS CLUB,Community water system,Ground water,Saipan Municipality,SAN ANTONIO,554,,,
MP0000083,PALMS RESORT DORMITORY,Community water system,Ground water,Saipan Municipality,SAN ROQUE,60,,,
MP0000071,PALMS RESORT SAIPAN/ NIKKO HOTEL,Community water system,Ground water,Saipan Municipality,AS MATUIS,634,,,
MP0000116,PANG JIN/ DAVID OH BARRACKS,Community water system,Ground water,Saipan Municipality,CHALAN LAU LAU,8,,,
MP0000140,PARADISE APARTMENT,Community water system,Ground water,-,SAN JOSE,10,,,
MP0000214,PAYLESS WATER,Community water system,Ground water purchased,Saipan Municipality,CHALAN KANOA,"1,000",,,
MP0000126,PELLY ENT./ SY AQUA CHINA TOWN,Community water system,Ground water,-,CHINA TOWN,17,,,
MP0000065,PLS WATER/ EUCON WATER,Community water system,Ground water purchased,Saipan Municipality,KAGMAN,10,,,
MP0000154,PURE WATER SYSTEM,Community water system,Ground water,Saipan Municipality,CHALAN LAU LAU,0,,,
MP0000007,RIFU - SAM MARIANAS,Community water system,Ground water,Saipan Municipality,TANAPAG,420,,,
MP0000097,RIFU APPAREL CORPORATION (NAVY HILL),Community water system,Ground water,-,NAVY HILL,17,,,
MP0000019,RIFU APPAREL CORPORATION (SAN VICENTE),Community water system,Ground water purchased,Saipan Municipality,SAN VICENTE,350,,,
MP0000165,ROTA CRYSTAL,Community water system,Ground water purchased,Rota Municipality,SINAPALU,226,,,
MP0003001,ROTA ISLAND WATER SYSTEM,Community water system,Surface water,-,-,"1,200",,,
MP0000070,ROTA RESORT & COUNTRY CLUB,Community water system,Ground water,Rota Municipality,SINAPALU,175,,,
MP0000160,"S.T.A.R. MARIANAS, INC.",Community water system,Groundwater under influence of surface water,Saipan Municipality,CHALAN LAU LAU,"1,522",,,
MP0S05001,SABLAN CONSTRUCTION BARRACKS,Community water system,Ground water,Saipan Municipality,SAN ANTONIO,200,,,
MP0000137,SABLAN ENTERPRISE/ CHALAN PIAO,Community water system,Ground water,Saipan Municipality,CHALAN PIAO,161,,,
MP1002000,SAIPAN 2,Community water system,Ground water,Saipan Municipality,NAVY HILL,"20,000",,,
MP0000180,SAIPAN COOL WATER AND ICE INC.,Community water system,Ground water,Saipan Municipality,KANNAT TABLA,135,,,
MP0000074,SAIPAN GOLD BEACH,Community water system,Ground water,-,GARAPAN,17,,,
MP0000004,SAIPAN ICE AND WATER,Community water system,Ground water,Saipan Municipality,LOWER BASE,"3,062",,,
MP0000213,SAN JOSE MART WATER,Community water system,Ground water purchased,Saipan Municipality,SAN JOSE,130,,,
MP0001006,SAN VICENTE SYSTEM,Community water system,Surface water,Saipan Municipality,-,999,,,
MP0000067,SN-FIVE WATER COMPANY,Community water system,Ground water purchased,Tinian Municipality,SAN JOSE VILLAGE,0,,,
MP0000211,SN-FIVE WATER COMPANY,Community water system,Ground water purchased,Tinian Municipality,-,505,,,
MP0000037,STANFORD RESORT HOTEL,Community water system,Ground water,Saipan Municipality,SAN VICENTE,33,,,
MP0000218,SUHANA WATER CO.,Community water system,Ground water purchased,Saipan Municipality,KOBLERVILLE,104,,,
MP0000103,SUNTEXT/ NET CORPORATION GARMENT,Community water system,Ground water,-,SAN ANTONIO,20,,,
MP0000162,SWIP CORPORATION,Community water system,Ground water purchased,Saipan Municipality,CAPITAL HILL,206,,,
MP0000022,TAN HOLDINGS/ DAI-ICHI N. BARRACKS,Community water system,Ground water,-,GARAPAN,44,,,
MP0000114,TAN HOLDINGS/ GOLD BARON BARRACKS,Community water system,Ground water,-,GARAPAN,283,,,
MP0000091,TAN HOLDINGS/ TRANSASIA,Community water system,Ground water,Saipan Municipality,LOWER BASE,0,,,
MP0000110,TAN HOLDINGS/ UMDA BARRACKS,Community water system,Ground water,Saipan Municipality,PUERTO RICO,100,,,
MP0001005,TANAPAG NORTH SYSTEM,Community water system,Surface water,Saipan Municipality,-,"1,536",,,
MP0001004,TANAPAG WOUTH SYSTEM,Community water system,Surface water,Saipan Municipality,-,999,,,
MP0000063,THE WATER COMPANY,Community water system,Ground water purchased,Saipan Municipality,LOWER BASE,"1,203",,,
MP0000054,TINIAN CRYSTAL CLEAR,Community water system,Ground water purchased,Tinian Municipality,SAN JOSE VILLAGE,44,,,
MP0000068,TINIAN ICE AND WATER,Community water system,Ground water purchased,Tinian Municipality,SAN JOSE VILLAGE,300,,,
MP0002001,TINIAN ISLAND WATER SUPPLY,Community water system,Ground water,-,-,900,,,
MP0000066,TOMS WATER,Community water system,Ground water purchased,-,CAPITAL HILL,57,,,
MP0000020,"TOP FASHION, INC.",Community water system,Ground water,Saipan Municipality,TANAPAG,"1,630",,,
MP0000047,TRANSAMERICA (SAIPAN) CORP.,Community water system,Ground water,Saipan Municipality,CHALAN LAU LAU,0,,,
