PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
MS0490001,51-55 WATER ASSOCIATION,Community water system,Ground water purchased,Montgomery,-,486,,,
MS0360033,A B E TULA WATER SYSTEM,Community water system,Ground water,Lafayette,OXFORD,180,,,
MS0610001,ACL WATER ASSOCIATION #1,Community water system,Ground water,Rankin,-,"1,495",,,
MS0610041,ACL WATER ASSOCIATION #2,Community water system,Ground water,Rankin,-,"1,383",,,
MS0260001,ACONA WATER ASSOCIATION #1,Community water system,Ground water,Holmes,-,"1,642",,,
MS0260002,ACONA WATER ASSOCIATION #2,Community water system,Ground water,Holmes,LEXINGTON,"1,128",,,
MS0010009,ADAMS CO W/A #2-SOUTH,Community water system,Ground water,Adams,-,"7,982",,,
MS0010013,ADAMS CO W/A #3-PROVIDENCE,Community water system,Ground water purchased,Adams,-,78,,,
MS0010015,ADAMS CO W/A #4-KAISER LAKE,Community water system,Ground water,Adams,-,"8,004",,,
MS0010008,ADAMS CO WTR ASSN NO 1 NORTH,Community water system,Ground water,Adams,NATCHEZ,"2,193",,,
MS0010004,ADAMS CO WTR ASSN- FORESITE SY,Community water system,Ground water,Adams,-,441,,,
MS0530001,ADATON W/A #1-JOSEY CREEK,Community water system,Ground water,Oktibbeha,-,"2,009",,,
MS0530028,ADATON W/A #3-SELF CREEK,Community water system,Ground water,Oktibbeha,STARKVILLE,285,,,
MS0530027,ADTON W/A #2-HIGHWAY 82,Community water system,Ground water,Oktibbeha,STARKVILLE,"1,060",,,
MS0250036,"AFFILIATED INVESTMENTS, INC.",Community water system,Ground water,Harrison,-,177,,,
MS0440013,AIRBASE TRAILER PARK,Community water system,Ground water,Lowndes,-,202,,,
MS0440014,AIRBASE VILLAGE,Community water system,Ground water,Lowndes,-,52,,,
MS0220010,AIRPORT WATER DISTRICT,Community water system,Ground water,Grenada,-,975,,,
MS0240087,"AL RUSHING, EXECUTIVE DIRECTOR",Community water system,Ground water,Harrison,GULFPORT,680,,,
MS0110013,ALCORN STATE UNIVERSITY,Community water system,Ground water,Claiborne,-,"3,824",,,
MS0020006,ALCORN W/A #1-INDIAN SPRINGS,Community water system,Ground water,Alcorn,-,"6,926",,,
MS0020001,ALCORN W/A #2-BIGGERSVILLE,Community water system,Ground water,Alcorn,-,"1,680",,,
MS0580001,ALGOMA WATER ASSOCIATION,Community water system,Ground water,Pontotoc,-,"8,260",,,
MS0580011,ALGOMA WATER ASSOCIATION #2,Community water system,Ground water,Pontotoc,PONTOTOC,"2,001",,,
MS0340012,ALLEN HURST,Community water system,Ground water purchased,Jones,-,960,,,
MS0610088,ALPINE TRAILER PARK,Community water system,Ground water,Rankin,BRANDON,90,,,
MS0610098,ALPINE TRAILER PARK-FLOWOOD,Community water system,Ground water purchased,-,-,63,,,
MS0730001,ALPINE WATER ASSOCIATION,Community water system,Ground water,Union,-,840,,,
MS0420045,AMERICAS CATCH THE FARM,Community water system,Ground water,Leflore,-,185,,,
MS0360002,ANCHOR WATER ASSOCIATION,Community water system,Ground water,Lafayette,-,"2,000",,,
MS0700020,ANTIOCH W/A,Community water system,Ground water purchased,Tippah,RIPLEY,480,,,
MS0240203,APPLE VALLEY TRAILER PARK,Community water system,Ground water,Harrison,-,55,,,
MS0690001,ARKABUTLA WATER ASSOCIATION,Community water system,Ground water,Tate,-,490,,,
MS0560006,ARLINGTON W/A,Community water system,Ground water,Perry,-,605,,,
MS0560014,ARLINGTON W/A-HINTONVILLE,Community water system,Ground water,Perry,-,715,,,
MS0110007,ARNOLD ACRES MOBILE HOME PARK,Community water system,Ground water,Claiborne,-,226,,,
MS0370001,ARNOLD LINE WATER ASSOCIATION,Community water system,Ground water,Lamar,-,"7,000",,,
MS0450031,ARTHUR TATE,Community water system,Ground water,Madison,SHARON,634,,,
MS0540001,ASL WATER ASSOCIATION,Community water system,Ground water,Panola,-,750,,,
MS0090001,"ATLANTA WATER SYSTEM, INC.",Community water system,Ground water,Chickasaw,-,700,,,
MS0240015,AZALEA TRAILER LODGE,Community water system,Ground water,Harrison,-,399,,,
MS0250037,B & B WATER SUPPLY,Community water system,Ground water,Hinds,-,51,,,
MS0240083,B J STEPHEN,Community water system,Ground water,Harrison,-,52,,,
MS0240050,B R GORDON,Community water system,Ground water,Harrison,-,140,,,
MS0690009,BACK ACRES,Community water system,Ground water,Tate,-,452,,,
MS0380046,BANK OF MERIDIAN-MONTE CARLO,Community water system,Ground water,Lauderdale,MERIDIAN,85,,,
MS0120001,BARNETT WATER ASSN.,Community water system,Ground water,Clarke,PACHUTA,80,,,
MS0180001,BARRONTOWN W/A,Community water system,Ground water,Forrest,-,"7,115",,,
MS0310006,BAY SPRINGS IND PARK,Community water system,Ground water,Jasper,BAY SPRINGS,650,,,
MS0230019,BAY ST LOUIS LD IMPROVEMENT CO,Community water system,Ground water,Hancock,-,75,,,
MS0240017,"BAY WATERWORKS, INC",Community water system,Ground water,Jackson,-,"2,450",,,
MS0240111,BAYOU OAKS MHP,Community water system,Ground water,Harrison,-,434,,,
MS0240187,BAYOUR PINES SUBDIVISION,Community water system,Ground water,Harrison,-,51,,,
MS0470106,BCM WATER ASSOCIATION,Community water system,Ground water,Marshall,-,"1,657",,,
MS0300091,BEACH BAYOU,Community water system,Ground water,Jackson,-,25,,,
MS0240020,BEACH FRONT PARK S/D,Community water system,Ground water,Harrison,-,33,,,
MS0450002,BEAR CREEK W/A -EAST,Community water system,Ground water,Madison,-,"14,172",,,
MS0450021,BEAR CREEK W/A-WEST,Community water system,Ground water,Madison,-,"21,835",,,
MS0210001,BEAT III W/A #1-SAND HILL,Community water system,Ground water,Greene,-,"3,546",,,
MS0210010,BEAT III W/A #2-UNITY,Community water system,Ground water,Greene,LEAKESVILLE,252,,,
MS0210011,BEAT III W/A #3-JONATHAN,Community water system,Ground water,Greene,-,642,,,
MS0310004,BEAVER MEADOW WATER ASSN.,Community water system,Ground water,Jasper,-,"1,663",,,
MS0310003,BEAVERDAM W/A-NORTH,Community water system,Ground water,Jasper,-,"1,800",,,
MS0310022,BEAVERDAM WATER ASSN INC SOUTH,Community water system,Ground water,Jasper,VOSSBURG,136,,,
MS0600001,BELEN WATER ASSOCIATION,Community water system,Ground water,Quitman,MARKS,87,,,
MS0780001,BELLEFONTAINE WATER ASSN.,Community water system,Ground water,Webster,CALHOUN CITY,472,,,
MS0170001,BELMONT WATER ASSOCIATION,Community water system,Ground water,DeSoto,-,"2,695",,,
MS0140019,BEN CATALINA,Community water system,Ground water,Coahoma,CLARKSDALE,45,,,
MS0820001,BENTON WATER SYSTEM,Community water system,Ground water purchased,Yazoo,BENTON,367,,,
MS0200014,BETHEL CHILDRENS HOME,Community water system,Ground water,George,-,58,,,
MS0470018,BETHLEHEM COMM W/A,Community water system,Ground water,Marshall,POTTS CAMP,27,,,
MS0730024,BETHLEHEM WATER ASSOCIATION,Community water system,Ground water purchased,Union,-,332,,,
MS0510001,BEULAH HUBBARD WATER ASSN,Community water system,Ground water,Newton,-,"2,149",,,
MS0200003,BEXLEY WATER ASSOCIATION,Community water system,Ground water,George,-,"1,313",,,
MS0610034,BIERDEMAN RENTALS,Community water system,Ground water,Rankin,PEARL,262,,,
MS0450004,BIG BLACK W/A-CAMDEN,Community water system,Ground water,Madison,-,"1,167",,,
MS0450003,BIG BLACK WATER ASSOCIATION,Community water system,Ground water,Madison,-,"1,143",,,
MS0070002,BIG CREEK WATER ASSOCIATION,Community water system,Ground water,Calhoun,-,987,,,
MS0600002,BIG FIELD WATER ASSOCIATION,Community water system,Ground water,Quitman,-,400,,,
MS0590002,BIG V WATER ASSOCIATION,Community water system,Ground water,Prentiss,-,"3,680",,,
