PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
MT0000469,20 TAI LANE,Community water system,Ground water,Gallatin,-,50,,,
MT0002560,20 TAI LANE APARTMENTS,Community water system,Ground water,Gallatin,-,40,,,
MT0000470,22 TAI LANE,Community water system,Ground water,Gallatin,-,50,,,
MT0002561,22 TAI LANE APARTMENTS,Community water system,Ground water,Gallatin,-,40,,,
MT0000829,2727 WEST CENTRAL DUPLEXES,Community water system,Ground water,Missoula,MISSOULA,32,,,
MT0001863,27TH STREET DUPLEXES,Community water system,Ground water,Missoula,-,30,,,
MT0000500,779 RADAR SQUADRON,Community water system,Ground water,Valley,-,350,,,
MT0001862,7TH STREET DUPLEXES,Community water system,Ground water,Missoula,-,25,,,
MT0000003,ABSAROKEE WATER AND SEWER DIST,Community water system,Ground water,Stillwater,ABSAROKEE,"1,100",,,
MT0002995,ACADEMY OF NATL NATIVE LEADERSHIP,Community water system,Surface water,Sanders,THOMPSON FALLS,2,,,
MT0000015,ALBERTON  TOWN OF,Community water system,Ground water,Mineral,ALBERTON,495,,,
MT0003552,ALDINGER ACRES SUBDIVISION,Community water system,Ground water,Yellowstone,BILLINGS,100,,,
MT0000968,ALDRICH SPRINGS WATER USERS,Community water system,Ground water,Pondera,CONRAD,40,,,
MT0002543,ALLOMONT APARTMENTS       LOLO,Community water system,Ground water,Missoula,-,25,,,
MT0000100,ALPINE MOBILE MANOR,Community water system,Ground water,Flathead,KALISPELL,45,,,
MT0003229,ALPINE VILLAGE WUA,Community water system,Ground water,Flathead,WHITEFISH,144,,,
MT0003710,AMITY SQUARE WATER SYSTEM,Community water system,Ground water,Missoula,MISSOULA,50,,,
MT0062254,ANACONDA CCC,Community water system,Surface water,Deer Lodge,ANACONDA,290,,,
MT0000017,ANACONDA CIVILIAN CONS CENTER,Community water system,Ground water,Deer Lodge,-,250,,,
MT0000016,ANACONDA WATER DEPARTMENT,Community water system,Ground water,Deer Lodge,ANACONDA,"6,750",,,
MT0004468,ANDESITE RIDGE WATER SYSTEM,Community water system,Ground water purchased,Madison,BIG SKY,450,,,
MT0000582,ANGEL ISLAND SUBDIVISION,Community water system,Ground water,Lincoln,TROY,150,,,
MT0000598,ANNIVERSARY TRAILER COURT,Community water system,Ground water,Lewis and Clark,-,27,,,
MT0003357,ANNIVERSARY TRAILER COURT,Community water system,Ground water,Lewis and Clark,-,35,,,
MT0003203,ANTELOPE COUNTY WATER AND SEWER,Community water system,Surface water purchased,Sheridan,ANTELOPE,59,,,
MT0003003,ANTIGONE ACRES HOA,Community water system,Ground water,Ravalli,HAMILTON,85,,,
MT0004202,ANTLER RIDGE HOMEOWNERS ASSOCIATION,Community water system,Ground water,Gallatin,BIG SKY,50,,,
MT0002129,APPLE BLOSSOM TRAILER COURT,Community water system,Ground water,Ravalli,-,25,,,
MT0004144,APPLEGATE VILLAGE,Community water system,Ground water,Lewis and Clark,HELENA,85,,,
MT0004950,AQUA MAN LLC,Community water system,Surface water purchased,Yellowstone,BILLINGS,25,,,
MT0000055,ARMINGTON TRAILER COURT,Community water system,Ground water,Cascade,-,43,,,
MT0004507,ARROW CREEK TRAILER COURT,Community water system,Ground water,Yellowstone,BILLINGS,65,,,
MT0000458,ASHLAND WATER AND SEWER DIST,Community water system,Ground water,Rosebud,ASHLAND,400,,,
MT0004543,ASHLEY HILL SUBDIVISION,Community water system,Ground water,Flathead,MARION,63,,,
MT0004064,ASPEN GROVE SUBDIVISION,Community water system,Ground water,Gallatin,BIG SKY,35,,,
MT0004367,ASPEN KNOLL,Community water system,Ground water,Flathead,KALISPELL,75,,,
MT0000047,"ASSOCIATED WATER, INC.",Community water system,Ground water,Cascade,-,21,,,
MT0004802,AVALON SUBDIVISION,Community water system,Ground water,Park,EMIGRANT,135,,,
MT0000300,AVISTA UTILITIES NOXON RAPIDS DAM,Community water system,Ground water,Sanders,NOXON,43,,,
MT0000413,AYERS HUTTERITE COLONY,Community water system,Ground water,Fergus,GRASS RANGE,46,,,
MT0002739,B&C TRAILER COURT,Community water system,Ground water,Yellowstone,-,50,,,
MT0000019,BABB WATER USERS ASSN,Community water system,Ground water,Glacier,-,200,,,
MT0004754,BACK ROADS H2O SERVICE,Community water system,Surface water purchased,Yellowstone,LAUREL,25,,,
MT0003196,BAHNY BRAE SUBDIVISION,Community water system,Ground water,Lewis and Clark,EAST HELENA,35,,,
MT0000020,BAINVILLE  TOWN OF,Community water system,Surface water purchased,Roosevelt,BAINVILLE,407,,,
MT0000374,"BAIR CLARK PROPERTIES, LLC",Community water system,Ground water,Missoula,MISSOULA,180,,,
MT0000021,BAKER  CITY OF,Community water system,Ground water,Fallon,BAKER,"1,948",,,
MT0003736,BARNABY LAKE HOA,Community water system,Ground water,Lincoln,EUREKA,75,,,
