PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
NC0201204,2000 PARK PLACE,Community water system,Ground water,Alamance,BURLINGTON,37,,,
NC0407436,246 SPORTS,Community water system,Ground water,Beaufort,WASHINGTON,30,,,
NC0347102,401 MOBILE HOME PARK,Community water system,Ground water,Hoke,RAEFORD,90,,,
NC2060078,5TH & POPLAR AARTMENTS,Community water system,Surface water purchased,Mecklenburg,CHARLOTTE,38,,,
NC0392107,70 EAST MOBILE ACRES,Community water system,Ground water,Wake,GARNER,229,,,
NC0363409,705 MOBILE HOME PARK,Community water system,Ground water,Moore,ROBBINS,45,,,
NC0416145,8 1/2 MARINA VILLAGE,Community water system,Ground water,Carteret,ATLANTIC BEACH,175,,,
NC0326101,A A A TRAILER PARK,Community water system,Ground water,Cumberland,FAYETTEVILLE,25,,,
NC0392222,A COUNTRY PLACE,Community water system,Ground water,Wake,WAKE FOREST,91,,,
NC0416159,A PLACE AT THE BEACH I,Community water system,Ground water,Carteret,ATLANTIC BEACH,200,,,
NC0113131,A. G. REYNOLDS MHP,Community water system,Surface water purchased,Cabarrus,KANNAPOLIS,177,,,
NC0111418,AAA GREEN ACRES MHP,Community water system,Ground water,Buncombe,CANDLER,74,,,
NC0326464,AARON HILLS MHP,Community water system,Ground water,Cumberland,FAYETTEVILLE,28,,,
NC0241235,ABBINGTON PLACE APARTMENTS,Community water system,Surface water purchased,Guilford,GREENSBORO,914,,,
NC3034001,ABBOTTS CREEK APARTMENT HOMES,Community water system,Surface water purchased,Forsyth,KERNERSVILLE,975,,,
NC0410101,ABBOTTS MOBILE PK,Community water system,Ground water,Brunswick,LELAND,120,,,
NC7065008,ABBOTTS RUN APARTMENTS,Community water system,Surface water purchased,New Hanover,WILMINGTON,400,,,
NC0363020,"ABERDEEN, TOWN OF",Community water system,Ground water,Moore,ABERDEEN,"9,935",,,
NC0234191,ABINGTON S/D,Community water system,Ground water,Forsyth,KERNERSVILLE,"1,506",,,
NC0392101,ACRES OF SPACE MHP,Community water system,Ground water,Wake,KNIGHTDALE,332,,,
NC0326103,ADAMS APT WA SYS,Community water system,Ground water,Cumberland,FAYETTEVILLE,44,,,
NC3041032,ADAMS FARM APARTMENTS,Community water system,Surface water purchased,Guilford,GREENSBORO,"1,273",,,
NC0368110,ADAMS MHP,Community water system,Ground water,Orange,MEBANE,39,,,
NC0351120,ADAMS MHP,Community water system,Ground water,Johnston,MIDDLESEX,77,,,
NC0160308,ADDISON PARK APARTMENTS,Community water system,Surface water purchased,Mecklenburg,CHARLOTTE,"1,082",,,
NC0416213,ADJ-COUNTRY LIVING MHP (WELL1),Community water system,Ground water,Carteret,MOREHEAD CITY,21,,,
NC0416214,ADJ-COUNTRY LIVING MHP (WELL2),Community water system,Ground water,Carteret,MOREHEAD CITY,23,,,
NC0416215,ADJ-COUNTRY LIVING MHP (WELL3),Community water system,Ground water,Carteret,MOREHEAD CITY,22,,,
NC0416216,ADJ-COUNTRY LIVING MHP (WELL4),Community water system,Ground water,Carteret,MOREHEAD CITY,22,,,
NC0201171,ADJ1-BOYD'S MHP #2,Community water system,Ground water,Alamance,BURLINGTON,25,,,
NC0279167,ADJ1-GIDEON GROVE TP #2,Community water system,Ground water,Rockingham,STOKESDALE,25,,,
NC0279602,ADJ1-GUILROCK A MHP,Community water system,Ground water,Rockingham,STOKESDALE,133,,,
NC0286163,ADJ1-SIMMONS MHP,Community water system,Ground water,Surry,MT AIRY,25,,,
NC0465222,ADJ2-BRADLEY OAKS S/D,Community water system,Ground water,New Hanover,WILMINGTON,24,,,
NC0180208,ADJ2-CEDAR HILL/T H JONES,Community water system,Ground water,Rowan,SALISBURY,38,,,
NC0201169,ADJ2-CREEKRIDGE MHP,Community water system,Ground water,Alamance,-,46,,,
NC0180164,ADJ2-EASTBROOK HOUSING DVLPMNT,Community water system,Ground water,Rowan,SALISBURY,135,,,
NC0118297,ADJ2-HOUSTON'S MHP,Community water system,Ground water,Catawba,-,102,,,
