PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
ND4600349,785TH RADAR SQUADRON,Community water system,Ground water,Steele,-,52,,,
ND5100624,786 RADAR SQUADRON (ADC),Community water system,Surface water purchased,Ward,-,120,,,
ND3900001,ABERCROMBIE CITY OF,Community water system,Ground water,Richland,ABERCROMBIE,263,,,
ND5000002,ADAMS CITY OF,Community water system,Ground water,Walsh,-,248,,,
ND1801056,AGASSIZ WATER USERS DISTRICT,Community water system,Ground water,Grand Forks,-,"3,438",,,
ND2700006,ALEXANDER CITY OF,Community water system,Ground water,McKenzie,ALEXANDER,"1,335",,,
ND2701733,ALEXANDER HILLVIEW ESTATES,Community water system,Surface water purchased,McKenzie,-,25,,,
ND0900008,ALICE CITY OF,Community water system,Ground water purchased,Cass,-,83,,,
ND0501057,ALL SEASONS WD-SYSTEM I,Community water system,Ground water,Bottineau,-,890,,,
ND0501127,ALL SEASONS WD-SYSTEM III,Community water system,Ground water purchased,Bottineau,-,790,,,
ND4001153,ALL SEASONS WD-SYSTEM IV,Community water system,Ground water,Rolette,-,670,,,
ND3501476,ALL SEASONS WD-SYSTEM V,Community water system,Ground water purchased,Pierce,-,"1,075",,,
ND0501126,ALL SEASONS WUA-SYSTEM II,Community water system,Ground water,Bottineau,BOTTINEAU,300,,,
ND3000012,ALMONT CITY OF,Community water system,Surface water purchased,Morton,ALMONT,122,,,
ND1200015,AMBROSE CITY OF,Community water system,Ground water,Divide,-,109,,,
ND0900017,AMENIA CITY OF,Community water system,Ground water purchased,Cass,AMENIA,94,,,
ND2500021,ANAMOOSE CITY OF,Community water system,Ground water purchased,McHenry,ANAMOOSE,282,,,
ND3200023,ANETA CITY OF,Community water system,Ground water purchased,Nelson,ANETA,222,,,
ND0800094,ANNUNCIATION PRIORY,Community water system,Ground water,Burleigh,-,180,,,
ND0500025,ANTLER CITY OF,Community water system,Ground water purchased,Bottineau,-,135,,,
ND0800070,APPLE CREEK MOBILE HOME PARK,Community water system,Purchased ground water under influence of surface water source,Burleigh,-,400,,,
ND0800648,APPLE VALLEY COOP,Community water system,Purchased ground water under influence of surface water source,Burleigh,-,200,,,
ND5000029,ARDOCH CITY OF,Community water system,Surface water purchased,Walsh,-,70,,,
ND0900030,ARGUSVILLE CITY OF,Community water system,Ground water purchased,Cass,ARGUSVILLE,475,,,
ND2701606,ARNEGARD DIAMOND ESTATES,Community water system,Ground water,McKenzie,-,32,,,
ND0900035,ARTHUR CITY OF,Community water system,Ground water purchased,Cass,ARTHUR,337,,,
ND1800036,ARVILLA WATER USERS ASSOCIATION,Community water system,Ground water purchased,Grand Forks,ARVILLA,150,,,
ND2600038,ASHLEY CITY OF,Community water system,Ground water,McIntosh,ASHLEY,749,,,
ND4500822,ASSUMPTION ABBEY,Community water system,Surface water purchased,Stark,RICHARDTON,30,,,
ND2701003,BADLANDS DEVELOPMENT LONG X TC,Community water system,Ground water,McKenzie,-,52,,,
ND2700031,BAR A ACRES TRAILER COURT,Community water system,Ground water,McKenzie,-,30,,,
ND0201058,BARNES RURAL WATER DISTRICT,Community water system,Ground water,Barnes,VALLEY CITY,"3,939",,,
ND3900055,BARNEY CITY OF,Community water system,Ground water purchased,Richland,BARNEY,52,,,
ND5100661,BATTLEGROUND ADDITION,Community water system,Ground water purchased,Ward,-,95,,,
ND1201549,BDW RURAL WATER,Community water system,Surface water purchased,Divide,-,0,,,
ND1700059,BEACH CITY OF,Community water system,Surface water purchased,Golden Valley,BEACH,"1,019",,,
ND5300996,BEAVER LODGE TRAILER COURT,Community water system,Ground water,Williams,-,70,,,
ND4000062,BELCOURT CITY OF,Community water system,Surface water,Rolette,-,"7,000",,,
ND4500065,BELFIELD CITY OF,Community water system,Surface water purchased,Stark,BELFIELD,"1,013",,,
ND2800069,BENEDICT CITY OF,Community water system,Ground water purchased,McLean,BENEDICT,66,,,
ND4101181,BERG WELL COMPANY,Community water system,Ground water,Sargent,-,31,,,
ND2301216,BERLIN CITY OF,Community water system,Ground water purchased,LaMoure,BERLIN,34,,,
ND5100072,BERTHOLD CITY OF,Community water system,Ground water purchased,Ward,BERTHOLD,454,,,
ND2900074,BEULAH CITY OF,Community water system,Ground water,Mercer,BEULAH,"3,304",,,
ND1300523,BI-HUTCH COURT MHP,Community water system,Ground water purchased,Dunn,-,400,,,
ND5101416,BIG DIPPER HOUSING,Community water system,Ground water purchased,Ward,-,150,,,
ND2000077,BINFORD CITY OF,Community water system,Ground water purchased,Griggs,BINFORD,183,,,
ND4800078,BISBEE CITY OF,Community water system,Ground water purchased,Towner,BISBEE,126,,,
ND0800080,BISMARCK CITY OF,Community water system,Surface water,Burleigh,BISMARCK,"72,417",,,
ND4600093,BLABON CITY OF,Community water system,Ground water purchased,Steele,-,100,,,
ND3100131,BLAISDELL CITY OF,Community water system,Ground water,Mountrail,-,30,,,
ND0500099,BOTTINEAU CITY OF,Community water system,Ground water,Bottineau,BOTTINEAU,"2,211",,,
ND0700114,BOWBELLS CITY OF,Community water system,Ground water purchased,Burke,BOWBELLS,336,,,
ND5200118,BOWDON CITY OF,Community water system,Ground water purchased,Wells,BOWDON,131,,,
ND0600119,BOWMAN CITY OF,Community water system,Ground water,Bowman,BOWMAN,"1,650",,,
ND1500126,BRADDOCK CITY OF,Community water system,Ground water,Emmons,BRADDOCK,43,,,
ND0900317,BRIARWOOD CITY OF,Community water system,Ground water,Cass,-,88,,,
ND0901184,BROOKTREE WELLS INC,Community water system,Ground water,Cass,-,45,,,
ND0900134,BUFFALO CITY OF,Community water system,Ground water purchased,Cass,BUFFALO,188,,,
ND5100138,BURLINGTON CITY OF,Community water system,Ground water,Ward,BURLINGTON,"1,060",,,
ND4900146,BUXTON CITY OF,Community water system,Surface water purchased,Traill,-,235,,,
ND4800152,CANDO CITY OF,Community water system,Ground water,Towner,CANDO,"1,115",,,
