PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
NE3120574,133 ESTATES,Community water system,Ground water,Washington,BLAIR,60,,,
NE3120018,1733 ESTATES ASSOCIATES,Community water system,Ground water,Buffalo,KEARNEY,90,,,
NE3102305,"ABIE, VILLAGE OF",Community water system,Ground water,Butler,ABIE,70,,,
NE3102504,ACCENT MOBILE HOME PARK,Community water system,Ground water,Cass,PLATTSMOUTH,60,,,
NE3120345,ADAMS CO SID 1,Community water system,Ground water,Adams,HASTINGS,326,,,
NE3106712,"ADAMS, VILLAGE OF",Community water system,Ground water,Gage,ADAMS,573,,,
NE3101702,"AINSWORTH, CITY OF",Community water system,Ground water,Brown,AINSWORTH,"1,728",,,
NE3101102,"ALBION, CITY OF",Community water system,Ground water,Boone,ALBION,"1,650",,,
NE3107909,"ALDA, VILLAGE OF",Community water system,Ground water purchased,Hall,ALDA,652,,,
NE3116910,"ALEXANDRIA, VILLAGE OF",Community water system,Ground water,Thayer,ALEXANDRIA,177,,,
NE3105101,"ALLEN, VILLAGE OF",Community water system,Ground water,Dixon,ALLEN,397,,,
NE3101302,"ALLIANCE, CITY OF",Community water system,Ground water,Box Butte,ALLIANCE,"8,500",,,
NE3108307,"ALMA, CITY OF",Community water system,Ground water,Harlan,ALMA,"1,133",,,
NE3102508,"ALVO, VILLAGE OF",Community water system,Ground water,Cass,ALVO,140,,,
NE3120291,AMENS SUBDIVISION,Community water system,Ground water,Keith,OGALLALA,25,,,
NE3120041,"AMHERST, VILLAGE OF",Community water system,Ground water,Buffalo,AMHERST,295,,,
NE3104103,"ANSELMO, VILLAGE OF",Community water system,Ground water,Custer,ANSELMO,151,,,
NE3104104,"ANSLEY, VILLAGE OF",Community water system,Ground water,Custer,ANSLEY,450,,,
NE3106506,"ARAPAHOE, CITY OF",Community water system,Ground water,Furnas,ARAPAHOE,"1,026",,,
NE3117503,"ARCADIA, VILLAGE OF",Community water system,Ground water,Valley,ARCADIA,311,,,
NE3117901,"ARLINGTON, VILLAGE OF",Community water system,Ground water,Washington,ARLINGTON,"1,243",,,
NE3104102,"ARNOLD, VILLAGE OF",Community water system,Ground water,Custer,ARNOLD,597,,,
NE3115505,ASHLAND NATIONAL GUARD CAMP,Community water system,Ground water,Saunders,-,"15,000",,,
NE3115506,"ASHLAND, CITY OF",Community water system,Ground water,Saunders,ASHLAND,"2,453",,,
NE3116301,"ASHTON, VILLAGE OF",Community water system,Ground water,Sherman,ASHTON,196,,,
NE3113703,ASSOCIATION,Community water system,Ground water,Phelps,-,100,,,
NE3105513,ATKINS MOBILE HOME RANCH,Community water system,Ground water,Douglas,-,400,,,
NE3108905,"ATKINSON, CITY OF",Community water system,Ground water,Holt,ATKINSON,"1,258",,,
NE3113706,"ATLANTA, VILLAGE OF",Community water system,Ground water,Phelps,ATLANTA,131,,,
NE3115513,ATLAS TRAILER COURT,Community water system,Ground water,Saunders,-,128,,,
NE3112703,"AUBURN, CITY OF",Community water system,Groundwater under influence of surface water,Nemaha,AUBURN,"3,460",,,
NE3108101,"AURORA, CITY OF",Community water system,Ground water,Hamilton,AURORA,"4,479",,,
NE3102507,"AVOCA, VILLAGE OF",Community water system,Ground water purchased,Cass,AVOCA,254,,,
NE3109902,"AXTELL, VILLAGE OF",Community water system,Ground water,Kearney,AXTELL,840,,,
NE3103901,"BANCROFT, VILLAGE OF",Community water system,Ground water,Cuming,BANCROFT,495,,,
NE3120604,"BARNESTON, VILLAGE OF",Community water system,Ground water purchased,Gage,BARNESTON,122,,,
NE3118501,"BARTLETT, VILLAGE OF",Community water system,Ground water,Wheeler,BARTLETT,111,,,
