PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
NH2342010,175 ESTATES,Community water system,Ground water,Grafton,THORNTON,110,,,
NH0732040,18 HUGHES LN/EFFINGHAM,Community water system,Ground water,Carroll,EFFINGHAM,60,,,
NH2052040,183 SOLRAC 5,Community water system,Ground water,Rockingham,SALEM,50,,,
NH0823010,20 JAFFREY RD,Community water system,Ground water,Cheshire,FITZWILLIAM,32,,,
NH1932130,26 CHANDLER AVE CONDOS,Community water system,Ground water,Rockingham,PLAISTOW,33,,,
NH0202010,ABENAKI WATER /LAKELAND,Community water system,Ground water,Belknap,BELMONT,395,,,
NH0262020,ABENAKI WATER/WHITE ROCK WATER,Community water system,Ground water,Merrimack,BOW,238,,,
NH2232150,ABERDEEN/WEST,Community water system,Ground water,Rockingham,STRATHAM,46,,,
NH2053020,ACKERMAN RETIREMENT PARK,Community water system,Ground water,Rockingham,SALEM,350,,,
NH2003020,ACORN TERRACE,Community water system,Ground water,Strafford,ROCHESTER,205,,,
NH2043010,ADAMS MOBILE HOME PARK,Community water system,Ground water,Rockingham,RYE,158,,,
NH0061010,ALTON WATER WORKS,Community water system,Ground water,Belknap,ALTON,"1,750",,,
NH2003070,AMAZON PARK,Community water system,Ground water,Strafford,ROCHESTER,120,,,
NH0153040,AMBLESIDE MHP,Community water system,Ground water,Strafford,BARRINGTON,163,,,
NH0073020,AMHERST GARDENS,Community water system,Ground water,Hillsborough,AMHERST,132,,,
NH0071010,AMHERST VILLAGE DISTRICT,Community water system,Ground water,Hillsborough,AMHERST,"1,080",,,
NH1712030,ANDELLA HOMES,Community water system,Ground water,Hillsborough,NEW IPSWICH,10,,,
NH1973070,ANDERSONS MOBILE HOMES,Community water system,Ground water,Rockingham,RAYMOND,80,,,
NH0081010,ANDOVER VILLAGE DIST,Community water system,Surface water,Merrimack,ANDOVER,650,,,
NH0613010,ANNIE OAKLEY MHP,Community water system,Ground water,Rockingham,DERRY,127,,,
NH1272020,ANNS LANDING,Community water system,Ground water,Rockingham,KINGSTON,63,,,
NH0091010,ANTRIM SEWER AND WATER DEPT,Community water system,Ground water,Hillsborough,ANTRIM,920,,,
NH1712010,APPLETON GARDENS,Community water system,Ground water,Hillsborough,NEW IPSWICH,57,,,
NH1051010,AQUARION WATER/NH,Community water system,Ground water,Rockingham,HAMPTON,"23,000",,,
NH0732010,ARTIS REMICK,Community water system,Ground water,Carroll,-,25,,,
NH0101010,ASHLAND WATER DEPT,Community water system,Ground water,Grafton,ASHLAND,"1,500",,,
NH1562020,ASHLEY COMMONS,Community water system,Ground water purchased,Hillsborough,MILFORD,73,,,
NH2302010,ASHUELOT RIVER APTS,Community water system,Ground water,Cheshire,SWANZEY,100,,,
NH0072040,ATHERTON COMMON,Community water system,Ground water,Hillsborough,AMHERST,113,,,
NH0112020,ATKINSON APTS,Community water system,Ground water,Rockingham,ATKINSON,150,,,
NH0112100,ATKINSON WOODS,Community water system,Ground water,Rockingham,ATKINSON,140,,,
NH1973010,ATTN: T0M W. PARKER,Community water system,Ground water,Rockingham,RAYMOND,25,,,
NH2082100,AUTUMN HILLS,Community water system,Unknown Primary Source,-,-,8,,,
NH0612220,AUTUMN WOODS,Community water system,Ground water,Rockingham,DERRY,73,,,
NH2052070,AUTUMN WOODS,Community water system,Ground water,Rockingham,SALEM,180,,,
NH1562030,BADGER HILL,Community water system,Ground water,Hillsborough,MILFORD,265,,,
NH2232060,BALMORAL CONDOS,Community water system,Ground water,Rockingham,STRATHAM,105,,,
NH0612040,BARKLAND ACRES,Community water system,Ground water,Rockingham,DERRY,80,,,
NH0152030,BARRINGTON HILLS APTS/LOWER,Community water system,Ground water,Strafford,BARRINGTON,38,,,
NH0152050,BARRINGTON HILLS APTS/UPPER,Community water system,Ground water,Strafford,BARRINGTON,43,,,
NH0153050,BARRINGTON MOBILE HOME ESTATES,Community water system,Ground water,Strafford,BARRINGTON,198,,,
NH0153030,BARRINGTON OAKS,Community water system,Ground water,Strafford,BARRINGTON,123,,,
NH0162250,BARTLETT PLACE,Community water system,Ground water,Carroll,BARTLETT,72,,,
NH0161010,BARTLETT VILLAGE PCT,Community water system,Surface water,Carroll,BARTLETT,625,,,
NH0702010,BARTON MHP,Community water system,Ground water,Rockingham,EAST KINGSTON,43,,,
NH0171010,BATH VILLAGE WATER WORKS,Community water system,Ground water,Grafton,BATH,136,,,
NH2373030,BAYBREEZE MOBILE HOME PARK,Community water system,Ground water,Carroll,TUFTONBORO,5,,,
NH1182030,BAYVIEW TERRACE CONDOMINIUMS,Community water system,Ground water,Hillsborough,WOOKSETT,50,,,
NH0612100,BEACON HILL,Community water system,Ground water,Rockingham,DERRY,110,,,
NH0162340,BEAR VILLAGE SOUTH,Community water system,Ground water,Carroll,BARTLETT,30,,,
NH0162430,BEARFOOT CREEK,Community water system,Ground water,Carroll,BARTLETT,28,,,
NH0342060,BECKET HOUSE AT CAMPTON,Community water system,Ground water,Grafton,CAMPTON,32,,,
NH0192010,BEDFORD WATER,Community water system,Ground water,Hillsborough,BEDFORD,165,,,
NH0342010,BEEBE RIVER,Community water system,Ground water,Grafton,CAMPTON,63,,,
NH0803040,BEECH HILL PARK,Community water system,Ground water,Rockingham,EXETER,70,,,
NH0262030,BELA BROOK WATER,Community water system,Ground water,Merrimack,BOW,50,,,
NH0882100,BELKNAP HEIGHTS WATER,Community water system,Ground water,Belknap,GILFORD,60,,,
NH0201010,BELMONT WATER DEPT,Community water system,Ground water,Belknap,BELMONT,"1,612",,,
NH0201020,BELMONT WATER DEPT/NORTH,Community water system,Surface water purchased,Belknap,BELMONT,150,,,
NH0211010,BENNINGTON WATER DEPT,Community water system,Ground water,Hillsborough,BENNINGTON,775,,,
NH1862020,BERKSHIRE MANAGEMENT CO,Community water system,Ground water,Merrimack,PEMBROKE,75,,,
