PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
NJ0415003,772 RADAR SQDR SKYVIEW H,Community water system,Ground water,-,-,75,,,
NJ0413001,772 RADAR SQUADRON,Community water system,Ground water,-,GIBBSBORO,88,,,
NJ0506013,A AND J MOBILE HOME PARK,Community water system,Ground water,Cape May,MIDDLE TWP.-0506,86,,,
NJ1330002,ABERDEEN - CLIFFWOOD/CLIFFWOOD BEACH,Community water system,Surface water purchased,Monmouth,ABERDEEN TWP-1330,"6,775",,,
NJ1330004,ABERDEEN - FRENEAU,Community water system,Surface water purchased,Monmouth,ABERDEEN TWP-1330,286,,,
NJ1330001,ABERDEEN TWP MUA,Community water system,Ground water,Essex,ABERDEEN TWP,"10,400",,,
NJ1330003,ABERDEEN- HIGH SCHOOL/OAKSHADE AREA,Community water system,Surface water purchased,Monmouth,ABERDEEN TWP-1330,"1,388",,,
NJ1414023,ABERNAKI TRAIL HOMEOWNERS ASSOCIATION,Community water system,Ground water,Morris,JEFFERSON TWP.-1414,70,,,
NJ0111001,ABSECON ESTATES,Community water system,Ground water,Atlantic,GALLOWAY TWSP,42,,,
NJ0111418,ABSECON TEXACO,Community water system,Ground water,Atlantic,GALLOWAY,0,,,
NJ1319001,ADELPHIA WATER COMPANY,Community water system,Ground water,Essex,HOWELL TWP,"7,600",,,
NJ0307002,ALBERT C WAGNER YOUTH CO,Community water system,Ground water,Burlington,CHESTERFIELD TWP.-0307,"2,500",,,
NJ1511011,ALL SEASONS MOBILE HOME PARK,Community water system,Ground water,Ocean,JACKSON TWP.-1511,64,,,
NJ2101001,ALLAMUCHY TWP WATER & SEWER,Community water system,Ground water,Warren,ALLAMUCHY TWP.-2101,"4,573",,,
NJ2101002,ALLAMUCHY WATER DISTRICT #1,Community water system,Ground water purchased,Warren,ALLAMUCHY TWP.-2101,135,,,
NJ0201001,ALLENDALE WATER DEPT,Community water system,Surface water purchased,Bergen,ALLENDALE BORO-0201,"6,702",,,
NJ1301001,ALLENHURST WATER DEPT,Community water system,Ground water,Essex,ALLENHURST,950,,,
NJ1302001,ALLENTOWN WATER DEPT,Community water system,Ground water,Monmouth,ALLENTOWN BORO-1302,"2,000",,,
NJ0335001,"ALLENWOOD ESTATES, LLC",Community water system,Ground water,Burlington,TABERNACLE TWP.-0335,135,,,
NJ2102001,ALPHA MUNICIPAL WATER WORKS,Community water system,Ground water,Warren,ALPHA BORO-2102,"2,530",,,
NJ0105002,ALPINE VILLAGE,Community water system,Ground water,Atlantic,BUENA VISTA TWP-0105,70,,,
NJ0436001,ANCORA PSYCHIATRIC HOSPI,Community water system,Surface water purchased,Camden,WINSLOW TWP.-0436,"2,500",,,
NJ1901001,ANDOVER BORO WATER DEPT,Community water system,Ground water,Sussex,ANDOVER BORO-1901,783,,,
NJ1902001,ANDOVER INTERMEDIATE CAR,Community water system,Ground water,Hunterdon,ANDOVER TWP,720,,,
NJ1902009,ANDOVER INTERMEDIATE CARE CNTR,Community water system,Ground water,Sussex,ANDOVER TWP.-1902,543,,,
NJ1902002,ANDOVER NURSING & CONVAL,Community water system,Ground water,Hunterdon,ANDOVER TWP,200,,,
NJ1902008,ANDOVER NURSING HOME,Community water system,Ground water,Sussex,ANDOVER TWP.-1902,250,,,
NJ1902004,ANDOVER WATER CORP,Community water system,Ground water,Sussex,ANDOVER TWP.-1902,82,,,
NJ1319003,ANGLE INN MOTOR COURT,Community water system,Ground water,Monmouth,HOWELL TWP.-1319,354,,,
NJ2117001,ANTHONY FERRANTE & SONS,Community water system,Ground water,Mercer,OXFORD TWP,272,,,
NJ1907002,AQUA NJ - BEAR BROOK,Community water system,Ground water,Sussex,FREDON TWP.-1907,130,,,
NJ0415002,AQUA NJ - BLACKWOOD,Community water system,Surface water purchased,Camden,GLOUCESTER TWP.-0415,"50,069",,,
NJ2110001,AQUA NJ - BRAINARDS,Community water system,Ground water,Warren,HARMONY TWP.-2110,150,,,
NJ1019001,AQUA NJ - BUNNVALE,Community water system,Ground water,Hunterdon,LEBANON TWP.-1019,268,,,
NJ1004001,AQUA NJ - CALIFON,Community water system,Ground water,Hunterdon,CALIFON BORO-1004,"1,553",,,
NJ0326001,AQUA NJ - CALIFORNIA VILLAGE,Community water system,Ground water,Burlington,NORTH HANOVER TWP.-0326,300,,,
NJ1505002,AQUA NJ - EASTERN DIVISION,Community water system,Ground water,Ocean,BERKELEY TWP.-1505,"12,000",,,
NJ1015004,AQUA NJ - FOX HILL,Community water system,Ground water,Hunterdon,HOLLAND TWP.-1015,172,,,
NJ1103001,AQUA NJ - HAMILTON SQUARE,Community water system,Surface water purchased,Mercer,HAMILTON TWP.-1103,"39,128",,,
NJ0326004,AQUA NJ - HANOVER MOBILE VILLAGE,Community water system,Ground water,Burlington,NORTH HANOVER TWP.-0326,285,,,
NJ2110003,AQUA NJ - HARKERS HOLLOW,Community water system,Ground water,Warren,HARMONY TWP.-2110,40,,,
NJ1107002,AQUA NJ - LAWRENCE,Community water system,Surface water purchased,Mercer,LAWRENCE TWP.-1107,"8,655",,,
NJ2119001,AQUA NJ - PHILLIPSBURG,Community water system,Groundwater under influence of surface water,Warren,PHILLIPSBURG TOWN-2119,"34,732",,,
NJ1015003,AQUA NJ - RIEGEL RIDGE,Community water system,Ground water,Hunterdon,HOLLAND TWP.-1015,856,,,
NJ2120001,AQUA NJ - RIEGELSVILLE,Community water system,Ground water purchased,Warren,POHATCONG TWP.-2120,76,,,
NJ0108005,AQUA NJ - SEAVIEW HARBOR,Community water system,Ground water,Atlantic,EGG HARBOR TWP-0108,300,,,
NJ0326008,AQUA NJ - SPARTAN VILLAGE,Community water system,Ground water,Burlington,NORTH HANOVER TWP.-0326,471,,,
NJ1911004,AQUA NJ - SUMMIT LAKE,Community water system,Ground water,Sussex,HARDYSTON TWP.-1911,177,,,
NJ1908001,AQUA NJ - TRANQUILITY SPRINGS,Community water system,Groundwater under influence of surface water,Sussex,GREEN TWP.-1908,599,,,
NJ1922008,AQUA NJ - VERNON,Community water system,Ground water,Sussex,VERNON TWP.-1922,713,,,
NJ1911001,AQUA NJ - WALLKILL,Community water system,Ground water,Sussex,HARDYSTON TWP.-1911,"1,050",,,
NJ2120002,AQUA NJ - WARREN GLEN,Community water system,Ground water,Warren,POHATCONG TWP.-2120,261,,,
NJ0824001,AQUA NJ - WOOLWICH,Community water system,Surface water purchased,Gloucester,WOOLWICH TWP.-0824,"2,061",,,
NJ1904009,AQUA NJ BYRAM,Community water system,Ground water,Sussex,BYRAM TWP.-1904,400,,,
NJ0326010,AQUA NJ CALIFORNIA VILLAGE 2,Community water system,Ground water,Burlington,NORTH HANOVER TWP.-0326,80,,,
NJ0326011,AQUA NJ CALIFORNIA VILLAGE 3,Community water system,Ground water,Burlington,NORTH HANOVER TWP.-0326,76,,,
NJ1438001,AQUA NJ CLIFFSIDE PARK,Community water system,Ground water,Morris,WASHINGTON TWP.-1438,80,,,
NJ1922009,AQUA NJ OAK HILLS,Community water system,Ground water,Sussex,VERNON TWP.-1922,48,,,
NJ0326002,AQUA NJ/DEEP WELL TERR,Community water system,Ground water,Burlington,NORTH HANOVER TWP.-0326,85,,,
NJ1518345,ARISTACARE AT MANCHESTER,Community water system,Ground water,Ocean,MANCHESTER TWP.-1518,475,,,
NJ1352001,ARTHUR BRISBANE CHILD TR,Community water system,Ground water,Monmouth,WALL TWP.-1352,241,,,
NJ1912007,ARTHUR RD WELL ASSOC,Community water system,Ground water,Sussex,HOPATCONG BORO-1912,68,,,
NJ1902005,ASCOT PARK APTS,Community water system,Ground water,Sussex,ANDOVER TWP.-1902,125,,,
