PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
NM3510213,410 COPE PLACE TRAILER PARK,Community water system,Ground water,Lea,-,31,,,
NM3510232,A A MICHAEL STORE & TRAILER PK,Community water system,Ground water,Cibola,PAGUATE,35,,,
NM3500221,ABIQUIU MDWCA,Community water system,Ground water,Rio Arriba,ABIQUIU,400,,,
NM3503826,ACRES ESTATES WATER SYSTEM,Community water system,Ground water,Santa Fe,SANTA FE,350,,,
NM3503926,AGUA FRIA WATER ASSOCIATION,Community water system,Ground water,Santa Fe,SANTA FE,650,,,
NM3546314,AGUA FRIA WATER COMPANY,Community water system,Ground water,Lincoln,-,250,,,
NM3515918,AGUA NEGRA MDWCA,Community water system,Ground water,Mora,HOLMAN,200,,,
NM3545618,AGUA PURA MDWCA,Community water system,Ground water,Mora,CHACON,123,,,
NM3502421,AGUA SANA WUA,Community water system,Ground water,Rio Arriba,HERNANDEZ,"1,200",,,
NM3500630,AGUAS DE FERNANDEZ,Community water system,Ground water,Torrance,-,25,,,
NM3547001,AIRWAY TRAILER COURT,Community water system,Ground water,-,UNKNOWN,25,,,
NM3539307,ALAMEDA ACRES MHP,Community water system,Ground water,Dona Ana,LAS CRUCES,285,,,
NM3547101,ALAMEDA MOBILE HOME PARK,Community water system,Ground water,Bernalillo,-,20,,,
NM3547201,ALAMO ACRES MOBILE HOME PARK,Community water system,Ground water,Bernalillo,-,176,,,
NM3568919,ALAMO HEIGHTS WUA,Community water system,Ground water,Otero,ALAMOGORDO,50,,,
NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,Community water system,Surface water,Otero,ALAMOGORDO,"38,500",,,
NM3510701,ALBUQUERQUE WATER SYSTEM,Community water system,Surface water,Bernalillo,ALBUQUERQUE,"601,983",,,
NM3535021,ALCALDE MDWCA,Community water system,Ground water,Rio Arriba,ALCALDE,"1,500",,,
NM3535123,ALGODONES WUA,Community water system,Ground water,Sandoval,ALGODONES,675,,,
NM3510123,ALL TRIBES SCHOOL,Community water system,Ground water,Sandoval,-,25,,,
NM3508117,ALLISON WATER ASSOCIATION,Community water system,Ground water,McKinley,-,100,,,
NM3558014,ALPINE VILLAGE W AND SD,Community water system,Ground water,Lincoln,RUIDOSO,120,,,
NM3536907,ALTO DE LAS FLORES MDWCA,Community water system,Ground water,Dona Ana,SAN MIGUEL,772,,,
NM3558514,ALTO LAKES WATER AND SANITATION DISTRICT,Community water system,Ground water,Lincoln,ALTO,"1,603",,,
NM3530414,ALTO MOUNTAIN VILLAGE,Community water system,Ground water,Lincoln,ALTO,172,,,
NM3513414,ALTO NORTH WATER COOP,Community water system,Ground water,Lincoln,ALTO,200,,,
NM3501701,AMERICAN WATER HAULING,Community water system,Ground water purchased,Bernalillo,TIJERAS,1,,,
NM3575632,ANACONDA COMMUNITY MILL SITE,Community water system,Ground water,Cibola,BLUEWATER,360,,,
NM3575633,ANACONDA COMMUNITY MILL SITE,Community water system,Ground water,Cibola,BLUEWATER,45,,,
NM3573332,ANACONDA JACKPILE # 4,Community water system,Ground water,Cibola,GRANTS,50,,,
NM3573333,ANACONDA JACKPILE #4,Community water system,Ground water,Cibola,GRANTS,50,,,
NM3511107,ANAPRA WATER WORKS,Community water system,Ground water,Dona Ana,SUNLAND PARK,385,,,
NM3501523,ANASAZI TRAILS WATER CO-OP,Community water system,Ground water,Sandoval,PLACITAS,75,,,
NM3504121,ANCONES MDWWCA,Community water system,Ground water,Rio Arriba,LA MADERA,45,,,
NM3510304,ANGEL FIRE MOBILE HOME ESTATES,Community water system,Ground water,Colfax,ANGEL FIRE,0,,,
NM3531904,ANGEL FIRE SERVICES - VILLAGE OF ANGEL F,Community water system,Ground water,Colfax,ANGEL FIRE,"6,045",,,
NM3526804,ANGEL NEST APARTMENTS,Community water system,Ground water,Colfax,ANGEL FIRE,60,,,
NM3511207,ANTHONY W&SD,Community water system,Ground water,Dona Ana,ANTHONY,"7,904",,,
NM3514510,ANTON CHICO MDWCA,Community water system,Ground water,Guadalupe,ANTON CHICO,365,,,
NM3502621,APODACA MDWCA,Community water system,Ground water,Rio Arriba,DIXON,225,,,
NM3531107,APOLLO ESTATES,Community water system,Ground water,Dona Ana,LAS CRUCES,217,,,
NM3502201,AQUA MAN,Community water system,Ground water purchased,Bernalillo,TIJERAS,40,,,
NM3523102,ARAGON MDWCA,Community water system,Ground water,Catron,ARAGON,45,,,
NM3566321,ARCHULETA MOBILE HOME PARK,Community water system,Ground water,Rio Arriba,ESPANOLA,32,,,
NM3591033,ARCO (ANACONDA)COAL CO - BLUEWATER MILL,Community water system,Ground water,Cibola,-,60,,,
NM3523009,ARENAS VALLEY MDWCA,Community water system,Ground water purchased,Grant,ARENAS VALLEY,"1,522",,,
NM3510009,ARENAS VALLEY WATER SERVICE,Community water system,Ground water,Grant,-,40,,,
NM3530121,ARROYO DEL AGUA MDWCA,Community water system,Ground water,Rio Arriba,YOUNGSVILLE,0,,,
NM3505529,ARROYO SECO MDWCA,Community water system,Ground water,Taos,ARROYO SECO,546,,,
NM3520308,ARTESIA MUNICIPAL WATER SYSTEM,Community water system,Ground water,Eddy,ARTESIA,"14,000",,,
NM3530608,ARTESIA RURAL WATER COOPERATIVE,Community water system,Ground water,Eddy,ARTESIA,"1,825",,,
NM3569826,ASI LA MAR TRAILER PARK,Community water system,Ground water,Santa Fe,SANTA FE,80,,,
NM3509824,AZTEC DOMESTIC WATER SYSTEM,Community water system,Surface water,San Juan,AZTEC,"6,800",,,
NM3548801,BAKERS MOBILE HOME PARK,Community water system,Ground water,Bernalillo,ALBUQUERQUE,200,,,
NM3547501,BARCELONA MOBILE HOME PARK,Community water system,Ground water,Bernalillo,ALBUQUERQUE,350,,,
NM3500321,BARRANCO MDWCA,Community water system,Ground water,Rio Arriba,ABIQUIU,97,,,
NM3522109,BAYARD MUNICIPAL WATER SYSTEM,Community water system,Ground water,Grant,BAYARD,"2,591",,,
NM3513507,BAYLOR SPRINGS CANYON WATER COOPERATIVE,Community water system,Ground water,Dona Ana,-,346,,,
NM3500101,BEARCAT HOMEOWNERS ASSOCIATION,Community water system,Ground water,Bernalillo,TIJERAS,60,,,
NM3524932,BELEN WATER SYSTEM,Community water system,Ground water,Valencia,BELEN,"9,780",,,
