PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
NN3500285,Alamo-Alamo Community,Community water system,Ground water,-,Alamo,785,,,
NN3500286,Alamo-Alamo Springs,Community water system,Ground water,-,Alamo Springs,210,,,
NN3500329,Alamo-Chavez Springs,Community water system,Ground water,-,"Alamo, Chavez Springs",28,,,
NN9935001,Alamo-Secatero Camp,Community water system,Ground water,-,-,55,,,
NN4900220,Aneth - NTUA,Community water system,Ground water,-,Aneth,"1,551",,,
NN4932002,Aneth Community BIA School - BIA,Community water system,Ground water purchased,-,Aneth,192,,,
NN0400824,Baby Rocks -NTUA,Community water system,Ground water,-,"Baby Rocks, Red Point Mesa","1,125",,,
NN3500331,Baca - NTUA,Community water system,Unknown Primary Source,-,-,"1,733",,,
NN3500254,Baca/Haystack - NTUA,Community water system,Ground water,-,Haystack Chapter,399,,,
NN3500294,Bass Lake - O&M,Community water system,Ground water,-,"Coyote Canyon, Southwest of",100,,,
NN3532003,Beclabito BIA Day School - BIA,Community water system,Surface water purchased,-,Beclabito,120,,,
NN3500265,Black Springs Wash/Deer Springs - NTUA,Community water system,Unknown Primary Source,-,-,176,,,
NN0400363,Blue Gap/Tachee 4K-388  - O&M,Community water system,Ground water,-,-,24,,,
NN3510002,Boardman Loop - NTUA,Community water system,Ground water purchased,-,Boardman Loop,58,,,
NN3500292,Bread Springs/Chichiltah - NTUA,Community water system,Ground water,-,"Bread Springs, Chichiltah","2,124",,,
NN3500264,Buffalo Springs - NTUA,Community water system,Ground water,-,Buffalo Springs,411,,,
NN3503030,Burnham - O&M,Community water system,Ground water,-,Burnham,48,,,
NN4903073,Cane Valley - NTUA,Community water system,Ground water,-,Cane Valley,58,,,
NN3500287,Canoncito,Community water system,Ground water,-,Canoncito,"1,320",,,
NN0403022,Canyon De Chelly National Monument,Community water system,Ground water,-,Chinle,55,,,
NN3503063,Carson/Huerfano - NTUA,Community water system,Ground water,-,Huerfano,"1,144",,,
NN4903074,Casa Del Eco Mesa - NTUA,Community water system,Ground water,-,Casa Del Eco Mesa,207,,,
NN3503060,Casamero Cup - NTUA,Community water system,Ground water,-,"Smith Lake, Northeast of",31,,,
NN3500256,Casamero Lake/Smith Lake - NTUA,Community water system,Ground water,-,"Casamero Lake, Borrego Pass, Smith Lake","1,087",,,
NN3500271,Chichiltah - NTUA,Community water system,Unknown Primary Source,-,-,105,,,
NN0400290,Chilchinbeto - NTUA,Community water system,Ground water,-,Chilchinbeto,"1,332",,,
NN0433002,Chilchinbeto BIA Day School - BIA,Community water system,Ground water,-,Chilchinbeto,138,,,
NN0435020,Chinle BIA Boarding School - BIA,Community water system,Unknown Primary Source,-,-,"1,000",,,
NN0403060,Chinle USD 24 Administration Center,Community water system,Ground water,-,Chinle,220,,,
NN0400174,Chinle/Many Farms/Del Muerto - NTUA,Community water system,Ground water,-,"Chinle, Many Farms, Del Muerto","8,959",,,
NN3500260,Church Rock - NTUA,Community water system,Ground water,-,-,"1,604",,,
NN3536003,Chuska Community BIA Boarding School - BIA,Community water system,Ground water,-,Tohatchi,348,,,
NN0400814,Coppermine - NTUA,Community water system,Ground water,-,Coppermine,338,,,
NN0403049,Coppermine Chapter - O&M,Community water system,Unknown Primary Source,-,-,25,,,
NN0403039,Coppermine Chapter House - O&M,Community water system,Unknown Primary Source,-,-,25,,,
NN0400255,Cornfields - NTUA,Community water system,Unknown Primary Source,-,-,675,,,
NN0435004,Cottonwood BIA Day School - BIA,Community water system,Ground water,-,Cottonwood,185,,,
NN0403021,Cottonwood/Tselani - NTUA,Community water system,Ground water,-,"Cottonwood, Tselani","1,375",,,
NN0403027,Cove - NTUA,Community water system,Ground water,-,Cove,806,,,
NN0432005,Cove BIA Day School - BIA,Community water system,Ground water,-,Cove,73,,,
NN3500325,Coyote Canyon Chapter House,Community water system,Ground water,-,-,48,,,
NN3500274,Coyote Canyon/Bass Lake - NTUA,Community water system,Ground water,-,"Coyote Canyon, Brimhall, Bass Lake",672,,,
NN3534023,Crownpoint Boarding School - BIA,Community water system,Ground water,-,Crownpoint Boarding School,"1,024",,,
NN3503039,Crownpoint/Littlewater/Three Mile Point - NTUA,Community water system,Ground water,-,"Crownpoint, Littlewater, Three Mile Poin","4,585",,,
NN3503012,Crystal - NTUA,Community water system,Ground water,-,"Crystal, Yazzie Springs, Crystal Junctio",772,,,
NN3536005,Crystal Community BIA Boarding School - BIA,Community water system,Ground water,-,Crystal,248,,,
NN3500324,Crystal/Yazzie Springs - O&M,Community water system,Unknown Primary Source,-,-,72,,,
NN3500270,Dalton Pass - O&M,Community water system,Unknown Primary Source,-,-,587,,,
NN0400296,Dennehotso - NTUA,Community water system,Ground water,-,Dennehotso,"1,129",,,
NN0433004,Dennehotso BIA Boarding School - BIA,Community water system,Ground water,-,Dennehotso,300,,,
NN0436006,Dilcon BIA Boarding School - BIA,Community water system,Ground water,-,Dilcon,473,,,
NN0400342,Dilkon/Indian Wells/Greasewood/White Cone - NTUA,Community water system,Ground water,-,"Dilcon, Indian Wells, Lower Greasewood,","4,977",,,
NN3503045,Dzilth-Na-O-Dith-Hle - NTUA,Community water system,Ground water,-,Dzilth-Na-O-Dith-Hle,545,,,
NN0400325,El Paso Natural Gas - Cornfields/Navajo Station,Community water system,Unknown Primary Source,-,-,220,,,
NN3500288,El Paso Natural Gas - Gallup/Tohatchi,Community water system,Unknown Primary Source,-,-,25,,,
NN0400338,El Paso Natural Gas - Window Rock/St. Michaels,Community water system,Ground water,-,-,100,,,
NN3500245,Farmington Rural/Shiprock/Beclabito - NTUA,Community water system,Surface water purchased,-,"Upper Fruitland, Nenahnezad, San Juan, N","17,391",,,
NN0400182,Forest Lake - NTUA,Community water system,Ground water,-,Forest Lake,261,,,
NN3534015,Former Pueblo Pintado Boarding School - BIA,Community water system,Ground water purchased,-,Former Pueblo Pintado Boarding School,103,,,
NN0403000,Fort Defiance/Window Rock/St Michaels - NTUA,Community water system,Ground water,-,"Fort Defiance, Window Rock, St. Michaels","14,158",,,
NN0400320,Ganado Mission/Sage Memorial Hospital,Community water system,Ground water,-,Ganado,349,,,
