PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
NV0000151,AAA MOBILE HOME RENTAL,Community water system,Ground water,Clark,-,75,,,
NV0000859,ABELS EMERGENCY SUPPORT,Community water system,Unknown Primary Source,-,-,0,,,
NV0000862,ABELS FIRE EQUIPMENT 2,Community water system,Unknown Primary Source,-,-,0,,,
NV0000368,AIRPORT SUBDIVISION,Community water system,Ground water,Nye,TONOPAH AIRPORT,135,,,
NV0000367,AIRPORT TRAILER / NEV REFINING,Community water system,Ground water,Nye,AIRPORT AREA,25,,,
NV0000005,ALAMO SEWER AND WATER GID,Community water system,Ground water,Lincoln,ALAMO,900,,,
NV0000091,ALLAH TP,Community water system,Ground water,Clark,-,75,,,
NV0002558,AMARGOSA WATER COMPANY,Community water system,Ground water,Nye,-,54,,,
NV0000154,AMARGOSA WATER COMPANY,Community water system,Ground water,Nye,-,36,,,
NV0000153,AMERICAN BORATE,Community water system,Ground water,Nye,LATHROP WELLS,120,,,
NV0004007,AMERICAN FLAT WATER SYSTEM,Community water system,Ground water,Lyon,-,450,,,
NV0005033,ANCHOR IN MHP,Community water system,Ground water,Nye,-,36,,,
NV0000901,ARROWCREEK,Community water system,Ground water,Washoe,-,0,,,
NV0000191,ARROWHEAD MHP,Community water system,Ground water,Washoe,-,65,,,
NV0000863,BAKER WATER AND SEWER GID,Community water system,Ground water,White Pine,BAKER,85,,,
NV0000285,"BASIC MANAGEMENT, INC",Community water system,Surface water,Clark,HENDERSON,"1,100",,,
NV0002559,BASIN PARK RANCHO,Community water system,Ground water,Nye,-,56,,,
NV0000009,BEATTY WATER AND SANITATION DISTRICT,Community water system,Ground water,Nye,BEATTY,"1,024",,,
NV0000093,BELMONT TP,Community water system,Ground water,Clark,-,155,,,
NV0000147,BERMUDA PALMS MANAGEMENT LLC,Community water system,Ground water,Clark,-,60,,,
NV0004092,BIG BEND WATER DISTRICT,Community water system,Surface water,Clark,LAUGHLIN,"8,800",,,
NV0000362,BIG FIVE PARK,Community water system,Ground water,Nye,-,65,,,
NV0000369,BIG VALLEY MHP,Community water system,Ground water,Nye,-,50,,,
NV0000940,BK AND L TRUCKING 1,Community water system,Unknown Primary Source,-,-,0,,,
NV0000941,BK AND L TRUCKING 2,Community water system,Unknown Primary Source,-,-,0,,,
NV0000092,BLUE DIAMOND WATER CO OP INC,Community water system,Ground water,Clark,-,85,,,
NV0000010,BLUE DIAMOND WATER COMPANY,Community water system,Ground water purchased,Clark,BLUE DIAMOND,527,,,
NV0003031,BLUE GEM MOBILE HOME ESTATES,Community water system,Ground water,Washoe,-,100,,,
NV0000094,BLUE SKIES MOBILE ESTATES,Community water system,Ground water,Clark,LAS VEGAS,214,,,
NV0000096,BOBETTE MOBILE PARK,Community water system,Surface water purchased,Clark,LAS VEGAS,40,,,
NV0002013,BONANZA MHP,Community water system,Ground water,-,CARSON CITY,80,,,
NV0000097,BOND TRAILER LODGE,Community water system,Ground water,Clark,-,222,,,
NV0000888,BOSS TANKS INC 10,Community water system,Unknown Primary Source,-,-,0,,,
NV0000919,BOSS TANKS INC 14,Community water system,Unknown Primary Source,-,-,0,,,
NV0000098,BOSTON TRAILER PARK,Community water system,Ground water,Clark,LAS VEGAS,65,,,
NV0000011,BOULDER CITY,Community water system,Surface water purchased,Clark,BOULDER CITY,"15,000",,,
NV0000099,BRAMBLEWOOD MOBILE PARK,Community water system,Ground water,Clark,LAS VEGAS,83,,,
NV0000912,BREMNER ENTERPRISES,Community water system,Unknown Primary Source,-,-,0,,,
NV0002217,BUCKHORN MINE,Community water system,Ground water,Eureka,-,3,,,
NV0000012,BUNKERVILLE WATER USERS ASSOC,Community water system,Ground water,Clark,BUNKERVILLE,600,,,
NV0000100,C BAR B MOBILE PARK,Community water system,Ground water,Clark,LAS VEGAS,45,,,
NV0002538,C VALLEY MHP,Community water system,Ground water,Nye,-,54,,,
NV0000013,CALIENTE PUBLIC UTILITIES,Community water system,Ground water,Lincoln,CALIENTE,"1,100",,,
NV0000408,CALVADA MEADOWS  UICN,Community water system,Ground water,Nye,-,77,,,
NV0002589,CALVADA NORTH  UICN,Community water system,Ground water,Nye,-,0,,,
NV0005056,CANYON GID,Community water system,Ground water,Storey,-,"1,310",,,
NV0000014,CARLIN UTILITIES,Community water system,Ground water,Elko,CARLIN,"2,500",,,
NV0000015,CARSON CITY PUBLIC WORKS,Community water system,Surface water,-,CARSON CITY,"56,000",,,
NV0002561,CARSON MOBILE HOME PARK,Community water system,Ground water,-,-,150,,,
NV0000236,CARSON RIVER CAMP WATER DIST,Community water system,Ground water,Lyon,DAYTON,100,,,
NV0003068,CARSON RIVER ESTATES,Community water system,Ground water,Churchill,-,90,,,
NV0000022,CARSON WATER,Community water system,Ground water,-,-,100,,,
NV0000218,CARVERS SMOKEY VALLEY RV AND MHP,Community water system,Ground water,Nye,-,250,,,
NV0000059,CASEY ROAD MHP,Community water system,Ground water,Churchill,-,30,,,
NV0000259,CAVE ROCK SKYLAND,Community water system,Surface water,Douglas,SKYLAND,"1,267",,,
NV0000212,CEDAR LODGE MOTEL SUPERIOR TRL,Community water system,Ground water,Washoe,-,99,,,
NV0000041,CEDAR PARK TRAILER PARK,Community water system,Ground water,White Pine,ELY,35,,,
NV0000824,CENTRAL NEVADA UTILITIES  WINERY,Community water system,Ground water,Nye,-,65,,,
