PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
NY1320777,1133 TACONIC LLC,Community water system,Ground water,Dutchess,MILAN (T),10,,,
NY5423010,120 TURKEY HILL RD. APTS.,Community water system,Ground water,-,-,14,,,
NY5207250,1240 BETHEL ESTATES LLC,Community water system,Ground water,Sullivan,BETHEL (T),23,,,
NY4330039,14 S HIGHLAND ROOMING HOUSE,Community water system,Unknown Primary Source,-,-,20,,,
NY5119925,21 COTTONTAIL RUN APARTMENTS,Community water system,Ground water,-,-,14,,,
NY3921007,31-33 FARM TO MARKET APTS,Community water system,Ground water,Putnam,SOUTHEAST (T),13,,,
NY4921020,5 & 20 RENTALS,Community water system,Ground water,-,-,18,,,
NY4330048,50 HUNGRY HOLLOW RD,Community water system,Unknown Primary Source,-,-,15,,,
NY5121407,611 MONTAWK HIGHWAY CORP.,Community water system,Ground water,-,-,25,,,
NY3907003,688 ROUTE 6N,Community water system,Ground water,Putnam,CARMEL (T),20,,,
NY5217732,6D WATER DISTRICT,Community water system,Ground water purchased,Sullivan,FALLSBURG (T),100,,,
NY5930069,796 BEDFORD ROAD APARTMENTS,Community water system,Ground water,Westchester,BEDFORD (T),40,,,
NY1319222,9-D MHP (EM STARR PARK),Community water system,Ground water,-,-,13,,,
NY3700999,A&M MOBILE HOME COMMUNITY,Community water system,Ground water,Oswego,SCRIBA (T),57,,,
NY4630005,A-1 WATER WAGON,Community water system,Ground water,-,-,0,,,
NY1400462,ABBOTT HIGHLAND WD,Community water system,Surface water purchased,Erie,HAMBURG (V),25,,,
NY0901533,ABENAKI MOBILE HOME COURT,Community water system,Ground water,Clinton,PLATTSBURGH (T),309,,,
NY4402475,ACADEMY AT IVY RIDGE,Community water system,Ground water,St. Lawrence,OSWEGATCHIE (T),56,,,
NY3404517,"ACREHURST WATER CO, INC",Community water system,Surface water purchased,-,-,130,,,
NY2202351,ADAMS (T) WD #1 & 2  (ADAMS CENTER),Community water system,Ground water purchased,Jefferson,ADAMS (T),"1,000",,,
NY1006328,ADAMS CROSSING MOBILE HOME PARK,Community water system,Ground water,Columbia,NEW LEBANON (T),70,,,
NY2202328,ADAMS VILLAGE,Community water system,Ground water,Jefferson,ADAMS (T),"2,000",,,
NY5001203,ADDISON VILLAGE,Community water system,Ground water,Steuben,ADDISON (V),"1,850",,,
NY5230211,ADELAAR WATER DISTRICT,Community water system,Surface water purchased,Sullivan,THOMPSON (T),"1,000",,,
NY1610672,ADIRONDACK AIRPORT COMMUNITY,Community water system,Ground water,Franklin,HARRIETSTOWN (T),90,,,
NY0016058,ADIRONDACK BIBLE COLLEGE,Community water system,Ground water,-,-,599,,,
NY4510523,ADIRONDACK BIBLE COLLEGE,Community water system,Ground water,-,-,14,,,
NY1510497,ADIRONDACK CORRECTIONAL FAC WS,Community water system,Surface water,Essex,NORTH ELBA (T),"2,400",,,
NY4501781,ADIRONDACK ESTATES MHP,Community water system,Ground water,Saratoga,WILTON (T),475,,,
NY5621920,ADIRONDACK LODGES - ADIRONDACK,Community water system,Ground water,Warren,HORICON (T),150,,,
NY0022645,ADIRONDACK LODGES AT GORE,Community water system,Ground water,-,-,30,,,
NY5622645,ADIRONDACK LODGES AT GORE,Community water system,Ground water,-,-,30,,,
NY0909223,ADIRONDACK RESIDENTIAL CTR.,Community water system,Ground water,Clinton,SCHUYLER FALLS (T),100,,,
NY2500799,AFFORDABLE GREAT LOCATIONS,Community water system,Ground water,Livingston,CALEDONIA (V),120,,,
NY0801738,AFTON VILLAGE,Community water system,Ground water,Chenango,AFTON (V),838,,,
NY3730171,AINSLEE DRIVE WD,Community water system,Surface water purchased,Oswego,SCHROEPPEL (T),150,,,
NY5301406,AIRWAYS MHP,Community water system,Ground water,Tioga,TIOGA (T),69,,,
NY1400397,AKRON VILLAGE,Community water system,Surface water,Erie,AKRON  (V),"3,100",,,
NY1830035,ALABAMA WATER DISTRICT ONE,Community water system,Surface water purchased,Genesee,-,90,,,
NY1018154,ALAMILLO APARTMENTS,Community water system,Ground water,-,-,22,,,
NY0100189,ALBANY CITY,Community water system,Surface water,Albany,ALBANY (C),"101,082",,,
NY2902815,ALBERTSON WD,Community water system,Ground water,Nassau,NORTH HEMPSTEAD (T),"13,500",,,
NY3623006,ALBION TOWN,Community water system,Surface water purchased,Orleans,ALBION (T),"2,725",,,
NY3600596,ALBION VILLAGE,Community water system,Surface water,Orleans,ALBION (V),"6,000",,,
NY3623007,ALBION W.D. #2,Community water system,Surface water purchased,Orleans,ALBION (T),743,,,
NY3630001,ALBION W.D. #3,Community water system,Surface water purchased,Orleans,ALBION (T),500,,,
NY3630038,ALBION W.D. #4,Community water system,Surface water purchased,Orleans,ALBION (T),345,,,
NY3630042,ALBION W.D. #5,Community water system,Surface water purchased,Orleans,ALBION (T),480,,,
NY3630101,ALBION W.D. #7,Community water system,Surface water purchased,Orleans,ALBION (T),75,,,
NY3630079,ALBION/GAINES JOINT W.D. #6,Community water system,Surface water purchased,Orleans,"ALBION (T), GAINES (T)",174,,,
NY1400398,ALDEN VILLAGE,Community water system,Ground water,Erie,ALDEN (T),"2,666",,,
NY1421652,ALDEN WD #2,Community water system,Surface water purchased,Erie,ALDEN (T),1,,,
NY1421653,ALDEN WD #3,Community water system,Surface water purchased,Erie,ALDEN (T),1,,,
NY1830045,ALEXANDER TOWN WD2,Community water system,Unknown Primary Source,-,-,25,,,
NY1800542,ALEXANDER VILLAGE,Community water system,Surface water purchased,Genesee,ALEXANDER (V),785,,,
NY1800543,ALEXANDER WD NO1,Community water system,Surface water purchased,Genesee,ALEXANDER (T),185,,,
NY2211884,ALEXANDRIA BAY USCG,Community water system,Surface water,-,-,29,,,
NY2202356,ALEXANDRIA TOWN WD #1 - OTTER STREET,Community water system,Surface water purchased,Jefferson,ALEXANDRIA BAY (V),60,,,
NY2230107,ALEXANDRIA TOWN WD #2 - REDWOOD,Community water system,Surface water purchased,Jefferson,-,500,,,
NY2202329,ALEXANDRIA VILLAGE,Community water system,Surface water,Jefferson,ALEXANDRIA BAY (V),"1,900",,,
NY0220581,ALFRED STATE COLLEGE,Community water system,Ground water purchased,Allegany,ALFRED (V),"3,600",,,
NY0200309,ALFRED VILLAGE WATER SUPPLY,Community water system,Ground water,Allegany,ALFRED (V),"2,900",,,
NY0220580,ALLEGANY COUNTY WATER DISTRICT #1,Community water system,Purchased ground water under influence of surface water source,Allegany,AMITY (T),200,,,
NY0010443,ALLEGANY STATE PARK,Community water system,Ground water,-,-,45,,,
NY0430102,ALLEGANY TOWN COMPREHENSIVE WD (2008),Community water system,Ground water purchased,Cattaraugus,ALLEGANY (T),274,,,
NY0400331,ALLEGANY TOWN CONSOLIDATED DISTRICT #1,Community water system,Ground water purchased,Cattaraugus,ALLEGANY (T),480,,,
NY0430040,ALLEGANY TOWN DISTRICT #3 (NORTH AREA),Community water system,Ground water purchased,Cattaraugus,ALLEGANY (T),121,,,
NY0430041,ALLEGANY TOWN DISTRICT #8 (ST. BONAS),Community water system,Ground water purchased,Cattaraugus,ALLEGANY (T),"1,850",,,
NY0400330,ALLEGANY VILLAGE,Community water system,Ground water,Cattaraugus,ALLEGANY (V),"2,000",,,
NY0000332,ALLEGANY WATER DISTRICT B,Community water system,Surface water purchased,-,-,159,,,
NY0000333,ALLEGANY WATER DISTRICT C,Community water system,Surface water purchased,-,-,150,,,
NY0021991,ALLEGANY WATER DISTRICT D,Community water system,Ground water,-,-,70,,,
NY0000334,ALLEGANY WD NO 4,Community water system,Surface water purchased,-,-,399,,,
NY0016028,ALLEGRO SCHOOL,Community water system,Ground water,-,-,50,,,
NY0200310,ALMOND VILLAGE PUBLIC WATER,Community water system,Ground water,Allegany,ALMOND (V),600,,,
NY5501382,ALOHA HOME ACRES,Community water system,Ground water,Ulster,PLATTEKILL (T),452,,,
NY1912519,ALOSHI APARTMENTS,Community water system,Ground water,-,-,10,,,
NY5405791,ALPHA HOUSE,Community water system,Ground water,-,-,50,,,
NY0017730,ALPHA PORTLAND CEMENT CO,Community water system,Surface water,-,-,399,,,
NY3905706,ALPINE ACRES WATER DISTRICT,Community water system,Ground water,Putnam,PATTERSON (T),150,,,
NY4519064,ALPINE ESTATES,Community water system,Ground water,Saratoga,GREENFIELD (T),40,,,
NY5501379,ALPINE HEIGHTS TRAILER PARK,Community water system,Ground water,Ulster,HURLEY (T),60,,,
NY2500945,ALPINE MANOR HOME FOR ADULTS,Community water system,Ground water,Livingston,LIMA (T),36,,,
NY0121237,ALTAMONT HOME FOR ADULTS,Community water system,Ground water,-,-,23,,,
NY0100190,ALTAMONT VILLAGE,Community water system,Ground water,Albany,ALTAMONT (V),"2,000",,,
NY5515072,ALTIZIO TRAILER PARK,Community water system,Ground water,-,-,10,,,
NY0919482,ALTONA CORRECTIONAL FACILITY,Community water system,Ground water,Clinton,ALTONA  (T),800,,,
NY5103691,AMAGANSETT WATER CO,Community water system,Ground water,-,-,"4,203",,,
NY5903458,AMAWALK HEIGHTS WATER DISTRICT,Community water system,Surface water purchased,Westchester,SOMERS (T),400,,,
NY5903459,AMAWALK-SHENOROCK WATER DIST.,Community water system,Surface water purchased,Westchester,SOMERS (T),"3,800",,,
NY5206994,AMBERLITE LLC,Community water system,Ground water,Sullivan,MAMAKATING (T),24,,,
NY1302759,AMENIA WATER DISTRICT NO 1,Community water system,Ground water,Dutchess,AMENIA (T),"1,001",,,
NY2530018,AMERICAN ROCK SALT/GROVELAND,Community water system,Surface water purchased,Livingston,GROVELAND (T),382,,,
NY0218617,AMES MOBILE HOME PARK,Community water system,Ground water,-,-,29,,,
NY5014208,AMES TRAILER COURT,Community water system,Ground water,-,-,18,,,
NY1400408,AMHERST WD #10,Community water system,Surface water purchased,Erie,WILLIAMSVILLE (V),1,,,
NY1400409,AMHERST WD #11,Community water system,Surface water purchased,Erie,WILLIAMSVILLE (V),1,,,
NY1400410,AMHERST WD #12,Community water system,Surface water purchased,Erie,WILLIAMSVILLE (V),1,,,
NY1400400,AMHERST WD #2,Community water system,Surface water purchased,Erie,WILLIAMSVILLE (V),1,,,
NY1400401,AMHERST WD #3,Community water system,Surface water purchased,Erie,WILLIAMSVILLE (V),1,,,
NY1400402,AMHERST WD #4,Community water system,Surface water purchased,Erie,WILLIAMSVILLE (V),1,,,
NY1400403,AMHERST WD #5,Community water system,Surface water purchased,Erie,WILLIAMSVILLE (V),1,,,
NY1400404,AMHERST WD #6,Community water system,Surface water purchased,Erie,WILLIAMSVILLE (V),1,,,
NY1400405,AMHERST WD #7,Community water system,Surface water purchased,Erie,WILLIAMSVILLE (V),1,,,
NY1400406,AMHERST WD #8,Community water system,Surface water purchased,Erie,WILLIAMSVILLE (V),1,,,
NY1400407,AMHERST WD #9,Community water system,Surface water purchased,Erie,WILLIAMSVILLE (V),1,,,
NY2800136,AMSTERDAM (C),Community water system,Surface water,Montgomery,AMSTERDAM (C),"20,700",,,
NY2811730,AMSTERDAM (T),Community water system,Surface water purchased,Montgomery,AMSTERDAM (T),"3,000",,,
