PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
OH4505012,310 MHP,Community water system,Ground water,Licking,-,220,,,
OH5500312,A AND R RECK MOBILE HOME PARK,Community water system,Ground water,Miami,-,45,,,
OH1900812,A AND R UNION CITY PARK MHP PWS,Community water system,Ground water,Darke,-,85,,,
OH0802103,ABERDEEN EAST,Community water system,Ground water purchased,Brown,RIPLEY,96,,,
OH0800012,ABERDEEN VILLAGE,Community water system,Ground water,Brown,-,"1,638",,,
OH3300012,ADA VILLAGE,Community water system,Ground water,Hardin,-,"5,952",,,
OH6501912,ADAM'S MHP #1,Community water system,Ground water,Pickaway,-,100,,,
OH0100012,ADAMS COUNTY REGIONAL WD PWS,Community water system,Ground water,Adams,-,"21,240",,,
OH1400012,ADAMS SCHOOLHOUSE APARTMENTS,Community water system,Ground water,Clinton,-,32,,,
OH3100012,ADDYSTON VILLAGE PWS,Community water system,Ground water,Hamilton,-,900,,,
OH4100003,ADENA VILLAGE PWS,Community water system,Ground water purchased,Jefferson,-,820,,,
OH6500512,"ADMN,CIRCLEVILLE BIBLE COLLEGE",Community water system,Ground water purchased,Pickaway,-,350,,,
OH0300012,AGAPE ACRES MOBILE HOME PARK,Community water system,Ground water,Ashland,-,74,,,
OH2538812,AIR HAVEN APARTMENTS & MOTEL,Community water system,Ground water,Franklin,GROVEPORT,64,,,
OH0900012,AIRWAY MOBILE HOME PARK,Community water system,Ground water,Butler,-,150,,,
OH7700011,AKRON CITY PWS,Community water system,Surface water,Summit,-,"280,000",,,
OH0500003,ALBANY VILLAGE PWS,Community water system,Ground water purchased,Athens,-,828,,,
OH7700212,ALEXANDERS MOBILE HOME PARK,Community water system,Ground water,Summit,-,112,,,
OH4504203,ALEXANDRIA VILLAGE PWS,Community water system,Ground water purchased,Licking,-,479,,,
OH3300112,ALGER VILLAGE,Community water system,Ground water,Hardin,-,860,,,
OH6700812,ALL SEASONS MHP,Community water system,Ground water,Portage,-,483,,,
OH7600011,ALLIANCE CITY PWS,Community water system,Surface water,Stark,-,"22,232",,,
OH0600012,"ALLMAN SUBDIVISION,INC",Community water system,Ground water,Auglaize,-,27,,,
OH7602212,ALTERCARE OF HARTVILLE,Community water system,Ground water,Stark,-,167,,,
OH7005312,ALTMAN HTS COMM WATER ASSOCIATION,Community water system,Ground water,Richland,-,195,,,
OH2300012,AMANDA VILLAGE PWS,Community water system,Ground water,Fairfield,-,737,,,
OH0500112,AMESVILLE PUBLIC WATER SYSTEM,Community water system,Ground water,Athens,-,255,,,
OH4700003,AMHERST CITY PWS,Community water system,Surface water purchased,Lorain,-,"11,797",,,
OH4100112,"AMSTERDAM, VILLAGE OF",Community water system,Surface water purchased,Jefferson,AMSTERDAM,900,,,
OH7600812,ANCHOR MOBILE HOME PARK,Community water system,Ground water,Stark,-,30,,,
OH0400012,ANDOVER VILLAGE PWS,Community water system,Ground water,Ashtabula,-,"1,262",,,
OH0400212,ANDOVER-CAMPLANDS WATER,Community water system,Ground water,Ashtabula,-,"6,000",,,
OH7500012,ANNA,Community water system,Ground water,Shelby,-,"1,567",,,
OH1900012,ANSONIA VILLAGE PWS,Community water system,Ground water,Darke,-,"1,174",,,
OH6300012,ANTWERP VILLAGE,Community water system,Ground water,Paulding,-,"1,689",,,
OH7200012,APOLLO MOBILE HOME PARK,Community water system,Ground water,Sandusky,-,35,,,
OH8500012,APOSTOLIC CHRISTIAN HOME,Community water system,Ground water,Wayne,-,240,,,
OH8502612,APPLE CREEK DEVELOPMENTAL CENTER,Community water system,Ground water,-,APPLE CREEK,33,,,
OH8500112,APPLE CREEK VILLAGE PWS,Community water system,Ground water,Wayne,-,"1,190",,,
OH7600112,APPLEGROVE WATER COMPANY,Community water system,Ground water,Stark,MASSILLON,"2,556",,,
OH0400711,AQUA OHIO - ASHTABULA,Community water system,Surface water,Ashtabula,-,"39,838",,,
OH2803612,AQUA OHIO - AUBURN LAKES PWS,Community water system,Ground water,Geauga,-,290,,,
OH6700512,AQUA OHIO - AURORA E,Community water system,Ground water purchased,Portage,-,945,,,
OH6705212,AQUA OHIO - BEECHCREST,Community water system,Ground water purchased,Portage,-,"1,800",,,
OH2502412,AQUA OHIO - BLACKLICK,Community water system,Ground water,Franklin,-,"8,984",,,
OH2502512,AQUA OHIO - HUBER RIDGE PWS,Community water system,Ground water,Franklin,-,"6,950",,,
OH2502612,AQUA OHIO - LAKE DARBY,Community water system,Ground water,Franklin,-,"4,557",,,
OH6600312,AQUA OHIO - LAKE WHITE PWS,Community water system,Ground water purchased,Pike,-,"1,229",,,
OH4400803,AQUA OHIO - LAWRENCE COUNTY,Community water system,Surface water purchased,Lawrence,-,"9,411",,,
OH7006612,AQUA OHIO - MANSFIELD SYSTEM  #10,Community water system,Ground water,Richland,-,45,,,
OH7002812,AQUA OHIO - MANSFIELD SYSTEM #01,Community water system,Ground water,Richland,-,858,,,
OH7005912,AQUA OHIO - MANSFIELD SYSTEM #02,Community water system,Ground water,Richland,-,532,,,
OH7005812,AQUA OHIO - MANSFIELD SYSTEM #03,Community water system,Ground water,Richland,-,525,,,
OH7001412,AQUA OHIO - MANSFIELD SYSTEM #04,Community water system,Ground water,Richland,-,53,,,
OH7004912,AQUA OHIO - MANSFIELD SYSTEM #05,Community water system,Ground water,Richland,-,123,,,
OH7005612,AQUA OHIO - MANSFIELD SYSTEM #06,Community water system,Ground water,Richland,-,400,,,
OH7001612,AQUA OHIO - MANSFIELD SYSTEM #07,Community water system,Ground water,Richland,-,781,,,
OH7003212,AQUA OHIO - MANSFIELD SYSTEM #08,Community water system,Ground water,Richland,-,170,,,
OH7002512,AQUA OHIO - MANSFIELD SYSTEM #09,Community water system,Ground water,Richland,-,120,,,
OH7003312,AQUA OHIO - MANSFIELD SYSTEM #11,Community water system,Ground water,Richland,-,360,,,
OH5100414,AQUA OHIO - MARION,Community water system,Surface water,Marion,-,"41,925",,,
OH7604512,AQUA OHIO - MASSILLON PWS,Community water system,Ground water,Stark,-,"90,000",,,
OH7802711,AQUA OHIO - MASURY,Community water system,Surface water purchased,Trumbull,-,"3,750",,,
OH4301511,AQUA OHIO - MENTOR,Community water system,Surface water,Lake,-,"83,000",,,
OH1000812,AQUA OHIO - MOHAWK PWS,Community water system,Ground water,Carroll,-,"2,587",,,
OH8601012,AQUA OHIO - NORLICK,Community water system,Ground water,Williams,-,345,,,
OH8601512,AQUA OHIO - SENECA,Community water system,Ground water,Williams,-,750,,,
OH7704212,AQUA OHIO - SHEPARD HILLS PWS,Community water system,Ground water,Summit,-,802,,,
OH5001611,AQUA OHIO - STRUTHERS,Community water system,Surface water,Mahoning,-,"47,260",,,
OH7400614,AQUA OHIO - TIFFIN,Community water system,Surface water,Seneca,-,"17,963",,,
OH2502712,AQUA OHIO - TIMBERBROOK PW,Community water system,Ground water,Franklin,-,865,,,
OH1502512,AQUA OHIO - TOMAHAWK UTILITIES,Community water system,Ground water,Columbiana,-,644,,,
OH0401812,AQUA OHIO - VILLAGE OF JEFFERSON,Community water system,Surface water purchased,Ashtabula,-,"3,315",,,
OH2502812,AQUA OHIO - WORTHINGTON HILLS PWS,Community water system,Ground water,Franklin,-,"3,112",,,
OH3700012,ARCADIA ACRES NURSING HOME,Community water system,Ground water,Hocking,-,43,,,
OH3200903,ARCADIA VILLAGE WATER,Community water system,Surface water purchased,Hancock,-,594,,,
OH1900112,ARCANUM VILLAGE PWS,Community water system,Ground water,Darke,-,"2,076",,,
OH2600011,ARCHBOLD VILLAGE,Community water system,Surface water,Fulton,-,"5,724",,,
OH1502312,AREN MOBILE HOME PARK,Community water system,Ground water,Columbiana,-,50,,,
OH3100203,ARLINGTON HEIGHTS WATER DEPT.,Community water system,Surface water purchased,Hamilton,-,"1,100",,,
OH3200012,ARLINGTON VILLAGE WATER,Community water system,Ground water,Hancock,-,"1,500",,,
OH4800112,ARROWHEAD LAKE MHP,Community water system,Ground water,Lucas,-,460,,,
OH7900012,ARROWHEAD MOBILE VILLAGE,Community water system,Ground water,Tuscarawas,-,56,,,
OH7006512,ASHFIELD ESTATES,Community water system,Ground water,Richland,-,250,,,
OH0300112,ASHLAND CITY,Community water system,Ground water,Ashland,-,"20,648",,,
OH2100011,ASHLEY VILLAGE PWS,Community water system,Surface water purchased,Delaware,-,"1,286",,,
OH0400803,ASHTABULA COUNTY WATER SYSTEM,Community water system,Surface water purchased,Ashtabula,-,"14,200",,,
OH6501112,ASHVILLE COUNTRY ESTATES PWS,Community water system,Ground water purchased,Pickaway,-,256,,,
OH6500012,ASHVILLE VILLAGE PWS,Community water system,Ground water,Pickaway,-,"4,097",,,
OH0501812,ATHENS CO BUCHTEL WATER,Community water system,Ground water purchased,Athens,-,840,,,
OH0500303,"ATHENS CO., THE PLAINS S.D. 1 PWS",Community water system,Ground water purchased,Athens,-,"3,276",,,
OH0501415,ATHENS MENTAL HEALTH CENTER,Community water system,Ground water,Athens,-,527,,,
OH0500212,ATHENS PWS,Community water system,Ground water,Athens,-,"24,024",,,
OH7400011,ATTICA VILLAGE,Community water system,Surface water,Seneca,-,"1,148",,,
OH1502712,AUBURN SKILLED NURSING AND REHABILITATIO,Community water system,Ground water,Columbiana,-,66,,,
OH0600112,AUGLAIZE CO/SOUTHMOOR SHORES,Community water system,Ground water,Auglaize,-,450,,,
OH6789112,AURORA CITY - CLEVELAND PWS,Community water system,Surface water purchased,Portage,-,"15,852",,,
OH6700003,AURORA CITY - PORTAGE PWS,Community water system,Ground water purchased,Portage,-,261,,,
OH0401512,AUSTIN MANOR MHC PWS,Community water system,Surface water purchased,Ashtabula,-,375,,,
OH4301817,AVENUE MOBILE ESTATES,Community water system,Surface water,Lake,-,75,,,
OH4700203,AVON CITY PWS,Community water system,Surface water purchased,Lorain,-,"23,500",,,
OH4700311,AVON LAKE CITY PWS,Community water system,Surface water,Lorain,-,"22,998",,,
OH7700312,AVON MOBILE HOME PARK,Community water system,Ground water,Summit,-,138,,,
OH5700112,AVONDALE MOBILE HOME PARK,Community water system,Ground water,Montgomery,-,100,,,
OH2000903,AYERSVILLE WATER AND SEWER DISTRICT,Community water system,Surface water purchased,Defiance,-,"1,610",,,
OH0300312,BAILEY LAKES VILLAGE,Community water system,Surface water purchased,Ashland,-,450,,,
OH7100012,BAINBRIDGE VILLAGE PWS,Community water system,Ground water,Ross,-,900,,,
OH2803112,BAINBROOK WATER COMPANY PWS,Community water system,Ground water,Geauga,-,350,,,
OH0201012,BALI HAI MOBILE HOME PARK,Community water system,Ground water,Allen,-,118,,,
OH7900112,BALTIC VILLAGE PWS,Community water system,Ground water,Tuscarawas,-,743,,,
OH2300112,BALTIMORE VILLAGE PWS,Community water system,Ground water,Fairfield,-,"2,966",,,
OH7700411,BARBERTON CITY,Community water system,Surface water,Summit,-,"29,550",,,
OH7700414,BARBERTON WATER DEPARTMENT,Community water system,Surface water,Summit,BARBERTON,"30,000",,,
