PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
OK3000302,4-T ADDN,Community water system,Surface water purchased,Atoka,-,75,,,
OK3006003,51 EAST WATER,Community water system,Surface water purchased,Payne,-,"2,250",,,
OK3001618,A&J MHP,Community water system,Surface water purchased,Comanche,-,20,,,
OK2006361,A-ROLLING ACRES MHP,Community water system,Ground water,Pottawatomie,-,145,,,
OK5005548,ABES RV PARK,Community water system,Ground water,Oklahoma,-,175,,,
OK2000707,ACHILLE,Community water system,Ground water,Bryan,-,506,,,
OK2005543,ACORN ACRES MHP,Community water system,Ground water,Oklahoma,-,120,,,
OK2006201,ADA,Community water system,Ground water,Pontotoc,-,"22,600",,,
OK1021613,ADAIR,Community water system,Surface water purchased,Mayes,-,704,,,
OK3000104,ADAIR CO RWD #1 (CHERRY TREE),Community water system,Surface water purchased,Adair,-,"2,000",,,
OK3000105,ADAIR CO RWD #2,Community water system,Surface water purchased,Adair,-,870,,,
OK3000106,ADAIR CO RWD #3,Community water system,Surface water purchased,Adair,-,"2,800",,,
OK3000107,ADAIR CO RWD #4,Community water system,Surface water purchased,Adair,-,"1,025",,,
OK1021770,ADAIR CO RWD #5,Community water system,Surface water,Adair,-,675,,,
OK2000145,ADAIR CO RWS & SWMD #6,Community water system,Ground water,Adair,-,27,,,
OK3006112,ADAMSON RWD #8,Community water system,Surface water purchased,Pittsburg,-,"4,306",,,
OK2004706,ADKINS HILL MHP,Community water system,Ground water,McClain,-,110,,,
OK3004711,ADKINS HILL VILLAGE,Community water system,Ground water purchased,McClain,-,150,,,
OK2005808,AFTON,Community water system,Ground water,Ottawa,-,25,,,
OK1021696,AFTON PWA,Community water system,Surface water,Ottawa,-,"1,428",,,
OK3007001,AGGIE TRAILERS LLC,Community water system,Ground water purchased,Texas,-,50,,,
OK3005539,AIRWAY MHP,Community water system,Surface water purchased,Oklahoma,-,81,,,
OK3004517,ALBERTA CREEK RESORT,Community water system,Surface water purchased,Marshall,-,180,,,
OK1010836,ALBERTA CREEK RESORT,Community water system,Surface water,Marshall,-,300,,,
OK2002603,ALEX,Community water system,Ground water,Grady,-,635,,,
OK2000202,ALFALFA CO RWS & SWMD #1,Community water system,Ground water,Alfalfa,-,550,,,
OK2000201,ALFALFA CO RWS & SWMD #1 NORTH,Community water system,Ground water,Alfalfa,-,600,,,
OK2000206,ALINE,Community water system,Ground water,Alfalfa,-,214,,,
OK3002407,ALL SEASONS MHP,Community water system,Ground water purchased,Garfield,-,250,,,
OK2002407,ALL SEASONS TP NA,Community water system,Surface water purchased,Garfield,-,250,,,
OK2006604,ALLEN PT RESORT,Community water system,Ground water,Rogers,-,50,,,
OK2006202,ALLEN PWA,Community water system,Ground water,Pontotoc,-,937,,,
OK1021526,ALLEN'S POINT RESORT,Community water system,Surface water,-,-,35,,,
OK3007343,ALLISON WATER COMPANY,Community water system,Surface water purchased,-,-,52,,,
