PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
OR4100380,238TH ST WS-C/O RON D MILLER,Community water system,Ground water,Washington,-,60,,,
OR4100007,240TH PL COMM WELL-SW MCKENZIE,Community water system,Ground water,Multnomah,GRESHAM,26,,,
OR4100737,45TH AVENUE NE WATER SYSTEM,Community water system,Ground water,Marion,-,116,,,
OR4101184,62ND COURT MUTUAL WATER CO,Community water system,Ground water,Marion,-,50,,,
OR4100448,97 TRAILER PARK,Community water system,Ground water,Wheeler,-,90,,,
OR4100003,ADAIR VILLAGE WATER SYSTEM,Community water system,Surface water,Benton,-,845,,,
OR4100001,"ADAMS, CITY OF WATER DEPT",Community water system,Ground water,Umatilla,-,350,,,
OR4100002,"ADRIAN, CITY OF",Community water system,Ground water,Malheur,-,180,,,
OR4100563,AGATE BEACH WATER DISTRICT,Community water system,Surface water,Lincoln,NEWPORT,700,,,
OR4101439,AGATE WATER SYSTEM,Community water system,Ground water,Deschutes,-,"2,925",,,
OR4101444,AGATE/SHOSHONE WATER CO,Community water system,Ground water,Deschutes,-,110,,,
OR4100004,ALBANY TRAILER COURT,Community water system,Ground water,Linn,-,100,,,
OR4100012,"ALBANY, CITY OF",Community water system,Surface water,Linn,-,"52,509",,,
OR4100630,ALDER CREEK BARLOW WATER DIST,Community water system,Surface water purchased,Clackamas,-,310,,,
OR4100785,ALDER CREEK-SLEEPY HOLLOW -OLD,Community water system,Ground water,Columbia,-,100,,,
OR4100304,ALDERWOOD WATER DEV CO,Community water system,Surface water,Lane,-,35,,,
OR4101013,ALDRIDGE DITCH CO WS,Community water system,Ground water purchased,Hood River,-,67,,,
OR4101352,ALPINE CREST IMPROVEMENT DIST,Community water system,Ground water,Marion,-,91,,,
OR4100978,ALSEA COUNTY SERVICE DISTRICT,Community water system,Ground water,Benton,-,202,,,
OR4101295,ALSEA RANGER DISTRICT,Community water system,Surface water,Clackamas,DOUG CALGON,78,,,
OR4100013,AMIGO VILLA WATER SERVICE INC,Community water system,Ground water,Linn,-,100,,,
OR4100041,"AMITY, CITY OF",Community water system,Surface water,Yamhill,-,"1,614",,,
OR4101483,ANGLERS COVE/SCHWC,Community water system,Surface water,Jackson,-,80,,,
OR4190656,ANTELOPE ACRES MOBILE HOME EST,Community water system,Ground water,Jackson,-,120,,,
OR4100042,"ANTELOPE, CITY OF",Community water system,Ground water,Wasco,-,46,,,
OR4101190,APACHE WATER COMPANY,Community water system,Ground water,Deschutes,-,"1,600",,,
OR4100728,APPLEBLOSSOM MOBILE HOME PARK,Community water system,Ground water,Marion,-,21,,,
OR4100043,APPLEGATE MOBILE PARK,Community water system,Ground water,Jackson,-,70,,,
OR4100840,APPLEWOOD MOBILE HOME PARK,Community water system,Ground water,Lane,-,100,,,
OR4101493,ARANAWAY SUBDIVISION,Community water system,Ground water,Josephine,-,40,,,
OR4101103,ARCADE/VERDA LANE WATER SYSTEM,Community water system,Ground water,Marion,-,84,,,
OR4100802,ARCH CAPE WATER DISTRICT,Community water system,Surface water,Clatsop,-,150,,,
OR4100046,ARLINGTON CITY WATER SUPPLY,Community water system,Ground water,Gilliam,-,610,,,
OR4100992,ARNEYS FOREST VIEW MHP,Community water system,Ground water,Lane,-,50,,,
OR4100770,ARROWHEAD MOBILE HOME PARK,Community water system,Ground water,Marion,-,220,,,
OR4101525,ARROWOOD COMMUNITY WATER CO,Community water system,Ground water purchased,Deschutes,-,75,,,
OR4101153,ASHDOWN WOOD WATER COMPANY,Community water system,Ground water,Clackamas,-,75,,,
OR4100049,ASHLAND ACRES MOBILE ESTATES,Community water system,Ground water,Jackson,-,30,,,
OR4100053,ASHLAND COUNTRY ESTATES,Community water system,Ground water,Jackson,-,85,,,
OR4100047,ASHLAND WATER DEPARTMENT,Community water system,Surface water,Jackson,-,"21,505",,,
OR4101477,ASPEN ESTATES SUBDIVISION,Community water system,Ground water,Yamhill,-,80,,,
OR4101476,ASPEN LAKES UTILITY CO LLC,Community water system,Ground water,Deschutes,-,150,,,
OR4100055,"ASTORIA, CITY OF",Community water system,Surface water,Clatsop,-,"9,477",,,
OR4100064,"ATHENA, CITY OF",Community water system,Ground water,Umatilla,-,"1,170",,,
OR4100065,"AUMSVILLE, CITY OF",Community water system,Ground water,Marion,-,"3,750",,,
OR4193784,AURORA ACRES RV RESORT,Community water system,Ground water,Marion,-,240,,,
OR4100067,"AURORA, CITY OF",Community water system,Ground water,Marion,-,995,,,
OR4101210,AVION WATER CO-SOMERSET,Community water system,Ground water,Josephine,-,28,,,
OR4100092,AVION WC - BEE TREE,Community water system,Ground water,Deschutes,-,"1,450",,,
OR4101066,AVION WC - BOONES BOROUGH,Community water system,Ground water,Deschutes,-,310,,,
OR4101506,AVION WC - BRASADA RANCH,Community water system,Ground water,Crook,-,350,,,
OR4100094,AVION WC - CHAPARRAL,Community water system,Ground water,Deschutes,-,470,,,
OR4100122,AVION WC - CINDER BUTTE ESTS,Community water system,Ground water,Deschutes,-,110,,,
OR4100095,AVION WC - CODYVILLE,Community water system,Ground water,Deschutes,-,160,,,
OR4101366,AVION WC - DRID,Community water system,Ground water,Deschutes,-,32,,,
OR4101152,AVION WC - DRW LAKEVIEW,Community water system,Ground water,Deschutes,-,400,,,
OR4101206,AVION WC - GOSNEY,Community water system,Ground water,Deschutes,-,30,,,
OR4100091,AVION WC - GREATER AVION,Community water system,Ground water,Deschutes,-,"28,000",,,
OR4101346,AVION WC - HIGHLAND ESTATES,Community water system,Ground water,Deschutes,-,75,,,
OR4101382,AVION WC - ODIN FALLS RANCH,Community water system,Ground water,Deschutes,-,110,,,
OR4100098,AVION WC - PETERMAN,Community water system,Ground water,Deschutes,-,60,,,
OR4101203,AVION WC - RED CLOUD,Community water system,Ground water,Crook,-,442,,,
OR4101230,AVION WC - SOUTH REDMOND HEIGHTS,Community water system,Ground water,Deschutes,-,175,,,
OR4101055,AVION WC - SUNDANCE EAST,Community water system,Ground water,Deschutes,-,205,,,
OR4100099,AVION WC - SUNSET WEST,Community water system,Ground water,Deschutes,-,130,,,
OR4101160,AVION WC - TETHEROW CROSSING,Community water system,Ground water,Deschutes,-,185,,,
OR4101351,AVION WC - TUMALO RIM,Community water system,Ground water,Deschutes,-,141,,,
OR4101155,AVION WC - TUSCARORA,Community water system,Ground water,Deschutes,-,117,,,
OR4100102,AVION WC - WAYWEST,Community water system,Ground water,Deschutes,-,"1,950",,,
OR4100975,AVION WC - WILD RIVER,Community water system,Ground water,Deschutes,-,276,,,
OR4100103,AVION WC - WOOD RIVER VILLAGE,Community water system,Ground water,Deschutes,-,500,,,
OR4100973,AVION WC-DOBBINS ACRES DIST SY,Community water system,Ground water,Josephine,BEND,200,,,
OR4100093,AVION WC-DOBBINS/BOARDMAN,Community water system,Ground water,Deschutes,-,200,,,
OR4101108,AVION WC-GLACIER VIEW,Community water system,Ground water,Deschutes,-,270,,,
OR4101156,AVION WC-INCE,Community water system,Ground water,Deschutes,-,36,,,
OR4100974,AVION WC-SKYLANDIA DIST. SYS.,Community water system,Ground water,Josephine,BEND,30,,,
OR4101205,AVION WTR CO-DRW CHEYENNE,Community water system,Ground water,Deschutes,-,28,,,
OR4101204,AVION WTR CO-DRW LAKEVIEW,Community water system,Ground water,Josephine,-,28,,,
OR4101259,AVION-DESERT SPRINGS,Community water system,Ground water,Deschutes,-,130,,,
OR4100073,BAKER CITY,Community water system,Surface water,Baker,-,"9,890",,,
OR4101407,BAKER CREEK WATER ASSOCIATION,Community water system,Ground water,Yamhill,-,30,,,
OR4100074,"BANDON, CITY OF",Community water system,Surface water,Coos,-,"3,000",,,
OR4100076,BANKS WATER DEPARTMENT,Community water system,Surface water,Washington,-,"1,775",,,
OR4100140,BARLOW TRAIL ESTATES,Community water system,Ground water,Clackamas,-,180,,,
OR4100909,BARLOW WATER DISTRICT,Community water system,Ground water,Wasco,-,500,,,
OR4100078,"BARLOW, CITY OF",Community water system,Ground water,Clackamas,-,138,,,
OR4101169,BARNES BUTTE HOA,Community water system,Ground water,Crook,-,140,,,
OR4100709,BARVIEW WATER CO,Community water system,Surface water,Tillamook,-,250,,,
OR4100634,BARWELL PARK WATER DISTRICT,Community water system,Surface water purchased,Clackamas,-,"2,060",,,
OR4101314,BASS LAKE MOBILE HOME PARK,Community water system,Ground water,Deschutes,-,50,,,
OR4100545,BAVARIAN VILLAGE,Community water system,Ground water,Marion,-,100,,,
OR4101369,BAVARIAN VILLAGE MOBILE HOMES,Community water system,Ground water,Marion,-,100,,,
OR4190921,BAY AIRE MOBILE HOME PARK,Community water system,Ground water,Tillamook,-,82,,,
OR4100564,BAY HILLS WATER ASSOCIATION,Community water system,Surface water,Lincoln,-,45,,,
OR4100206,BAY PARK MILLINGTON,Community water system,Surface water purchased,Coos,-,"1,000",,,
OR4100495,BAYOU WATER IMP D % B ROGERS,Community water system,Ground water,Yamhill,-,13,,,
OR4100050,BEAR CREEK MOBILE HOME PARK,Community water system,Ground water,Jackson,-,120,,,
OR4100199,BEAVER WATER DISTRICT,Community water system,Surface water,Tillamook,-,600,,,
OR4100081,"BEAVERTON, CITY OF",Community water system,Surface water purchased,Washington,-,"70,000",,,
OR4100643,BEDFORD PARK MUTUAL WTR CO,Community water system,Surface water purchased,Multnomah,FLORENCE COLE,163,,,
OR4101005,BELLA CASA PARK,Community water system,Ground water,Lane,-,125,,,
OR4101221,BELLE PASSI ESTATES,Community water system,Ground water,Marion,-,30,,,
OR4100100,BEND WATER DEPARTMENT,Community water system,Surface water,Deschutes,-,"62,791",,,
OR4101373,BENTWOOD ESTATES WATER SYSTEM,Community water system,Ground water,Deschutes,-,75,,,
OR4106036,BERKLAND WS,Community water system,Unknown Primary Source,-,-,10,,,
OR4105737,BERNDT CREEK WATER CORP,Community water system,Surface water,Columbia,-,28,,,
OR4100568,BEVERLY BEACH WATER DISTRICT,Community water system,Surface water,Lincoln,-,150,,,
OR4100868,BIG EDDY WTR SYS,Community water system,Ground water,Wasco,-,550,,,
OR4101461,BIG FOOT MOBILE PARK,Community water system,Ground water,Clackamas,-,60,,,
OR4106054,BIG OAK MARINA,Community water system,Ground water,Multnomah,-,5,,,
OR4100295,BIG SPRUCE MHP LLC,Community water system,Ground water,Lane,-,80,,,
OR4101068,BIG VALLEY WOODS WATER CORP,Community water system,Ground water,Clackamas,-,420,,,
OR4100086,BLACK BUTTE RANCH CORPORATION,Community water system,Ground water,Deschutes,-,300,,,
OR4100370,BLACK MOUNTAIN WATER DISTRICT,Community water system,Ground water,Morrow,-,43,,,
OR4100088,BLEY-WAS HEIGHTS W.S.,Community water system,Ground water,Wheeler,BLY,50,,,
OR4101277,BLEY-WAS HEIGHTS WTR SYSTEM,Community water system,Ground water,Klamath,-,42,,,
OR4190631,BLM ALDER GLEN REC SITE,Community water system,Ground water,Tillamook,-,10,,,
OR4190641,BLM DOVRE REC SITE,Community water system,Ground water,Tillamook,-,10,,,
OR4190640,BLM FAN CREEK REC SITE,Community water system,Ground water,Tillamook,-,10,,,
