PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
PA8360016,222 MOBILE HOME PARK,Community water system,Ground water,Lancaster,-,147,,,
PA5030046,268 CENTER INC,Community water system,Ground water,Armstrong,-,10,,,
PA3060107,3 MILE HOUSE MOBILE HOME PARK,Community water system,Ground water,Berks,-,24,,,
PA3060308,3 MILE HOUSE MOBILE HOME PARK,Community water system,Ground water,Berks,-,24,,,
PA6120004,4 MILE TRAILER COURT,Community water system,Ground water,Cameron,EMPORIUM,41,,,
PA6120315,4 MILE TRAILER COURT,Community water system,Ground water,Cameron,-,75,,,
PA6430029,4J MOBILE HOMES C/O J POCHTAKO,Community water system,Ground water,Mercer,-,97,,,
PA1150018,500 REECEVILLE RD TRAILER CT,Community water system,Ground water,Chester,-,31,,,
PA5650045,51 MANOR MOBILE HOME PARK,Community water system,Ground water,Westmoreland,-,29,,,
PA5260002,51 MANOR NORTH,Community water system,Ground water,Fayette,-,47,,,
PA6430016,707 MOBILE MANOR,Community water system,Ground water,Mercer,-,19,,,
PA5630010,A & M MOBILE HOME PARK,Community water system,Ground water,Washington,-,35,,,
PA4410010,A B C #2 MOBILE HOME PARK,Community water system,Ground water,Lycoming,-,75,,,
PA3390063,A K A DANTE ROMA WATER COMPANY,Community water system,Ground water,Lehigh,-,350,,,
PA5100020,A WEILANDS MOBILE PARK,Community water system,Ground water,Butler,-,39,,,
PA5100144,ABBEY WOODS DEVELOPMENT,Community water system,Ground water,Butler,-,132,,,
PA7010031,ABBOTTSTOWN MUNI AUTH,Community water system,Ground water,Adams,-,800,,,
PA4410294,ABC #3 MHP,Community water system,Ground water,Lycoming,-,24,,,
PA4410309,ABC MOBILEHOME PARK #3,Community water system,Ground water,Lycoming,-,28,,,
PA2350023,ABINGTON TWP PA AMERICAN WATER,Community water system,Ground water,Lackawanna,WAVERLY,450,,,
PA3060127,ABRAXAS ACADEMY,Community water system,Ground water,Berks,-,156,,,
PA7360020,ACORN ACRES,Community water system,Ground water,Lancaster,-,50,,,
PA3060015,ACORNS MHP,Community water system,Ground water,Berks,-,50,,,
PA7010056,ADAMS CNTY FAC CTR,Community water system,Ground water,Adams,-,450,,,
PA4410157,ADAMS MOBILE HOME PARK,Community water system,Ground water,Lycoming,-,26,,,
