PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
RI1000009,"ABBEY LANE COMMUNITY ASSN., INC.",Community water system,Ground water,Providence,FOSTER,45,,,
RI2519426,ALPINE NURSING HOME,Community water system,Ground water,Kent,COVENTRY,105,,,
RI1559514,ALTON,Community water system,Ground water,-,-,185,,,
RI2980340,APPLE CREEK AT WINDWOOD APARTMENTS,Community water system,Ground water,-,-,42,,,
RI1000045,BETHEL VILLAGE WATER ASSN,Community water system,Ground water,Washington,HOPKINTON,180,,,
RI1858430,BLOCK ISLAND WATER COMPANY,Community water system,Ground water,Washington,NEW SHOREHAM,"9,999",,,
RI2814410,BLUEBERRY HEIGHTS HOUSING COOPERATIVE CO,Community water system,Ground water,Kent,WEST GREENWICH,44,,,
RI2674924,BORDER HILL MOBILE HOME PARK    LIC. #36,Community water system,Ground water,Washington,CHARLESTOWN,75,,,
RI2261723,BRIARCLIFFE HEALTH CENTER,Community water system,Ground water,Providence,-,125,,,
RI1647515,BRISTOL COUNTY WATER AUTHORITY,Community water system,Surface water,Bristol,"BARRINGTON, BRISTOL, WARREN","51,000",,,
RI2000082,C. THIBEAULT,Community water system,Ground water,-,-,105,,,
RI2882114,C. THIBEAULT,Community water system,Ground water,-,-,105,,,
RI1000043,CANONCHET CLIFFS I/HOPKINTON HOUSING,Community water system,Ground water,Washington,-,63,,,
RI1900025,CANONCHET CLIFFS II/HOPKINTON VILLAGE IN,Community water system,Ground water,Washington,-,59,,,
RI1900053,CANONCHET CLIFFS WATER ASSOCIATION INC.,Community water system,Ground water,Washington,HOPKINTON,154,,,
RI1000035,CASTLE ROCK CONDOMINIUMS,Community water system,Ground water,Washington,CHARLESTOWN,292,,,
RI1647512,CENTRAL BEACH FIRE DISTRICT,Community water system,Ground water,Washington,CHARLESTOWN,470,,,
RI2980453,CENTRE OF NEW ENGLAND BOULEVARD,Community water system,Ground water purchased,Kent,COVENTRY,"9,999",,,
RI2980452,CENTRE OF NEW ENGLAND HOPKINS HILL RD,Community water system,Ground water purchased,Kent,COVENTRY,317,,,
RI2519424,CHIMERA INC,Community water system,Ground water,Providence,GLOCESTER,155,,,
RI1000030,COAST GUARD HOUSING (APH) 1ST DISTRICT,Community water system,Ground water,Providence,-,85,,,
RI2087019,COUNTRY SQUIRE MOTEL,Community water system,Ground water,Providence,-,25,,,
RI2051717,COVENTRY AIR PARK,Community water system,Ground water,Kent,-,174,,,
RI2519427,COVENTRY AIR PARK,Community water system,Ground water,Kent,-,200,,,
RI2051723,CUMBERLAND SANITARIUM,Community water system,Ground water,Providence,-,25,,,
RI1647530,"CUMBERLAND, TOWN OF",Community water system,Surface water,Providence,CUMBERLAND,"22,396",,,
RI2415424,D&S SCREW PRODUCTS,Community water system,Ground water,Providence,-,25,,,
RI2389727,DICK'S LAST STAND,Community water system,Ground water,Washington,-,725,,,
RI1615610,EAST PROVIDENCE-CITY OF,Community water system,Surface water purchased,Providence,EAST PROVIDENCE,"48,688",,,
RI2980414,ECHO LAKE WATER DISTRICT,Community water system,Ground water,Providence,GLOCESTER,200,,,
RI1647516,ELEANOR SLATER HOSPITAL ZAMBARANO UNIT,Community water system,Surface water,Providence,BURRILLVILLE,540,,,
RI1900005,FORESTDALE-DION,Community water system,Ground water,Providence,-,29,,,
RI2980001,FOUR SEASONS MHP CO-OP ASSN.,Community water system,Ground water,Newport,TIVERTON,44,,,
RI1583826,GLENDALE DAVIS,Community water system,Ground water,Providence,-,150,,,
RI1583825,GLENDALE WATER ASSN,Community water system,Ground water,Providence,BURRILLVILLE,100,,,
RI2882132,GREEN HILL BEACH MOTEL,Community water system,Ground water,-,-,35,,,
RI1858410,GREENVILLE WATER DISTRICT,Community water system,Surface water purchased,Providence,SMITHFIELD,"9,500",,,
RI2585321,HAPPY VALLEY FAMILY CAMPING,Community water system,Ground water,Washington,-,25,,,
RI2000059,"HARMONY HILL SCHOOL, INC.",Community water system,Ground water,Providence,GLOCESTER,199,,,
RI1858411,HARRISVILLE FIRE DISTRICT,Community water system,Ground water,Providence,BURRILLVILLE,"2,970",,,
RI2261721,HARTFORD MOTEL CORP,Community water system,Ground water,Providence,-,56,,,
RI2000083,HEBERT HEALTH CENTER,Community water system,Ground water,Providence,SMITHFIELD,133,,,
RI1858435,HEMLOCK VILLAGE,Community water system,Ground water,Providence,FOSTER,33,,,
RI2000049,HERITAGE PARK,Community water system,Ground water,Newport,-,1,,,
RI2051311,HERITAGE PARK HOME CO-OPERATIVE,Community water system,Ground water,Newport,TIVERTON,60,,,
RI2000156,HI POINT,Community water system,Ground water,Washington,-,80,,,
RI2943226,HICKORY RIDGE CAMPGROUND,Community water system,Ground water,Kent,-,25,,,
RI2942525,"HILLSDALE HOUSING COOPERATIVE, INC.",Community water system,Ground water,Washington,SOUTH KINGSTOWN,170,,,
RI2000148,HILLSDALE TRAILER PARK,Community water system,Ground water,Washington,RICHMOND,50,,,
RI2000014,HOLIDAY INN OF KINGSTON,Community water system,Ground water,-,-,424,,,
RI2000052,INACTIVE PARADISE MOTEL/PARK,Community water system,Ground water,Newport,-,40,,,
RI2000086,INACTIVE WOODLAND CONV HM DUP,Community water system,Ground water,Providence,-,50,,,
RI2674925,INDIAN CEDAR MOBILE HOME PARK,Community water system,Ground water,Washington,CHARLESTOWN,200,,,
RI1615625,INDIAN LAKE,Community water system,Ground water,Washington,-,112,,,
RI1858419,JAMESTOWN WATER DEPARTMENT,Community water system,Surface water,Newport,JAMESTOWN,"3,178",,,
RI2980435,JOHNSTON WATER CTRL FAC. - CAPITOL ST.,Community water system,Surface water purchased,Providence,JOHNSTON,55,,,
RI2980433,JOHNSTON WATER CTRL FAC. - EVERBLOOM ST.,Community water system,Surface water purchased,Providence,JOHNSTON,48,,,
RI2980434,JOHNSTON WATER CTRL FAC. - NARDOLILLO ST,Community water system,Surface water purchased,Providence,JOHNSTON,55,,,
RI2980432,JOHNSTON WATER CTRL FAC. - TAYLOR ROAD,Community water system,Surface water purchased,Providence,JOHNSTON,70,,,
RI2980183,JOHNSTON WATER CTRL FAC. - WEST END,Community water system,Surface water purchased,Providence,JOHNSTON,"4,230",,,
