PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
SC0460009,28 BY PASS TR P,Community water system,Ground water,Beaufort,-,0,,,
SC0850012,A BRYNGLESON,Community water system,Surface water purchased,Berkeley,-,0,,,
SC0810005,A D  HARE WATERWORKS INC,Community water system,Surface water purchased,Berkeley,-,0,,,
SC4660056,A H BAKER,Community water system,Ground water,York,GASTONIA,0,,,
SC0760056,A L BENNETT,Community water system,Ground water,Chesterfield,-,0,,,
SC2160042,A PARROTT,Community water system,Ground water,-,-,26,,,
SC3610003,A PODMORE,Community water system,Ground water,Newberry,-,"1,420",,,
SC0850010,A T BRYNGLESON DIR,Community water system,Ground water,Berkeley,-,315,,,
SC4360020,A&J TRAILER PARK,Community water system,Ground water,Sumter,-,74,,,
SC2160122,A&L 5 MHP (2160122),Community water system,Ground water,Florence,JOHNSONVILLE,16,,,
SC3250104,AAA CHASEHUNT FARMS (3250104),Community water system,Ground water,Lexington,LEXINGTON,80,,,
SC3250024,AAA HILTON SOUND (3250024),Community water system,Ground water,Lexington,BALLENTINE,50,,,
SC3250046,AAA LAKE PRINCETON WATER CO (3250046),Community water system,Ground water,Lexington,-,17,,,
SC3250030,AAA LAKESIDE FOREST 2 (3250030),Community water system,Surface water purchased,Lexington,GILBERT,43,,,
SC4050004,AAA LANDS POINT S/D (4050004),Community water system,Ground water,Richland,BALLENTINE,50,,,
SC4050020,AAA LOVE VALLEY S/D (4050020),Community water system,Ground water,Richland,-,24,,,
SC3250014,AAA MURRAY HILL ESTATES (3250014),Community water system,Ground water,Lexington,GILBERT,134,,,
SC4150007,AAA PERRY WATER SYSTEM (4150007),Community water system,Ground water,Saluda,LEESVILLE,77,,,
SC3270011,AAA RAPHA RESIDENTIAL CARE (3270011),Community water system,Ground water,Lexington,GASTON,69,,,
SC3250105,AAA RIDGE POINT S/D (3250105),Community water system,Ground water,Lexington,GASTON,85,,,
SC3250099,AAA ROCKFORD PLACE-CHARWOOD (3250099),Community water system,Ground water,Lexington,WEST COLUMBIA,20,,,
SC3250102,AAA SHEALY ESTATES III (3250102),Community water system,Ground water,Lexington,LEXINGTON,34,,,
SC3250097,AAA WILD MEADOWS S/D (3250097),Community water system,Ground water,Lexington,LEXINGTON,878,,,
SC4050009,AAA/FAIRLAWN S/D,Community water system,Ground water,Richland,-,84,,,
SC3250059,AAA/MALLARD BAY,Community water system,Ground water,Lexington,-,61,,,
SC0110001,ABBEVILLE CITY OF (0110001),Community water system,Surface water,Abbeville,ABBEVILLE,"5,363",,,
SC2660005,ABRAMS T P,Community water system,Surface water purchased,Horry,-,0,,,
SC0850001,AD HARE WATERWORKS INC,Community water system,Surface water purchased,Berkeley,-,0,,,
SC4660115,ADNAH HILLS MHP (4660115),Community water system,Ground water,York,ROCK HILL,300,,,
SC0210001,AIKEN CITY OF (0210001),Community water system,Surface water,Aiken,AIKEN,"42,286",,,
SC0250009,AIKEN-VALE SVC C CITY OF (0250009),Community water system,Ground water,Aiken,AIKEN,145,,,
SC0660001,AIRPORT ESTATES,Community water system,Ground water,Cherokee,-,0,,,
SC3260094,AIRPORT MHP (3260094),Community water system,Ground water,Lexington,-,14,,,
SC1660034,AIRPORT TP,Community water system,Ground water,Lee,-,0,,,
SC4050007,ALBENE PARK S/D (4050007),Community water system,Ground water,Richland,HOPKINS,0,,,
SC0260030,ALBERT GARY MGR,Community water system,Ground water,Aiken,-,0,,,
SC1410001,ALCOLU WATER SYSTEM (1410001),Community water system,Ground water,Clarendon,-,0,,,
SC0760032,ALLEN MHP,Community water system,Ground water,Chesterfield,-,8,,,
SC0320002,ALLENDALE INDUSTRIAL PARK (0320002),Community water system,Ground water,Allendale,ALLENDALE,"2,270",,,
SC0310001,ALLENDALE TOWN OF (0310001),Community water system,Ground water,Allendale,ALLENDALE,"3,882",,,
SC1320004,ALLIGATOR RURAL WATER (1320004),Community water system,Ground water,Chesterfield,MCBEE,"4,010",,,
SC4060049,ALPINE ACRES,Community water system,Surface water purchased,Richland,-,0,,,
SC4060017,ALPINE FOREST MHP,Community water system,Surface water purchased,Richland,-,0,,,
SC3260062,ALS MHP,Community water system,Ground water,Lexington,-,56,,,
SC0760021,ALSTON TR PARK,Community water system,Ground water,Chesterfield,-,0,,,
SC2350017,ALTAMONT FOREST,Community water system,Ground water,Greenville,-,62,,,
SC4360012,AMERICAN MH PLAZA (4360012),Community water system,Ground water,Sumter,SUMTER,200,,,
SC3250077,AMICKS FERRY WTR SYSTEM (3250077),Community water system,Surface water purchased,Lexington,CHAPIN,"3,327",,,
SC4260001,ANCHOR TRAILER PARK,Community water system,Ground water,Spartanburg,-,0,,,
SC4270801,ANCHOR TRAILER PARK (4270801),Community water system,Ground water,Spartanburg,SPARTANBURG,0,,,
SC3260001,ANDERSON MHP (3260001),Community water system,Ground water,-,-,15,,,
SC0420011,ANDERSON REGIONAL WTR SYS (0420011),Community water system,Surface water,Anderson,ANDERSON,25,,,
SC2160038,ANDERSON TP,Community water system,Ground water,Florence,-,99,,,
SC2210003,ANDREWS TOWN OF (2210003),Community water system,Ground water,Georgetown,ANDREWS,"3,518",,,
SC0760050,ANGELS CLUB TP (0760050),Community water system,Ground water,Chesterfield,-,1,,,
SC0860002,ANGELS TP,Community water system,Ground water,Colleton,-,0,,,
SC4660029,APPLE VALLEY MHP (4660029),Community water system,Ground water,York,-,11,,,
SC2680050,APPLE VALLEY WA/BAYTREE,Community water system,Ground water purchased,Horry,-,0,,,
SC2680073,APPLE VALLEY WA/C PARKER,Community water system,Surface water purchased,Horry,-,0,,,
SC2680054,APPLE VALLEY WA/CANDY'S,Community water system,Surface water purchased,Horry,-,0,,,
SC2680051,APPLE VALLEY WA/DRIFTWOO,Community water system,Surface water purchased,Horry,-,0,,,
SC2680048,APPLE VALLEY WA/FUDGENUT,Community water system,Surface water purchased,Horry,-,0,,,
SC2680064,APPLE VALLEY WA/JEWELRY,Community water system,Ground water purchased,Horry,-,0,,,
SC2680055,APPLE VALLEY WA/LAKEWOOD,Community water system,Ground water purchased,Horry,-,0,,,
SC2680059,APPLE VALLEY WA/LITCHFLD,Community water system,Ground water purchased,Horry,-,0,,,
SC2680074,APPLE VALLEY WA/LITTLERI,Community water system,Ground water purchased,Horry,-,0,,,
SC2680063,APPLE VALLEY WA/MAXSURF,Community water system,Ground water purchased,Horry,-,0,,,
SC2680052,APPLE VALLEY WA/MAXWAY,Community water system,Surface water purchased,Horry,-,0,,,
SC2680057,APPLE VALLEY WA/MAXWAYSU,Community water system,Ground water purchased,Horry,-,0,,,
SC2680060,APPLE VALLEY WA/MB RESOR,Community water system,Ground water purchased,Horry,-,0,,,
SC2680049,APPLE VALLEY WA/OCEANCRK,Community water system,Ground water purchased,Horry,-,0,,,
SC2680061,APPLE VALLEY WA/PIRATELN,Community water system,Surface water purchased,Horry,-,0,,,
SC2680076,APPLE VALLEY WA/REVCO-38,Community water system,Surface water purchased,Horry,-,0,,,
SC2680077,APPLE VALLEY WA/REVCO-SU,Community water system,Ground water purchased,Horry,-,0,,,
SC2680075,APPLE VALLEY WA/REVCO-WI,Community water system,Ground water purchased,Horry,-,0,,,
SC2680078,APPLE VALLEY WA/REVCO501,Community water system,Surface water purchased,Horry,-,0,,,
SC2680053,APPLE VALLEY WA/SOUTHSID,Community water system,Surface water purchased,Horry,-,0,,,
SC2680058,APPLE VALLEY WA/TEXACO,Community water system,Ground water purchased,Horry,-,0,,,
SC2680056,APPLE VALLEY WA/VISUAL,Community water system,Surface water purchased,Horry,-,0,,,
SC2680062,APPLE VALLEY WA/WATSONS,Community water system,Surface water purchased,Horry,-,0,,,
SC2280006,AQUA VEND/06,Community water system,Surface water purchased,Georgetown,-,0,,,
SC2680001,AQUA-VEND/001,Community water system,Surface water purchased,Horry,-,0,,,
SC2680002,AQUA-VEND/002,Community water system,Surface water purchased,Horry,-,0,,,
SC2280004,AQUA-VEND/004,Community water system,Surface water purchased,Georgetown,-,0,,,
SC2680005,AQUA-VEND/005,Community water system,Surface water purchased,Horry,-,0,,,
SC2680006,AQUA-VEND/006,Community water system,Surface water purchased,Horry,-,0,,,
SC2680007,AQUA-VEND/007,Community water system,Surface water purchased,Horry,-,0,,,
SC2680008,AQUA-VEND/008,Community water system,Surface water purchased,Horry,-,0,,,
SC1080009,AQUA-VEND/009,Community water system,Surface water purchased,Charleston,-,0,,,
SC2680010,AQUA-VEND/010,Community water system,Surface water purchased,Horry,-,0,,,
SC1080011,AQUA-VEND/011,Community water system,Surface water purchased,Charleston,-,0,,,
SC1080013,AQUA-VEND/013,Community water system,Surface water purchased,Charleston,-,0,,,
SC2680015,AQUA-VEND/015,Community water system,Surface water purchased,Horry,-,0,,,
SC2680017,AQUA-VEND/017,Community water system,Surface water purchased,Horry,-,0,,,
SC2680018,AQUA-VEND/018,Community water system,Surface water purchased,Horry,-,0,,,
SC2280002,AQUA-VEND/02,Community water system,Surface water purchased,Georgetown,-,0,,,
SC2680020,AQUA-VEND/020,Community water system,Surface water purchased,Horry,-,0,,,
SC2680021,AQUA-VEND/021,Community water system,Surface water purchased,Horry,-,0,,,
SC2680022,AQUA-VEND/022,Community water system,Surface water purchased,Horry,-,0,,,
SC2680023,AQUA-VEND/023,Community water system,Surface water purchased,Horry,-,0,,,
SC2680024,AQUA-VEND/024,Community water system,Surface water purchased,Horry,-,0,,,
SC2680025,AQUA-VEND/025,Community water system,Surface water purchased,Horry,-,0,,,
SC1080027,AQUA-VEND/027,Community water system,Surface water purchased,Charleston,-,0,,,
