PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
SD4602259,76 RANCH ESTATES,Community water system,Ground water,Lawrence,"LEAD, STURGIS",40,,,
SD4600020,ABERDEEN,Community water system,Surface water,Brown,ABERDEEN,"26,091",,,
SD4600024,AGAR,Community water system,Ground water,Sully,-,80,,,
SD4600004,ALCESTER,Community water system,Ground water purchased,Union,ALCESTER,885,,,
SD4600062,ALEXANDRIA,Community water system,Surface water purchased,Hanson,ALEXANDRIA,615,,,
SD4600025,ALPENA,Community water system,Surface water purchased,Jerauld,"ALPENA, MILLER",286,,,
SD4600030,AMHERST WATER COMPANY,Community water system,Ground water purchased,Marshall,"AMHERST, BRITTON",35,,,
SD4600026,ANDOVER,Community water system,Ground water,Day,ANDOVER,139,,,
SD4600305,ANDY'S ACRES,Community water system,Ground water,Lincoln,-,60,,,
SD4602317,ANTLERS AT BEAR BUTTE,Community water system,Ground water,-,-,24,,,
SD4600879,APPLE VALLEY MOBILE HOME PARK,Community water system,Ground water,Lawrence,-,40,,,
SD4600385,ARLINGTON,Community water system,Ground water purchased,Kingsbury,ARLINGTON,915,,,
SD4600028,ARMOUR,Community water system,Surface water purchased,Douglas,ARMOUR,699,,,
SD4600029,ASHTON,Community water system,Ground water,Spink,ASHTON,154,,,
SD4600005,ASTORIA,Community water system,Ground water,Deuel,-,150,,,
SD4600058,AURORA,Community water system,Ground water purchased,Brookings,AURORA,532,,,
SD4600621,AURORA-BRULE RURAL WATER SYSTEM,Community water system,Surface water,"Aurora, Brule, Buffalo, Davison, Douglas, Jerauld",KIMBALL,"2,600",,,
SD4602240,AUTUMN MEADOWS SANITARY DISTRICT,Community water system,Ground water,Meade,"BLACK HAWK, PIEDMONT",68,,,
SD4602327,AVENTURE ESTATES,Community water system,Ground water,-,-,24,,,
SD4600031,AVON,Community water system,Surface water purchased,Bon Homme,AVON,590,,,
SD4607012,B & B TRAILER COURT,Community water system,Ground water,Pennington,-,50,,,
SD4602122,B & J MOBILE HOME PARK,Community water system,Ground water,Pennington,PIEDMONT,135,,,
SD4600869,BAD RIVER RURAL WATER SYSTEM,Community water system,Surface water purchased,Haakon,PHILIP,195,,,
SD4600032,BADGER,Community water system,Ground water purchased,Kingsbury,BADGER,125,,,
SD4600500,BADLANDS NAT MONUMENT,Community water system,Ground water,Jackson,-,100,,,
SD4600034,BALTIC,Community water system,Ground water purchased,Minnehaha,BALTIC,"1,150",,,
SD4600035,BANCROFT,Community water system,Ground water purchased,Kingsbury,-,37,,,
SD4600883,BARNARD,Community water system,Ground water,Brown,BARNARD,65,,,
SD4602058,BARNES TRAILER COURT,Community water system,Ground water,Union,-,36,,,
SD4600036,BATESLAND,Community water system,Ground water purchased,Shannon,"BATESLAND, MARTIN",108,,,
SD4602334,BEAR BUTTE VALLEY WATER,Community water system,Ground water,Meade,STURGIS,488,,,
SD4600037,BELLE FOURCHE,Community water system,Ground water,Butte,BELLE FOURCHE,"5,594",,,
SD4600038,BELVIDERE,Community water system,Surface water purchased,-,BELVIDERE,46,,,
SD4600386,BERESFORD,Community water system,Ground water purchased,Union,BERESFORD,"2,005",,,
SD4600387,BESTGEN WATER COMPANY,Community water system,Ground water,Meade,STURGIS,73,,,
SD4690453,BIA PLANT MANAGEMENT,Community water system,Ground water,Lyman,LITTLE EAGLE,350,,,
SD4600426,BICENTENNIAL TRAILER COURT,Community water system,Ground water,Lawrence,SPEARFISH,75,,,
SD4600429,BIG SIOUX COMMUNITY WATER SYSTEM,Community water system,Ground water,"Brookings, Lake, Moody",EGAN,"5,337",,,
SD4600007,BIG STONE CITY,Community water system,Ground water purchased,Grant,BIG STONE CITY,467,,,
