PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
TN0000780,11-W TRAILER PARK,Community water system,Ground water,Sullivan,-,35,,,
TN0000059,11-W UTILITY DISTRICT,Community water system,Surface water purchased,Sullivan,KINGSPORT,"1,106",,,
TN0008104,333 APARTMENTS,Community water system,Surface water purchased,Davidson,-,166,,,
TN0000961,ACORN VILLAGE MHP,Community water system,Ground water,Humphreys,-,38,,,
TN0000001,ADAMS-CEDAR HILL WATER SYSTEM,Community water system,Surface water,Robertson,"ADAMS, CEDAR HILL","5,422",,,
TN0000002,ADAMSVILLE WATER SYSTEM,Community water system,Ground water,McNairy,ADAMSVILLE,"8,713",,,
TN0004896,ADVENT HOME LEARNING CENTER,Community water system,Ground water,McMinn,CALHOUN,45,,,
TN0000443,AILOR TRAILER PARK,Community water system,Ground water,Union,-,65,,,
TN0000005,ALAMO WATER DEPT,Community water system,Ground water,Crockett,ALAMO,"3,136",,,
TN0008081,ALARA AT COOL SPRINGS APTS,Community water system,Surface water purchased,Williamson,-,"1,090",,,
TN0008211,ALARA BROOK APARTMENTS,Community water system,Surface water purchased,Williamson,-,"1,099",,,
TN0008096,ALARA FARMS APARTMENTS,Community water system,Surface water purchased,Williamson,-,"1,338",,,
TN0008245,ALARA RIVER OAKS APARTMENTS,Community water system,Surface water purchased,Williamson,-,565,,,
TN0000007,ALCOA WATER SYSTEM,Community water system,Surface water,Blount,"ALCOA, MARYVILLE","26,005",,,
TN0000008,ALEXANDRIA WATER SYSTEM,Community water system,Surface water purchased,DeKalb,-,"2,545",,,
TN0000009,ALGOOD WATER SYSTEM,Community water system,Surface water purchased,Putnam,-,"9,330",,,
TN0000010,ALLARDT WATER WORKS,Community water system,Surface water purchased,Fentress,-,"3,373",,,
TN0000974,ALLENDALE MOBILE HOME PARK,Community water system,Ground water,Blount,"FRIENDSVILLE, LOUISVILLE",88,,,
TN0000014,ALPHA-TALBOTT UTILITY DIST.,Community water system,Surface water purchased,Hamblen,-,"16,667",,,
TN0000015,ALPINE COMMUNITY,Community water system,Ground water,Overton,-,216,,,
TN0000268,AMES PLANTATION,Community water system,Ground water,Hardeman,-,50,,,
TN0000768,ANDERSON COUNTY UTILITY BOARD,Community water system,Surface water,Anderson,CLINTON,"10,446",,,
TN0000514,ANDERSON COUNTY WATER AUTHORITY,Community water system,Surface water,Anderson,LAKE CITY,"25,404",,,
TN0000016,ANDERSONVILLE UTILITY DISTRICT,Community water system,Surface water purchased,Anderson,CLINTON,"3,349",,,
TN0000539,ANTIOCH WATER COMPANY,Community water system,Ground water,Henry,PARIS,242,,,
TN0000948,"AQUA UTILITIES CO, INC",Community water system,Ground water purchased,Hardin,-,968,,,
TN0008188,ARBOR CREEK APARTMTENTS,Community water system,Surface water purchased,Hamilton,-,819,,,
