PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
TX1080073,107 TP,Community water system,Ground water,Stephens,-,26,,,
TX0450044,109 TRAVEL H SPACES,Community water system,Ground water,Gonzales,-,28,,,
TX1520067,114TH STREET MOBILE HOME PARK,Community water system,Ground water,Lubbock,-,50,,,
TX1700580,1485 LIMITED CRYSTAL SPRINGS WATER CO,Community water system,Ground water,Montgomery,-,48,,,
TX0680092,1936 APARTMENTS,Community water system,Ground water,Ector,-,100,,,
TX0140008,2410 MOBILE HOME COURT,Community water system,Ground water,Bell,-,32,,,
TX0930063,2620 ESTATES,Community water system,Ground water,Grimes,-,116,,,
TX1440004,290 W S C,Community water system,Ground water purchased,Lee,-,275,,,
TX1012276,2920 WEST SUBDIVISION,Community water system,Ground water,Harris,-,369,,,
TX1500006,3 G WSC,Community water system,Groundwater under influence of surface water,Llano,-,391,,,
TX0910072,3-D MOBILE HOME AND RV PARK,Community water system,Ground water,Grayson,-,90,,,
TX0790039,3411-5TH STREET TRAILER PARK,Community water system,Ground water,Fort Bend,-,51,,,
TX1110003,377 SUNSET STRIP,Community water system,Ground water,Hood,-,120,,,
TX1011474,3806 RAMSGATE W S,Community water system,Ground water,Rusk,-,30,,,
TX1070229,4 D MOBILE HOME PARK,Community water system,Surface water purchased,Henderson,-,26,,,
TX0460152,4 D WATER,Community water system,Ground water,Comal,-,282,,,
TX1160091,4 R RANCH WATER 2,Community water system,Ground water,Hunt,-,222,,,
TX1940006,410 WSC,Community water system,Surface water purchased,Red River,-,"2,313",,,
TX0140148,439 TRAILER PARK,Community water system,Surface water purchased,Burnet,-,40,,,
TX0140076,439 WSC,Community water system,Surface water purchased,Bell,-,"6,985",,,
TX1013344,5 STAR MONTESSORI SCHOOL,Community water system,Surface water purchased,Harris,-,0,,,
TX1010643,502 BLUE BELL WATER SYSTEM,Community water system,Ground water,Harris,-,42,,,
TX0790309,5TH STREET WATER SYSTEM,Community water system,Ground water purchased,Fort Bend,-,"1,593",,,
TX1010646,605 BLUE BELL WELL,Community water system,Ground water,Harris,-,54,,,
TX0680090,63RD EAST MH ESTS,Community water system,Ground water,King,-,80,,,
TX1011637,6403 MOBILE HOME PARK,Community water system,Ground water,Harris,-,34,,,
TX0140014,7 GABLES MOBILE HOME PARK,Community water system,Ground water,Bell,-,25,,,
TX1650018,715 MOBILE RANCH,Community water system,Ground water,Midland,-,23,,,
TX0790425,723 UTILITY,Community water system,Ground water,Fort Bend,-,180,,,
TX0140170,7KX RANCH,Community water system,Ground water,Bell,-,25,,,
TX1470015,84 WEST WSC,Community water system,Ground water purchased,Limestone,-,147,,,
TX1880036,A & A LONGHORN TRAILER PARK,Community water system,Ground water,Potter,-,0,,,
TX1260061,A & A MOBILE HOME PARK,Community water system,Ground water,Johnson,-,75,,,
TX1250040,A & M MHP,Community water system,Ground water,Jim Wells,-,0,,,
TX2020035,A & M VILLAGE,Community water system,Ground water,Sabine,-,15,,,
TX2010068,A & P WATER COMPANY,Community water system,Ground water,Rusk,-,60,,,
TX1830028,A & P WSC - PUMP 2,Community water system,Ground water,Panola,-,300,,,
TX1830017,A & P WSC PUMP 1,Community water system,Surface water purchased,Panola,-,630,,,
TX0150204,A 1 MOBILE HOME PARK,Community water system,Ground water,Bexar,-,42,,,
TX0210023,ABBATE TWIN LAKES TRAILER PARK,Community water system,Ground water,Brazos,-,81,,,
TX0360006,ABBE SUBDIVISION,Community water system,Ground water,Chambers,-,132,,,
TX0810028,ABBEY MOBILE HOME PARK,Community water system,Ground water,Freestone,-,13,,,
TX1290010,ABLES SPRINGS SUD,Community water system,Surface water purchased,Kaufman,-,"3,329",,,
TX1840034,ABRAXAS UTILITIES,Community water system,Ground water,Parker,-,537,,,
TX1260095,ACE MOBILE HOME PARK,Community water system,Ground water,Johnson,-,36,,,
TX0190063,ACME MOBILE HOME PARK & MOTOR,Community water system,Ground water,Cherokee,-,25,,,
TX1012333,ACORN VILLAGE MOBILE HOME PARK,Community water system,Surface water purchased,Harris,-,192,,,
TX1010642,ACRES NORTH MOBILE HOME PARK,Community water system,Ground water,Harris,-,25,,,
TX0140018,ACRES WATER SUPPLY CORPORATION,Community water system,Surface water purchased,Burnet,-,680,,,
TX1110007,ACTON MUD,Community water system,Surface water purchased,Hood,-,"17,855",,,
TX1110055,ACTON WATER ROYAL OAKS,Community water system,Surface water purchased,Hood,-,210,,,
TX1520127,ADAIR APARTMENTS,Community water system,Ground water,Lubbock,-,11,,,
TX0310080,ADAM GARDENS MOBILE ESTATES,Community water system,Surface water purchased,Denton,-,200,,,
TX1070214,ADAMS MOBILE HOME PARK,Community water system,Ground water,Henderson,-,36,,,
