PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
UTAH02001,ACME WATER COMPANY,Community water system,Ground water,Box Elder,-,880,,,
UTAH25007,ALPINE CITY,Community water system,Ground water,Utah,-,"9,500",,,
UTAH25124,ALPINE COVE WATER SSD,Community water system,Ground water,Utah,-,230,,,
UTAH18049,ALTA TOWN WATER SYSTEM,Community water system,Ground water,Salt Lake,-,"1,397",,,
UTAH13001,ALTON TOWN WATER SYSTEM,Community water system,Ground water,Kane,-,136,,,
UTAH03002,AMALGA TOWN WATER SYSTEM,Community water system,Ground water,Cache,-,495,,,
UTAH25008,AMERICAN FORK CITY,Community water system,Ground water,Utah,-,"29,500",,,
UTAH27074,ANGELL SPRINGS SSD,Community water system,Ground water,Washington,-,240,,,
UTAH11047,ANGUS WATER COMPANY,Community water system,Ground water,Iron,-,0,,,
UTAH21001,ANNABELLA TOWN WATER SYSTEM,Community water system,Ground water,Sevier,-,700,,,
UTAH09001,ANTIMONY TOWN WATER SYSTEM,Community water system,Ground water,Garfield,-,135,,,
UTAH24013,ASHLEY VALLEY WATER AND SEWER ID,Community water system,Surface water,Uintah,-,"9,126",,,
UTAH21002,AURORA CITY,Community water system,Ground water,Sevier,-,950,,,
UTAH21003,AUSTIN SSD,Community water system,Ground water,Sevier,-,150,,,
UTAH20051,AXTELL COMMUNITY SERVICE DISTRIBUTION,Community water system,Ground water,Sanpete,-,300,,,
UTAH24001,BALLARD WATER IMPROVEMENT DISTRICT,Community water system,Ground water purchased,Uintah,-,"1,005",,,
UTAH23044,"BCI-LP HOLDINGS, L.C.",Community water system,Ground water purchased,Tooele,-,200,,,
UTAH02079,BEAR RIVER WCD- COLLINSTON WATER SYSTEM,Community water system,Ground water purchased,Box Elder,-,102,,,
UTAH02002,BEAR RIVER WCD-BEAVER DAM,Community water system,Ground water,Box Elder,-,65,,,
UTAH02068,BEAR RIVER WCD-HARPER WARD,Community water system,Ground water purchased,Box Elder,-,350,,,
UTAH02070,BEAR RIVER WCD-RIVERSIDE-NORTH GARLAND,Community water system,Ground water purchased,Box Elder,-,30,,,
UTAH02077,BEAR RIVER WCD-SO WILLARD,Community water system,Ground water,Box Elder,-,0,,,
UTAH02066,BEAR RIVER WCD-TREMONTON,Community water system,Ground water,Box Elder,-,0,,,
UTAH01001,BEAVER CITY WATER SYSTEM,Community water system,Ground water,Beaver,-,"3,142",,,
UT4900472,BEAVER DAM,Community water system,Ground water,Box Elder,BEAVER DAM,40,,,
UTAH03097,BENSON CULINARY IMPROVEMENT DISTRICT,Community water system,Ground water,Cache,-,743,,,
UTAH13049,BEST FRIENDS ANIMAL SOCIETY,Community water system,Ground water,Kane,-,25,,,
UTAH28043,BICKNELL BOTTOMS,Community water system,Ground water purchased,Wayne,-,45,,,
UTAH28001,BICKNELL TOWN WATER SYSTEM,Community water system,Ground water,Wayne,-,380,,,
