PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
VA2069150,50 EAST INC,Community water system,Ground water,Frederick,FREDERICK,49,,,
VA5031980,501 TRAILER COURT,Community water system,Ground water,Campbell,-,290,,,
VA3131990,771ST AC&W STATION,Community water system,Ground water,Northampton,NORTHAMPTON,120,,,
VA1121291,A W HESLIP JR,Community water system,Ground water,Montgomery,MONTGOMERY,60,,,
VA1121185,A&T MOBILE HOME PARK,Community water system,Groundwater under influence of surface water,Montgomery,MONTGOMERY,50,,,
VA2045050,ABBOTTS TRAILER PARK NO 1,Community water system,Ground water,Craig,CRAIG,25,,,
VA1185003,ABBS VALLEY WATER COMPANY,Community water system,Ground water,Tazewell,TAZEWELL,45,,,
VA1185002,ABBS VALLEY(MUSTARD FARM SUBD),Community water system,Groundwater under influence of surface water,Tazewell,-,50,,,
VA6179775,ABEL LAKE WTP,Community water system,Surface water,Stafford,-,"48,000",,,
VA6033049,ABUNDANT LIFE ACADEMY,Community water system,Ground water,Caroline,-,40,,,
VA3001028,ACCOMACK MANOR,Community water system,Ground water,Accomack,-,155,,,
VA6113100,ACHSAH ACRES,Community water system,Ground water,Madison,-,63,,,
VA2109750,ACORN WEST TRAILER COURT,Community water system,Ground water,Louisa,-,70,,,
VA2003050,ACSA CROZET,Community water system,Surface water purchased,Albemarle,-,"8,400",,,
VA2003054,ACSA RED HILL,Community water system,Ground water,Albemarle,-,240,,,
VA2003051,ACSA SCOTTSVILLE,Community water system,Surface water purchased,Albemarle,-,715,,,
VA2003053,ACSA URBAN AREA,Community water system,Surface water purchased,Albemarle,-,"62,143",,,
VA4193040,ADAMS GROVE,Community water system,Ground water,Westmoreland,-,33,,,
VA3131030,ADDISON TRAILER PARK-E ADDISON,Community water system,Ground water purchased,Northampton,NORTHAMPTON,42,,,
VA1121006,AGEE'S TRAILER PARK SUPPLY #2,Community water system,Ground water,Montgomery,MONTGOMERY,60,,,
VA3131900,AIR FORCE STATION,Community water system,Ground water,Northampton,NORTHAMPTON,36,,,
VA5031025,AIRPORT TRAILER COURT,Community water system,Ground water,Campbell,CAMPBELL,30,,,
VA1063025,AKERS SUB D,Community water system,Ground water,Floyd,FLOYD,48,,,
VA6153021,ALALEA PARK NO 2,Community water system,Ground water,Prince William,PRINCE WILLIAM,15,,,
VA5025050,"ALBERTA, TOWN OF",Community water system,Surface water purchased,Brunswick,-,300,,,
VA5143020,ALDERSONS TRAILER COURT,Community water system,Ground water,Pittsylvania,PITTSYLVANIA,63,,,
VA6107010,ALDIE WATER COMPANY,Community water system,Ground water,Loudoun,-,70,,,
VA6510010,"ALEXANDRIA, CITY OF",Community water system,Surface water purchased,-,ALEXANDRIA,"146,970",,,
VA6153010,ALGONQUIN HILLS,Community water system,Ground water,Prince William,PRINCE WILLIAM,25,,,
VA1121031,ALL'S TRAILER PARK WELL #2,Community water system,Ground water,Montgomery,MONTGOMERY,27,,,
VA2005120,ALLEGHANY CO CLEARWATER PARK,Community water system,Surface water,Alleghany,ALLEGHANY,468,,,
VA1121015,ALLEGHANY MOBILE HOME PARK,Community water system,Ground water,Montgomery,MONTGOMERY,45,,,
VA1121020,ALLEGHANY SPRINGS C/O MONTGOMERY PSA,Community water system,Groundwater under influence of surface water,Montgomery,MONTGOMERY,135,,,
VA5031040,ALLEN'S MOBILE HOME VILLAGE,Community water system,Ground water,Campbell,CAMPBELL,150,,,
VA1167005,ALLEN'S TRAILER PARK,Community water system,Ground water,Russell,RUSSELL,30,,,
VA1121030,ALLS TR PK C/O JUDY EPPERLY,Community water system,Ground water,Montgomery,MONTGOMERY,39,,,
VA2171063,ALONZAVILLE - BLUE RIDGE UTIL,Community water system,Ground water,Shenandoah,SHENANDOAH,50,,,
VA1167888,ALTAMONT MANOR HOME FOR ADULTS,Community water system,Surface water purchased,Russell,-,40,,,
VA5031050,"ALTAVISTA, TOWN OF",Community water system,Surface water,Campbell,-,"3,850",,,
VA1167008,ALTIZER TRAILER PARK,Community water system,Ground water,Russell,RUSSELL,27,,,
VA5067020,ALTON PARK,Community water system,Ground water,Franklin,-,66,,,
