PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
VI0000052,1 & 1A EST. GOLDEN GROVE,Community water system,Surface water,"St. Croix Island, St. Thomas Island",-,202,,,
VI1000082,ANCHORAGE CONDO'S,Community water system,Ground water,St. Thomas Island,-,75,,,
VI0000045,"ANNA'S HOPE (BLDG.A), HPR",Community water system,Surface water,"St. Croix Island, St. Thomas Island",-,25,,,
VI0000044,"ANNA'S HOPE (BLDG.B), HPR",Community water system,Surface water,"St. Croix Island, St. Thomas Island",-,25,,,
VI3000106,ANNA'S HOPE DETENTION CENTER (,Community water system,Surface water,St. Croix Island,-,62,,,
VI0000075,ASSOCIATION OF ST.X CONDO'S,Community water system,Ground water,St. Croix Island,-,199,,,
VI0000099,"AUREO DAIZ HEIGHTS, VIHA",Community water system,Surface water,St. Croix Island,-,380,,,
VI3000063,BAY COURT,Community water system,Surface water,St. Thomas Island,-,72,,,
VI0000056,BAY GARDEN/EAST,Community water system,Ground water,St. Croix Island,-,38,,,
VI3000073,BAY GARDEN/WEST,Community water system,Ground water,St. Croix Island,-,38,,,
VI0000101,BERGS HOME HOUSING PROJECT,Community water system,Surface water,St. Thomas Island,-,223,,,
VI0000173,BLUEWATER BIBLE COLLEGE - KITCHEN,Community water system,Surface water,St. Thomas Island,-,30,,,
VI0000029,"BOVONI HOUSING PROJECT I (BLDG. A,B,C)",Community water system,Surface water,St. Thomas Island,-,960,,,
VI0000030,"BOVONI HOUSING PROJECT II (BLDG. D,E)",Community water system,Surface water,St. Thomas Island,-,500,,,
VI0000122,BURNETT TOWERS,Community water system,Ground water,St. Thomas Island,-,100,,,
VI1000131,CABRITA POINT RESORT,Community water system,Ground water,St. Thomas Island,-,40,,,
VI0000449,CANCEL BAY EMPLOYEES HOME #1,Community water system,Surface water,-,-,100,,,
VI0000450,CANCEL BAY EMPLOYEES HOME #2,Community water system,Surface water,-,-,100,,,
VI0000305,CANE BRAKE APARTMENTS,Community water system,Ground water,St. Croix Island,-,141,,,
VI0000560,CANEEL BAY EMPLOYEE HOME,Community water system,Ground water,St. John Island,-,48,,,
VI0000559,CANEEL BAY PROJECT,Community water system,Surface water,St. Thomas Island,-,200,,,
VI3000009,CARIB VILLA APARTMENTS,Community water system,Surface water,"St. Croix Island, St. Thomas Island",-,25,,,
VI3000332,CARIB VILLAS IV (BLDG. B),Community water system,Surface water,St. Croix Island,-,40,,,
VI3000331,CARIB VILLAS IV (BLDG.A),Community water system,Surface water,St. Croix Island,-,40,,,
