PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
VT0020800,100 MOUNTAIN VIEW ROAD PARK,Community water system,Surface water purchased,Bennington,BENNINGTON,290,,,
VT0001096,ACORN LODGE,Community water system,Ground water,Washington,-,0,,,
VT0005188,ALBANY WATER SYSTEM,Community water system,Ground water,Orleans,ALBANY,200,,,
VT0005137,ALBURGH FIRE DISTRICT 1,Community water system,Surface water,Grand Isle,ALBURG,87,,,
VT0020964,ALBURGH FIRE DISTRICT 2,Community water system,Surface water purchased,Grand Isle,ALBURG,300,,,
VT0005136,ALBURGH VILLAGE WATER SYSTEM,Community water system,Surface water,Grand Isle,ALBURG,576,,,
VT0020991,ALLEN POINT WATER SYSTEM,Community water system,Surface water purchased,Grand Isle,SOUTH HERO,33,,,
VT0005624,ALLEN POINT WATER SYSTEM,Community water system,Surface water,Grand Isle,SOUTH HERO,40,,,
VT0005359,ALPEN MEADOWS,Community water system,Ground water,Windsor,LUDLOW,112,,,
VT0005208,ALPINE HAVEN,Community water system,Ground water,Orleans,WESTFIELD,250,,,
VT0005386,ALPINE MEADOWS,Community water system,Ground water,Lamoille,-,60,,,
VT0005292,ALPSTETTEN DEVELOPMENT,Community water system,Ground water,Windham,WEST DOVER,78,,,
VT0005628,ALTA GARDENS ESTATES,Community water system,Ground water,Bennington,POWNAL,147,,,
VT0005346,AMES BROOK WATER SYSTEM,Community water system,Ground water,Windham,BRATTLEBORO,92,,,
VT0020791,APPLEGATE APARTMENTS,Community water system,Surface water purchased,Bennington,BENNINGTON,273,,,
VT0005110,AQUA HAVEN,Community water system,Ground water,Essex,EAST HAVEN,150,,,
VT0005013,ARLINGTON WATER DEPT,Community water system,Ground water,Bennington,ARLINGTON,"1,250",,,
VT0005180,ARMSTRONGS MHP,Community water system,Ground water,Orange,RANDOLPH,45,,,
VT0005336,ASCUTNEY AQUEDUCT,Community water system,Surface water,Windsor,WEATHERSFIELD,50,,,
VT0005339,ASCUTNEY FD #2,Community water system,Ground water,Windsor,WEATHERSFIELD,485,,,
VT0008285,B B WATER SYSTEM,Community water system,Ground water,Washington,-,25,,,
VT0005114,BAKERSFIELD FIRE DISTRICT 1,Community water system,Ground water,Franklin,BAKERSFIELD,446,,,
