PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
WA5324781,141ST AVE KPN WATER COMPANY,Community water system,Ground water,Pierce,-,48,,,
WA5310001,142ND ST. WATER CO.,Community water system,Ground water,Thurston,-,87,,,
WA5322196,168TH AVE SYSTEM,Community water system,Ground water,Clark,-,26,,,
WA5324621,22ND AVENUE ESTATES WATER SYSTEM,Community water system,Ground water,Pierce,-,51,,,
WA5352701,336TH #1 - 310,Community water system,Ground water,Pierce,-,46,,,
WA5337925,60TH STREET WATER WORKS,Community water system,Surface water purchased,Snohomish,-,35,,,
WA5357656,74TH AVE WATER SYSTEM,Community water system,Ground water,Pierce,-,63,,,
WA5322588,8 SEDGWICK,Community water system,Ground water,Kitsap,-,57,,,
WA5322590,85 Acres,Community water system,Ground water,King,-,36,,,
WA5335980,AAA MOBILE HOME & RV PARK,Community water system,Ground water,Grant,-,54,,,
WA5300050,"ABERDEEN, CITY OF",Community water system,Surface water,Grays Harbor,-,"18,118",,,
WA5300150,ACALADI WATER ASSN,Community water system,Ground water,Island,-,33,,,
WA5300250,ACME WATER DISTRICT NO 18,Community water system,Ground water,Whatcom,-,568,,,
WA5300272,ACORN MEADOWS TR CRT,Community water system,Ground water,Pierce,-,192,,,
WA5315794,ACRES MOBILE HOME PARK,Community water system,Ground water,Clark,-,150,,,
WA5300278,ADAMS CO FIRE DIST #6,Community water system,Ground water,Adams,-,25,,,
WA5322525,ADAMS COUNTY WATER DIST #1,Community water system,Ground water purchased,Adams,-,740,,,
WA5301977,ADAMS RD COMMUNITY ASSN,Community water system,Ground water,Island,-,39,,,
WA5300363,ADDUCO-TENINO WATER SYSTE,Community water system,Ground water,Thurston,-,25,,,
WA5304289,ADDVCO-TENINO WATER SYSTEM,Community water system,Ground water,Thurston,-,25,,,
WA5334544,ADMIRAL WATER USERS ASSN,Community water system,Ground water,Grant,-,74,,,
WA5300420,ADMIRALTY INLET RESORT COOP,Community water system,Ground water,Island,-,36,,,
WA5300470,AERO MOBILE HOME PARK,Community water system,Ground water,Kitsap,-,25,,,
WA5300496,AGATE BAY TRAILER PARK,Community water system,Ground water,Whatcom,-,40,,,
WA5300510,AGATE BEACH,Community water system,Ground water,Mason,-,32,,,
WA5300515,AGATE WEST,Community water system,Ground water,Kitsap,-,100,,,
