PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
WI7370123,2YK LLC,Community water system,Ground water,Marathon,ANTIGO,25,,,
WI2300169,340 KRIWELL DR COMMUNITY,Community water system,Ground water,Kenosha,-,24,,,
WI2300163,425 HOLY HILL APTS,Community water system,Ground water,Kenosha,TWIN LAKES,28,,,
WI2413495,42ND STREET WELL OWNERS,Community water system,Ground water,Milwaukee,-,25,,,
WI2301565,52ND AVE WATER GROUP,Community water system,Ground water,Kenosha,KENOSHA,35,,,
WI6180175,????,Community water system,Ground water,Eau Claire,EAU CLAIRE,25,,,
WI4380095,???????,Community water system,Ground water,Marinette,GROVER,25,,,
WI1530019,????????,Community water system,Ground water,Jackson,SEXTONVILLE,25,,,
WI7370148,ABBOTSFORD WATERWORKS,Community water system,Ground water,Marathon,ABBOTSFORD,"1,956",,,
WI2410610,ACRE AVENUE WATER TRUST,Community water system,Ground water,Milwaukee,-,25,,,
WI2413494,ACRE ESTATES SOUTH,Community water system,Ground water,Milwaukee,-,25,,,
WI7010107,ADAMS WATERWORKS,Community water system,Ground water,Adams,ADAMS,"1,847",,,
WI4600435,ADELL WATERWORKS,Community water system,Ground water,Sheboygan,ADELL,519,,,
WI1110095,ADMINISTRATOR,Community water system,Ground water,Buffalo,COLUMBUS,300,,,
WI1230071,ALBANY WATERWORKS,Community water system,Ground water,Green,ALBANY,"1,018",,,
WI2460141,ALBERTA SUBDIVISION,Community water system,Ground water,Ozaukee,THIENSVILLE,75,,,
WI4711611,ALGOMA TN SANITARY DIST 1,Community water system,Ground water,Winnebago,OSHKOSH,"2,000",,,
WI4310280,ALGOMA WATERWORKS,Community water system,Ground water,Kewaunee,ALGOMA,"3,022",,,
WI2680256,ALLEMANDE MEADOWS WATER ASSN,Community water system,Ground water,Waukesha,-,25,,,
WI2680805,ALLEMANDE WATER ASSOC MIDDLE,Community water system,Ground water,Waukesha,-,25,,,
WI2670104,ALLENTON SANITARY DISTRICT,Community water system,Ground water,Washington,ALLENTON,860,,,
WI4050455,ALLOUEZ WATERWORKS,Community water system,Surface water purchased,Brown,GREEN BAY,"13,932",,,
WI6270298,ALMA CENTER WATERWORKS,Community water system,Ground water,Jackson,ALMA CENTER,509,,,
WI6060192,ALMA WATERWORKS,Community water system,Ground water,Buffalo,ALMA,769,,,
WI6030124,ALMENA WATERWORKS,Community water system,Ground water,Barron,ALMENA,677,,,
