PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
WV3301925,3047252066,Community water system,Ground water,Jefferson,-,53,,,
WV3304015,5 AND 20 MHP,Community water system,Ground water,Putnam,-,35,,,
WV3300319,A T MILLER III MHP,Community water system,Ground water,Boone,DANVILLE,63,,,
WV3305301,A&B DEVELOPMENT COMP,Community water system,Ground water,Wirt,-,50,,,
WV3302620,AAA MHP,Community water system,Surface water purchased,Marshall,-,272,,,
WV3302084,AARONS FORK - RDA,Community water system,Surface water purchased,Kanawha,CHARLESTON,110,,,
WV3304911,ADRIAN P S D,Community water system,Surface water purchased,Upshur,FRENCH CREEK,"4,571",,,
WV3304101,AGEE WATER WORKS,Community water system,Ground water,Raleigh,-,80,,,
WV3303901,ALBRIGHT TOWN OF,Community water system,Surface water purchased,Preston,ALBRIGHT,338,,,
WV3301315,ALDERSON WATER,Community water system,Surface water,Greenbrier,ALDERSON,"2,458",,,
WV3302927,ALLEGANY BALLISTICS LAB,Community water system,Ground water,Mineral,-,111,,,
WV3305501,ALLEN JUNCTION,Community water system,Surface water,Wyoming,-,550,,,
WV3303814,ALPINE BROOK M H P,Community water system,Ground water,Pocahontas,SLATYFORK (RR NAME LAUREL BANK,28,,,
WV3303921,ALPINE LAKE PUBLIC UTILITIES,Community water system,Ground water,Preston,TERRA ALTA,"1,318",,,
WV3304201,ALPINE SHORES MHP,Community water system,Ground water,Randolph,-,50,,,
WV3301001,AMES HEIGHTS PSD,Community water system,Surface water,Fayette,AMES HEIGHTS,105,,,
WV3302416,ANAWALT MUNICIPAL WATER,Community water system,Ground water,McDowell,ANAWALT,350,,,
WV3303501,ANDREW SISANCICK,Community water system,Ground water,Ohio,-,52,,,
WV3302802,ANDY CLARK,Community water system,Ground water,Mercer,-,45,,,
WV3301301,ANJEAN WATER SUPPLY,Community water system,Ground water,Greenbrier,-,60,,,
WV3301701,ANMOORE TOWN OF,Community water system,Surface water purchased,Harrison,ANMOORE,995,,,
WV3301317,ANTHONY CORRECTIONAL CENTER,Community water system,Ground water,Greenbrier,NEOLA,348,,,
WV3301938,ANTONIO CHICC HIRICHI,Community water system,Ground water,Jefferson,-,102,,,
WV9928102,APPALACHIAN TEEN CHALLENGE FEMALE CENTER,Community water system,Ground water,Mercer,ATHENS,30,,,
WV9928061,APPALACHIAN TEEN CHALLENGE MALE CENTER,Community water system,Ground water,Mercer,ATHENS,30,,,
WV3302311,APPALACHIAN WATER & SEWER,Community water system,Ground water,Logan,-,238,,,
WV3302301,APPALACHIAN WATER & SEWER,Community water system,Ground water,Logan,-,600,,,
WV3302306,APPALACHIAN WATER & SEWER,Community water system,Ground water,Logan,-,108,,,
WV3302312,APPALACHIAN WATER & SEWER,Community water system,Ground water,Logan,LANDVILLE,39,,,
WV3302313,APPALACHIAN WATER & SEWER,Community water system,Ground water,Logan,-,128,,,
WV3302344,APPALACHIAN WATER & SEWER,Community water system,Ground water,Logan,-,25,,,
WV3302305,APPALACHIAN WATER & SEWER,Community water system,Ground water,Logan,-,220,,,
WV3302303,APPALACHIAN WATER & SEWER,Community water system,Ground water,Logan,-,39,,,
WV3302307,APPALACHIAN WATER & SEWER,Community water system,Ground water,Logan,-,308,,,
WV3302316,APPALACHIAN WATER & SEWER,Community water system,Ground water,Logan,-,147,,,
WV3303314,APPLE ORCHARD ACRES,Community water system,Ground water,Morgan,BERKELEY SPRINGS,91,,,
WV3301003,ARBUCKLE P S D,Community water system,Ground water,Fayette,MINDEN,482,,,
WV3301044,ARBUCKLE PSD - KAYMORE 2 DIV,Community water system,Surface water purchased,-,-,385,,,
WV3301043,ARBUCKLE PSD-KAYMORE 1 DIV,Community water system,Surface water purchased,-,-,388,,,
WV3301702,ARLINGTON-GLEN FALLS WATER,Community water system,Surface water purchased,Harrison,-,435,,,
WV3301004,ARMSTRONG PSD,Community water system,Surface water,Fayette,KIMBERLY,"2,208",,,
WV3302901,ARTHUR C MORELAND HTG & PLMBG,Community water system,Ground water,Mineral,-,84,,,
WV3303902,ARTHURDALE WATER ASSOC.,Community water system,Ground water,Preston,ARTHURDALE,299,,,
