PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
WY5600843,400 WEST FRONT STREET,Community water system,Ground water,-,-,25,,,
WY5601286,7 ACRES MOBILE HOME COMM.,Community water system,Ground water purchased,-,-,130,,,
WY5600179,A & J MOBILE HOME PARK,Community water system,Ground water,Fremont,RIVERTON,100,,,
WY5600755,A & T TRAILER PARK,Community water system,Ground water,-,-,150,,,
WY5600387,A & T TRAILER PARK,Community water system,Ground water,-,-,60,,,
WY5601228,A-1ST MOBILE HOME VILLA,Community water system,Surface water purchased,-,-,35,,,
WY5601307,AAA MOBILE HOME PARK,Community water system,Ground water purchased,-,-,25,,,
WY5601265,AAA MOBILE HOME PARK,Community water system,Ground water,Laramie,CHEYENNE,0,,,
WY5600057,AFFORDABLE RES COMM/CHEYENNE,Community water system,Surface water purchased,-,-,280,,,
WY5600002,"AFTON, BOARD OF PUB UTILITIES",Community water system,Ground water,Lincoln,AFTON,"1,818",,,
WY5600080,AIR BASE ACRES,Community water system,Surface water purchased,Natrona,MILLS,250,,,
WY5601385,AIRPORT BENCH WATER & SEWER DI,Community water system,Ground water purchased,Big Horn,GREYBULL,0,,,
WY5601169,ALBERT'S TRAILER COURT,Community water system,Surface water purchased,-,-,22,,,
WY5600189,"ALBIN, TOWN OF",Community water system,Ground water,Laramie,ALBIN,181,,,
WY5600071,ALCOVA ACRES INVESTMENT CORP.,Community water system,Ground water,-,-,340,,,
WY5601592,ALCOVA DAM TRAILER PARK,Community water system,Ground water,Natrona,-,7,,,
WY5680148,ALCOVA PWR PLANT FOREMAN,Community water system,Ground water,-,-,80,,,
WY5600156,"ALPINE, TOWN OF",Community water system,Ground water,Lincoln,ALPINE,"1,100",,,
WY5600275,ALTA COMMUNITY PIPELINE,Community water system,Ground water,Teton,ALTA,40,,,
WY5600968,AMERICAN ROAD W&S DISTRICT,Community water system,Ground water,Campbell,GILLETTE,215,,,
WY5600193,ANDERSON IMPRV & SERVICES DIST,Community water system,Ground water,Campbell,GILLETTE,0,,,
WY5600840,ANTELOPE HILLS MOBILE HOME PK,Community water system,Ground water,-,-,25,,,
WY5600131,ANTELOPE MOBILE HOME PARK,Community water system,Ground water,Campbell,GILLETTE,351,,,
WY5601457,ANTELOPE RIDGE HOA,Community water system,Ground water,Albany,LARAMIE,70,,,
WY5600251,ANTELOPE VALLEY I&S DISTRICT,Community water system,Ground water,Campbell,GILLETTE,"1,280",,,
WY5601274,APOLLO MOBILE VILLAGE,Community water system,Surface water purchased,-,-,130,,,
WY5600083,ARDON SUBDIVISION WATER USERS,Community water system,Surface water purchased,-,-,50,,,
WY5601311,ARTESIAN MOBILE HOME PARK,Community water system,Ground water purchased,-,-,75,,,
WY5601330,ASPENS MHP,Community water system,Surface water purchased,-,-,400,,,
WY5600220,ASPENS WATER & SEWER DISTRICT,Community water system,Ground water,Teton,JACKSON,"1,400",,,
WY5600266,AVALON MOBILE MANOR,Community water system,Surface water purchased,Laramie,CHEYENNE,0,,,
WY5601276,B BAR B MOBILE HOME PARK,Community water system,Ground water purchased,-,-,150,,,
WY5600254,B BAR B TRAILER RANCHES,Community water system,Ground water,-,-,130,,,
WY5600180,B&K MOBILE HOME PARK,Community water system,Ground water,Fremont,RIVERTON,200,,,
WY5601211,B&R MOBILE HOME VILLAGE,Community water system,Surface water purchased,-,-,475,,,
WY5601054,B-L MOBILE HOME PARK,Community water system,Ground water,-,-,25,,,
WY5600058,"BAGGS, TOWN OF",Community water system,Groundwater under influence of surface water,Carbon,BAGGS,435,,,
WY5600003,"BAIROIL, TOWN OF",Community water system,Ground water,Sweetwater,BAIROIL,90,,,
WY5600258,BALD MOUNTAIN TRAILER COURT,Community water system,Ground water,Johnson,BUFFALO,150,,,
WY5600976,BAR Y ESTATES/GROS VENTRE WEST WTR DISTS,Community water system,Ground water,Teton,JACKSON,270,,,
WY5601439,BAR-B-BAR MEADOWS,Community water system,Ground water,Teton,JACKSON,55,,,
WY5601230,BARBARA-LEE MOBILE HOME PARK,Community water system,Surface water purchased,-,-,32,,,
WY5600004,"BASIN, TOWN OF",Community water system,Ground water purchased,Big Horn,BASIN,"1,250",,,
