PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
AL0000657,ABBEVILLE WATER WORKS & SEWER BOARD,Community water system,Ground water,Henry,ABBEVILLE,"3,828",,,
AL0000130,AD&G TRAILER PARK,Community water system,Ground water,Calhoun,JACKSONVILLE,69,,,
AL0001402,ADDISON WATER WORKS,Community water system,Surface water purchased,Winston,ADDISON,"2,544",,,
AL0000644,AKRON WATER DEPARTMENT,Community water system,Ground water,Hale,-,564,,,
AL0001767,AKRON WATER SYSTEM,Community water system,Ground water purchased,Hale,AKRON,570,,,
AL0001083,AL SHERIFF'S BOYS RANCH,Community water system,Ground water,Morgan,DANVILLE,36,,,
AL0001264,AL SHERIFF'S GIRLS RANCH,Community water system,Ground water,Tallapoosa,-,70,,,
AL0000024,ALABAMA GULF UTILITIES,Community water system,Ground water,Baldwin,-,"3,300",,,
AL0000450,ALABAMA SHERIFFS BOYS RANCH,Community water system,Ground water,Dallas,-,100,,,
AL0001148,ALABASTER WATER BOARD,Community water system,Surface water purchased,Shelby,ALABASTER,"38,361",,,
AL0001082,ALADDIN MOBILE ESTATES,Community water system,Surface water purchased,Morgan,-,93,,,
AL0000933,ALBERTVILLE UTILITIES BOARD,Community water system,Surface water,Marshall,ALBERTVILLE,"29,991",,,
AL0001316,ALDRIDGE WATER WORKS,Community water system,Surface water purchased,Walker,-,255,,,
AL0001265,ALEXANDER CITY WATER DEPARTMENT,Community water system,Surface water,Tallapoosa,ALEXANDER CITY,"27,000",,,
AL0001102,ALICEVILLE WATER & SEWER BOARD,Community water system,Ground water,Pickens,ALICEVILLE,"3,855",,,
AL0000098,ALLGOOD WATER WORKS (TOWN OF),Community water system,Ground water,Blount,ALLGOOD,846,,,
AL0000571,ALTOONA WATER & SEWER SERVICE,Community water system,Ground water,Etowah,ALTOONA,"1,143",,,
AL0001419,AMMONS WATER SYSTEM,Community water system,Ground water,Jefferson,MCCALLA,120,,,
AL0000356,ANDALUSIA (UTILITIES BOARD OF),Community water system,Ground water,Covington,ANDALUSIA,"15,114",,,
AL0001494,ANNISTON ARMY DEPOT,Community water system,Ground water purchased,Calhoun,P E HOLLADAY,"4,500",,,
AL0000133,ANNISTON WATER & SEWER BOARD,Community water system,Surface water,Calhoun,ANNISTON,"56,700",,,
AL0000934,ARAB WATER WORKS BOARD,Community water system,Surface water,Marshall,ARAB,"34,800",,,
AL0001420,ARDMORE WATER SYSTEM,Community water system,Ground water,Limestone,ARDMORE,"3,600",,,
AL0001431,ARGO WATER SYSTEM,Community water system,Ground water purchased,St. Clair,-,"1,620",,,
AL0000416,ARITON WATER WORKS,Community water system,Ground water,Dale,ARITON,"1,161",,,
AL0001403,ARLEY WATER WORKS,Community water system,Surface water,Winston,ARLEY - 3600,"7,872",,,
AL0000935,ASBURY WATER SYSTEM,Community water system,Surface water purchased,Marshall,ALBERTVILLE,"7,170",,,
AL7380001,ASHFORD TOWN HOMES,Community water system,Surface water purchased,Jefferson,-,504,,,
AL0000671,ASHFORD WATER WORKS,Community water system,Ground water,Houston,ASHFORD,"3,690",,,
AL0000264,ASHLAND WATER & SEWER BOARD,Community water system,Surface water purchased,Clay,ASHLAND,"2,925",,,
AL0001176,ASHVILLE WATER AND SEWER,Community water system,Ground water,St. Clair,ASHVILLE,"3,984",,,
AL7380016,ASPEN RIDGE APARTMENTS,Community water system,Surface water purchased,Jefferson,BIRMINGHAM,"1,926",,,
AL7380017,ASPEN RUN APARTMENTS,Community water system,Surface water purchased,Jefferson,-,"1,662",,,
AL7380018,ASPEN TRAIL APARTMENTS,Community water system,Surface water purchased,Jefferson,-,"1,932",,,
AL0000824,ATHENS UTILITIES,Community water system,Surface water,Limestone,ATHENS,"27,534",,,
AL0000572,ATTALLA WATER WORKS BOARD,Community water system,Groundwater under influence of surface water,Etowah,ATTALLA,"8,400",,,
AL0000804,AUBURN WATER WORKS,Community water system,Surface water,Lee,AUBURN,"67,200",,,
AL0000001,AUTAUGA CO WATER AUTHORITY,Community water system,Ground water,Autauga,PRATTVILLE,"7,218",,,
AL0001487,AUTAUGA HILLS WATER AUTHORITY,Community water system,Ground water,Autauga,-,"1,955",,,
AL0000002,AUTAUGAVILLE WATER SYSTEM,Community water system,Ground water,Autauga,AUTAUGAVILLE,"2,088",,,
AL7380002,AUTUMN VILLAGE APARTMENTS,Community water system,Surface water purchased,Jefferson,-,720,,,
AL0001511,AVON WATER SYSTEM,Community water system,Ground water purchased,Houston,ASHFORD,465,,,
AL0000079,BAKERHILL WATER AUTHORITY,Community water system,Ground water,Barbour,BAKERHILL,"7,128",,,
AL0000306,BALLEW TRAILER COURT,Community water system,Ground water,Colbert,-,40,,,
AL0001108,BANKS WATER SYSTEM,Community water system,Ground water,Pike,BANKS,"2,550",,,
AL0001178,BAPTIST HOME FOR SR.CITIZENS,Community water system,Ground water,St. Clair,COOK SPRINGS,200,,,
AL0000308,BARTON WATER AUTHORITY,Community water system,Surface water purchased,Colbert,CHEROKEE,"1,431",,,
AL0000067,BAY S&W,Community water system,Ground water,Baldwin,-,"3,600",,,
AL0000957,BAYOU LA BATRE UTILITIES,Community water system,Ground water,Mobile,BAYOU LA BATRE,"8,118",,,
AL0000136,BEACH ROAD TRAILER PARK,Community water system,Ground water,Calhoun,JACKSONVILLE,99,,,
AL0000920,BEAR CREEK WATER WORKS,Community water system,Surface water purchased,Marion,-,"3,228",,,
AL0001044,BEATRICE WATER SYSTEM,Community water system,Ground water,Monroe,BEATRICE,591,,,
AL0000805,BEAUREGARD WATER AUTHORITY,Community water system,Ground water,Lee,OPELIKA,"9,828",,,
AL0000766,BEAVERTON WATER DEPARTMENT,Community water system,Surface water purchased,Lamar,BEAVERTON,729,,,
AL0000025,BELFOREST WATER SYSTEM,Community water system,Ground water,Baldwin,DAPHNE,"3,843",,,
AL0000600,BELGREEN WATER & FIRE PROTECT AUTHORITY,Community water system,Surface water purchased,Franklin,-,408,,,
AL0000595,BELK WATER SYSTEM,Community water system,Surface water purchased,Fayette,BELK,861,,,
AL0001533,BELLWOOD WATER & FIRE AUTH.,Community water system,Ground water,Geneva,BELLWOOD,369,,,
AL0000317,BELYOR ESTATES,Community water system,Ground water,Colbert,LISTERHILL,28,,,
AL0000872,BENTLEY SUBDIVISION WATER SYM,Community water system,Ground water,Madison,-,36,,,
AL0000596,"BERRY WATER DEPARTMENT, TOWN OF",Community water system,Surface water,Fayette,BERRY,"4,716",,,
AL0000737,BESSEMER WATER SERVICE,Community water system,Surface water purchased,Jefferson,BESSEMER,"81,759",,,
AL0000287,BETHANY WATER AUTHORITY,Community water system,Ground water purchased,Coffee,-,888,,,
AL0001149,BETHEL WATER SYSTEM,Community water system,Ground water purchased,Shelby,WILSONVILLE,"3,951",,,
AL0000658,BETHLEHEM WATER AUTHORITY,Community water system,Ground water purchased,Henry,-,"1,200",,,
AL0000180,BEULAH UTILITIES DISTRICT,Community water system,Surface water purchased,Lee,-,"9,120",,,
AL0001543,BIBB COUNTY WATER SYSTEM,Community water system,Ground water purchased,Bibb,-,"2,475",,,
AL0000874,BIG COVE WATER & FIRE PROT AUT,Community water system,Ground water,Madison,-,885,,,
AL0001505,BIG WILLS WATER & FIRE PRO AUTHORITY,Community water system,Ground water,Etowah,ATTALLA,"2,295",,,
AL0000003,BILLINGSLEY WATER SYSTEM,Community water system,Ground water,Autauga,BILLINGSLEY,"1,473",,,
AL7380034,BINZEL MANOR APARTMENTS,Community water system,Surface water purchased,Jefferson,-,32,,,
AL0000738,BIRMINGHAM WATER WORKS BOARD,Community water system,Surface water,Jefferson,BIRMINGHAM,"585,000",,,
AL0000843,BLACK BELT WATER SYSTEM,Community water system,Ground water,Lowndes,HAYNEVILLE,750,,,
AL0000615,BLACK WATER WORKS,Community water system,Ground water,Geneva,BLACK,369,,,
AL0000417,BLACKMON TRAILER COURT,Community water system,Ground water,Dale,DALEVILLE,48,,,
AL0001783,BLOUNT COUNTY WATER,Community water system,Surface water,Blount,CLEVELAND,"17,139",,,
AL0000100,BLOUNTSVILLE UTILITIES BOARD,Community water system,Ground water,Blount,BLOUNTSVILLE,"4,266",,,
AL0001769,"BLUE HOLE WATER COMPANY, INC., THE",Community water system,Surface water purchased,Blount,-,369,,,
AL0000081,BLUE SPRINGS WATER WORKS,Community water system,Ground water,Barbour,CLIO,600,,,
AL0000936,BOAZ WATER & SEWER BOARD,Community water system,Surface water purchased,Marshall,BOAZ,"29,196",,,
AL0001322,BOLDO WATER & FIRE PROT. AUTHORITY,Community water system,Surface water purchased,Walker,JASPER,"4,521",,,
AL0000630,BOLIGEE WATER SYSTEM,Community water system,Ground water,Greene,-,"3,600",,,
AL0000026,BON BAY SHORES WATER SYSTEM,Community water system,Ground water,Baldwin,-,81,,,
AL0001182,BRANCHVILLE WATER SYSTEM,Community water system,Ground water,St. Clair,-,75,,,
AL0000385,BRANTLEY WATER WORKS,Community water system,Ground water,Crenshaw,BRANTLEY,"1,485",,,
AL0000091,BRENT UTILITIES BOARD,Community water system,Ground water,Bibb,BRENT,"5,850",,,
AL0000555,BREWTON WATER WORKS,Community water system,Ground water,Escambia,BREWTON,"9,756",,,
AL0000713,BRIDGEPORT UTILITIES BOARD,Community water system,Surface water,Jackson,BRIDGEPORT,"6,000",,,
AL0000921,BRILLIANT WATER WORKS,Community water system,Ground water,Marion,BRILLIANT,"1,605",,,
AL0000741,BROOKSIDE WATER WORKS,Community water system,Surface water purchased,Jefferson,BROOKSIDE,"2,550",,,
AL7380037,BROOKSTONE APARTMENT HOMES,Community water system,Surface water purchased,Jefferson,BIRMINGHAM,32,,,
AL0001110,BRUNDIDGE WATER DEPARTMENT,Community water system,Ground water,Pike,BRUNDIDGE,"3,795",,,
AL0000616,BRUNSONS TRAILER COURT,Community water system,Ground water,Geneva,-,60,,,
AL0001323,BRYAN-BURNWELL WATER AUTHORITY,Community water system,Surface water purchased,Walker,-,"1,296",,,
AL0000962,BRYANT TRAILER COURT,Community water system,Ground water,Mobile,SEMMES,53,,,
AL0001290,"BUHL, ELROD & HOLMAN WATER AUTHORITY",Community water system,Ground water,Tuscaloosa,BUHL,"3,000",,,
AL0000525,BULAH VISTA MOBILE HOME PARK,Community water system,Ground water,Elmore,-,75,,,
AL0000112,BULLOCK COUNTY WATER SYSTEM,Community water system,Ground water purchased,Bullock,-,594,,,
AL0001507,BUTLER COUNTY WATER AUTHORITY,Community water system,Ground water,Butler,GREENVILLE,"13,395",,,
AL0000232,BUTLER WATER SYSTEM,Community water system,Ground water,Choctaw,BUTLER,"4,395",,,
AL7380019,C-K COURTS AT WILDWOOD,Community water system,Surface water purchased,Jefferson,-,32,,,
AL0000467,CAHABA PARK WEST,Community water system,Ground water,Dallas,-,290,,,
AL0000601,CAINS RIDGE VALLEY WATER AUTHORITY,Community water system,Surface water purchased,Fayette,-,63,,,
AL0001150,CALERA WATER WORKS,Community water system,Surface water,Shelby,CALERA,"21,600",,,
AL0000131,CALHOUN COUNTY WATER & FIRE PR AUTHORITY,Community water system,Surface water purchased,Calhoun,ALEXANDRIA,"30,810",,,
AL0000849,CALHOUN-LEE PLACE WATER SYSTEM,Community water system,Ground water purchased,Lowndes,-,492,,,
AL0001374,CAMDEN WATER & SEWER DEPARTMENT,Community water system,Ground water,Wilcox,CAMDEN,"4,170",,,
AL0001270,CAMP HILL UTILITIES BOARD,Community water system,Surface water purchased,Tallapoosa,CAMP HILL,"1,710",,,
AL7380032,CAMPUS MANOR APARTMENTS,Community water system,Surface water purchased,Jefferson,-,32,,,
AL0000557,CANOE WATER WORKS,Community water system,Ground water,Escambia,ATMORE,"1,005",,,
AL0000457,CAPPS TRAILER PARK,Community water system,Ground water,Dallas,-,200,,,
AL0000660,CAPPS WATER AUTHORITY,Community water system,Ground water purchased,Henry,-,675,,,
AL0001324,CARBON HILL UTILITIES BOARD,Community water system,Surface water purchased,Walker,CARBON HILL,"3,174",,,
AL0001540,CARROLLS CREEK WATER AUTHORITY,Community water system,Surface water purchased,Tuscaloosa,NORTHPORT,"13,443",,,
AL0001103,CARROLLTON WATER WORKS,Community water system,Ground water purchased,Pickens,-,"1,404",,,
AL0000337,CASTLEBERRY WATER SYSTEM,Community water system,Ground water,Conecuh,CASTLEBERRY,"1,086",,,
AL0001376,CATHERINE WATER WORKS,Community water system,Ground water,Wilcox,-,90,,,
AL0000458,CAVANAH TRAILER PARK,Community water system,Ground water,Dallas,SELMONT,66,,,
AL0000187,CEDAR BLUFF UTILITIES BOARD,Community water system,Surface water purchased,Cherokee,CEDAR BLUFF,"6,810",,,
AL0000964,CEDAR CREEK WATER SYSTEM,Community water system,Ground water purchased,Mobile,CITRONELLE,195,,,
AL0001272,"CEDAR GROVE WATER SYSTEM, INC",Community water system,Surface water purchased,Tallapoosa,-,300,,,
AL7380015,CEDARBROOK APARTMENTS,Community water system,Surface water purchased,Jefferson,-,32,,,
AL0001539,CENTRAL ALA PRISON,Community water system,Ground water,St. Clair,-,"1,100",,,
AL0000547,CENTRAL ELMORE WATER AUTHORITY,Community water system,Surface water,Elmore,WETUMPKA,"32,877",,,
AL0001739,CENTRAL TALLADEGA COUNTY WATER AUTHORITY,Community water system,Ground water,Talladega,ALPINE,"3,237",,,
AL0000188,CENTRE WATER & SEWER BOARD,Community water system,Surface water,Cherokee,CENTRE,"6,108",,,
AL0000092,CENTREVILLE WATER & SEWER,Community water system,Ground water,Bibb,CENTREVILLE,"5,646",,,
AL7380003,CENTURY VALLEY APARTMENTS,Community water system,Surface water purchased,Jefferson,-,810,,,
AL0000186,CESITA MOBILE HOME PARK II,Community water system,Ground water,Chambers,HUGLEY,36,,,
AL7380042,"CHALKVILLE LANDING, LCC",Community water system,Surface water purchased,Jefferson,BIRMINGHAM,32,,,
AL0000007,CHAMBLISS TRAILER PARK,Community water system,Ground water,Autauga,-,87,,,
AL0001775,CHANDLER MTN/GREASY COVE WATER AUTHORITY,Community water system,Ground water purchased,St. Clair,STEELE,"1,734",,,
AL0000135,CHASTAIN MOBILE HOMES,Community water system,Ground water,Calhoun,JACKSONVILLE,42,,,
AL0001358,CHATOM UTILITIES BOARD,Community water system,Ground water,Washington,CHATOM,"2,064",,,
AL0000184,CHATTAHOOCHEE VALLEY WATER SUPPLY DIST,Community water system,Surface water,Chambers,LANETT,32,,,
AL0000857,CHEHAW WATER SYSTEM,Community water system,Surface water purchased,Macon,-,384,,,
