PWS ID,PWS Name,PWS Type Ascending,Primary Source,Counties Served,Cities Served,Population Served Count,Number of Facilities,Number of Violations,Number of Site Visits
CO0121111,4 WAY RANCH MD 1,Community water system,Ground water,El Paso,-,144,,,
CO0113050,96 PIPELINE CO INC,Community water system,Ground water purchased,Crowley,-,285,,,
CO0107100,A 1 DISCOUNT WC,Community water system,Surface water purchased,Boulder,-,250,,,
CO0150100,A AND B WA INC,Community water system,Ground water,Prowers,-,100,,,
CO0134100,A WATER WAGON LLC,Community water system,Surface water purchased,La Plata,-,0,,,
CO0101001,AA MHV,Community water system,Ground water,Adams,-,0,,,
CO0052100,ACADEMY ACRES TRLR CT,Community water system,Ground water purchased,El Paso,MONUMENT,100,,,
CO0121025,ACADEMY WSD,Community water system,Ground water,El Paso,-,750,,,
CO0053876,ADVANCED MBL HM CT,Community water system,Ground water,Adams,-,200,,,
CO0238104,ADVANTAGE TREATMENT CTR,Community water system,Ground water,Logan,-,165,,,
CO0121109,AF ACADEMY MILITARY COMMUNITIES LLC,Community water system,Surface water purchased,El Paso,-,0,,,
CO0120001,AGATE WA,Community water system,Ground water,Elbert,-,70,,,
CO0136100,AGUILAR TOWN OF,Community water system,Groundwater under influence of surface water,Las Animas,-,496,,,
CO0186791,AIRPORT TRAILER PARK,Community water system,Ground water,Archuleta,-,35,,,
CO0161001,AKRON TOWN OF,Community water system,Ground water,Washington,-,"2,379",,,
CO0130116,ALAMEDA WSD,Community water system,Surface water purchased,Jefferson,-,"1,600",,,
CO0054346,ALAMEDA WTR & SAN DIST,Community water system,Surface water purchased,Jefferson,DENVER,800,,,
CO0102100,ALAMOSA CITY OF,Community water system,Ground water,Alamosa,-,"9,590",,,
CO0157011,ALDASORO RANCH HOC,Community water system,Ground water,San Miguel,-,73,,,
CO0149195,ALEX DAWSON SCHOOL,Community water system,Surface water purchased,Boulder,-,75,,,
CO0183855,ALEXANDER DAWSON SCHOOL,Community water system,Ground water,Boulder,-,134,,,
CO0207116,ALLANSPARK CRYSTAL SPRING WC,Community water system,Surface water purchased,Boulder,-,0,,,
CO0107115,ALLENSPARK WSD,Community water system,Surface water,Boulder,-,90,,,
CO0147001,ALMA TOWN OF,Community water system,Surface water,Park,-,275,,,
CO0104090,ALPINE LAKES RANCH WC,Community water system,Surface water purchased,Archuleta,-,194,,,
CO0154117,ALPINE MOUNTAIN RANCH MD,Community water system,Groundwater under influence of surface water,Routt,-,25,,,
CO0160050,ALPINE VILLAGE MHP,Community water system,Ground water,Teller,-,80,,,
CO0235120,ANDERSONS WONDERVIEW LTD,Community water system,Ground water,Larimer,-,0,,,
CO0070649,ANIMAS WATER COMPANY,Community water system,Surface water purchased,La Plata,-,800,,,
CO0134020,ANIMAS WC,Community water system,Ground water,La Plata,-,"2,720",,,
CO0126117,ANTELOPE HILLS ASSOC,Community water system,Surface water purchased,Gunnison,-,265,,,
CO0111100,ANTONITO TOWN OF,Community water system,Groundwater under influence of surface water,Conejos,-,981,,,
CO0051920,ANVIL POINTS,Community water system,Surface water,Garfield,RIFLE,40,,,
CO0192401,ANVIL POINTS C/O BANNER ASSOC,Community water system,Surface water,Garfield,PARACHUTE,40,,,
CO0107119,APOLLO ESTATES WUA,Community water system,Ground water,Boulder,-,0,,,
CO0107114,AQUARIAN WATER  THE,Community water system,Surface water purchased,Boulder,-,0,,,
CO0160075,ARABIAN ACRES MD,Community water system,Ground water,Teller,-,325,,,
CO0203002,ARAPAHOE CNTY WWWA,Community water system,Surface water purchased,Arapahoe,-,"31,000",,,
CO0103001,ARAPAHOE ESTATES WD,Community water system,Ground water,Arapahoe,-,0,,,
CO0110001,ARAPAHOE MHP,Community water system,Ground water,Clear Creek,-,0,,,
CO0196584,ARAPAHOE TRLR CT,Community water system,Ground water,Boulder,-,45,,,
CO0109001,ARAPAHOE WC,Community water system,Ground water,Cheyenne,-,98,,,
CO0070425,ARCHULETA WATER CO,Community water system,Surface water purchased,Archuleta,PAGOSA SPGS,120,,,
