County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR) &sect; (1,10)",00000,No,168.4 ,167.6, 169.3,32953,falling,-3.8 ,-4.4, -3.2
"Clarke County, Iowa(7)",19039,No,432 ,262.4, 671.4,4,*,*,*,*
"Pierce County, Nebraska(6,10)",31139,No,394.9 ,221.9, 652.1,3,*,*,*,*
"Switzerland County, Indiana(6,10)",18155,No,392.8 ,223.8, 638.1,3,*,*,*,*
"Blackford County, Indiana(6,10)",18009,No,391.7 ,257.2, 571.4,5,stable,-9.8 ,-42.3, 40.9
"McLean County, North Dakota(6)",38055,No,384.9 ,225.6, 611.2,4,*,*,*,*
"Pike County, Missouri(6,10)",29163,No,373.2 ,248.4, 538.7,6,stable,-11.3 ,-32.4, 16.2
"Harrison County, Iowa(7,8)",19085,No,366.5 ,239.1, 536.6,5,stable,0.0 ,-2.0, 2.0
"Shelby County, Iowa(7,8)",19165,No,348.8 ,225.1, 516.2,5,stable,1.4 ,-1.7, 4.5
"Saline County, Nebraska(6,10)",31151,No,339.1 ,206.8, 526,4,stable,-19.6 ,-65.1, 84.8
"Brookings County, South Dakota(6,10)",46011,No,333.9 ,222.1, 481.4,6,stable,-0.1 ,-13.1, 14.7
"Richland County, North Dakota(6)",38077,No,328.5 ,201.8, 503.8,4,*,*,*,*
"Cook County, Georgia(7)",13075,No,319.5 ,182.4, 517.6,3,*,*,*,*
"Lucas County, Iowa(7)",19117,No,319.3 ,179.1, 524.5,3,*,*,*,*
"Fayette County, Iowa(7,8)",19065,No,317.1 ,220.9, 440.4,7,stable,0.7 ,-1.6, 3.1
"Hampshire County, West Virginia(6,10)",54027,No,314.1 ,212.8, 446.3,6,stable,2.5 ,-29.6, 49.2
"Keokuk County, Iowa(7,8)",19107,No,314 ,188.3, 493.1,4,stable,-0.9 ,-3.1, 1.3
"Franklin County, Iowa(7)",19069,No,310 ,179.4, 497.6,4,*,*,*,*
"Stewart County, Tennessee(6,10)",47161,No,302 ,178.4, 478.8,4,stable,-15.4 ,-63.1, 93.9
