County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR) &sect; (1,10)",00000,***,60.5 ,60, 61,11777,stable,-0.5 ,-1.5, 0.4
"Pearl River County, Mississippi(6,10)",28109,***,118.2 ,74.8, 177.2,5,rising,34.3 ,3.8, 73.7
"Marion County, Iowa(7)",19125,***,115.7 ,66.6, 186.3,3,*,*,*,*
"Orangeburg County, South Carolina(6,10)",45075,***,112.7 ,70.3, 171.1,4,*,*,*,*
"Dodge County, Nebraska(6,10)",31053,***,103.8 ,62.9, 161.2,4,stable,12.2 ,-26.1, 70.3
"St. Landry Parish, Louisiana(7,8)",22097,***,103.1 ,65.2, 154.8,5,stable,1.8 ,-4.5, 8.4
"Geauga County, Ohio(6,10)",39055,***,102.5 ,74.1, 138.1,9,stable,-6.9 ,-44.7, 56.8
"Grays Harbor County, Washington(7)",53027,***,101 ,66.9, 146,6,*,*,*,*
"Columbia County, Oregon(6,10)",41009,***,100.7 ,60.2, 158.1,4,rising,58.7 ,7.8, 133.6
"Lynchburg City, Virginia(6)",51680,***,99.8 ,63.6, 149.1,5,*,*,*,*
"Oneida County, Wisconsin(6,10)",55085,***,97.5 ,59.4, 150.6,4,stable,4.5 ,-73.6, 313.9
"Anderson County, Texas(6,10)",48001,***,96.4 ,55.1, 156.6,3,*,*,*,*
"Broomfield County, Colorado(6,10)",08014,***,95.2 ,53.9, 155.4,3,*,*,*,*
"Dougherty County, Georgia(7)",13095,***,95.1 ,55.1, 152.4,3,*,*,*,*
"Danville City, Virginia(6)",51590,***,94 ,52.1, 155.2,3,*,*,*,*
"Walla Walla County, Washington(6,10)",53071,***,91.8 ,56.7, 140.3,4,rising,44.7 ,9.7, 90.9
"Essex County, New York(6,10)",36031,***,91.7 ,54.1, 145,4,stable,13.0 ,-29.0, 79.9
"Berrien County, Michigan(6,10)",26021,***,91.5 #  ,68.9, 118.9,11,stable,3.7 ,-34.2, 63.5
"Allen County, Ohio(6,10)",39003,***,89.6 ,63.4, 123.1,8,stable,-0.1 ,-32.3, 47.2
"Dearborn County, Indiana(6,10)",18029,***,89.5 ,51.9, 144,3,*,*,*,*
"Nassau County, New York(6,10)",36059,***,89.3 ,81.1, 98.2,94,stable,-1.6 ,-7.2, 4.3
"Rusk County, Texas(6,10)",48401,***,88.7 ,50.4, 144.8,3,*,*,*,*
"Jefferson County, Ohio(6,10)",39081,***,88.3 ,59.3, 126.3,6,stable,3.6 ,-9.5, 18.6
"Ozaukee County, Wisconsin(6,10)",55089,***,88 ,60.4, 123.8,7,stable,-3.0 ,-27.9, 30.4
"York County, Maine(6,10)",23031,***,87.7 ,69.3, 109.4,16,stable,13.5 ,-6.9, 38.4
"Barrow County, Georgia(7)",13013,***,87.4 ,49.6, 142.9,3,*,*,*,*
"Beaufort County, North Carolina(6,10)",37013,***,87.4 ,52.2, 137.9,4,rising,14.0 ,4.2, 24.7
"Hawaii County, Hawaii(7,8)",15001,***,87.4 ,55.2, 131.1,5,stable,2.9 ,-1.6, 7.6
"Jackson County, Indiana(6,10)",18071,***,87.2 ,49.7, 142,3,*,*,*,*
"Nez Perce County, Idaho(6,10)",16069,***,87.1 ,49.9, 140.9,3,*,*,*,*
"Auglaize County, Ohio(6,10)",39011,***,87.1 ,52.2, 136.6,4,stable,16.5 ,-33.0, 102.6
"Dubois County, Indiana(6,10)",18037,***,86.8 ,49.2, 141.6,3,*,*,*,*
"Newton County, Missouri(6,10)",29145,***,86.8 ,54.3, 131.5,4,stable,0.8 ,-17.8, 23.6
"Kennebec County, Maine(6,10)",23011,***,86.6 ,63.3, 115.6,9,stable,-2.5 ,-49.8, 89.3
"Hawkins County, Tennessee(6,10)",47073,***,86.6 ,54.7, 130.4,5,stable,5.2 ,-8.3, 20.7
"Atlantic County, New Jersey(7,8)",34001,***,86.4 ,68, 108.2,15,stable,0.5 ,-0.9, 2.0
"Hinds County, Mississippi(6,10)",28049,***,86.3 ,60.5, 119.5,8,stable,24.6 ,-12.7, 78.0
"Warren County, New Jersey(7,8)",34041,***,86.1 ,60.5, 118.8,8,rising,3.2 ,0.8, 5.8
"St. Francois County, Missouri(6,10)",29187,***,85.9 ,54.3, 129.1,5,stable,-11.0 ,-41.2, 34.7
"Montgomery County, New York(6,10)",36057,***,85.4 ,50.8, 134.4,4,*,*,*,*
"Calcasieu Parish, Louisiana(7,8)",22019,***,85.4 ,62.9, 113.3,10,stable,2.3 ,-1.6, 6.3
"Ascension Parish, Louisiana(7)",22005,***,85.2 ,50.1, 135,4,*,*,*,*
"Jasper County, Missouri(6,10)",29097,***,84.9 ,59.6, 117.4,7,stable,6.6 ,-19.5, 41.2
"Greene County, New York(6,10)",36039,***,84.9 ,50.8, 132.9,4,stable,9.9 ,-39.0, 98.0
"Bannock County, Idaho(6,10)",16005,***,84.6 ,52.1, 129.7,4,stable,-6.1 ,-40.0, 47.0
"Fulton County, New York(6,10)",36035,***,84.2 ,51.9, 128.8,4,stable,17.2 ,-37.7, 120.5
