County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR) &sect; (1,10)",00000,***,440.2 ,438.8, 441.5,83112,stable,0.3 ,-0.9, 1.5
"Williamsburg City, Virginia(6)",51830,***,1013.4 ,753, 1334.5,10,*,*,*,*
"Teton County, Montana(6,10)",30099,***,964.1 ,647.3, 1378.6,6,stable,-15.2 ,-47.3, 36.5
"Chouteau County, Montana(6,10)",30015,***,772.9 ,456.9, 1217.1,4,stable,4.9 ,-30.3, 57.8
"Boone County, Nebraska(6,10)",31011,***,742.8 ,457.1, 1135.2,5,stable,-0.6 ,-19.8, 23.3
"New Kent County, Virginia(6)",51127,***,707.1 ,482.4, 1001.6,7,*,*,*,*
"Hamilton County, New York(6,10)",36041,***,707 ,434.6, 1086.4,4,stable,60.8 ,-9.2, 184.8
"Camp County, Texas(6,10)",48063,***,704.1 ,477.9, 1000.3,6,stable,-1.7 ,-35.9, 50.9
"Warren County, Indiana(6,10)",18171,***,699.6 ,458.7, 1019.7,5,stable,11.7 ,-5.1, 31.6
"Turner County, South Dakota(6,10)",46125,***,662.5 ,441.5, 953.5,6,stable,14.9 ,-47.8, 152.7
"Franklin City, Virginia(6)",51620,***,662.2 ,372.9, 1082.7,3,*,*,*,*
"Salem City, Virginia(6)",51775,***,646 ,506.1, 812.1,15,*,*,*,*
"Fall River County, South Dakota(6,10)",46047,***,643.6 ,418.5, 944.7,5,stable,-2.9 ,-46.1, 75.1
"Harrisonburg City, Virginia(6)",51660,***,639 ,486, 823.2,12,*,*,*,*
"Grant County, Oklahoma(6,10)",40053,***,638.3 ,361.1, 1040.1,3,*,*,*,*
"Sawyer County, Wisconsin(6,10)",55113,***,637.1 ,474.3, 837.6,10,stable,-3.0 ,-25.2, 25.8
"Hughes County, South Dakota(6,10)",46065,***,636.7 ,448.8, 874.9,8,stable,-3.8 ,-32.3, 36.7
"Mitchell County, Georgia(7,8)",13205,***,629.5 ,436.3, 877.4,7,stable,3.6 ,-1.4, 9.0
"Buena Vista City, Virginia(6)",51530,***,627.6 ,370, 992.5,4,*,*,*,*
"Moniteau County, Missouri(6,10)",29135,***,626.4 ,434.7, 871.9,7,stable,0.6 ,-36.1, 58.4
"Butler County, Nebraska(6,10)",31023,***,624.3 ,401.6, 921.5,5,stable,6.7 ,-43.9, 102.9
"Turner County, Georgia(7,8)",13287,***,620.4 ,365, 983.3,4,falling,-22.8 ,-35.1, -8.1
"Adair County, Missouri(6,10)",29001,***,620.3 ,467.9, 805.7,11,stable,15.1 ,-34.6, 102.6
"Washburn County, Wisconsin(6,10)",55129,***,614.1 ,459.6, 803.1,11,stable,13.4 ,-27.6, 77.4
"Montgomery County, Iowa(7,8)",19137,***,612.3 ,425.1, 852.1,7,stable,1.0 ,-1.2, 3.2
"Ketchikan Gateway Borough, Alaska(6,10)",02130,***,611 ,352.6, 988.7,4,stable,-30.7 ,-54.0, 4.2
"Runnels County, Texas(6,10)",48399,***,609.3 ,405.8, 877.9,6,stable,-9.5 ,-41.6, 40.2
"Torrance County, New Mexico(7)",35057,***,608.4 ,389.7, 906.3,5,*,*,*,*
"Belknap County, New Hampshire(6,10)",33001,***,605.6 ,516.9, 705.1,34,stable,-0.6 ,-6.5, 5.7
"Wyoming County, New York(6,10)",36121,***,599.8 ,483.8, 734.9,19,stable,1.1 ,-13.5, 18.1
"Cooper County, Missouri(6,10)",29053,***,598.3 ,432.9, 805.3,9,stable,16.0 ,-9.4, 48.5
"Pend Oreille County, Washington(6,10)",53051,***,596.3 ,420.3, 822,8,stable,-8.3 ,-39.4, 38.9
"Bertie County, North Carolina(6,10)",37015,***,596 ,398.6, 855.9,6,stable,-3.5 ,-29.9, 32.9
"Washington County, Idaho(6,10)",16087,***,594.7 ,400.2, 849.8,6,stable,1.0 ,-39.7, 69.1
"De Soto Parish, Louisiana(7,8)",22031,***,594.5 ,427.4, 805.5,8,stable,3.4 ,-1.2, 8.2
"Iron County, Missouri(6,10)",29093,***,594.3 ,399.5, 850.9,6,stable,5.6 ,-47.6, 112.8
"Falls Church City, Virginia(6)",51610,***,592.9 ,350.1, 943,4,*,*,*,*
"Baker County, Oregon(6,10)",41001,***,592.3 ,445.2, 772.5,11,stable,-6.5 ,-45.6, 60.7
"Union County, Florida(6,10)",12125,***,591.3 ,347.1, 942.5,4,stable,-10.4 ,-43.0, 40.8
"Vilas County, Wisconsin(6,10)",55125,***,590.7 ,470.3, 732.3,17,stable,5.0 ,-13.8, 27.7
"West Feliciana Parish, Louisiana(7)",22125,***,587.3 ,338.7, 950.5,3,*,*,*,*
"Stillwater County, Montana(6,10)",30095,***,586.6 ,375.9, 875.4,5,stable,-9.9 ,-48.0, 56.2
"Perquimans County, North Carolina(6,10)",37143,***,582.1 ,411.7, 800.3,8,stable,-2.3 ,-28.7, 33.8
"Minnehaha County, South Dakota(6,10)",46099,***,581.3 ,518.6, 649.5,65,stable,-1.6 ,-20.2, 21.5
"Clallam County, Washington(7,8)",53009,***,581.2 ,511.7, 657.4,52,stable,1.0 ,0.0, 2.0
"Knox County, Indiana(6,10)",18083,***,580.9 ,472.9, 705.9,21,stable,4.7 ,-27.2, 50.5
"Lunenburg County, Virginia(6)",51111,***,578.6 ,372.9, 856.9,5,*,*,*,*
"Webster County, Mississippi(6,10)",28155,***,578.3 ,370.5, 861.1,5,stable,32.3 ,-20.4, 120.1
"Cheyenne County, Nebraska(6,10)",31033,***,577.7 ,368.1, 861.1,5,stable,5.3 ,-29.6, 57.4
"Otsego County, New York(6,10)",36077,***,575.4 ,488.1, 673.5,32,stable,-1.3 ,-12.9, 11.9
"Petersburg City, Virginia(6)",51730,***,574.1 ,353.4, 881.2,5,*,*,*,*
"Tucker County, West Virginia(6,10)",54093,***,573.4 ,358, 870.6,4,stable,-11.5 ,-47.0, 47.8
"Clarke County, Alabama(6,10)",01025,***,571.6 ,416.2, 765.5,9,stable,1.2 ,-19.8, 27.7
"Newton County, Indiana(6,10)",18111,***,571.3 ,397.2, 794.9,7,stable,7.3 ,-14.3, 34.3
"Northampton County, Virginia(6)",51131,***,571.3 ,377, 828.7,6,*,*,*,*
"Montgomery County, Georgia(7)",13209,***,570.7 ,323, 934.2,3,*,*,*,*
"Radford City, Virginia(6)",51750,***,570.3 ,353.3, 871,4,*,*,*,*
"Charlottesville City, Virginia(6)",51540,***,568.9 ,424.1, 747.1,11,*,*,*,*
"Teller County, Colorado(6,10)",08119,***,567.9 ,386.4, 803.7,7,stable,15.1 ,-44.1, 136.9
"Pleasants County, West Virginia(6,10)",54073,***,567.9 ,339.1, 890.5,4,stable,7.0 ,-21.2, 45.2
"Pierce County, Georgia(7,8)",13229,***,567.8 ,401.3, 781.6,8,stable,3.2 ,-3.0, 9.8
"Pointe Coupee Parish, Louisiana(7,8)",22077,***,567.4 ,405.6, 772.6,8,stable,3.8 ,-1.7, 9.7
"Warrick County, Indiana(6,10)",18173,***,567.3 ,473.9, 673.7,27,stable,5.6 ,-16.1, 32.9
"Waynesboro City, Virginia(6)",51820,***,567.3 ,426.8, 739.1,11,*,*,*,*
"Weston County, Wyoming(6,10)",56045,***,566.4 ,333.2, 899.4,4,stable,-12.3 ,-43.0, 34.9
"Clay County, Texas(6,10)",48077,***,566.1 ,378, 815,6,stable,-5.3 ,-41.3, 52.9
"District of Columbia(6,10)",11001,***,566 ,505.3, 632,69,stable,0.3 ,-14.4, 17.5
"Napa County, California(7,8)",06055,***,565.6 ,499.4, 637.9,55,rising,4.3 ,1.1, 7.7
"Orange County, Indiana(6,10)",18117,***,563.4 ,415.8, 746,10,stable,7.8 ,-15.7, 37.9
"McCormick County, South Carolina(6,10)",45065,***,560.3 ,364.8, 830.8,6,stable,-17.8 ,-33.0, 0.8
"Cibola County, New Mexico(7)",35006,***,560 ,335.3, 879.3,4,*,*,*,*
"Greene County, Iowa(7,8)",19073,***,559.1 ,367.8, 810.9,6,stable,0.5 ,-1.8, 2.9
"Autauga County, Alabama(6,10)",01001,***,558.6 ,452, 683.3,19,stable,-0.7 ,-25.2, 31.7
"Wapello County, Iowa(7,8)",19179,***,557.9 ,447, 687.6,18,rising,3.4 ,0.5, 6.5
"Whatcom County, Washington(7,8)",53073,***,557.3 ,503, 615.9,80,stable,0.2 ,-0.4, 0.8
"Wasatch County, Utah(7)",49051,***,557.1 ,372, 803.7,6,*,*,*,*
"Addison County, Vermont(6,10)",50001,***,556.6 ,438, 696.7,16,stable,-18.4 ,-45.8, 23.0
"Catahoula Parish, Louisiana(7)",22025,***,556.4 ,334.1, 871.6,4,*,*,*,*
"Jackson County, Georgia(7,8)",13157,***,555.8 ,454.6, 673.1,22,rising,4.5 ,0.7, 8.5
"Ottawa County, Ohio(6,10)",39123,***,554.6 ,458.6, 664.6,24,stable,-0.8 ,-13.5, 13.8
"Nez Perce County, Idaho(6,10)",16069,***,552.3 ,448.4, 672.5,20,stable,7.7 ,-9.9, 28.8
"Cheatham County, Tennessee(6,10)",47021,***,551.9 ,426.2, 703.5,14,stable,2.4 ,-21.9, 34.3
"Lake County, Montana(6,10)",30047,***,551.8 ,424.8, 704.7,13,stable,16.8 ,-8.3, 48.6
"Wayne County, Missouri(6,10)",29223,***,551.3 ,390.9, 755.2,8,stable,23.9 ,-6.3, 63.8
"Arlington County, Virginia(6)",51013,***,551.3 ,476.3, 634.6,42,*,*,*,*
"Copiah County, Mississippi(6,10)",28029,***,550.3 ,395.2, 745.3,8,stable,3.8 ,-38.5, 75.3
"Sequatchie County, Tennessee(6,10)",47153,***,550.3 ,385.1, 763.4,7,stable,3.9 ,-30.3, 55.0
"Lake County, Oregon(6,10)",41037,***,549.8 ,338.1, 843.9,4,stable,11.0 ,-24.3, 62.7
"Calvert County, Maryland(6,10)",24009,***,549.8 ,456.8, 655.8,25,stable,-5.5 ,-30.3, 28.1
"Gage County, Nebraska(6,10)",31067,***,549.1 ,421.4, 702.7,13,stable,-11.7 ,-38.7, 27.1
"Camden County, North Carolina(6,10)",37029,***,547.1 ,316.5, 881.8,3,*,*,*,*
"Sanders County, Montana(6,10)",30089,***,546.4 ,375.9, 769.2,7,stable,5.0 ,-39.6, 82.3
"Crawford County, Georgia(7,8)",13079,***,546 ,339, 841.4,5,stable,1.4 ,-5.4, 8.7
"Chippewa County, Wisconsin(6,10)",55017,***,544.6 ,456.6, 644.4,28,stable,-8.8 ,-25.6, 11.9
"Ripley County, Missouri(6,10)",29181,***,544.5 ,384.8, 748.4,8,stable,-5.2 ,-32.7, 33.5
"Skagit County, Washington(7,8)",53057,***,542.9 ,480.3, 611.3,56,stable,0.1 ,-0.9, 1.1
"Polk County, Nebraska(6,10)",31143,***,542.7 ,301.5, 898.1,3,*,*,*,*
"Kosciusko County, Indiana(6,10)",18085,***,542.6 ,460.9, 634.5,32,stable,3.1 ,-22.1, 36.4
"Moffat County, Colorado(6,10)",08081,***,542 ,323.5, 849.5,4,stable,9.6 ,-23.8, 57.7
"Clay County, South Dakota(6,10)",46027,***,541.6 ,330.2, 835.5,4,*,*,*,*
"Benton County, Washington(6,10)",53005,***,541.3 ,481.2, 606.9,60,stable,6.9 ,-3.0, 17.8
"Limestone County, Texas(6,10)",48293,***,541 ,395.1, 722.6,9,stable,-1.0 ,-26.5, 33.4
"Dixon County, Nebraska(6,10)",31051,***,540.9 ,305.2, 883.6,3,*,*,*,*
"Lenoir County, North Carolina(6,10)",37107,***,540.9 ,441.7, 655.7,21,stable,-14.4 ,-31.1, 6.4
"Durham County, North Carolina(6,10)",37063,***,540.8 ,477.9, 609.6,56,stable,-4.3 ,-13.0, 5.4
"Fredericksburg City, Virginia(6)",51630,***,540.6 ,367.8, 765.8,7,*,*,*,*
"Wilkes County, Georgia(7,8)",13317,***,540.4 ,322.2, 848.2,4,stable,0.6 ,-6.4, 8.1
"Franklin County, Mississippi(6,10)",28037,***,539.1 ,306.1, 877.5,3,*,*,*,*
"Jefferson County, Washington(7,8)",53031,***,536.9 ,439.6, 649.5,22,stable,0.1 ,-1.2, 1.4
"Northumberland County, Virginia(6)",51133,***,536.6 ,384, 728.9,8,*,*,*,*
