County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR) &sect; (1,10)",00000,***,89.9 ,89.3, 90.5,16956,stable,0.7 ,0.0, 1.4
"Fountain County, Indiana(6,10)",18045,***,198.8 ,113.2, 322.4,3,*,*,*,*
"Cortland County, New York(6,10)",36023,***,185.2 ,127.5, 259.7,7,stable,14.6 ,-24.8, 74.7
"Caledonia County, Vermont(6,10)",50005,***,183.7 ,116.8, 274.3,5,stable,-6.5 ,-53.3, 87.3
"Schoharie County, New York(6,10)",36095,***,183.5 ,120.4, 268.3,5,stable,-7.9 ,-42.3, 47.2
"Brown County, South Dakota(6,10)",46013,***,181.2 ,117.8, 265,5,stable,25.0 ,-1.9, 59.3
"Oconto County, Wisconsin(6,10)",55083,***,172.9 ,113.6, 251.7,5,stable,-8.9 ,-34.4, 26.4
"Page County, Virginia(6)",51139,***,163.6 ,98.2, 255.7,4,*,*,*,*
"Guernsey County, Ohio(6,10)",39059,***,162.6 ,108.7, 233.8,6,stable,-6.1 ,-22.0, 13.1
"Bennington County, Vermont(6,10)",50003,***,161.4 ,109.1, 229.5,6,stable,7.0 ,-23.9, 50.6
"Vilas County, Wisconsin(6,10)",55125,***,160.1 ,101.2, 240.7,5,stable,-18.1 ,-56.5, 54.2
"Warren County, Iowa(7)",19181,***,158.5 ,105.5, 228.5,6,*,*,*,*
"Dickinson County, Iowa(7)",19059,***,154.3 ,87.5, 251.1,3,*,*,*,*
"Washington County, New York(6,10)",36115,***,152.8 ,109.1, 207.8,8,stable,-10.8 ,-36.4, 25.0
"Union County, New Jersey(7,8)",34039,***,150.2 ,128.1, 174.8,35,stable,1.0 ,0.0, 2.0
"Johnson County, Iowa(7,8)",19103,***,149.1 ,109.6, 198,10,stable,1.0 ,-1.3, 3.2
"Mercer County, New Jersey(7,8)",34021,***,148.6 ,125, 175.4,29,rising,1.3 ,0.2, 2.4
"Alexandria City, Virginia(6)",51510,***,148.6 ,105.2, 204,8,*,*,*,*
"Codington County, South Dakota(6,10)",46029,***,145.4 ,82.6, 236.2,3,*,*,*,*
"Middlesex County, New Jersey(7,8)",34023,***,144.3 ,128.2, 161.8,61,rising,1.3 ,0.3, 2.3
"Queen Annes County, Maryland(6,10)",24035,***,143.6 ,96.2, 207.2,6,stable,-1.3 ,-35.3, 50.4
"Warren County, New Jersey(7,8)",34041,***,142.8 ,108, 185,12,stable,0.6 ,-1.4, 2.6
"Windham County, Vermont(6,10)",50025,***,142.2 ,95.1, 204.6,6,stable,-17.7 ,-58.4, 62.7
"Somerset County, New Jersey(7,8)",34035,***,141.6 ,118, 168.4,26,rising,1.5 ,0.3, 2.8
"Washington County, Iowa(7)",19183,***,141.5 ,79.5, 232.9,3,*,*,*,*
"Knox County, Ohio(6,10)",39083,***,141.2 ,97.4, 197.6,7,stable,8.9 ,-7.1, 27.6
"Wapello County, Iowa(7,8)",19179,***,141.2 ,88, 213.9,4,stable,1.4 ,-1.0, 3.8
"Vance County, North Carolina(6,10)",37181,***,140.1 ,81.2, 225.3,3,*,*,*,*
"Coshocton County, Ohio(6,10)",39031,***,139.8 ,89.5, 208.2,5,stable,-11.6 ,-48.8, 52.8
"Charlevoix County, Michigan(6,10)",26029,***,139.3 #  ,83.3, 218.6,4,stable,6.1 ,-37.7, 80.7
"Crawford County, Ohio(6,10)",39033,***,139 ,94.1, 197.6,6,stable,-3.1 ,-23.8, 23.1
"Allegany County, Maryland(6,10)",24001,***,138.8 ,102.9, 183,10,stable,3.6 ,-23.0, 39.5
"Middlesex County, Connecticut(7,8)",09007,***,138.1 ,111.5, 169.1,19,stable,1.2 ,-0.3, 2.7
"Merrimack County, New Hampshire(6,10)",33013,***,137.4 ,108.3, 171.8,16,stable,4.3 ,-25.0, 44.9
"Richmond County, New York(6,10)",36085,***,137.4 ,118.5, 158.3,39,stable,0.5 ,-9.8, 11.9
"Cumberland County, New Jersey(7,8)",34011,***,137.2 ,104.4, 177,12,stable,0.1 ,-1.7, 2.0
"Rutland County, Vermont(6,10)",50021,***,136.2 ,97.2, 185.5,8,stable,-5.6 ,-39.0, 46.0
"Waldo County, Maine(6,10)",23027,***,135.8 ,87.4, 201.7,5,stable,-3.0 ,-25.8, 26.8
"Genesee County, New York(6,10)",36037,***,135.7 ,93.8, 189.5,7,stable,8.1 ,-49.1, 129.9
"Lincoln County, Wisconsin(6,10)",55069,***,135.5 ,81.2, 211.7,4,stable,14.2 ,-21.5, 66.1
"Sussex County, New Jersey(7,8)",34037,***,135.2 ,104.1, 172.7,13,stable,0.6 ,-1.0, 2.3
"Dane County, Wisconsin(6,10)",55025,***,135.1 ,116.4, 155.9,39,stable,-1.9 ,-9.4, 6.3
"Dougherty County, Georgia(7)",13095,***,134.2 ,85.8, 199.5,5,*,*,*,*
"Lynchburg City, Virginia(6)",51680,***,133.8 ,89.8, 191.3,6,*,*,*,*
"Wyoming County, New York(6,10)",36121,***,132.7 ,82.7, 201.9,4,falling,-15.6 ,-25.6, -4.2
"Sioux County, Iowa(7)",19167,***,132.6 ,76.3, 213,3,*,*,*,*
"Boone County, Indiana(6,10)",18011,***,131.9 ,85.9, 193.7,5,stable,29.0 ,-48.7, 224.4
"Washington County, Vermont(6,10)",50023,***,131.6 ,90, 185.7,7,stable,3.1 ,-23.2, 38.5
"Marion County, Iowa(7)",19125,***,131.4 ,78.6, 205.8,4,*,*,*,*
"Sagadahoc County, Maine(6,10)",23023,***,131.3 ,81.6, 200,4,stable,-0.6 ,-32.1, 45.5
"Fulton County, New York(6,10)",36035,***,131.1 ,89.5, 185,7,stable,13.8 ,-1.1, 30.8
"Suffolk County, New York(6,10)",36103,***,130.4 ,120.6, 140.8,134,stable,0.1 ,-9.1, 10.3
"Rockingham County, Virginia(6)",51165,***,129.6 ,94.3, 173.6,9,*,*,*,*
"Allen County, Indiana(6,10)",18003,***,129.5 ,108.9, 152.9,29,stable,6.6 ,-24.4, 50.3
"Grafton County, New Hampshire(6,10)",33009,***,129.5 ,95.6, 171.3,10,stable,6.5 ,-26.3, 53.9
"Menominee County, Michigan(6,10)",26109,***,129.4 #  ,73.1, 211.3,3,*,*,*,*
"Rockingham County, New Hampshire(6,10)",33015,***,129.1 ,108.5, 152.4,29,stable,-15.5 ,-31.0, 3.6
"Clinton County, Iowa(7,8)",19045,***,128.9 ,85.9, 185.4,6,rising,6.0 ,2.7, 9.5
"Chautauqua County, New York(6,10)",36013,***,128.8 ,101.2, 161.3,15,stable,3.4 ,-37.5, 70.9
"Essex County, New Jersey(7,8)",34013,***,128.6 ,108.9, 150.7,32,rising,1.3 ,0.4, 2.2
"Westchester County, New York(6,10)",36119,***,128.5 ,115.7, 142.3,77,stable,5.7 ,-11.9, 26.7
"Washington County, Rhode Island(6,10)",44009,***,128.3 ,99.5, 162.7,14,stable,-4.6 ,-18.9, 12.2
"Campbell County, Virginia(6)",51031,***,127.9 ,85.4, 184,6,*,*,*,*
"Morris County, New Jersey(7,8)",34027,***,127.9 ,111.1, 146.3,43,stable,1.0 ,-0.1, 2.0
"Tolland County, Connecticut(7,8)",09013,***,127.7 ,98.1, 163.4,13,stable,-0.3 ,-2.5, 2.0
"Shiawassee County, Michigan(6,10)",26155,***,127.7 #  ,90.1, 175.7,8,stable,-3.4 ,-34.7, 42.9
"San Francisco County, California(7,8)",06075,***,127.5 ,107.5, 150.1,30,stable,-0.6 ,-1.6, 0.3
"Washington County, Wisconsin(6,10)",55131,***,127.5 ,98.5, 162.2,13,stable,1.6 ,-19.5, 28.2
"Box Elder County, Utah(7)",49003,***,127 ,76.4, 198.4,4,*,*,*,*
"Wythe County, Virginia(6)",51197,***,126.9 ,76.2, 198.6,4,*,*,*,*
"Madison County, New York(6,10)",36053,***,126.8 ,89, 175.2,7,stable,-5.6 ,-16.0, 6.1
"Montgomery County, New York(6,10)",36057,***,126.6 ,82.9, 184.6,6,stable,-2.3 ,-40.4, 60.1
"Ontario County, New York(6,10)",36069,***,126.4 ,95.8, 163.7,12,stable,3.9 ,-7.8, 17.0
"Oswego County, New York(6,10)",36075,***,126 ,94.6, 164.6,11,stable,1.9 ,-21.8, 32.8
"Hunterdon County, New Jersey(7,8)",34019,***,125.9 ,95, 163.6,12,stable,0.2 ,-1.5, 1.9
"Queens County, New York(6,10)",36081,***,125.9 ,114.4, 138.2,93,stable,3.4 ,-2.3, 9.4
"Marathon County, Wisconsin(6,10)",55073,***,125.5 ,96.6, 160.1,13,stable,1.8 ,-19.8, 29.1
"Callaway County, Missouri(6,10)",29027,***,125.5 ,75.2, 196.6,4,stable,7.0 ,-42.1, 97.5
"Dutchess County, New York(6,10)",36027,***,125.1 ,103.8, 149.4,25,stable,0.4 ,-10.3, 12.3
"Saratoga County, New York(6,10)",36091,***,124.8 ,102.2, 150.9,22,stable,10.9 ,-17.5, 49.3
"Herkimer County, New York(6,10)",36043,***,124.8 ,87.8, 171.9,8,stable,15.7 ,-15.6, 58.6
"Mecosta County, Michigan(6,10)",26107,***,124.7 #  ,78.7, 187.9,5,stable,-6.5 ,-42.5, 52.2
"Defiance County, Ohio(6,10)",39039,***,124.4 ,75.7, 192.5,4,stable,-0.0 ,-12.5, 14.2
"Cuyahoga County, Ohio(6,10)",39035,***,124.3 ,113.6, 135.8,103,stable,0.2 ,-9.6, 11.1
"Franklin County, Vermont(6,10)",50011,***,124.2 ,74.1, 194.2,4,stable,9.3 ,-22.0, 53.3
"Elkhart County, Indiana(6,10)",18039,***,123.9 ,98, 154.5,16,stable,10.8 ,-26.3, 66.6
"Greene County, New York(6,10)",36039,***,123.8 ,81.7, 179.8,6,stable,0.4 ,-21.1, 27.8
"Monmouth County, New Jersey(7,8)",34025,***,123.4 ,108.7, 139.4,53,rising,1.7 ,0.7, 2.6
"Milwaukee County, Wisconsin(6,10)",55079,***,123.1 ,109.2, 138.2,60,stable,4.6 ,-7.2, 18.1
"Bronx County, New York(6,10)",36005,***,122.9 ,101.3, 147.7,24,stable,4.4 ,-13.7, 26.4
"Arlington County, Virginia(6)",51013,***,122.6 ,88, 166.1,9,*,*,*,*
"Camden County, New Jersey(7,8)",34007,***,122.5 ,104.9, 142.2,36,stable,-4.4 ,-11.7, 3.5
"Alameda County, California(7,8)",06001,***,122.4 ,108.7, 137.4,61,stable,0.0 ,-0.8, 0.8
"Accomack County, Virginia(6)",51001,***,122.2 ,72.1, 194.2,4,*,*,*,*
"Albany County, New York(6,10)",36001,***,121.9 ,101.6, 145,26,stable,3.1 ,-9.8, 17.7
"Preston County, West Virginia(6,10)",54077,***,121.8 ,73.2, 191.1,4,stable,-8.4 ,-37.6, 34.4
"Orleans County, New York(6,10)",36073,***,121.6 ,72.9, 189.7,4,stable,-8.5 ,-36.2, 31.3
"Burlington County, New Jersey(7,8)",34005,***,121.1 ,103.8, 140.5,36,stable,0.1 ,-1.2, 1.4
"Montcalm County, Michigan(6,10)",26117,***,121.1 #  ,82.1, 172.3,6,stable,-0.2 ,-26.7, 35.8
