Incidence Rate Report for United States by County

"Lung & Bronchus, 2010-2014"

"White Non-Hispanic, Female, Ages 65+"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR) &sect; (1,10)",00000,***,317.6 ,316.4, 318.8,59344,falling,-1.3 ,-2.0, -0.6
"Petersburg City, Virginia(6)",51730,***,713.4 ,446.6, 1074.1,5,*,*,*,*
"Yalobusha County, Mississippi(6,10)",28161,***,671.7 ,452.7, 959.6,6,stable,-3.2 ,-22.8, 21.5
"Trousdale County, Tennessee(6,10)",47169,***,650.9 ,371.7, 1053.9,3,*,*,*,*
"Perry County, Tennessee(6,10)",47135,***,641.8 ,417, 945.3,5,stable,4.2 ,-28.1, 50.9
"Bacon County, Georgia(7,8)",13005,***,641.7 ,409.8, 958.1,5,rising,7.9 ,2.7, 13.4
"Vermillion County, Indiana(6,10)",18165,***,611.3 ,448.1, 813.7,9,stable,1.2 ,-42.9, 79.5
"Crawford County, Georgia(7)",13079,***,586.8 ,353.5, 916.7,4,*,*,*,*
"Sabine County, Texas(6,10)",48403,***,570 ,404.4, 781.3,8,stable,0.7 ,-19.9, 26.7
"Lewis County, Tennessee(6,10)",47101,***,561 ,379.4, 798.3,6,stable,-3.7 ,-27.5, 28.0
"Somerset County, Maryland(6,10)",24039,***,558.1 ,398.6, 759.2,8,stable,-20.0 ,-42.2, 10.8
"Clark County, Missouri(6,10)",29045,***,557.5 ,334.4, 871.5,4,stable,-18.0 ,-39.4, 10.9
"Ohio County, Indiana(6,10)",18115,***,552.6 ,319, 893,3,*,*,*,*
"Benewah County, Idaho(6,10)",16009,***,551.7 ,343.8, 838.2,4,stable,-17.2 ,-47.0, 29.3
"Brown County, Ohio(6,10)",39015,***,529 ,426.3, 648.8,19,stable,-7.1 ,-21.3, 9.8
"Orleans County, New York(6,10)",36073,***,527.2 ,420.6, 652.2,17,rising,7.6 ,2.4, 13.1
"Boone County, West Virginia(6,10)",54005,***,526.6 ,390.2, 694.8,10,stable,3.4 ,-21.3, 35.8
"Stafford County, Virginia(6)",51179,***,522.7 ,432.5, 626.1,24,*,*,*,*
"Grundy County, Tennessee(6,10)",47061,***,520.7 ,365, 720.9,7,stable,-2.1 ,-30.6, 38.1
"New Madrid County, Missouri(6,10)",29143,***,516.6 ,366, 707.3,8,stable,-3.2 ,-33.5, 41.0
"Coryell County, Texas(6,10)",48099,***,511 ,396.9, 647.6,14,stable,-6.1 ,-25.3, 18.1
"Starke County, Indiana(6,10)",18149,***,509.6 ,375.8, 676.2,10,stable,2.6 ,-35.6, 63.4
"Tallahatchie County, Mississippi(6,10)",28135,***,509 ,290, 826.4,3,*,*,*,*
"Page County, Iowa(7)",19145,***,505.5 ,364.4, 682.3,9,*,*,*,*
"Murray County, Oklahoma(6,10)",40099,***,504.9 ,340, 722.1,6,stable,-2.2 ,-27.8, 32.3
"Forest County, Wisconsin(6,10)",55041,***,500 ,316.4, 750,5,stable,22.2 ,-10.1, 66.0
"Peach County, Georgia(7,8)",13225,***,496.3 ,331.3, 715.4,6,stable,3.4 ,-1.1, 8.2
"Mississippi County, Missouri(6,10)",29133,***,492.7 ,328.6, 710.6,6,falling,-24.9 ,-39.0, -7.4
"Oswego County, New York(6,10)",36075,***,491.8 ,427.3, 563.3,43,stable,-0.1 ,-9.5, 10.2
"Ripley County, Missouri(6,10)",29181,***,486.9 ,337, 681.3,7,stable,2.3 ,-42.9, 83.2
"Westmoreland County, Virginia(6)",51193,***,486.9 ,343.6, 670,8,*,*,*,*
"Clinton County, New York(6,10)",36019,***,486.6 ,411.8, 571,30,stable,-10.2 ,-20.5, 1.4
"Iron County, Missouri(6,10)",29093,***,485.2 ,309.9, 723.4,5,stable,-1.6 ,-26.3, 31.3
"Mingo County, West Virginia(6,10)",54059,***,485 ,356.8, 644.2,10,stable,-6.1 ,-25.6, 18.6
"McCormick County, South Carolina(6,10)",45065,***,483.7 ,289.4, 760.8,4,stable,-8.6 ,-43.1, 46.8
"Baker County, Florida(6,10)",12003,***,483.1 ,342, 663.5,8,stable,7.6 ,-40.6, 94.9
"Shoshone County, Idaho(6,10)",16079,***,481.7 ,328.9, 680.9,6,stable,-9.1 ,-31.2, 20.1
"Saline County, Missouri(6,10)",29195,***,481.5 ,350.9, 643.7,9,stable,-17.2 ,-40.8, 16.0
"Lamar County, Georgia(7)",13171,***,480.6 ,310.1, 709,5,*,*,*,*
"Okeechobee County, Florida(6,10)",12093,***,478.2 ,375.5, 600.2,15,stable,-0.4 ,-31.5, 44.7
"Shelby County, Missouri(6,10)",29205,***,477.4 ,268.8, 780.9,3,*,*,*,*
"Vinton County, Ohio(6,10)",39163,***,474.7 ,306.3, 703,5,stable,20.3 ,-18.8, 78.3
"Colleton County, South Carolina(6,10)",45029,***,471.2 ,349.1, 622.1,10,stable,-15.4 ,-41.0, 21.4
